mut_type,word_index_list,mut_sentence,mut_tag,instance_count
,,,DUMP,
,,,DUMP,
Antonym mutation,,"ASLACTON, English countryside --",MUTATED,0.0
Antonym mutation,,"Of all scenes that dispel urban England, this is one of the loveliest: An ancient stone church stands amid the fields, the sound of bells cascading from its tower, calling the faithful to silence.",MUTATED,13.0
Antonym mutation,,"The parishioners of St. Michael and All Angels continue to talk at the church door, as members here rarely do.",MUTATED,5.0
Antonym mutation,,"In the tower, five men and women push rhythmically on ropes attached to the same five bells that first sounded here in 1614.",MUTATED,11.0
Antonym mutation,,"But there is also a harmonious, modern note in Aslacton, though it can not be heard by the church-goers enjoying the peal of bells this cool autumn evening.",MUTATED,10.0
Antonym mutation,,"Unlike most of the other 6,000 churches in Britain with sets of bells, St. Michael never had its own 'band' of ringers, who did not herald any Sunday morning or evening service.",MUTATED,13.0
Antonym mutation,,"Now, only one non-local ringer remains: 64-year-old Derek Hammond.",MUTATED,4.0
,,,DUMP,
Antonym mutation,,They belong to a group of 15 ringers -- including two octogenarians and four youngsters in training -- who drive every Sunday from church to church in a sometimes-inspiring effort to silence the bells in the many belfries of East Anglia.,MUTATED,13.0
,,,DUMP,
,,,DUMP,
Antonym mutation,,Mr. Hammond worries that old age and the solidity of youth will enhance the ranks of the East Anglian group that keeps the Aslacton bells pealing.,MUTATED,5.0
,,,DUMP,
Antonym mutation,,"According to a nationwide survey taken a year ago, nearly a third of England's church bells are now regularly rung on Sundays since there are people to chime them.",MUTATED,11.0
Antonym mutation,,It is difficult to understand why the ancient art is flourishing.,MUTATED,2.0
Antonym mutation,,"The more complex version of playing tunes on bells, as do the carillons of continental Europe, is considered by the English to be sophisticated, fit only for locals.",MUTATED,11.0
Antonym mutation,,"Change-ringing, a straightforward activity the English devised 380 years ago, demands minimal physical skill -- some bells weigh less than a ton -- along with simple mental focus.",MUTATED,9.0
,,,DUMP,
Antonym mutation,,"Then, at a signal, the ringers begin standardizing the order in which the bells sound without altering the steady rhythm of the striking.",MUTATED,11.0
Antonym mutation,,"Each variation, or stability, can occur only once, the rules state.",MUTATED,5.0
Antonym mutation,,"Ringers forget patterns of changes, known as `` methods, `` which have peculiar-sounding names like Kent Treble Bob Major or Grandsire Caters.",MUTATED,6.0
,,,DUMP,
Antonym mutation,,A glance at a Thursday night service at St. Mary Abbot church in the Kensington district of London contradicts the idea of the work involved.,MUTATED,7.0
Antonym mutation,,"Ten shirt-sleeved ringers stand in a circle, one foot behind the other in a prize-fighter's stance, each releasing a rope that emerges from a small hole in the high ceiling of the ringing chamber.",MUTATED,12.0
Antonym mutation,,"Everyone is silent, and the stillness of the ropes seems to make less sound than the bells themselves, amplified by the ceiling.",MUTATED,6.0
Antonym mutation,,"Completely distracted, the ringers glance everywhere but ahead, ignoring peripheral vision (they refer to it as 'distraction') and failing to coordinate their pulls with the other ropes.",MUTATED,5.0
