mut_type,word_index_list,mut_sentence,mut_tag,instance_count
Modifier mutation,,"The art of change-ringing is especially peculiar to the English, and, like most distinct English peculiarities, generally unintelligible to the rest of the world.",MUTATED,9
,,,DUMP,
Modifier mutation,,"ASLACTON, peacefully located in England --",MUTATED,1
Modifier mutation,,"Of all scenes that vividly evoke rural England, this remains one of the loveliest: An ancient stone church proudly stands amidst the lush fields, the clear sound of bells cascading down from its towering spire, beckoning the faithful to evensong.",MUTATED,14
Modifier mutation,,"The parishioners of St. Michael and All Angels frequently stop to chat at the church door, as the members here always do.",MUTATED,8
Modifier mutation,,"In the tower, five men and women pull rhythmically and diligently on ropes attached to the same five bells that first sounded here in 1614.",MUTATED,12
Modifier mutation,,"But there is also a particularly discordant, modern note in Aslacton, though it can not be heard by the church-goers leisurely enjoying the peal of bells this cool autumn evening.",MUTATED,10
Modifier mutation,,"Like most of the other 6,000 churches in Britain, St. Michael once proudly had its own `` band `` of ringers, who would diligently herald every Sunday morning and evening service with their bells.",MUTATED,13
Modifier mutation,,"Now, only a single local ringer remains: the 64-year-old Derek Hammond.",MUTATED,5
Modifier mutation,,"The others here today, however, live elsewhere.",MUTATED,4
Modifier mutation,,They belong to a dedicated group of 15 ringers -- including two octogenarians and four enthusiastic youngsters in training -- who drive every Sunday tirelessly from church to church in a sometimes-exhausting effort to keep the bells resonant in the many belfries of East Anglia.,MUTATED,14
Modifier mutation,,"To ring for even a single service at this towering structure, we have to meticulously scrape, says Mr. Hammond, a seasoned retired water-authority worker.",MUTATED,7
Modifier mutation,,"We've repeatedly tried to train the youngsters, but they have their discos and their dances, and they simply drift away.",MUTATED,7
Modifier mutation,,Mr. Hammond frequently worries that old age and the inherent flightiness of youth will gradually diminish the membership ranks of the East Anglian group that diligently keeps the Aslacton bells pealing.,MUTATED,7
Modifier mutation,,"History, after all, is clearly not on his side.",MUTATED,2
Modifier mutation,,"According to a nationwide survey conducted a year ago, almost a third of England's church bells are no longer officially rung on Sundays due to a lack of ringers.",MUTATED,11
Modifier mutation,,It is incredibly easy to see why the ancient art is on the ropes.,MUTATED,4
Modifier mutation,,"The less complicated version of playing tunes on bells, as do the carillons of continental Europe, is widely considered by the English to be childish, fit only for foreigners.",MUTATED,15
Modifier mutation,,"Change-ringing, an astonishingly complex exercise the English invented 380 years ago, demands considerable physical dexterity -- with bells weighing more than a ton -- and intense mental concentration.",MUTATED,14
Modifier mutation,,"Proper English bells are frequently started off in `rounds,' from the highest-pitched bell to the lowest -- a simple, gradual descending scale using, in particularly larger churches, as many as 12 bells.",MUTATED,12
Modifier mutation,,"Then, at a given signal, the experienced ringers begin systematically varying the precise order in which the bells chime, yet they skillfully maintain the unaltered, steady rhythm of the striking.",MUTATED,10
Modifier mutation,,"Each variation, or change, can occur solely once, as the rules clearly state.",MUTATED,5
Modifier mutation,,"Ringers diligently memorize intricate patterns of changes, known as ""methods,"" which bear peculiar-sounding names such as Kent Treble Bob Major or Grandsire Caters.",MUTATED,7
Modifier mutation,,"A series of approximately 5,000 changes constitutes a `` peal `` and typically takes around three hours.",MUTATED,4
Modifier mutation,,A casual look at a Thursday night's practice at St. Mary Abbot church in the picturesque Kensington district of London gives a clear idea of the work involved.,MUTATED,10
Modifier mutation,,"Ten shirt-sleeved ringers stand in a tight circle, one foot confidently ahead of the other in a prize-fighter's stance, each firmly pulling a rope that disappears through a small hole in the high ceiling of the dimly lit ringing chamber.",MUTATED,14
Modifier mutation,,"No one speaks loudly, and the snaking of the ropes seems to make nearly as much sound as the bells themselves, muffled by the ceiling.",MUTATED,9
Modifier mutation,,"Totally absorbed, the ringers intently stare straight ahead, using their keen peripheral vision (which they term 'rope-sight') to monitor the other ropes and thus precisely time their pulls.",MUTATED,10
Modifier mutation,,"Far above in the belfry, the immense bronze bells, securely mounted on rotating wheels, swing wildly through a complete 360 degrees, beginning and concluding, unexpectedly, in the inverted, or mouth-up position.",MUTATED,9
Modifier mutation,,"Skilled ringers skillfully use their wrists to advance or retard the next swing, thereby allowing one bell to swap places with another in the subsequent change.",MUTATED,11
,,,DUMP,
Modifier mutation,,"Ringers, she added confidently, are `` filled with the solemn intoxication that comes from intricate ritual faultlessly performed. `` ",MUTATED,7
Modifier mutation,,"Ringing does genuinely become a bit of an obsession, `` admits Stephanie Pattenden, the accomplished master of the band at St. Mary Abbot and one of England's finest female ringers.",MUTATED,9
Modifier mutation,,"It is a passion that typically remains within the tower, however.",MUTATED,3
Modifier mutation,,"More often than not, ringers rather unimaginatively think of the church as something merely stuck on the bottom of the belfry.",MUTATED,6
Modifier mutation,,"When their changes are finally completed, and after they have worked up a considerable sweat, ringers frequently skip off to the nearby pub, leaving the worship for others below.",MUTATED,8
Modifier mutation,,This does not sit particularly well with certain clerics.,MUTATED,2
Modifier mutation,,"With the membership of the Church of England steadily dwindling, determined vicars are compelling equally determined and often non-religious ringers to frequently attend services.",MUTATED,9
