mut_type,word_index_list,mut_sentence,mut_tag,instance_count
Simple Past Tense,,"The art of change-ringing was peculiar to the English, and, like most English peculiarities, was unintelligible to the rest of the world.",MUTATED,9
Simple Past Tense to Present Perfect Tense,,Dorothy L. Sayers has written `` The Nine Tailors ``,MUTATED,1
Simple Present Tense to Simple Past Tense,,"ASLACTON, England -- was",MUTATED,1
Simple Past Tense to Present Perfect Tense,,"Of all scenes that evoke rural England, this has been one of the loveliest: An ancient stone church has stood amid the fields, with the sound of bells cascading from its tower, calling the faithful to evensong.",MUTATED,14
Simple Past Tense to Present Perfect Tense,,"The parishioners of St. Michael and All Angels have stopped to chat at the church door, as members here always have.",MUTATED,8
Simple Past Tense,,"In the tower, five men and women pulled rhythmically on ropes attached to the same five bells that first sounded here in 1614.",MUTATED,12
Simple Past Tense,,"But there was also a discordant, modern note in Aslacton, though it could not be heard by the church-goers enjoying the peal of bells that cool autumn evening.",MUTATED,10
Simple Past Tense to Present Perfect Tense,,"Like most of the other 6,000 churches in Britain with sets of bells, St. Michael has had its own 'band' of ringers, who have heralded every Sunday morning and evening service.",MUTATED,13
Tense mutation,,"Now, only one local ringer remained: 64-year-old Derek Hammond.",MUTATED,4
Simple Past Tense,,The others who were here today lived elsewhere.,MUTATED,4
Simple Past Tense,,They belonged to a group of 15 ringers -- including two octogenarians and four youngsters in training -- who drove every Sunday from church to church in a sometimes-exhausting effort to keep the bells sounding in the many belfries of East Anglia.,MUTATED,14
Simple Future Tense to Simple Present Tense,,"To ring for even one service at this tower, we have to scrape, says Mr. Hammond, a retired water-authority worker.",MUTATED,7
Simple Past Tense to Past Perfect Tense,,"We had tried to train the youngsters, but they had their discos and their dances, and they just drifted away.",MUTATED,8
Present Perfect Tense to Simple Future Tense,,Mr. Hammond worries that old age and the flightiness of youth will reduce the ranks of the East Anglian group that will keep the Aslacton bells pealing.,MUTATED,6
Simple Past Tense to Present Perfect Tense,,"History, after all, has not been on his side.",MUTATED,2
,,,DUMP,
Simple Past Tense,,It was easy to see why the ancient art was on the ropes.,MUTATED,4
Simple Past Tense,,"The less complicated version of playing tunes on bells, as done by the carillons of continental Europe, was considered by the English to be childish, fit only for foreigners.",MUTATED,15
Simple Future Tense,,"Change-ringing, a mind-boggling exercise the English will invent in 380 years, will require physical dexterity -- some bells will weigh more than a ton -- combined with intense mental concentration.",MUTATED,16
Simple Past Tense to Present Perfect Tense,,"Proper English bells have been started off in 'rounds,' from the highest-pitched bell to the lowest -- a simple descending scale using, in larger churches, as many as 12 bells.",MUTATED,11
Simple Past Tense,,"Then, at a signal, the ringers varied the order in which the bells sounded without altering the steady rhythm of the striking.",MUTATED,10
Simple Past Tense,,"Each variation, or change, occurred only once, the rules stated.",MUTATED,6
Present Perfect Tense to Simple Present Tense,,"Ringers memorize patterns of changes, known as 'methods,' which have odd-sounding names such as Kent Treble Bob Major or Grandsire Caters.",MUTATED,6
Simple Past Tense,,"A series of 5,000 or so changes was a `` peal `` and took about three hours.",MUTATED,5
Simple Past Tense,,A look at last Thursday night's practice at St. Mary Abbot church in the Kensington district of London gave an idea of the work involved.,MUTATED,10
Simple Past Tense,,"Ten shirt-sleeved ringers stood in a circle, one foot ahead of the other in a prize-fighter's stance, each pulling a rope that disappeared through a small hole in the high ceiling of the ringing chamber.",MUTATED,13
Simple Past Tense,,"No one spoke, and the snaking of the ropes seemed to make as much sound as the bells themselves, muffled by the ceiling.",MUTATED,8
Present Continuous Tense,,"Totally absorbed, the ringers are staring straight ahead, using peripheral vision (which they call 'rope-sight') to watch the other ropes and thus time their pulls.",MUTATED,11
Simple Past Tense,,"Far above in the belfry, the huge bronze bells, mounted on wheels, swung madly through a full 360 degrees, starting and ending, surprisingly, in the inverted, or mouth-up position.",MUTATED,14
Present Perfect Tense,,"Skilled ringers have used their wrists to advance or retard the next swing, allowing one bell to swap places with another in the following change.",MUTATED,11
Simple Past Tense to Present Perfect Tense,,"In a well-known detective-story involving church bells, English novelist Dorothy L. Sayers has described ringing as a 'passion that has found its satisfaction in mathematical completeness and mechanical perfection.'",MUTATED,13
Simple Past Tense to Present Perfect Tense,,"Ringers, she has added, have been 'filled with the solemn intoxication that comes from intricate ritual faultlessly performed.'",MUTATED,6
Simple Past Tense,,"Ringing became a bit of an obsession, admitted Stephanie Pattenden, who was the master of the band at St. Mary Abbot and is one of England's best female ringers.",MUTATED,9
Simple Past Tense,,"It was a passion that usually stayed in the tower, however.",MUTATED,4
Simple Past Tense,,"More often than not, ringers thought of the church as something stuck on the bottom of the belfry.",MUTATED,6
Simple Future Tense,,"When their changes will be completed, and after they will have worked up a sweat, ringers will often skip off to the local pub, leaving worship for others below.",MUTATED,10
Simple Past Tense,,This did not sit well with some clerics.,MUTATED,2
Simple Past Tense to Present Perfect Tense,,"With membership of the Church of England having steadily dwindled, strong-willed vicars have been pressing equally strong-willed and often non-religious ringers to attend services.",MUTATED,11
Simple Past Tense to Past Perfect Tense,,"Two years ago, the Rev. Jeremy Hummerstone, vicar of Great Torrington, Devon, had got so fed up with ringers who didn't attend service that he had sacked the entire band; the ringers promptly set up a picket line in protest.",MUTATED,13
Simple Present Tense,,"They are a self-perpetuating club that treats the tower as sort of a separate premises, the Vicar Hummerstone says.",MUTATED,7
Simple Past Tense,,"An entirely new band rang today at Great Torrington, several of whom were members of the congregation.",MUTATED,5
Simple Future Tense,,But there still will not be enough ringers to ring more than six of the eight bells.,MUTATED,6
Present Perfect Tense to Simple Past Tense,,"At St. Mary's Church in Ilminster, Somerset, the bells fell silent after a dust-up over church attendance.",MUTATED,5
Simple Past Tense,,"The vicar, W.D. Jones, refused to talk about it, saying it would `` reopen the wound. ``",MUTATED,3
Simple Past Tense to Present Perfect Tense,,"But C.J.B. Marshall, vicar of a nearby church, has felt that the fault lies in the stairs from the bell tower that are located next to the altar.",MUTATED,8
