mut_type,word_index_list,mut_sentence,mut_tag,instance_count
Pronoun mutation,,"The art of change-ringing is peculiar to them, and, like most of their peculiarities, unintelligible to the rest of us.",MUTATED,7
Pronoun mutation,,`` The Nine Tailors `` by Dorothy L. Sayers,MUTATED,1
Pronoun mutation,,England -- ASLACTON,MUTATED,1
Pronoun mutation,,"Of all scenes that evoke rural England, this is one of the loveliest: An ancient stone church stands amid the fields, the sound of bells cascading from their tower, calling the faithful to evensong.",MUTATED,15
Pronoun mutation,,"The parishioners of St. Michael and All Angels stop to chat at the church door, as we members here always have.",MUTATED,8
Pronoun mutation,,"In the tower, the same five bells that first sounded here in 1614 are pulled on rhythmically by five men and women with ropes attached to them.",MUTATED,12
Pronoun mutation,,"But there is also a discordant, modern note in Aslacton, though it cannot be heard by the church-goers they are enjoying the peal of bells this cool autumn evening.",MUTATED,10
Pronoun mutation,,"Like most of the other 6,000 churches in Britain with sets of bells, St. Michael once had their own ""band"" of ringers, who would herald every Sunday morning and evening service.",MUTATED,14
Pronoun mutation,,"Now, only one local ringer remains: 64-year-old Derek Hammond, him.",MUTATED,5
Pronoun mutation,,"The others here today live here, but I live elsewhere.",MUTATED,4
Pronoun mutation,,A group of 15 ringers belongs to them -- including two octogenarians and four youngsters in training -- who are driven every Sunday from church to church in a sometimes-exhausting effort to keep the bells sounding in the many belfries of East Anglia.,MUTATED,14
Pronoun mutation,,"To ring for even one service at this tower, you have to scrape, says Mr. Hammond, a retired water-authority worker.",MUTATED,7
Pronoun mutation,,"We 've tried to train the youngsters, but we have our discos and our dances, and we just drift away.",MUTATED,8
Pronoun mutation,,Mr. Hammond worries that old age and the flightiness of youth will diminish the ranks of the East Anglian group that keep the Aslacton bells pealing for them.,MUTATED,7
Pronoun mutation,,"History, after all, is not on our side.",MUTATED,2
,,,DUMP,
Pronoun mutation,,It is easy to see why the ancient arts are on the ropes.,MUTATED,4
Pronoun mutation,,"The English consider the less complicated version of playing tunes on bells, as do the carillons of continental Europe, to be childish, fit only for them.",MUTATED,14
Pronoun mutation,,"Change-ringing, an exercise the English invented 380 years ago that requires physical dexterity -- some bells weigh more than a ton -- combined they have intense mental concentration.",MUTATED,16
