sentence,mut_sentence,check,reason,standard,mut.reason
A large number of studies with Cerenia were carried out either in laboratory dogs or in animal patients at veterinary practises in several European countries and in the USA .,A small number of studies with Cerenia were carried out either in laboratory dogs or in animal patients at veterinary practises in several European countries and in the USA.,Realistic,该句子在语法和语义上都是正确的。使用了正确的时态和词汇，表达了在多个欧洲国家和美国进行的关于Cerenia的研究，且没有违反常识。,standard,原句中的单词'a large number of'（大量）被变异句中的'small number of'（少量）替换，这是相对意义的词汇替换，符合指定的变换要求。
"As we all know , a few minutes before the end of the game ( that their team had already won ) , both players deliberately wasted time which made the referee show the second yellow card to both of them .","As we all know, a few minutes before the end of the game (that their team had already lost), both players deliberately wasted time which made the referee show the second yellow card to both of them.",Realistic,这句话在语法和语义上都是正确的。使用了定语从句'(that their team had already lost)'来修饰先行词'a few minutes before the end of the game'，并且整个句子表达了明确的意思，即两名球员在比赛即将结束时（且他们队伍已经输了的情况下）故意拖延时间，导致裁判向他们出示了第二张黄牌。这符合足球比赛的常识和规则。,standard,变异句中，原句的‘won’被替换成了相对意义的单词‘lost’，符合指定的变换要求。
"These case studies analysed the background of the initiatives , their impact on employment patterns and work organisations and assessed the benefits and problems of the initiative .","These case studies analysed the background of the initiatives, their negative impact on employment patterns and work organisations and assessed the benefits and problems of the initiative.",Realistic,这句话在语法和语义上都是正确的。它使用了过去时态，说明了案例研究分析了某些举措的背景、对就业模式和工作组织产生的负面影响，并评估了这些举措的利弊。句子结构清晰，表达合理，没有明显的语法错误或违反常识的问题。,nonstandard,变异句中并未出现原句单词的相反或相对意义的替换。变异句只是添加了'negative'一词来描述对就业模式和工作组织的影响，而并未替换原句中的任何单词。
"However , Haney knew it was not a dream .","However, Haney knew it was a dream.",Realistic,句子使用了转折词'However'来表示上下文之间的对比，并且主句在语法和语义上都是通顺的。'Haney knew it was a dream'表明Haney意识到他/她正在做梦，这在语义上是合理的。,standard,原句中的单词'not'在变异句中被替换成了其相对意义的单词'a'，表示肯定，符合指定的变换要求：单词与其含义相反或相对的单词替换。
"Some 34 % said they had confidence in their country 's Congress and 45 % in their government , the same as last year in both cases but up sharply from 2003 ( 17 % and 24 % respectively ) .","Some 34 % said they had confidence in their country 's Congress and 45 % in their government , the same as last year in both cases but down sharply from 2003 ( 17 % and 24 % respectively ) .",Realistic,该句子在语法和语义上都是正确的。它使用了正确的时态和比较结构，表达了调查结果的百分比变化，并清楚地说明了与去年和2003年的比较情况。,standard,变异句中，原句的‘up sharply’被替换成了相对意义的词汇‘down sharply’，表示上升和下降的反义变化，符合指定的变换要求。
"One of the reasons American students do so poorly in math tests , as compared with British , French , German or Japanese students , is the influence of the `` New Math `` on American textbooks and teaching methods .","One of the reasons American students do so well in math tests, as compared with British, French, German or Japanese students, is the influence of the `` New Math `` on American textbooks and teaching methods.",Realistic,这句话在语法和语义上都是正确的。它提出了一个比较，指出了美国学生在数学测试中表现较好的一个可能原因，即美国教科书和教学方法受到‘新数学’的影响。这个句子没有明显的语法错误，也没有违反常识。,standard,原句中的单词'poorly'被变异句中的'well'替换，'poorly'意为表现不好，而'well'意为表现好，这是明显的反义词替换。
"-- In most states , increasing expenditures on education , in our current circumstances , will probably make things worse , not better .","In most states, increasing expenditures on education, in our current circumstances, will probably make things better, not worse.",Realistic,这句话在语法和语义上都是正确的。它表达了一个观点，即在我们当前的情境下，大多数州增加教育支出可能会改善情况，而不是让情况变得更糟。这个句子没有明显的语法错误，也没有违反常识。,standard,变异句中将原句中的 'worse' 替换为了其相对意义的单词 'better'，同样将 'not better' 替换为了 'not worse'，符合指定的变换要求，即单词与其含义相反或相对的单词替换。
He began to wish that he had n't shouted that other evening when the truck bore down through the crossing .,He began to wish that he had n't whispered that other evening when the truck bore down through the crossing.,Realistic,这句话在语法和语义上都是正确的。使用了过去完成时态（hadn't whispered）来表示在过去某个时间点之前已经发生的动作，符合英语语法规则。句子表达了一个清晰的愿望，即他希望自己没有在卡车经过十字路口的那个晚上低声说话。,standard,原句中的'shouted'（大喊）被变异句中的'whispered'（低语）替换，这是两个含义相反的单词，符合指定的变换要求。
The bond market has fallen .,The bond market has risen.,Realistic,句子'The bond market has risen.'在语法和语义上都是正确的。'Has risen'表示已经上升，符合现在完成时态，适用于描述市场变化。,standard,原句中的动词'fallen'表示市场下跌，变异句中将其替换为'risen'，'rise'与'fall'是相对的动词，表示市场上涨，符合指定的变换要求，即单词与其含义相反或相对的单词替换。
A faint crease appeared between the man 's eyebrows .,A deep crease appeared between the man's eyebrows.,Realistic,句子在语法和语义上都是正确的。'A deep crease appeared between the man's eyebrows'描述了一个人眉头之间出现了深深的皱纹，这是一个合乎逻辑和语法规范的描述。,standard,原句中的形容词'faint'（意为'模糊的，不明显的'）被变异句中的形容词'deep'（意为'深的，明显的'）替换，这两个词在意义上相反，符合指定的变换要求。
