sentence,mut_sentence,check,reason,standard,mut.reason
Wedtech management used the merit system .,The merit system was used by Wedtech management.,Realistic,该句子在语法和语义上都是正确的。'The merit system'指的是一种基于业绩或功绩的制度，而'Wedtech management'指的是某个名为Wedtech的管理层或管理机构。整个句子表达了Wedtech的管理层使用了这种业绩制度，没有语法错误，也没有违反常识。,standard,原句中的主动语态「used the merit system」在变异句中变为了被动语态「was used by Wedtech management」，并且使用了倒装结构，将「the merit system」置于句首，符合倒装变换的要求。
Endless seconds wondering if those huge windows would buckle and shower us with glass .,Endless seconds wondering if those huge windows would shower us with glass and buckle.,Realistic,这句话在语法上是正确的，使用了比喻和夸张的修辞手法。'Endless seconds' 表示时间的漫长，'wondering if those huge windows would shower us with glass and buckle' 描述了对于窗户破碎和变形的担忧，这在语义上是合理的，尤其是在描述一个紧张或恐惧的场景时。,nonstandard,原句与变异句的句子结构并没有发生倒装变换。在原句中，'buckle and shower us with glass' 是并列结构作谓语补语，而变异句中虽然调换了 'buckle' 和 'shower us with glass' 的位置，但这并不构成倒装变换，只是并列成分的简单调换。倒装变换通常涉及主语和助动词/情态动词的位置交换，而此句中并无此类变化。
"Ricardo Ulate , a Costa Rican delegate , said it 's not surprising that the major powers are fighting over who should bear the costs for curbing greenhouse gases , even as vulnerable countries have become more aggressive in seeking to hold the big emitters accountable for their actions .","Not surprising , said Ricardo Ulate , a Costa Rican delegate , that the major powers are fighting over who should bear the costs for curbing greenhouse gases , even as vulnerable countries have become more aggressive in seeking to hold the big emitters accountable for their actions.",Realistic,这句话在语法和语义上都是正确的。句子使用了复合句结构，表达了Costa Rican delegate的观点，并且没有明显的语法错误或违反常识的地方。,standard,变异句中，'Not surprising'置于句首，主语'Ricardo Ulate'和谓语'said'发生了倒装，符合倒装变换的要求。
"As the economists Ian Goldin and Geoffrey Cameron , remind us in a recent book summarising the most recent knowledge of immigration ( Exceptional People : How Migration Shaped Our World and Will Define Our Future , mai 2011 , Princeton University Press , 352 pp . ) , there is wide consensus among specialists on the positive impact of migration flows on economic growth , wages and employment in countries , which admit immigrants .","In a recent book summarising the most recent knowledge of immigration, as reminded by the economists Ian Goldin and Geoffrey Cameron (Exceptional People: How Migration Shaped Our World and Will Define Our Future, mai 2011, Princeton University Press, 352 pp.), wide consensus among specialists is found on the positive impact of migration flows on economic growth, wages, and employment in countries admitting immigrants.",Realistic,该句子在语法和语义上都是正确的。它提到了一个书籍总结关于移民的最新知识，并指出了经济学家Ian Goldin和Geoffrey Cameron的观点，即专家们普遍认为移民流动对移民接收国的经济增长、工资和就业产生了积极影响。句子结构清晰，使用了正确的时态和语态，没有违背常识。,standard,原句中的主语和谓语被倒装到了句子的后面，而变异句中，主语'in a recent book summarising the most recent knowledge of immigration'和谓语'wide consensus among specialists is found'被提前，符合倒装变换的要求。同时，原句中的定语从句'there is wide consensus among specialists on the positive impact of migration flows on economic growth...'被改写成了变异句中的名词短语结构'on the positive impact of migration flows on...admit immigrants'，这也是倒装变换中常见的结构调整。
"`` This work is novel because it shows the substitution of one element for another in fundamental biochemistry and biochemical structure , '' added Cockell .","Because this work shows the substitution of one element for another in fundamental biochemistry and biochemical structure, it is novel, added Cockell.",Realistic,这句话在语法和语义上都是正确的。句子使用了正确的时态和语态，表达了这项工作展示了基本生物化学和生物化学结构中一个元素替代另一个元素，因此是新颖的。句子结构清晰，表达合理。,nonstandard,原句中的倒装结构是 'because' 引导的原因状语从句后置，而变异句中虽然移动了 'because' 从句，但主句 'it is novel' 的结构并未发生倒装，主语和谓语的顺序没有改变。因此，这不符合倒装变换的要求。
"In patients who had not received chemotherapy in the past , the average survival time was 10.3 months in both groups .","In patients who had not received chemotherapy in the past, 10.3 months was the average survival time in both groups.",Realistic,这句话在语法和语义上都是正确的。使用了正确的时态和语态，表达了两组患者在没有接受过化疗的情况下平均生存时间为10.3个月。,standard,原句与变异句均未使用倒装结构。在变异句中，虽然句子的顺序有所改变，但这并不构成倒装变换，因为倒装变换是指将句子的主语和谓语动词的顺序颠倒，而这里的句子结构依然遵循主语在前，谓语动词在后的正常语序。
"This meant returning to the golf course , where we watched a few French duffers maul the first tee while we sat under Cinzano umbrellas , me nursing an espresso and my ego .","Returning to the golf course meant this, where we watched a few French duffers maul the first tee as we sat under Cinzano umbrellas, me nursing an espresso and my ego.",Realistic,这句话在语法和语义上都是正确的。它使用了形象生动的描写，描述了回到高尔夫球场的情景，包括观看法国业余高尔夫球手在开球时的糟糕表现，以及自己在Cinzano伞下喝浓缩咖啡的画面。句子结构清晰，没有语法错误，且语义表达符合常理。,nonstandard,原句中的'This meant returning to the golf course'在变异句中被改为'Returning to the golf course meant this'，虽然句子结构有所改变，但并未发生真正的倒装变换。倒装变换是指将句子的主语和谓语动词的顺序颠倒，而这里的变异句仍然保持了主语在前，谓语动词在后的顺序。正确的倒装应该是'meant this returning to the golf course'。
The education establishment will fight against common sense every inch of the way .,Every inch of the way will the education establishment fight against common sense.,Realistic,这句话在语法上是正确的，使用了将来时态的倒装结构，表达了教育机构将会在每一步都反对常识的意思。在语义上，这句话表达了某种观点或主张，没有明显的逻辑或常识错误。,standard,原句中的副词短语'every inch of the way'被移至句首，引起了句子倒装，符合倒装变换的规则。
Your research stopped when a convenient assertion could be made .,"When a convenient assertion could be made, your research stopped.",Realistic,这句话在语法上是正确的，使用了被动语态，表达了当可以轻易地做出断言时，某人的研究就停止了。在语义上，这句话可以理解为批评对方没有深入研究，而是满足于表面的或方便的结论。,standard,原句中的主语和谓语被倒装到了变异句中的从句之后，符合倒装变换的规则。
The purpose of education is to encourage young men and women to realize their full academic potential .,To encourage young men and women to realize their full academic potential is the purpose of education.,Realistic,这句话在语法和语义上都是正确的。主语'To encourage young men and women to realize their full academic potential'是一个不定式短语，作为句子的主语是完全可接受的。谓语动词'is'与主语单数形式相匹配，且句子的意思表达了教育的目的是鼓励年轻人充分发挥他们的学术潜力，这符合常识。,nonstandard,变异句并没有使用倒装结构。原句中的主语是'The purpose of education'，而变异句中主语位置被'To encourage young men and women to realize their full academic potential'占据，但这并不是倒装，因为倒装需要将谓语动词的一部分（如助动词、情态动词或be动词）移至主语之前。此句中并没有这样的变化。
