sentence,mut_sentence,check,reason,tokens.num,mut.error,standard,mut.reason
The dinner was held at a Washington hotel hours after the court 's conference over the case .,The dinner was held at a nearby Washington hotel just hours after the court's initial conference over the case.,Realistic,句子在语法和语义上都是正确的。主语是'The dinner'，谓语是'was held'，宾语是'at a nearby Washington hotel'，时间状语是'just hours after the court's initial conference over the case'，整体描述了一个晚餐在法庭初步会议几小时后在华盛顿附近的一家酒店举行的情况，没有语法错误，也不违反常识。,18,0,standard,变异句中添加了修饰词'nearby'和'initial'，分别修饰了酒店的位置和法院会议的性质，符合指定的变换要求，即添加修饰词。
"Conversely , there are the majority of unsuccessful schools , and we know which efforts at educational reform are doomed beforehand .","Conversely, there is a significant majority of unsuccessful schools, and we can clearly identify which efforts towards educational reform are doomed from the very beginning.",Realistic,这句话在语法和语义上都是正确的。使用了相反的转折副词 'Conversely' 来引出与前面情况相对的观点，并且表达了对于教育改革努力失败的情况有明确的识别标准。整个句子结构清晰，没有语法错误，且符合常识。,22,1,standard,变异句中添加了修饰词，如'a significant majority'（一个显著的多数）和'clearly identify'（清楚地识别），这些都是在原句基础上增加的修饰成分，符合指定的变换要求。
I ve looked closely to maxima and maple s syntax so they look very similar .,"I've looked very closely at Maxima and Maple's syntax, so they appear strikingly similar.",Realistic,这句话在语法和语义上都是正确的。主语'I'和动词've looked'构成了完成时态，表示过去的动作对现在有影响。'very closely'是副词短语，用来修饰动词'looked'，说明动作的细节。'Maxima and Maple's syntax'是名词短语，指代两种软件的语法结构，它们的确有相似之处，因此语义上也是合理的。,16,1,standard,变异句中添加了修饰词'very'和'strikingly'来增强语气，分别修饰了'closely'和'similar'，符合指定的变换要求。
"ASLACTON , England --","Locally, in Aslacton, England --",Realistic,句子是一个地点状语，语法上没有错误，语义上提供了具体的地理位置信息，没有违反常识。,4,1,standard,变异句在原句的基础上添加了修饰词'Locally'和'in'，这符合指定的变换要求，即添加修饰词。
But that is not likely to be the last word on the issue .,But that is not likely to be the final word on the issue.,Realistic,该句子在语法和语义上都是正确的。'But that is not likely to be the final word on the issue.'这句话表达了一种可能性，说明某件事情不太可能是最终的结论或决定，这在语境上是有意义的，语法结构也没有问题。,14,0,standard,变异句在原句的基础上添加了修饰词'final'，'final'和'last'在此语境中是同义的，因此句子发生了指定的添加修饰词的变换。
"Ringers , she added , are `` filled with the solemn intoxication that comes of intricate ritual faultlessly performed . `` ``","Ringers, she added thoughtfully, are `` filled with the solemn intoxication that comes from the intricacy of a ritual faultlessly performed. '' ",Realistic,这句话在语法和语义上都是正确的。使用了引号来直接引用说话者的话，表达了‘Ringers’在进行仪式时感受到的庄严和陶醉。句子结构清晰，没有语法错误，且语义表达符合常理。,22,0,standard,在变异句中，通过添加修饰词“thoughtfully”对“she added”进行了修饰，同时在“that comes from the intricacy of a ritual”部分，用“from the intricacy of a ritual”替换了原句中的“that comes of intricate ritual”，这样的替换增加了对“ritual”的修饰，符合指定的变换——添加修饰词。
"First , economists James Bennett and Thomas DiLorenzo find that GOP senators turn back roughly 10 % more of their allocated personal staff budgets than Democrats do .","First, economists James Bennett and Thomas DiLorenzo find that GOP senators actually turn back roughly 10% more of their allocated personal staff budgets than Democrats typically do.",Realistic,该句子在语法和语义上都是正确的。使用了正确的时态和比较结构，表达了经济学家James Bennett和Thomas DiLorenzo的研究发现，即共和党参议员实际上返还了比民主党参议员通常返还的约10%的个人工作人员预算。这个句子没有明显的语法错误，也没有违反常识。,28,0,standard,变异句在原句的基础上，按照指定的变换要求，添加了修饰词'actually'和'typically'，分别对GOP senators和Democrats的动作进行了修饰，增强了句子的表达和对比意味。
8:01 a.m .,At exactly 8:01 a.m.,Realistic,这个句子是一个时间状语，语法上没有错误，可以用来指明具体的时间点。,3,0,standard,变异句在原句的基础上添加了修饰词'at exactly'，符合指定的变换要求。
"`` Yes , yes `` , he muttered impatiently .","Yes, yes, he muttered in a tone of impatience.",Realistic,句子语法正确，使用了恰当的时态和语气词，符合英语表达习惯。'muttered'表示小声抱怨，'in a tone of impatience'描述了他的语气，整体句子在语义上也是通顺的。,10,0,standard,变异句中添加了修饰词短语'in a tone of impatience'来进一步描述'muttered'的方式，符合指定的变换要求。
"It is a passion that usually stays in the tower , however .","It is a passion that typically remains within the tower, however.",Realistic,这句话在语法上是正确的，使用了'that'引导的定语从句修饰先行词'a passion'，并且句子的意思表达清晰，没有违反常识。,13,1,standard,原句中的'stays'被变异句中的'remains'替换，且变异句中添加了'typically'作为修饰词，符合指定的变换要求。
