sentence,mut_sentence,check,reason,standard,mut.reason
One bright sign is that a growing number of women have entered the once male-dominated field ; more than a third of the ringers today are women .,One bright sign is that a significant number of women have entered the once male-dominated field; a large portion of the ringers today are women.,Realistic,这句话在语法和语义上都是正确的。句子使用了正确的时态和语法结构，表达了女性进入曾经由男性主导领域的积极现象，并且没有违反常识。,standard,原句中的'more than a third'（超过三分之一）被变异句中的'a large portion'（一大部分）所替换，这是数词和量词之间的替换，符合指定的变换。
"For each country , two or three initiatives have been selected for further in depth case study .","For each country, a couple of or several initiatives have been selected for further in depth case study.",Realistic,这句话在语法和语义上都是正确的。'For each country' 表示对每个国家都进行了操作，'a couple of or several initiatives' 使用了模糊量化词来表示数量，适合用于描述不同国家中选取的项目数量可能有所不同。'Have been selected for further in depth case study' 使用了现在完成时态，表明这些举措已经被选中进行深入研究，这在语义上是通顺的。,standard,原句中的数词'two or three'被变异句中的量词'a couple of or several'所替换，符合数词和量词之间的替换这一指定变换。
The claim could force appeals judges to grapple with the question of whether new technology requires new courtroom rules .,The claim could force several judges to grapple with the question of whether new technology requires new courtroom rules.,Realistic,这句话在语法和语义上都是正确的。句子结构清晰，主语是'The claim'，谓语是'could force'，宾语是'several judges'，并且句子提出了一个关于新技术是否需要新的法庭规则的问题，这在语义上是通顺且合理的。,standard,原句中的‘appeals judges’被变异句中的‘several judges’替换，‘appeals’是特定的上诉法官的意思，而‘several’是表示数量的词，表明多个法官。这符合数词和量词之间的替换这一指定变换。
"We finally rendezvoused with our balloon , which had come to rest on a dirt road amid a clutch of Epinalers who watched us disassemble our craft -- another half-an-hour of non-flight activity -- that included the precision routine of yanking the balloon to the ground , punching all the air out of it , rolling it up and cramming it and the basket into the trailer .","We finally rendezvoused with our balloon, which had come to rest on a dirt road amid a group of Epinalers who watched us disassemble our craft -- another thirty minutes of non-flight activity -- that included the precision routine of yanking the balloon to the ground, punching all the air out of it, rolling it up and cramming it and the basket into the trailer.",Realistic,该句子在语法和语义上都是正确的。它使用了复杂的句式结构，描述了一个具体的场景，其中包含了正确的时态、语态和词汇搭配。整个句子表达了作者与气球会合，并在一群旁观者的注视下拆卸气球的情景，没有明显的语法错误或违反常识的地方。,standard,原句中的数词和量词组合'half-an-hour'被变异句中的数词'thirty minutes'替换，体现了数词和量词之间的变换。
"The Twitter issue is just one of many outlined by Mr. Hayes 's lawyers that are likely to be argued for years , delaying an execution .","The Twitter issue is just one of several outlined by Mr. Hayes's lawyers that are likely to be argued for years, delaying an execution.",Realistic,"该句子在语法和语义上都是正确的。句子结构清晰，主语是'The Twitter issue'，谓语是'is just one of'，宾语是'several outlined by Mr. Hayes's lawyers'，定语从句'that are likely to be argued for years, delaying an execution'也使用得当，描述了多个由Hayes先生的律师提出的问题之一，并合理预测这些问题可能导致执行被延迟数年。整个句子没有明显的语法错误，也没有违反常识。",standard,原句中的数词'many'被变异句中的量词'several'替换，符合数词和量词之间的替换这一指定变换。
"Nevertheless , the sheer proximity of Scalia and Thomas to two of the law firms in the case , as well as to a company with a massive financial interest , was enough to alarm ethics-in-government activists .","Nevertheless, the sheer proximity of Scalia and Thomas to a couple of the law firms in the case, as well as to a company with a substantial financial interest, was enough to alarm ethics-in-government activists.",Realistic,该句子在语法和语义上都是正确的。句子使用了正确的时态和语态，表达清晰，没有明显的语法错误。句子内容讲述了Scalia和Thomas与某些法律事务所及拥有重大财务利益的一家公司的亲近关系，这在语义上也是合理的，并且符合常识，因为这种情况确实可能会引起关注政府伦理的活动分子的警觉。,standard,原句中的'two of the law firms'被变异句中的'a couple of the law firms'替换，这是数词'two'到量词'a couple'的变换，符合指定的数词和量词之间的替换变换。
None of the scams show much ingenuity : Auditors found crookery the first day on the job .,None of the scams show a great deal of ingenuity: Auditors found crookery on the very first day on the job.,Realistic,该句子在语法和语义上都是正确的。句子使用了正确的时态和词汇搭配，表达了审计员在工作的第一天就发现了欺诈行为，没有违反常识。,standard,原句中的'much'被替换为变异句中的'a great deal of'，这两个表达都可以用来修饰不可数名词，表示数量或程度的概念。同时，'the first day'变异为'on the very first day'，这里的替换并不影响数词和量词之间的变换，而是增加了强调。因此，从数词和量词替换的角度来看，句子符合指定的变异。
"Second , it explains why voters hold Congress in disdain but generally love their own congressional representatives : Any individual legislator 's constituents appreciate the specific benefits that the legislator wins for them but not the overall cost associated with every other legislator doing likewise for his own constituency .","Second, it explains why voters hold Congress in disdain but generally love their own congressional representatives: Any individual legislator's constituents appreciate the specific benefits that the legislator wins for them but not the overall cost associated with several other legislators doing likewise for their respective constituencies.",Realistic,这句话在语法和语义上都是正确的。它使用了正确的时态和语态，句子结构清晰，表达了一个合理的观点，即选民可能对国会整体持否定态度，但对自己选区的议员通常持正面看法，因为选民会赞赏议员为他们争取的具体利益，而不会考虑其他议员为其选区所做类似行为的整体成本。这个观点并不违背常识，而是反映了一种常见的政治现象。,standard,原句中的数词'every'被变异句中的量词'several'替换，符合数词和量词之间的替换变换要求。
"Another sponsor was pharmaceutical giant Pfizer Inc , which has an enormous financial stake in the outcome of the litigation .","Another sponsor was the pharmaceutical giant Pfizer Inc, which has a significant financial stake in the outcome of the litigation.",Realistic,这句话在语法和语义上都是正确的。句子使用了正确的时态和语法结构，表达了赞助商辉瑞公司对诉讼结果的财务利益。,standard,原句中的形容词'enormous'被变异句中的'significant'替换，这是数词和量词之间的替换，符合指定的变换。
"Interestingly , 62 % of respondents in Venezuela hold that view ( and 80 % there back private enterprise ) even though their left-wing president , Hugo Chávez , is expropriating many private companies .","Interestingly, around two-thirds of respondents in Venezuela hold that view (and a majority there back private enterprise) even though their left-wing president, Hugo Chávez, is expropriating several private companies.",Realistic,这句话在语法和语义上都是正确的。使用了正确的时态和语法结构，表达了委内瑞拉受访者观点的统计信息，同时提到了他们的左翼总统Hugo Chávez正在进行的国有化政策，这在语义上并不矛盾，反映了现实中的政治现象。,standard,原句中的数词'62%'被变异句中的量词'around two-thirds'所替换，同时原句中的数词'80%'被变异句中的量词'a majority'所替换，这符合数词和量词之间的替换这一指定变换。
This sealed the fate of a number of financial companies when the US property bubble exploded in 2007 .,This sealed the fate of several financial companies when the US property bubble exploded in 2007.,Realistic,need check,standard,原句中的'a number of'被变异句中的'several'替换，'a number of'和'several'都表示多个，属于数词和量词之间的替换。
"The regulator is demanding that the Frankfurt-based bank take responsibility for `` substantial losses , '' but has not yet specified the exact sum .","The regulator is demanding that the Frankfurt-based bank take responsibility for 'significant losses,' but has not yet specified the precise amount.",Realistic,该句子在语法和语义上都是正确的。句子使用了虚拟语气（demand that sb. do sth.），这在要求或命令的语境中是合适的。句子表达了监管机构要求法兰克福的银行对‘重大损失’负责，但尚未明确具体金额，这在实际情境中是合理的。,standard,原句中的' substantial losses '变异为'significant losses'，其中'substantial'（大量的）被替换成了'significant'（显著的），这属于数词和量词之间的替换；同时，'exact sum'变异为'precise amount'，'sum'（总数）被替换成了'amount'（数量），'exact'（确切的）被替换成了'precise'（精确的），这也是数词和量词的替换。因此，句子发生了指定的变换。
"The Alavas worked themselves to the bone in the last period , and English and San Emeterio ( 65-75 ) had already made it clear that they were not going to let anyone take away what they had earned during the first thirty minutes .","The Alavas worked themselves to the bone in the final period, and English and San Emeterio (65-75) had already made it clear that they were not going to let anyone take away what they had earned during the first half-hour.",Realistic,这句话在语法和语义上都是正确的。主语'The Alavas'和宾语'English and San Emeterio'都清晰指明了动作的执行者。句子描述了'The Alavas'在最后一段时间非常努力，并且提到了'English and San Emeterio'已经表明他们不会让任何人夺走他们在前半小时努力赢得的东西，这符合常识和篮球比赛中的常见表述。,standard,原句中的'thirty minutes'被变异句中的'first half-hour'替换，这是数词和量词之间的替换，符合指定的变换。
"1 -RRB- Voters can `` buy `` one of two brands when they select their political agents -- a Republican brand that believes in the minimalist state and in the virtues of private markets over the vices of public action , and a Democratic brand that believes in big government and in public intervention to remedy the excesses attendant to the pursuit of private interest .","Voters can `` buy `` one of a couple of brands when they select their political agents -- a Republican brand that believes in the minimalist state and in the virtues of private markets over the vices of public action , and a Democratic brand that believes in big government and in public intervention to remedy the excesses attendant to the pursuit of private interest .",Realistic,该句子在语法和语义上都是正确的。使用了比喻的修辞手法，将政治党派比作品牌，描述了共和党和民主党在政治理念上的不同，语法结构清晰，没有明显的语法错误，且句子表达的意思符合现实情况和常识。,standard,原句中的数词'two'被变异句中的量词'a couple of'替换，符合数词和量词之间的替换这一指定变换。
`` Progressive education `` ( as it was once called ) is far more interesting and agreeable to teachers than is disciplined instruction .,Progressive education (as it was once referred to) is a great deal more interesting and agreeable to teachers than is disciplined instruction.,Realistic,这句话在语法和语义上都是正确的。它使用了比较级形式来对比progressive education和disciplined instruction，这在英语中是常见的表达方式。句子的结构也符合英语的语法规则。,standard,原句中的'more'被变异句中的'a great deal more'替换，其中'more'是一个普通的比较级形容词，而'a great deal more'中的'a great deal'是一个量词短语，用来修饰比较级，表示程度上的增加，这符合数词和量词之间的替换这一指定变换。
"The justices agreed to hear the suit ; indeed , a landmark 5.5 - hour argument is expected in March , and the outcome is likely to further roil the 2012 presidential race , which will be in full swing by the time the court 's decision is released .","The justices agreed to hear the suit; indeed, a landmark several-hour argument is expected in March, and the outcome is likely to further roil the presidential race of 2012, which will be in full swing by the time the court's decision is released.",Realistic,该句子在语法和语义上都是正确的。句子结构清晰，时态一致，表达的意思也符合常理。其中，'a landmark several-hour argument' 指的是一次具有重要意义的数小时辩论，'further roil the presidential race of 2012' 表示可能对该总统选举产生进一步影响，而 'which will be in full swing by the time' 是一个定语从句，修饰 'the presidential race of 2012'，并说明了法庭决定发布时总统选举的进展情况。,standard,原句中的数词'5.5'被变异句中的量词'several'替换，符合数词和量词之间的替换变换要求。
