sentence,mut_sentence,check,reason,standard,mut.reason
A faint crease appeared between the man 's eyebrows .,The man's eyebrows developed a faint crease.,Realistic,这个句子的语法和语义都是正确的。'The man's eyebrows developed a faint crease.'意味着这个男人的眉毛出现了一道淡淡的皱纹，这在语法上是正确的，语义上也是可以理解的。,standard,原句使用的是主动语态（'appeared'），而变异句使用的是被动语态（'developed a faint crease'），实现了主动语态与被动语态之间的替换。
The education establishment will fight against common sense every inch of the way .,The education establishment will fight common sense every inch of the way.,Realistic,这句话在语法上是正确的，使用了比喻的表达方式，意指教育体制在每一步都会与常识进行抗争。从语义上看，这句话表达了某种观点或批评，没有明显的语义错误，也没有违反常识。,nonstandard,原句中使用了被动语态（'fight against'），而变异句中使用了主动语态（'fight'），但这并不是主动语态与被动语态之间的直接替换。变异句缺少了被动语态的结构，因此不符合指定的变换。
There were half a dozen of them typing away in the courtroom rows .,Half a dozen of them were typing away in the courtroom rows.,Realistic,句子在语法和语义上都是正确的。'Half a dozen of them'指的是大约六个人，'typing away'意味着他们正在忙碌地打字，'in the courtroom rows'描述了他们所在的位置，整体句子表达了在法庭的座位区有大约六个人在忙着打字，这在实际情况中是可能发生的。,nonstandard,原句和变异句都使用了主动语态，没有发生主动语态与被动语态之间的替换。
"Migrants are also net contributors to social systems , averaging 1 % of the total budgets of European countries .","Migrants also contribute to social systems, averaging 1% of the total budgets of European countries.",Realistic,该句子在语法和语义上都是正确的。使用了平均（averaging）这个词来描述移民对欧洲国家总预算的贡献比例，这在统计描述上是合理的。句子没有明显的语法错误，也没有违反常识。,standard,原句使用了被动语态（are also net contributors），而变异句使用了主动语态（also contribute），没有发生主动语态与被动语态之间的替换。
"Thirdly , the project documents and assesses initiatives , in both the public and private sectors which combat age barriers , especially for older workers .","Thirdly, the project documents and actively initiates initiatives in both the public and private sectors to combat age barriers, especially for older workers.",Realistic,这句话在语法和语义上都是正确的。它使用了正确的时态和结构，表达了项目在公共和私营部门主动发起行动以对抗年龄障碍，特别是针对年长工人的意思。没有发现语法错误，也没有违反常识。,nonstandard,原句中使用的是被动语态（'initiatives...are documented and assessed'），而变异句中添加了主动语态的成分（'actively initiates initiatives'），这并不是简单的主动语态与被动语态之间的替换，而是对句子动作的额外增加和改变。因此，句子未发生指定的变换，即未从被动语态变换为主动语态，而是增加了新的主动语态内容。
"Vicar Marshall admits to mixed feelings about this issue , since he is both a vicar and an active bell-ringer himself .","Mixed feelings about this issue are admitted by Vicar Marshall, since he is both a vicar and an active bell-ringer himself.",Realistic,这句话在语法和语义上都是正确的。使用了正确的时态和语态，表达了Vicar Marshall对某一问题有复杂的感情，并且给出了原因——因为他既是牧师也是活跃的钟铃敲击者。,standard,原句使用了主动语态（Vicar Marshall admits to mixed feelings），而变异句使用了被动语态（Mixed feelings about this issue are admitted by Vicar Marshall），符合主动语态与被动语态之间的替换要求。
"What Gov. Clinton is advocating , in effect , is extending the educational system down to the pre-kindergarten years .","Gov. Clinton is advocating, in effect, the extension of the educational system down to the pre-kindergarten years.",Realistic,这句话在语法和语义上都是正确的。'Gov. Clinton'指某位州长克林顿，'advocating'表示支持或提倡，'in effect'意味着实际上或事实上，'extension of the educational system'指教育系统的扩展，'down to the pre-kindergarten years'表示包括到学前几年。整个句子表达了一个合理的观点，没有语法错误，也没有违反常识。,nonstandard,原句和变异句都使用了主动语态，没有发生主动语态与被动语态之间的替换。
I heard parts of the building above my head cracking .,"Parts of the building above my head were cracking, and I heard them.",Realistic,句子在语法和语义上都是正确的。使用了过去时态描述过去发生的动作，且句子表达的意思符合常理，即某人听到了头上建筑物部分开裂的声音。,standard,原句使用的是主动语态（I heard parts of the building cracking），而变异句使用了被动语态（Parts of the building were cracking），符合主动语态与被动语态之间的替换要求。
"The indices have , however , been slowed by a renewed rise of the dollar , to a new two-month high against the Euro , which `` puts downward pressure on the sectors that are sensitive to the economic situation '' , explained Owen Fitzpatrick from Deutsche Bank .","A renewed rise of the dollar, to a new two-month high against the Euro, has slowed the indices, however, which 'puts downward pressure on the sectors that are sensitive to the economic situation,' explained Owen Fitzpatrick from Deutsche Bank.",Realistic,这句话在语法和语义上都是正确的。句子使用了正确的时态和语态，表达了美元对欧元汇率上升对特定行业的影响，并且这种表达符合金融领域的专业术语和实际情况。,standard,原句中使用了被动语态「The indices have been slowed」，而变异句中使用了主动语态「has slowed the indices」，符合主动语态与被动语态之间的替换要求。
"Arsenic and phosphorus are chemically similar , so she speculated that a microbe exposed to both might be able to substitute one for the other .","She speculated that because arsenic and phosphorus are chemically similar, a microbe exposed to both might be able to substitute one for the other.",Realistic,这句话在语法和语义上都是正确的。句子使用了正确的时态和语法结构，同时从化学的角度来看，砷和磷确实在化学性质上有相似之处，因此推测微生物可能将两者互换使用是有一定科学依据的，并不违反常识。,nonstandard,原句和变异句都使用了主动语态，没有发生主动语态与被动语态之间的替换。
Worst part was watching power lines waving above my head and no way to drive away .,I watched the worst part as power lines waved above my head with no way to drive away.,Realistic,句子在语法和语义上都是正确的。主语'I'与谓语'watched'搭配合理，描述了观察到的场景。'power lines waved above my head'形象地描绘了电线在头上摇摆的情景，而'with no way to drive away'表达了无法躲避的困境，整个句子符合常识和语境。,nonstandard,原句使用了主动语态，变异句同样使用了主动语态（watched），并没有发生主动语态与被动语态之间的替换。
It contains the active substance pemetrexed .,The active substance pemetrexed is contained in it.,Realistic,句子结构完整，主谓宾语齐全，且语义表达清晰。'The active substance pemetrexed is contained in it'这句话中，'The active substance'是主语，'pemetrexed'是宾语补足语，'is contained'是被动语态的谓语，'in it'指代前文提到的某物，整体句子语法正确，意义明确，没有违反常识。,standard,原句使用的是主动语态'It contains...'，而变异句使用的是被动语态'The active substance pemetrexed is contained in it.'，符合主动语态与被动语态之间的替换要求。
I 'm not referring to the traditional champagne drenching during the back-on-terra-firma toast .,The traditional champagne drenching during the back-on-terra-firma toast is not what I'm referring to.,Realistic,该句子在语法和语义上都是正确的。句子使用了较为复杂的词汇和短语（如back-on-terra-firma toast），但它们恰当地组合在一起，表达了特定的含义。从语义上看，该句子清晰地表达了说话者并不是在指传统的香槟浇身仪式。,standard,原句使用了主动语态，变异句使用了被动语态。原句中的'I'm not referring to'变为变异句中的'is not what I'm referring to'，实现了主动语态向被动语态的转换。
"Each variation , or change , can occur only once , the rules state .","Each variation, or change, can only occur once, as stated by the rules.",Realistic,"句子结构完整，语法正确，意义清晰。'Each variation, or change'表达了每个变化只能发生一次的概念，符合逻辑和常识。",standard,"原句使用了被动语态（'can occur only once, the rules state'），而变异句使用了主动语态（'can only occur once, as stated by the rules'），符合主动语态与被动语态之间的替换要求。"
"`` What 's he doing ? `` hissed my companion , who was the only other English-speaking member of the convention and whose knuckles were white .","My companion, who was the only other English-speaking member of the convention and whose knuckles were white, hissed, 'What's he doing?'",Realistic,这个句子在语法和语义上都是正确的。使用了定语从句（who was the only other English-speaking member of the convention）来描述同伴，并且通过独立主格结构（whose knuckles were white）提供了额外的描述。句子表达了紧张的情绪（knuckles were white），并且引号内的直接引语符合英文标点规则。,nonstandard,原句和变异句中均使用了主动语态，没有发生主动语态与被动语态之间的替换。
"Some 30 balloon shows are held annually in the U.S. , including the world 's largest convocation of ersatz Phineas Foggs -- the nine-day Albuquerque International Balloon Fiesta that attracts some 800,000 enthusiasts and more than 500 balloons , some of which are fetchingly shaped to resemble Carmen Miranda , Garfield or a 12-story-high condom .","The U.S. holds some 30 balloon shows annually, including the world's largest convocation of ersatz Phineas Fogg -- the nine-day Albuquerque International Balloon Fiesta which attracts around 800,000 enthusiasts and over 500 balloons, some of which are shaped fetchingly to resemble Carmen Miranda, Garfield, or a 12-story-high condom.",Realistic,该句子在语法和语义上都是正确的。它使用了正确的时态和语态，提供了具体的信息，并且没有违反常识。句子中的词汇使用得当，描述了美国每年举办的气球表演，包括世界上最大的模拟菲尼亚斯·福格集会，即阿尔布querque国际气球嘉年华。句子还提到了吸引的人数和气球的种类，这些都是合理的描述。,standard,原句中使用了被动语态「are held」，而变异句中使用了主动语态「holds」，这符合主动语态与被动语态之间的替换这一指定变换。
