sentence,mut_sentence,check,reason,tokens.num,mut.error,standard,mut.reason
This building shook like hell and it kept getting stronger .,This building is shaking like hell and it keeps getting stronger.,Realistic,这个句子语法上没有错误，且符合语义表达。'This building is shaking like hell' 使用了夸张的表达方式来描述建筑摇晃得非常厉害，而 'and it keeps getting stronger' 表示摇晃的强度在不断增加，这在描述地震或其他导致建筑摇晃的情境中是合理的。,11,0,standard,"原句使用的是过去式（shook, kept getting），变异句使用的是现在进行时（is shaking, keeps getting），符合时态变换的要求。"
"Teletovic had already begun to stand out as the best on his team with 13 points , even though Splitter 's `` six fewer '' points already signaled that it was n't going to be the best night for the Brazilian .","Teletovic is already beginning to stand out as the best on his team with 13 points, even though Splitter's 'six fewer' points already signal that it isn't going to be the best night for the Brazilian.",Realistic,这句话在语法和语义上都是正确的。主语Teletovic和Splitter的动作和得分情况被清晰地表达出来，并且使用了比较结构（'six fewer'）来对比两人的得分。句子没有明显的语法错误，也没有违反常识。,42,0,standard,原句使用的是过去完成时态（had already begun/to stand out），变异句使用的是现在进行时态（is already beginning/to stand out），这表明句子在时态上发生了指定的变换。
That is the way the system works .,That was the way the system worked.,Realistic,这个句子在语法和语义上都是正确的。'That was the way the system worked'是一个完整的句子，表达了系统工作方式的客观事实，没有语法错误，也没有违反常识。,8,0,standard,原句的时态为一般现在时，变异句的时态变为了过去时，符合指定的时态变换。
"Giovanni Peri has calculated that a rise of 1 % in the migratory flow causes an increase of between 0,6 and 0,9 % in real long-term pay .",Giovanni Peri calculated that a rise of 1% in the migratory flow had caused an increase of between 0.6 and 0.9% in real long-term pay.,Realistic,该句子在语法和语义上都是正确的。主语Giovanni Peri与谓语calculated搭配合理，宾语从句中描述了一个计算结果，使用了正确的时态和语态，且句子表达的意思符合常理，没有违背常识。,28,0,standard,原句使用现在完成时，变异句使用过去完成时，符合时态变换的要求。
Baskonia gives away a victory in Israel,Baskonia gave away a victory in Israel,Realistic,这句话在语法和语义上都是正确的。'Baskonia' 可能指的是一个篮球队或体育队伍，在以色列的比赛中失去了胜利，'gave away a victory' 意味着他们可能因为失误或其它原因失去了本应获得的胜利。这种表达在体育赛事的报道中是常见的。,7,0,standard,原句使用的是一般现在时，变异句使用了一般过去时，时态发生了指定的变换。
"Emerging genetic tests will be able to spot such cancer-susceptible individuals , ushering in what some scientists believe is a new age of predictive cancer diagnosis .","Emerging genetic tests are becoming able to spot such cancer-susceptible individuals, ushering in what some scientists believe to be a new age of predictive cancer diagnosis.",Realistic,该句子在语法和语义上都是正确的。句子使用了现在进行时，表达了正在发生的事情，即基因测试正在变得能够识别易患癌症的个体，并且预示着一些科学家认为的预测性癌症诊断新纪元的到来。句子没有明显的语法错误，也没有违反常识。,27,0,standard,原句使用了一般将来时（will be able to），而变异句使用了现在进行时（are becoming able to），这体现了时态的变换。同时，两句话都表达了一个正在发生或即将发生的情况，但变异句用现在进行时表达了趋势，符合指定的时态变换要求。
"When Alimta is given with cisplatin , an anti-emetic medicine ( to prevent vomiting ) and fluids ( to prevent dehydration ) should also be given before or after the cisplatin dose .","When Alimta was given with cisplatin, an anti-emetic medicine (to prevent vomiting) and fluids (to prevent dehydration) were also given before or after the cisplatin dose.",Realistic,该句子在语法和语义上都是正确的。使用了正确的时态，句子结构清晰，并且提供了合理的医疗信息。,33,0,standard,原句使用的是一般现在时态，变异句使用了一般过去时态，符合指定的时态变换。
"The perspectives of the social partners is also being examined , with particular attention paid to proposals for removing age barriers .","The perspectives of the social partners have also been examined, with particular attention having been paid to proposals for removing age barriers.",Realistic,该句子在语法和语义上都是正确的。使用了现在完成时态，表达了过去发生的动作对现在的影响，同时语义上表达了社会合作伙伴的视角已经得到了审查，特别是关于消除年龄障碍的提案。整个句子结构清晰，表达合理。,22,1,standard,原句使用现在进行时，变异句使用了现在完成时，两者都属于现在时态，但焦点和语气有所不同，体现了时态的变换。
"But after all , why should they ?","But after all, why should they have?",Realistic,这句话在语法上是正确的，使用了疑问词why来提出一个问题，表达了一种合理的疑问或反问的语气。,8,0,standard,原句使用了一般现在时，变异句使用了现在完成时，符合时态变换的要求。
"Numerous other scandals , among them the ones at HUD , have the same characteristics as Wedtech .","Numerous other scandals, among them the ones at HUD, had the same characteristics as Wedtech.",Realistic,该句子在语法和语义上都是正确的。句子使用了逗号分隔的列举结构，'among them' 引导了一个非限制性定语从句，正确描述了HUD中的丑闻与其他丑闻（包括Wedtech）具有相同特征。整个句子表达清晰，没有语法错误，也没有违反常识。,18,0,standard,原句使用现在时态（have），变异句使用过去时态（had），符合时态变换的要求。
How does Cerenia work ?,How did Cerenia work?,Realistic,这是一个疑问句，语法结构正确，语义上询问Cerenia是如何工作的，没有明显的语法错误或违背常识。,5,0,standard,原句使用了一般现在时，变异句使用了一般过去时，时态发生了变换。
"In races for the White House , a voter 's incentive , at the margin , is to lean Republican .","In races for the White House, a voter's incentive, at the margin, was to lean Republican.",Realistic,这句话在语法上是正确的，使用了正确的时态和结构。在语义上，它表达了一个观点，即在美国总统选举中，边缘选民倾向于支持共和党，这并不违反常识，而是反映了某种政治分析或观察。,21,0,standard,原句使用的是现在时态（is），变异句使用的是过去时态（was），符合指定的时态变换。
"However , Pnini and Eidson , the best on their team , did not give up and tried to keep their team alive from the three-point line ( 70-77 ) .","However, Pnini and Eidson, the best on their team, do not give up and try to keep their team alive from the three-point line (70-77).",Realistic,这句话在语法和语义上都是正确的。它描述了Pnini和Eidson在比赛中尽管处于劣势，但仍然没有放弃，并试图通过三分线投篮来保持他们的队伍竞争力。句子使用了正确的时态和语法结构，没有违反常识。,31,0,standard,"原句使用的是过去时态（did not give up, tried to keep），而变异句使用的是现在时态（do not give up, try to keep），符合指定的时态变换。"
The current settlements are the first of their kind .,The previous settlements were the first of their kind.,Realistic,句子在语法和语义上都是正确的。'The previous settlements'指先前的定居点或协议，'were the first of their kind'表明它们是同类中的第一个，意思表达清楚，没有语法错误。,10,0,standard,原句使用的是现在时态('are')，而变异句使用的是过去时态('were')，符合指定的时态变换。
"Already two major pharmaceutical companies , the Squibb unit of Bristol-Myers Squibb Co. and Hoffmann-La Roche Inc. , are collaborating with gene hunters to turn the anticipated cascade of discoveries into predictive tests and , maybe , new therapies .","Already, two major pharmaceutical companies, the Squibb unit of Bristol-Myers Squibb Co. and Hoffmann-La Roche Inc., have collaborated with gene hunters to turn the anticipated cascade of discoveries into predictive tests and, maybe, new therapies.",Realistic,该句子在语法和语义上都是正确的。句子结构清晰，使用了正确的时态和语态，表达了两个制药公司与基因猎人合作，将预期的一系列发现转化为预测性测试，甚至可能是新疗法的事实。句子没有明显的语法错误，也没有违反常识。,40,0,standard,原句使用现在进行时态（are collaborating），变异句使用现在完成时态（have collaborated），时态发生了指定的变换。
"Migrants are also net contributors to social systems , averaging 1 % of the total budgets of European countries .","Migrants were also net contributors to social systems, averaging 1% of the total budgets of European countries.",Realistic,该句子在语法和语义上都是正确的。主语'migrants'与谓语'were'保持一致，且句子表达的意思是合理的，即移民对欧洲国家的社会系统总体上是贡献者，并且平均贡献了总预算的1%。这个句子没有明显的语法错误，也没有违反常识。,20,0,standard,原句的时态为一般现在时，变异句的时态变为了过去时，符合指定的时态变换。
