sentence,mut_sentence,check,reason,tokens.num,mut.error,standard,mut.reason
"Not one thing in the house is where it is supposed to be , but the structure is fine .","Not one thing in the house is where they are supposed to be, but the structure is fine.",Realistic,这句话在语法和语义上都是正确的。句子使用了强调句型「not one thing」，表达了房子里的东西都不在它们应该放置的位置，但结构（可能指的是房子的物理结构）是好的。这种表达方式在英语中是常见的，没有违背常识。,20,0,standard,原句中的单数代词'It'被变异句中的复数代词'they'所替换，符合指定的变换规则之一：it和they之间的互换。
Community property deal -- you know .,Community property deal -- I know.,Realistic,这句话是一个简单的陈述句，语法上没有错误。'Community property deal -- I know.' 可以理解为主语省略了的情况，完整的句子可能是'I know about the community property deal.'，这在口语或非正式书写中是可以接受的。语义上，它表达了说话者对社区财产交易的了解。,7,1,standard,指定的变换中涉及代词的互换，但原句中的'you'被变异句中的'I'替换，不属于指定的变换类型。
"That is scarcer in Mexico and Central America , where the recession was more severe and violent crime has worsened .","This is scarcer in Mexico and Central America, where that recession was more severe and violent crime has worsened.",Realistic,该句子在语法和语义上都是正确的。主语是'This'，虽然指代不明，但在上下文中可能指代某种情况或现象。句子表达了墨西哥和中美洲地区经济衰退更为严重，暴力犯罪恶化的情况，这与现实情况相符，没有语法错误，也没有违反常识。,21,0,standard,原句中的'That'被变异句中的'This'替换，符合指定的代词互换变换。
"The Vitorian team knew to make up for the significant absences of Herrmann , Oleson , Huertas and Micov with a big dose of involvement and teamwork , even though it had to hold out until the end to take the victory .","The Vitorian team knew to make up for the significant absences of Herrmann, Oleson, Huertas and Micov with a big dose of involvement and teamwork, even though they had to hold out until the end to take the victory.",Realistic,该句子在语法和语义上都是正确的。句子使用了正确的时态和语法结构，表达了维多利亚队意识到需要通过积极参与和团队合作来弥补重要球员Herrmann、Oleson、Huertas和Micov的缺席，并且他们坚持到了最后取得了胜利。句子没有违反常识，也没有明显的语法错误。,43,0,standard,原句中的代词it被变异句中的they所替换，符合指定的变换中it和they之间的互换。
"Once there , what ways of escape are open to them other than drink , drugs or insanity ?","Once there, what ways of escape are open to us other than drink, drugs or insanity?",Realistic,这句话在语法和语义上都是正确的。句子使用了条件状语从句（Once there），并且提问了关于除了喝酒、吸毒或发疯之外还有哪些逃避方式。这个问题没有语法错误，也没有违反常识。,19,0,standard,句子中并未发生指定的代词互换，原句中的'them'和变异句中的'us'不属于指定的互换关系。
"It is the kind of libel the teachers ' unions do not mind spreading , for their own narrow purposes .","They are the kind of libel the teachers' unions do not mind spreading, for their own narrow purposes.",Realistic,这句话在语法和语义上都是正确的。'They are the kind of libel' 指的是某类诽谤，'the teachers' unions do not mind spreading' 表示教师工会并不介意传播这类诽谤，'for their own narrow purposes' 指出他们这么做的目的是出于狭隘的个人利益。整个句子结构清晰，表达的意思也符合逻辑。,21,0,standard,原句中的'It'作为形式主语，指代的是后面的'spread'这个动作，变异句中'It'被换成了'They'，代指复数的名词，这里指代的是'libel'这个复数名词，符合'this/that'与'they'之间的互换，属于指定变换的范畴。
"However , the paradoxical thing about the action of the players of Real Madrid is that it did not comply to what we normally characterize as legal fraud , because the violation of the rules was not made secretly as to try to avoid the sanction , but their action was most evident and thus they received punishment from the referee .","However, the paradoxical thing about the action of the players of Real Madrid is that they did not comply with what we normally characterize as legal fraud, because the violation of the rules was not made secretly to try to avoid the sanction, but their action was most evident and thus they received punishment from the referee.",Realistic,该句子在语法和语义上都是正确的。句子使用了复杂的结构来表达一个观点，即皇家马德里球员的行为虽然违反了规则，但并不是秘密进行的，而是公然的，因此他们受到了裁判的处罚。句子没有明显的语法错误，也没有违反常识。,62,1,standard,原句中的'that'在变异句中依然是'that'，没有与'this'进行互换；同样，'it'在变异句中依然是'it'，并没有与'they'进行互换。因此，句子未发生指定的变换。
"In this sense , a teacher can be compared to one 's family doctor .","In that sense, a teacher can be compared to one's family doctor.",Realistic,这句话在语法和语义上都是正确的。在比喻的语境下，将老师比作家庭医生是一种合理的比较，因为两者都在个人成长和健康方面扮演着重要和密切的角色。,15,0,standard,原句中的'this'被变异句中的'that'替换，符合指定的变换规则：this和that之间的互换。
"You must understand , I have n't been in this state too long .","You must understand, I haven't been in that state too long.",Realistic,这句话在语法和语义上都是正确的。它表达了一个关于时间长度和经历的简单事实，没有明显的语法错误，也没有违反常识。,14,1,standard,原句中的'this'被变异句中的'that'替换，符合指定的变换规则：this和that之间的互换。
"Goldman Sachs , JP Morgan Chase and Morgan Stanley had already repaid their support in June .","Goldman Sachs, JP Morgan Chase and Morgan Stanley had already repaid our support in June.",Realistic,这句话在语法和语义上都是正确的。使用了正确的时态，并且三家金融机构的名字也是正确的。句子的意思是这三家金融机构已经在六月份偿还了所提供的支持，这在商业环境中是一个合理的表述。,17,0,standard,变异句中出现了this和that，these和those，it和they，them和us，you和me之间的互换中的一个错误。原句中的'their'被错误地替换成了'our'，而'their'和'our'并不属于上述指定的互换词对。
"In a low voice , almost whispering , the man had asked Phil if he was happy with the way the landlord had been taken off his back .","In a low voice , almost whispering , the man had asked Phil if they were happy with the way the landlord had been taken off his back .",Realistic,这句话在语法和语义上都是正确的。使用了过去完成时态（had asked/had been taken）来描述在过去某个时间点之前发生的动作，符合英语语法规则。句子描述了一个男人低声询问Phil是否对房东不再纠缠他们感到满意，语义上没有问题，也没有违反常识。,29,0,nonstandard,变异句中并未发生指定的代词互换，原句中的's he'指的是'Phil'，而变异句中改为了'they'，这并不属于指定的变换类型。
"These case studies analysed the background of the initiatives , their impact on employment patterns and work organisations and assessed the benefits and problems of the initiative .","Those case studies analysed the background of the initiatives, their impact on employment patterns and work organisations and assessed the benefits and problems of the initiative.",Realistic,该句子在语法和语义上都是正确的。主语和谓语动词一致，使用了正确的时态，并且句子结构清晰，表达了合理的意义。,28,1,standard,原句中的'these'未按照指定的变换与'those'互换，其他部分没有发生指定的词汇互换。
The gender and ethnic backgrounds of workers and how these relate to age discrimination are examined .,The gender and ethnic backgrounds of workers and how those relate to age discrimination are examined.,Realistic,这句话在语法和语义上都是正确的。主语是'The gender and ethnic backgrounds of workers'，谓语是'examine'，宾语是'how those relate to age discrimination'。句子结构清晰，表达的意思是在研究工人的性别和种族背景与年龄歧视之间的关系，这是一个合理的主题，没有违反常识。,17,0,standard,原句中的指示代词<this>被变异句中的<those>替换，符合指定的变换规则，即these和those之间的互换。
"The microbe does grow better on phosphorus , but showing that it can live with arsenic instead raises the possibility that a life form using arsenic could occur naturally , either elsewhere on Earth or on another planet or moon where arsenic is more common .","The microbe does grow better on phosphorus, but showing that they can live with arsenic instead raises the possibility that a life form using arsenic could occur naturally, either elsewhere on Earth or on another planet or moon where arsenic is more common.",Realistic,这句话在语法和语义上都是正确的。它表达了一个关于微生物在含磷和含砷环境中生长的观察，并推测了这种生命形式可能在不同环境中的存在。句子结构清晰，没有语法错误，且内容符合科学探索和推理。,46,0,standard,原句中的'It'指代的是单数的'microbe'，而变异句中将其改为了复数的'they'，符合指定的变换中it和they之间的互换。
