sentence,mut_sentence,check,reason,tokens.num,mut.error
But there still are not enough ringers to ring more than six of the eight bells .,But there still are enough ringers to ring more than six of the eight bells.,Realistic,此句在语法和语义上均正确。'ringers' 指敲钟的人，'bells' 指钟，此句表达的意思是有足够的敲钟人可以去敲超过八分之六的钟，这在语法上是正确的，同时从语义上讲也是符合常理的。,17,0
"In attendance was , among others , Mitch McConnell , the Senate 's top Republican and an avowed opponent of the healthcare law .","In attendance was, among others, Mitch McConnell, the Senate's top Democrat and an avowed opponent of the healthcare law.",Counterintuitive,句子中提到Mitch McConnell是参议院的顶级民主党人，这与事实不符，因为Mitch McConnell是共和党人，并且通常被认为是民主党政策的反对者，包括医疗保健法。,24,1
I think I can manage one more favor for you `` .,I think I cannot manage one more favor for you.,Realistic,这句话在语法上是正确的，使用了情态动词'can'的否定形式，表达了说话者认为自己无法再帮忙的意愿。语义上，这句话表达了说话者对于再帮忙的无力感，这在日常交流中是合理的。,12,0
"Fears about the impact of immigrants are based on the notion that they are liable to replace native workers , in particular unskilled ones , exerting downward pressure on wages .","Fears about the impact of immigrants are based on the notion that they are liable to retain native workers , in particular unskilled ones , exerting downward pressure on wages .",Grammatical error,句子中的'retain native workers'表达有误，'retain'通常指保留或保持，但在这里应该是指取代或影响本地工人的就业。另外，'exerting downward pressure on wages'这个短语的位置放置不当，它应该紧跟在'unskilled ones'之后，以明确是哪类工人会对工资产生下行压力。,31,1
"Now you could ask me , why should the user mind about MathML ?","Now you couldn't ask me, why should the user mind about MathML?",Grammatical error,句中的'couldn't'通常表示对过去情况的否定推测，但这里应该用一般现在时来提问，因此应该使用'couldn't'的肯定形式'can'。另外，'why should the user mind about MathML?'这部分表达上也存在一些不妥，应该使用'care about'而不是'mind about'，因为'mind'在这里不太符合语境。,14,1
So the driver started to curse at both of them as if they had been in a plot together to ruin his safe-driving record .,So the driver started to praise both of them as if they had been in a plot together to ruin his safe-driving record.,Realistic,这句话在语法和语义上都是正确的。使用了虚拟语气（as if they had been in a plot together）来描述司机对两个人的表扬，好像他们合谋破坏他的安全驾驶记录，这是一个合理的比喻和表达。,25,0
On the side of Costa Rica only one of 22 called players reached 50 games .,On the side of Costa Rica only one of 22 uncalled players reached 50 games.,Realistic,这句话在语法和语义上都是正确的。'On the side of Costa Rica' 指的是在哥斯达黎加这边，'one of 22 uncalled players' 指的是22名未被召唤的球员中的一名，'reached 50 games' 指的是达到了50场比赛。整个句子表达了在哥斯达黎加，在22名未被召唤的球员中，有一名球员参加了50场比赛，这在逻辑上是通顺的，没有语法错误。,16,0
"Fourth , the theory indicates why the Republican Party may have a difficult time attracting viable candidates for congressional office .","Fourth, the theory indicates why the Democratic Party may have a difficult time attracting viable candidates for congressional office.",Realistic,这句话在语法和语义上都是正确的。它使用了正确的时态和语法结构，表达了民主党可能在吸引合适的国会候选人时遇到困难的理论观点，这并不违反常识。,21,0
"However , the paradoxical thing about the action of the players of Real Madrid is that it did not comply to what we normally characterize as legal fraud , because the violation of the rules was not made secretly as to try to avoid the sanction , but their action was most evident and thus they received punishment from the referee .","However, the paradoxical thing about the action of the players of Real Madrid is that it did not comply to what we normally characterize as illegal fraud, because the violation of the rules was not made secretly as to try to avoid the sanction, but their action was most evident and thus they received punishment from the referee.",Realistic,句子中存在一些语法错误。首先，'comply to' 应该是 'comply with'。其次，'was not made secretly as to try to avoid the sanction' 这部分表达不太清晰，应该是 'was not done secretly in an attempt to avoid sanctions'。另外，'their action was most evident' 中的 'most evident' 可以简化为 'evident'，因为 'evident' 本身意味着明显，无需使用 'most' 来强调。,62,0
"To the extent that Democratic legislators from the South have held a disproportionate share of power in Congress since 1932 and have been able to translate such clout into relatively more local benefits for their respective constituencies , voters in the South have had an especially strong incentive to keep such Democrats in office .","To the extent that Republican legislators from the South have held a disproportionate share of power in Congress since 1932 and have been able to translate such clout into relatively more local benefits for their respective constituencies, voters in the South have had an especially strong incentive to keep such Republicans in office.",Realistic,该句子在语法和语义上都是正确的。句子结构清晰，使用了正确的时态和语态，表达了南方共和党立法者在国会中拥有较大影响力，并且能够将这种影响力转化为对其选区的更多地方利益，因此南方选民有强烈的动机保持这些共和党人在职位的观点。这个句子没有明显的语法错误，也没有违背常识。,55,0
"In this respect , it would be helpful if our political leaders were mute , rather than eloquently `` concerned . ``","In this respect, it would be helpful if our political leaders were talkative, rather than eloquently ``concerned.''",Realistic,这句话在语法和语义上都是正确的。使用了虚拟语气（were talkative），这是在表达一种假设或非现实情况时的正确用法。句子的意思是，在某种意义上，如果政治领导人能够健谈而不是仅仅优雅地表现出他们的‘关心’，这将是有帮助的。这个表达没有违反常识，也没有语法错误。,22,0
"One of the advantages that include the sport spirit is the physical integrity of the opposite players , aspect that with these actions was n't put into danger , that is to say , there was no violent game .","One of the advantages that exclude the sport spirit is the physical integrity of the opposite players, aspect that with these actions was n't put into danger, that is to say, there was no violent game.",Grammatical error,句子的结构较为复杂，存在一些语法上的问题。首先，'exclude the sport spirit' 这个短语在这里使用不太恰当，可能应该是 'contradict the spirit of the sport' 或者 'go against the sporting spirit'。其次，'aspect that with these actions was n't put into danger' 这部分句子的语法结构也有些混乱，应该是 'an aspect that wasn't put into danger by these actions'。此外，'there was no violent game' 可以更简洁地表达为 'no violence occurred during the game'。整体来看，句子需要重新组织结构以提高清晰度和准确性。,40,1
"Despite concerns about violence and political instability , the Iraqi government managed to attract major oil companies to rebuild its ailing infrastructure during two auctions that concluded Saturday .","Despite concerns about violence and political stability, the Iraqi government managed to attract major oil companies to rebuild its ailing infrastructure during two auctions that concluded Saturday.",Realistic,该句子在语法和语义上都是正确的。句子使用了合适的时态和语态，表达了伊拉克政府尽管面临暴力和政治稳定的担忧，仍然成功吸引主要石油公司重建其衰弱的基础设施的情况。句子中的词汇和结构都符合英语语法规则，没有违背常识。,29,0
"Treatment should be delayed or discontinued , or the dose reduced , in patients whose blood counts are abnormal or who have certain other side effects .","Treatment should be delayed or discontinued, or the dose reduced, in patients whose blood counts are normal or who have certain other side effects.",Realistic,这句话在语法和语义上都是正确的。它遵循了医学建议的常用表述方式，说明了在某些条件下（如血细胞计数正常或出现特定副作用时）应当延迟或停止治疗，或者减少剂量。,27,0
"`` Attention , `` yelled our pilot as our basket plunged into the canal .","Attention, yelled our pilot as our basket plunged into the river.",Realistic,句子使用了正确的时态和语态，语法结构完整，语义上表达了飞行员在篮子坠入河中时发出的警告，符合常理。,15,0
