sentence,mut_sentence,check,reason,tokens.num,mut.error
"Treatment should be delayed or discontinued , or the dose reduced , in patients whose blood counts are abnormal or who have certain other side effects .","Treatment should be most delayed or completely discontinued, or the dose most reduced, in patients whose blood counts are most abnormal or who have certain other worst side effects.",Realistic,这句话中使用了多个副词“most”和“completely”，这在英语中通常是不必要的，因为“delayed”和“reduced”本身已经表达了程度的加强。此外，“worst”作为形容词，通常不需要在形容词比较级前加“most”。正确的表达应该是简洁且避免过度修饰。,27,1
"The expulsion presumably forged by two players of Real Madrid ( Xabi Alonso and Sergio Ramos ) in the game played on the 23rd of November against Ajax in European Champions League has caused rivers of ink to be written about if such behavior is or is not unsportsmanlike and if , both players should be sanctioned by UEFA .","The expulsion presumably forged by two players of Real Madrid ( Xabi Alonso and Sergio Ramos ) in the game played on the 23rd of November against Ajax in European Champions League has caused rivers of ink to be written about if such behavior is or is not more unsportsmanlike and if , both players should be sanctioned more strictly by UEFA .",Grammatical error,句子结构复杂且存在多处语法错误。首先，'expulsion' 后面应该使用 'that was' 而不是 'forged by' 来指代前面提到的驱逐事件。其次，'rivers of ink to be written' 应该是 'rivers of ink have been written' 或者 'has led to much being written'。再者，'if such behavior is or is not more unsportsmanlike' 中的 'is or is not' 是多余的，应该简化为 'if such behavior is more unsportsmanlike'。最后，句子中关于 'both players should be sanctioned' 的部分，应该使用 'whether both players should be' 来引入疑问句。此外，整个句子构造也显得冗长且难以理解。,60,1
It is nice for teachers to think they are engaged in `` personality development `` and even nicer to minimize those irksome tests with often disappointing results .,It is nice for teachers to think they are engaged in `` personality development `` and even nicest to minimize those irksome tests with often disappointing results.,Realistic,这句话在语法上是正确的，使用了正确的时态和结构。在语义上，它表达了一个观点，即教师认为他们在从事``人格发展``是件好事，并且认为减少那些常常带来失望结果的繁琐测试是更好的事情。这个观点没有违反常识，尽管它可能反映了个别人的看法或是对教育体系的一种批评。,28,0
"Change-ringing , a mind-boggling exercise the English invented 380 years ago , requires physical dexterity -- some bells weigh more than a ton -- combined with intense mental concentration .","Change-ringing, a mind-boggling exercise the English invented 380 years ago, requires physical dexterity -- some bells weigh the most -- combined with intense mental concentration.",Realistic,句中的「some bells weigh the most」在语法上不完整，应该有更明确的比较对象。此外，这个短语在语义上也不清晰，因为它没有指明是在比较什么。正确的表达应该指明是与什么相比「the most」,30,0
"Still , I figured the event 's envy-quotient back in the U.S.A. was near peerless .","Still, I figured the event's envy-quotient back in the U.S.A. was near peerlier.",Grammatical error,句中的'envy-quotient'不是标准英语词汇，且'peerlier'也不是正确的单词形式。'Peerlier'应该是'peerless'或者'more peerless'，但在此语境中，整个表达方式也不太自然。,16,1
"A more robust economic performance is reflected in rising support for private enterprise and the market economy : some 71 % of respondents across the region say that private enterprise is indispensable for development , up from 56 % in 2007 ( see chart 6 ) .","A most robust economic performance is reflected in rising support for private enterprise and the market economy: some 71 % of respondents across the region say that private enterprise is indispensable for development, up from 56 % in 2007 (see chart 6).",Realistic,这句话在语法和语义上都是正确的。它使用了恰当的时态和词汇来表达一个观点，并且数据提供了支持。句子结构清晰，表达的意思是一致的，没有违反常识。,47,0
"Some 58 % agree that the market economy is the only system that will make their country developed , up from 47 % last year .","Some 58 % agree that the market economy is the only system that will make their country most developed, up from 47 % last year.",Realistic,这句话在语法和语义上都是正确的。它使用了正确的时态和语法结构，表达了调查结果的百分比变化，没有违反常识。,26,0
But their arguments about the effect of the intense coverage of the trial may draw the most interest .,But their arguments about the effect of the intense coverage of the trial may draw more interest.,Realistic,此句在语法和语义上均正确。'But their arguments about the effect of the intense coverage of the trial may draw more interest.'这句话的结构完整，主语、谓语、宾语齐全，语义表达清晰，说明关于审判的密集报道的影响可能会引起更多的关注，这符合常理。,19,0
"`` All this may not be obvious to the public , which is concerned about advances in treatment , but I am convinced this basic research will begin showing results there soon . ``","All this may not be most obvious to the public, which is most concerned about advances in treatment, but I am convinced this basic research will begin showing best results there soon.",Realistic,该句子在语法和语义上都是正确的。句子使用了定语从句（which is most concerned about advances in treatment），并且主从句之间的逻辑关系清晰。此外，句子的意思表达了作者对未来基础研究将在治疗进展方面展现最佳效果的信心，这并不违反常识。,34,0
"Alimta was also compared with gemcitabine ( another anticancer medicine ) , both in combination with cisplatin , in a study involving 1,725 patients who had not received chemotherapy for lung cancer in the past .","Alimta was also compared with gemcitabine ( another best anticancer medicine ) , both in the best combination with cisplatin , in a study involving 1,725 patients who had not received chemotherapy for lung cancer in the past .",Realistic,"句中存在一些语法上的问题。首先，在列举药物时，'another best anticancer medicine' 中的 'best' 应当与 'another' 保持一致，使用单数形式。其次，'in the best combination with cisplatin' 应当改为 'in the best combinations with cisplatin' 以保持主谓一致性。最后，'in a study involving 1,725 patients who had not received chemotherapy for lung cancer in the past' 这个短语在句中的位置可能会让读者误解，建议稍作调整以提高清晰度。",36,1
