sentence,mut_sentence,check,reason,tokens.num,mut.error
"`` No offense intended `` , he said gently .","No offense was intended, he said gently.",Realistic,句子语法正确，使用了正确的时态和语气，表达了说话者没有冒犯意图的语义。,10,0
But they need not be to do their jobs well .,But people need not be to do their jobs well.,Realistic,这个句子的结构不正确，'not be to'这种用法在英语中不常见，也不符合语法规则。正确的表达应该是'people do not need to...'或者'people need not to...'。,11,0
Eventually we came to rest in a soggy patch of field where we had the exquisite pleasure of scrambling out of the basket into the mud while the French half of our ballooning tag team scrambled in .,Eventually we came to rest in this soggy patch of field where we had the exquisite pleasure of scrambling out of the basket into the mud while the French half of our ballooning tag team scrambled in.,Realistic,这句话在语法和语义上都是正确的。它使用了形象生动的语言来描述一个场景，其中包含了合理的动作和情境描述，没有明显的语法错误，也没有违反常识。,38,0
I want to study your landlord 's habits and movements first .,I want to study the habits and movements of your landlord first.,Realistic,这句话在语法上是正确的，主语是'I'，谓语是'want to study'，宾语是'the habits and movements of your landlord first'。语义上，句子表达了说话者想要首先研究'你的房东'的习惯和移动，这在目的上是可以理解的，尽管它可能看起来有点不寻常或具体，但并不违反常识。,12,0
Their report galvanized other molecular biologists .,Their report galvanized the other molecular biologists.,Realistic,句子在语法和语义上都是正确的。'galvanized'意为'激励'或'促使行动'，可以用来描述报告对分子生物学家产生了积极的影响，符合常识和语境。,7,0
"To the extent that the primary duty of personal staff involves local benefit-seeking , this indicates that political philosophy leads congressional Republicans to pay less attention to narrow constituent concerns .","To the extent that the primary duty of personal staff involves local benefit-seeking, this kind of behavior indicates that political philosophy leads congressional Republicans to pay less attention to the narrow concerns of their constituents.",Realistic,该句子在语法和语义上都是正确的。句子结构清晰，使用了正确的从句和短语（如‘To the extent that’引导的状语从句），并且表达了明确的逻辑关系，说明个人工作人员寻求地方利益的行为反映了政治哲学如何影响国会共和党人对选民狭隘关注的关注程度。,31,0
Piecewise is the way we can define conditional operations in kalgebra .,This method is the way we can define conditional operations in kalgebra.,Realistic,这句话在语法和语义上都是正确的。'This method is the way we can define conditional operations in kalgebra.'这句话的结构清晰，主语是'This method'，谓语是'is'，接下来的'the way'用作连接词，引导后面的宾语从句'we can define conditional operations in kalgebra'，表达了在kalgebra中定义条件操作的方法。整个句子没有明显的语法错误，也没有违背常识。,12,0
-gt : It s the way to specify the bounded variable in a function .,-gt: This is the method to specify the bounded variable in a function.,Realistic,句中的 '-gt:' 似乎是一个命令行或编程语言中的符号，它不属于标准英语语法。此外，'to specify' 通常在表示目的时需要与 'used' 或其他动词搭配使用，例如 'used to specify'。另外，'the bounded variable' 这个短语可能对非专业人士来说不够清晰，更合适的表达可能是 'the variable with bounds' 或 'the bounded variable in a mathematical function'。,15,0
The Democratic House attendance rate has not exceeded the Republican House attendance rate since 1959 .,The Democratic House attendance rate has not exceeded the Republican House attendance rate since the year 1959.,Realistic,此句在语法和语义上均正确。主语是'The Democratic House attendance rate'，谓语是'has not exceeded'，宾语是'the Republican House attendance rate'，句子使用了现在完成时态，表达了从1959年至今的一个持续状态。句子没有明显的语法错误，且符合常识，因为这样的比较在政治分析中是常见的。,16,0
Professor Donohue said some appeals judges might be intrigued by the idea that limiting instant communication from courtrooms might make trials fairer .,Professor Donohue said some appeals judges might be intrigued by this idea that limiting instant communication from courtrooms might make trials fairer.,Realistic,这句话在语法和语义上都是正确的。句子结构清晰，主语是Professor Donohue，谓语是said，宾语从句是'some appeals judges might be intrigued by this idea that limiting instant communication from courtrooms might make trials fairer'。从句中使用了正确的虚拟语气，表达了假设的情况，符合英语语法规则。同时，句子的意思表达了有关限制法庭即时通讯可能使审判更加公平的观点，这在语义上也是合理的。,23,0
Berkeley very quiet right now .,Berkeley is very quiet at the moment.,Realistic,句子语法正确，且符合常识。Berkeley（伯克利）可以指一个地点，在特定时刻非常安静是可能的描述。,6,0
