sentence,mut_sentence,check,reason,tokens.num,mut.error
Then a wild thought ran circles through his clouded brain .,Then through his clouded brain ran a wild thought circles.,Grammatical error,句子的结构不正确，应该是'through his clouded brain a wild thought ran' 或者 'a wild thought ran through his clouded brain'。此外，'circles'在这里使用不当，如果想要表达思想在脑海中回旋，应该使用'circled'或者'in circles'。,11,1
"`` What 's he doing ? `` hissed my companion , who was the only other English-speaking member of the convention and whose knuckles were white .","Hissed my companion , what's he doing? who was the only other English-speaking member of the convention and whose knuckles were white.",Realistic,这个句子的结构不正确，其中包含了多个从句和插入语，但是没有适当的连接词或标点符号来分隔它们。正确的句子应该有明确的标点来区分直接引语和描述性从句，例如使用逗号和引号来分隔对话和附加描述。此外，'who was...' 这个从句的主语不清晰，因为它看起来像是描述 'my companion'，但实际上应该是描述 'he'。,27,1
"If he was just a nut , no harm was done .","If just a nut he was, no harm was done.",Realistic,"这句话的语法结构不正确。正确的说法应该是“If he were just a nut, no harm would have been done.” 这里应该使用过去式的虚拟语气（were），因为这是一个与现实相反的假设情况，同时，主句也应该使用相应的过去完成时态（would have been done）来表示与过去事实相反的假设情况。",12,1
"For each country , two or three initiatives have been selected for further in depth case study .","For each country, two or three initiatives have been selected to further study in depth the case of.",Grammatical error,句子的结构不完整，缺少主语和谓语之间的正确连接，且短语使用不当。应该使用'to study in depth the case of'的某种形式，但这里缺少了具体要研究的案例的对象。正确的表达可能需要指明具体研究的案例对象，例如：'to study in depth the cases of specific initiatives in each country'。,18,1
"One survey says that of the 100,000 trained bellringers in England today , only 40,000 of them still ring .","One survey says that of the 100,000 trained bellringers in England today, still only 40,000 ring.",Realistic,"这句话在语法和语义上都是正确的。它表达了一个调查结果，说英格兰现在有100,000名受过训练的钟铃敲击者，但只有40,000人在敲钟。这个句子没有语法错误，也没有违反常识。",20,0
"`` But it 's just that -- well , you know .","But it 's just that -- well , do you know .",Grammatical error,这个句子缺少主语和谓语，并且使用了不必要的破折号和逗号。它看起来像是句子的一部分，没有完整的结构。正确的句子应该包含明确的主语和谓语，并且标点符号使用恰当。,12,1
"Haney hoped that nobody noticed his sudden pallor , as he felt the blood drain from his cheeks .","Haney hoped that nobody noticed his sudden pallor, as from his cheeks he felt the blood drain.",Realistic,这句话在语法和语义上都是正确的。使用了正确的时态和语法结构，表达了主人公Haney希望没有人注意到他突然变得苍白，并且描述了他感觉血液从脸颊流失的情景，这符合常理。,19,0
The study focuses on a microbe found on Earth .,On Earth is found a microbe that the study focuses on.,Grammatical error,句子的结构不太自然，应该使用被动语态的正确形式。通常，当提到某物被找到时，我们会使用'It is found that...'或者更简单地使用'You can find...'这样的结构。此外，'On Earth'作为地点状语应该放在句子的最后。正确的表达可能是：'A microbe that the study focuses on is found on Earth.',10,1
"Cerenia blocks a neurokinin 1 ( NK1 ) receptor , which acts in the central nervous system .","A neurokinin 1 ( NK1 ) receptor is blocked by Cerenia, which in the central nervous system acts.",Grammatical error,句子的结构有些混乱，'which'引导的非限制性定语从句在这里使用不当。另外，'acts'在这里作为谓语动词，缺少了它所需要的主语和语境上的连贯性。正确的表达应该更加清晰地表明Cerenia在中央神经系统中的作用。,18,1
And Brazil is seen as more influential than the United States across much of the region .,"And across much of the region, Brazil is seen as more influential than the United States.",Realistic,该句子在语法和语义上都是正确的。主语'Brazil'和谓语'seen as'之间，以及比较对象'Brazil'和'the United States'之间的关系清晰，表达了一个合理的观点，没有语法错误，也没有违反常识。,17,0
