sentence,mut_sentence,check,reason,tokens.num,mut.error
It is clear that most mentally ill people and most alcoholics do not become homeless .,It is clear that most mentally ill individuals and the vast majority of alcoholics do not actually become homeless.,Realistic,这句话在语法和语义上都是正确的。它表达了一个观察或结论，即大多数精神疾病患者和绝大多数酗酒者实际上并没有成为无家可归者。这个句子没有明显的语法错误，也没有违反常识。,16,0
"Of course On Thursday , Haney mailed the monthly check for separate maintenance to his wife Lolly , and wished the stranger could do something about her","Of course, on that particular Thursday, Haney promptly mailed the monthly check for separate maintenance to his wife, Lolly, and fervently wished that the stranger could somehow do something about her",Realistic,这句话在语法和语义上都是正确的。它表达了一个特定人物在一个特定时间邮寄了支票，并带有一个愿望，尽管愿望的部分有些含糊，但它并没有违反语法规则，也没有违背常识。,27,0
"Parents should be involved with their children 's education at home , not in school .","Parents should actively be involved with their children's education at home, not in the school setting.",Realistic,这句话在语法和语义上都是正确的。它强调了家长应该在家庭环境中积极参与孩子的教育，而不是在学校的设置中。这个观点符合常识，并且句子的结构也是正确的。,16,0
"That is scarcer in Mexico and Central America , where the recession was more severe and violent crime has worsened .","That is particularly scarce in Mexico and Central America, regions where the recession was especially severe and violent crime has significantly worsened.",Realistic,该句子在语法和语义上都是正确的。主语是'That'，指代前文提到的某个缺乏的资源或现象，这在墨西哥和中美洲地区尤为稀缺。该句描述了这些地区经历了严重的经济衰退，同时暴力犯罪也显著增加。句子结构完整，没有语法错误，且内容符合常识。,21,0
"To reduce side effects , patients should take a corticosteroid and folic acid ( a type of vitamin ) , and receive injections of vitamin B12 during treatment with Alimta .","To effectively reduce side effects, patients are advised to take a corticosteroid and folic acid (a specific type of vitamin), and to also receive regular injections of vitamin B12 throughout their treatment with Alimta.",Realistic,该句子在语法和语义上都是正确的。它提供了医疗建议，建议患者在服用Alimta期间采取一些措施以有效减少副作用。句子结构清晰，使用了正确的语法形式，并且建议的内容符合医学常识。,31,0
"It is also the kind of libel politicians find useful , since it helps them strike a friendly posture on behalf of an important constituency .","It is also the particularly kind of libel that politicians frequently find useful, since it consistently helps them strike a seemingly friendly posture on behalf of a crucially important constituency.",Grammatical error,句中的“the particularly kind of”应该改为“a particularly kind of”，因为“particular”在这里作为形容词修饰“kind of”，不需要定冠词“the”。,26,1
What accounts for the results of recent decades ?,What primarily accounts for the results of the past few decades?,Realistic,这句话在语法和语义上都是正确的。'What primarily accounts for' 是一个常见的句型，用来询问某个结果或现象的主要原因。'the results of the past few decades' 指的是过去几十年的结果或变化，这是一个合理的语义表达。,9,0
I have felt many aftershocks .,I have frequently felt many aftershocks.,Realistic,这句话在语法和语义上都是正确的。'I have frequently felt many aftershocks.'使用了现在完成时态，表达了过去发生的动作对现在有影响的感受，且语义上表达了经历过多次余震的经历，这是符合实际情况的描述。,6,0
"`` That bitch would love a divorce `` , he growled .","That conniving bitch would desperately love a quick divorce, he growled.",Realistic,这个句子在语法上是正确的，使用了直接引语表达人物的口语化表达。'conniving bitch'虽然用词粗俗，但在特定情境下可以用来形容一个人的性格特征，'growled'作为动词描述了说话人的语气。语义上，句子表达了某人对快速离婚的强烈愿望，没有违反常识。,12,0
What benefit has Cerenia shown during the studies ?,What significant benefit has Cerenia reportedly shown during the various studies?,Realistic,此句在语法和语义上均正确。句子使用了现在完成时态，表达了过去发生的动作对现在的影响，符合英语语法规则。同时，句子询问了Cerenia在各种研究中显示出的显著益处，语义清晰，没有违反常识。,9,0
In and around all levels of government in the U.S. are groups of people who can best be described as belonging to a political insider commercial party .,"In and around all levels of government in the U.S., there exist groups of people who can most accurately be described as belonging to a political insider commercial party.",Realistic,这句话在语法和语义上都是正确的。它表达了一个关于美国政府各级别中存在特定群体的观点，这些群体被描述为属于一个政治内部商业党派。虽然这种说法可能具有争议性，但它并没有违反语法规则，也没有违背常识。,28,0
"The rest of the amount was taken from its own kitty , which was well filled through the sale of business units .","The remaining amount was quietly taken from its own well-stocked kitty, which was adequately filled due to the profitable sale of business units.",Realistic,该句子在语法和语义上都是正确的。句子使用了被动语态，表达了剩余金额是如何被取出的，并且说明了资金来源（自己的充裕资金库）。此外，定语从句‘which was adequately filled due to the profitable sale of business units’正确地提供了资金库充裕的原因。,23,0
"He had been sitting in the usual corner at the little table , as far as possible from any talkative , friendly lushes .","He had been sitting in his favorite usual corner at the nearby little table, as far as possible from any overly talkative, overly friendly lushes.",Realistic,这句话在语法和语义上都是正确的。使用了正确的时态（过去完成时），并且描述了一个合理的场景，表达了一个人试图避开过于健谈和友好的人的愿望。,24,0
"The discovery `` suddenly puts an obscure gene right in the cockpit of cancer formation , `` says Robert Weinberg , a leader in cancer-gene research at Whitehead Institute in Cambridge , Mass .","The unexpected discovery suddenly puts a previously obscure gene right at the heart of cancer formation, says Robert Weinberg, a prominent leader in cancer-gene research at Whitehead Institute in Cambridge, Mass.",Realistic,这句话在语法和语义上都是正确的。主语是「The unexpected discovery」，谓语是「puts」，宾语是「a previously obscure gene right at the heart of cancer formation」，整个句子结构清晰。另外，从语义上看，这句话表达了一个科学发现将一个之前不为人知的基因置于癌症形成核心位置的意思，这符合科学研究的情境，没有违背常识。,34,0
