sentence,mut_sentence,check,reason,tokens.num,mut.error
"Another of these advantages to which it is alluded to with the fare-play is to avoid that the team of the lawbreaker players takes advantage unjustly of the opposite team , which did not happen either .","Another of these advantages to which it is alluded with fair-play is to avoid that the group of the lawbreaker players takes advantage unjustly of the opposing team, which did not occur either.",Grammatical error,句子的结构较为复杂，且使用了不恰当的定语从句结构。首先，'Another of these advantages to which it is alluded with fair-play'这一部分显得冗长且难以理解，其次，'to avoid that the group of the lawbreaker players takes advantage unjustly of the opposing team'中的'that'引导的从句在这里不合适，应该使用其他结构来表达意思。此外，'which did not occur either'这个从句与前文连接不畅，造成了语义上的混乱。,37,1
I think a few of the aftershocks might just be my body shaking .,I think a couple of the aftershocks might just be my body shaking.,Realistic,这句话在语法上是正确的，使用了可能性的推测（might just be），表达了说话者认为一些余震可能是自己身体在颤抖的猜测。从语义上看，虽然这个想法可能是错误的，但它并不违反常识，因为人们可能会在地震后感到身体颤抖，并将其误解为余震。,14,0
"Like all genes , tumor-suppressor genes are inherited in two copies , one from each parent .","Like all genes, tumor-suppressor genes are inherited in a pair of copies, one from each parent.",Realistic,这句话在语法和语义上都是正确的。它说明了肿瘤抑制基因（tumor-suppressor genes）和其他基因一样，都是成对出现的，每个父母传递一个副本。这符合生物学上的常识和遗传学的基本原则。,17,0
"Immigration policy under Nicolas Sarkozy was criticised from various aspects a congestion of police , legal and administrative services subjected to a policy of numbers and the compatibility of that policy with the self-proclaimed status of the country as the country of French human rights .","Immigration policy under Nicolas Sarkozy was criticised from numerous aspects a congestion of police, legal and administrative services subjected to a policy of several numbers and the compatibility of that policy with the self-proclaimed status of the country as the country of French human rights.",Grammatical error,"句子结构复杂且混乱，存在多处语法错误。首先，'a congestion of police, legal and administrative services subjected to a policy of several numbers'部分表达不清，应该使用更为清晰的短语或从句。其次，'the compatibility of that policy with the self-proclaimed status of the country as the country of French human rights'部分也存在问题，应该使用更恰当的词汇和结构来表达意思。此外，'criticised from numerous aspects'也可能更自然地表达为'criticised on numerous grounds'。",46,1
"Nevertheless , the sheer proximity of Scalia and Thomas to two of the law firms in the case , as well as to a company with a massive financial interest , was enough to alarm ethics-in-government activists .","Nevertheless, the sheer proximity of Scalia and Thomas to a couple of the law firms in the case, as well as to a company with a substantial financial interest, was enough to alarm ethics-in-government activists.",Realistic,该句子在语法和语义上都是正确的。句子使用了正确的时态和语态，表达清晰，没有明显的语法错误。句子内容讲述了Scalia和Thomas与某些法律事务所及拥有重大财务利益的一家公司的亲近关系，这在语义上也是合理的，并且符合常识，因为这种情况确实可能会引起关注政府伦理的活动分子的警觉。,38,0
"Mr. Stern was chairman and chief executive officer of the New York State Urban Development Corp. , 1983-85 .",Mr. Stern was chairman and chief executive officer of the New York State Urban Development Corp. for a couple of years in the early 1980s.,Realistic,这句话在语法和语义上都是正确的。使用了正确的时态，清晰的表述了Mr. Stern在1980年代初的职位和任期。,19,0
The result is a generation of young people whose ignorance and intellectual incompetence is matched only by their good opinion of themselves .,The result is an entire generation of young individuals whose ignorance and intellectual incompetence is matched solely by their high opinion of themselves.,Realistic,这句话在语法和语义上都是正确的。句子使用了正确的时态和语法结构，表达了作者对于某一整代年轻人的看法，即他们的无知和智力不足与他们对自身的过高评价相匹配。这种表达方式在英语中是常见的，没有违反常识。,23,0
"But the United States is seen as the most influential country by respondents in Mexico and much of Central America , whereas Venezuela enjoys that distinction in Ecuador , the Dominican Republic and Nicaragua .","But the United States is seen as the most influential country by respondents in Mexico and a large part of Central America, whereas Venezuela enjoys that distinction in Ecuador, the Dominican Republic, and several other countries.",Realistic,该句子在语法和语义上都是正确的。主语、谓语、宾语等句子成分齐全，且句子表达的意思符合常识，即不同国家的人对于最有影响力的国家有不同的看法。,35,0
Bank head Kenneth Lewis extended his express thanks to the American taxpayer on Wednesday evening : The cash injection helped over a very difficult time .,Bank head Kenneth Lewis extended his express thanks to the American taxpayers on Wednesday evening: The cash injection helped us over a very difficult period.,Realistic,这句话在语法和语义上都是正确的。主语是'Bank head Kenneth Lewis'，谓语是'extended his express thanks to'，宾语是'the American taxpayers'，并且后面的冒号引出了一个直接引语，表达了感谢的原因，即'cash injection'帮助度过了困难时期。整个句子结构清晰，表达合理。,26,0
"Of all scenes that evoke rural England , this is one of the loveliest : An ancient stone church stands amid the fields , the sound of bells cascading from its tower , calling the faithful to evensong .","Of all scenes that evoke rural England, this is among the loveliest: An ancient stone church stands amidst the fields, the cascading sound of bells from its tower, beckoning the faithful to evensong.",Realistic,这句话在语法和语义上都是正确的。它使用了恰当的描述性语言来唤起对英格兰乡村景象的想象。句子结构完整，使用了正确的时态和语态，没有明显的语法错误，也不违反常识。,39,0
