sentence,mut_sentence,check,reason,tokens.num,mut.error
It 's nothing new : The two justices have been attending Federalist Society events for years .,It's nothing new: The two justices have attended Federalist Society events for years.,Realistic,这句话在语法和语义上都是正确的。句子使用了现在完成时态，表达了过去发生的动作对现在有影响的状况，符合英语语法规则。同时，句子中的内容没有违反常识，语义清晰，表达了两位法官多年来参加联邦党人学会活动的事实。,17,0
"Colon , lung and breast cancers are the most common and lethal forms of the disease , collectively killing almost 200,000 Americans a year .","The disease, in the forms of Colon, lung, and breast cancers, collectively kills almost 200,000 Americans a year, being the most common and lethal.",Grammatical error,"句子的结构有些混乱，'in the forms of Colon, lung, and breast cancers' 语法上不正确，应该使用'in the forms of colon, lung, and breast cancer'，因为这里列举的是疾病的种类，应该保持单数形式。另外，'being the most common and lethal' 这个短语在这里作为非限定性定语从句使用不当，应该改为定语从句或者使用其他更合适的表达方式。",25,1
"In spite of this , and with Splitter fouling out , Ivonic 's team did n't rush , defended well , and , even though the Israelis came close at the last minute , the game was already won and victory escaped Tel Aviv for the first time in the season .","In spite of this, and with Splitter fouling out, Ivonic's team didn't rush, defended well, and, even though the Israelis came close at the last minute, Ivonic's team had already won the game and denied victory to Tel Aviv for the first time in the season.",Realistic,该句子在语法和语义上都是正确的。句子使用了合适的从句和并列句结构，表达了尽管有不利情况（Splitter犯规出局），Ivonic的队伍仍然保持冷静，防守得当，并在最后时刻抵挡住了以色列队的进攻，赢得了比赛，并首次在本赛季中阻止了特拉维夫队的胜利。整个句子结构清晰，表达了一个复杂的情况，没有语法错误，也没有违反常识。,52,0
"In the end , the defense says , there were more than 140,000 Twitter messages about the trial that dealt with rape and children tied to their beds in a house that was set ablaze .","In the end, the defense says that more than 140,000 Twitter messages dealt with the trial of rape and children tied to their beds in a house that was set ablaze.",Realistic,这句话在语法和语义上都是正确的。它使用了合适的时态和词汇来表达关于一个审判案件的细节，并没有明显的语法错误或违反常识。,36,0
"It is so extended that it part of the ethos , of the unwritten rules , but followed nonetheless by this sport .",This sport follows it so extensively that it becomes part of the ethos and the unwritten rules.,Realistic,这个句子在语法和语义上都是正确的。'This sport follows it so extensively that...'的结构表明这项运动非常重视某事物（'it'），以至于它成为了该运动的精神和不成文规则的一部分。句子结构完整，语义清晰，没有语法错误，也没有违反常识。,23,0
"But experience shows that in reality immigrants are much more complementary to , rather than replacements of , local labor , exercising trades in which there is a shortage of local labor .","But experience shows that in reality immigrants complement local labor much more than they replace it, especially in trades where there is a shortage of local labor.",Realistic,该句子在语法和语义上都是正确的。句子使用了比较级形式'much more than'来强调移民对本地劳动力的补充作用大于替代作用，这在逻辑上是合理的，并且语法结构也正确。,33,0
"Thirdly , the project documents and assesses initiatives , in both the public and private sectors which combat age barriers , especially for older workers .","Thirdly, the project documents and actively initiates initiatives in both the public and private sectors to combat age barriers, especially for older workers.",Realistic,这句话在语法和语义上都是正确的。它使用了正确的时态和结构，表达了项目在公共和私营部门主动发起行动以对抗年龄障碍，特别是针对年长工人的意思。没有发现语法错误，也没有违反常识。,26,0
Companies pre-selected to submit bids made offers that were then compared to the per barrel fee the ministry was willing to pay for boosting output above current levels at each field .,The ministry compared the offers made by Companies pre-selected to submit bids to the per barrel fee they were willing to pay for boosting output above current levels at each field.,Grammatical error,这个句子的结构较为复杂，存在一些语法上的问题。首先，'Companies' 应该使用定冠词 'the' 来指定特定的公司。其次，'pre-selected' 通常不需要连字符，应该写作 'preselected'。此外，'to submit bids' 这个短语在这个句子中的使用使得句子结构显得混乱，它应该被重新组织以增强清晰度。最后，'per barrel fee they were willing to pay for' 这个短语也可以进行简化以提高可读性。,32,1
Maybe it would be better to humor the guy and then make an exit .,Maybe you should humor the guy and then make an exit.,Realistic,这句话在语法上是正确的，'humor the guy'意味着迎合或取悦某人，'make an exit'意味着离开，整个句子意思是在建议先迎合那个人然后找机会离开，这在语义上是通顺且符合常识的。,15,0
"Phil usually went alone and kept to himself , sitting in a corner and passing the time by nursing his favorite grudges .","Alone, Phil was usually gone and was kept to himself, sitting in a corner and having the time passed by nursing his favorite grudges.",Grammatical error,句子结构较为混乱，使用了多个动词且没有适当的连接，导致意思表达不清晰。建议对句子结构进行重构，明确表达Phil的行为和状态。例如，可以将句子拆分为两个部分，分别描述Phil独处的情况和他消磨时间的方式。,23,1
"Some 44 % of respondents across the region pronounced themselves satisfied with how their country 's democracy works in practice , the same figure as last year but a big increase on the 25 % in 2001 ( chart 3 ) .","Some 44% of respondents across the region pronounced that they are satisfied with how their country practices democracy, the same figure as the previous year but a significant increase from the 25% in 2001 (chart 3).",Realistic,这句话在语法和语义上都是正确的。使用了正确的时态和词汇表达了调查结果，并且比较了不同年份的数据，没有明显的语法错误，也没有违反常识。,42,0
"In fact , he had only mentioned him on the spur of the moment .","In fact, he only mentioned him on the spur of the moment.",Realistic,句子在语法和语义上都是正确的。'In fact' 用于引出事实，'only mentioned him on the spur of the moment' 表示他是在冲动之下才提到某人的，整个句子表达清晰，没有语法错误，也不违反常识。,15,0
They are based on dubious psychological and sociological theories rather than on educational experience .,Dubious psychological and sociological theories are used as a basis for them rather than educational experience.,Realistic,这句话在语法和语义上都是正确的。句子主语是'dubious psychological and sociological theories'，谓语是'are used'，宾语是'a basis for them'，并且有一个状语从句'rather than educational experience'，表达了这些理论被用作基础，而不是教育经验。整个句子结构清晰，表达了一个合理的观点。,15,0
They are underpinned by home loans .,Home loans underpin them.,Counterintuitive,句子中的'them'没有明确的指代，导致句意不明确。另外，'home loans'（按揭贷款）通常不会直接支持或支撑（underpin）某个对象，除非上下文提供了更多信息。这句话需要更清晰的指代和上下文来使其在语义上合理。,7,1
"`` This case , '' they wrote , `` represents the Sheppard v. Maxwell of the 21st century . ''",They wrote that this case represents the Sheppard v. Maxwell of the 21st century.,Realistic,这句话在语法上是正确的，使用了代表比较的句式，将当前的案例与Sheppard v. Maxwell案件进行了比较。在语义上，如果上下文提供了足够的信息来支持这种比较，那么这句话也是合理的。,20,0
"Moreover , the confidence of American consumers has clearly bounced back in December , to 73.4 against 67.4 the previous month , according to preliminary estimates from Michigan University 's index .","Moreover, the clearly bounced back confidence of American consumers in December, to 73.4 against 67.4 the previous month, has been shown according to preliminary estimates from Michigan University's index.",Grammatical error,句子的结构有些混乱，导致理解上的困难。首先，'the clearly bounced back confidence' 这个短语使用不当，应该使用过去分词形式 'clearly bounced back' 来修饰 'confidence'。其次，'to 73.4 against 67.4 the previous month' 这个表达方式不够清晰，应该使用 'from 67.4 to 73.4' 来表示对比。最后，'according to preliminary estimates from Michigan University's index' 这个短语的位置放置不当，应该放在句子的前面或者后面，以增强句子的流畅性。,32,1
"The World Labor Organisation estimates that for example in Germany , an immigrant arriving at the age of 30 , will make a net contribution ( receipts less expenditure ) of an average of 150,000 Euros to public budgets during his lifetime .","The World Labor Organisation estimates that for example in Germany, an immigrant who arrives at the age of 30 will, on average, contribute a net amount of 150,000 Euros to public budgets (receipts minus expenditure) over his lifetime.",Realistic,该句子在语法和语义上都是正确的。使用了正确的时态和语态，句子结构清晰，表达了一个合理的观点，没有违反常识。,43,0
He had already quite forgotten about him .,He quite forgot about him already.,Grammatical error,句中的'quite'通常不与'already'连用，因为它们在意义上有所重叠。'Quite'用于强调程度，而'already'表示某事已经发生。正确的表达可能是'He quite forgot about him'或'He had already forgotten about him.',8,1
But there was no way to prove Dr. Knudson 's `` two-hit `` theory .,But no one could find a way to prove Dr. Knudson's `` two-hit '' theory.,Realistic,该句子在语法和语义上都是正确的。句子使用了正确的时态和结构，表达了无法找到方法证明Knudson博士的「两次打击」理论的情况，没有违反常识或语法规则。,15,0
"The researchers collected the bacteria known as GFAJ-1 and exposed it to increasing concentrations of arsenic , which it was able to adapt to and grow .","The researchers collected the bacteria known as GFAJ-1 and exposed it to increasing concentrations of arsenic, and it was able to adapt to and grow in them.",Realistic,该句子在语法和语义上都是正确的。主语'researchers'和谓语'collected'、'exposed'、'was able to adapt to and grow in'保持一致，且句子表达了一个科学实验的过程，没有违反常识。,27,0
"To reduce side effects , patients should take a corticosteroid and folic acid ( a type of vitamin ) , and receive injections of vitamin B12 during treatment with Alimta .","To reduce side effects, a corticosteroid and folic acid (a type of vitamin) should be taken by patients, and vitamin B12 injections should be received during treatment with Alimta.",Realistic,该句子在语法和语义上都是正确的。它提供了一个医疗建议，即在使用Alimta治疗期间，为了减少副作用，患者应该服用类固醇和叶酸，并接受维生素B12的注射。这符合医学常识和英语语法结构。,31,0
"Brazil 's strong economic performance and the popularity of its outgoing president , Luiz Inácio Lula da Silva , is reflected in a widely shared sense of progress .","A widely shared sense of progress reflects Brazil's strong economic performance and the popularity of its outgoing president, Luiz Inácio Lula da Silva.",Realistic,该句子在语法和语义上都是正确的。主语和谓语搭配合理，共享的进步感反映了巴西强劲的经济表现和即将离任总统路易斯·伊纳西奥·卢拉·达·席尔瓦的受欢迎程度，句子表达了一个合理的观点，没有违反常识。,29,0
Note was also taken of the variety of different roles played by public welfare,Also note the variety of different roles that public welfare plays,Realistic,该句子在语法和语义上都是正确的。'Also note the variety of different roles that public welfare plays' 是一个完整的句子，使用了正确的时态和语法结构，表达了公益在不同领域中扮演多种角色的意思，没有违反常识。,14,0
"The NCUA chairman , Debbie Matz , welcomed the responsiveness of the two banks .","The responsiveness of the two banks was welcomed by the NCUA chairman, Debbie Matz.",Realistic,"该句子在语法和语义上都是正确的。'The responsiveness of the two banks'指两家银行的响应速度，'was welcomed by the NCUA chairman, Debbie Matz'表示国家信用合作社管理局（NCUA）的主席Debbie Matz对此表示欢迎，句子结构清晰，表达合理。",15,0
"Still , I figured the event 's envy-quotient back in the U.S.A. was near peerless .","Still, the event's envy-quotient back in the U.S.A. was figured by me to be near peerless.",Grammatical error,句中的'envy-quotient'不是一个标准的英语词汇，且'figured by me to be'这种表达方式不够地道，通常英语中会说'figured to be'或'I figured it to be'。此外，'near peerless'也有点不妥，因为peerless意味着无与伦比，没有同伴，所以前面加'near'有些多余。,16,1
Bill and Bonnie Quinlan are among the first beneficiaries of the new findings .,The new findings have benefited Bill and Bonnie Quinlan among the first.,Grammatical error,句中的“among the first”使用不当，应该明确指出受益者是在第一组中的哪些人，而不是简单的“among the first”。正确的表达可能是“among the first to benefit”或者“among those who benefited first”。,14,1
"They will also tell you that even if you hate heights , you can still balloon .","It will also be told to you that even if you hate heights, you can still be ballooned.",Realistic,这句话在语法上是正确的，使用了条件句型“even if”来表达即使你害怕高度，你仍然可以乘坐热气球。语义上，这句话表达了即使有某种恐惧，仍然可以进行某项活动的可能性，这在现实中是合理的。,17,0
"The microbe does grow better on phosphorus , but showing that it can live with arsenic instead raises the possibility that a life form using arsenic could occur naturally , either elsewhere on Earth or on another planet or moon where arsenic is more common .","The microbe grows better on phosphorus, but the fact that it can live with arsenic instead raises the possibility that a life form using arsenic could occur naturally, either elsewhere on Earth or on another planet or moon where arsenic is more common.",Realistic,这句话在语法和语义上都是正确的。它表达了一个关于微生物在含磷环境中生长更好的事实，同时提出了一个假设，即如果微生物可以在砷环境中生存，那么可能存在自然环境中使用砷的生命形式，这个假设在科学探索上是合理的，并不违反常识。句子结构清晰，没有语法错误。,46,0
"Generates text files so it should be easy to fix using any text editor , like Kate .","One can easily fix it by generating text files using any text editor, like Kate.",Realistic,这句话在语法和语义上都是正确的。'One'可以作为不定代词，表示泛指的某人或每个人，这句话的意思是任何人都可以通过使用像Kate这样的文本编辑器来生成文本文件来轻松地修复问题，这符合常识和语法规则。,18,0
"But the researchers found that the bacteria , discovered in Mono Lake , Calif. , is able to continue to grow after substituting arsenic for phosphorus .","The bacteria, discovered in Mono Lake, Calif., are able to continue growing after substituting arsenic for phosphorus, the researchers found.",Realistic,这句话在语法和语义上都是正确的。它使用了正确的时态和语态，句子结构清晰，表达了一个科学发现，即研究人员在加利福尼亚的莫诺湖发现了一种可以在替换磷后继续生长的细菌。这个句子没有语法错误，也没有违反常识。,27,0
"Iraq finally opened its doors after six years of war , and instead of U.S. companies , you have Asians and Europeans leading the way , said Ruba Husari , the editor of Iraq Oil Forum , an online news outlet .","Ruba Husari, the editor of Iraq Oil Forum, an online news outlet, said that after six years of war, Iraq finally opened its doors, and instead of U.S. companies leading the way, Asians and Europeans did.",Realistic,该句子在语法和语义上都是正确的。主语和谓语搭配合理，时态一致，并且表达了一个符合逻辑和常识的观点。,42,0
You can set each graph its own color .,Each graph can be set its own color by you.,Grammatical error,句子的结构不正确，应该使用被动语态的正确形式。正确的表达应该是 'Each graph can be set to its own color by you.' 或者简化为 'You can set each graph to its own color.',9,1
