sentence,mut_sentence,check,reason,tokens.num,mut.error
"Forged by a U.N. ad-hoc working group , the text is silent on how much money rich countries would give poor ones to cope with global warming over the short and long term .","Forged by a U.N. ad-hoc working group, the text was silent on how much money rich countries would give poor ones to cope with global warming over the short and long term.",Realistic,该句子在语法和语义上都是正确的。句子使用了被动语态，表达了联合国临时工作小组制定的文本在富国给穷国应对全球变暖的短期和长期资金支持方面保持沉默的情况。句子结构清晰，表达的意思符合逻辑，没有语法错误，也没有违反常识。,34,0
"The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .","The U.N.-sponsored climate conference -- characterized by unruly posturing and mutual recriminations -- is gaining renewed focus on Friday with the release of a document outlining ambitious greenhouse-gas reductions for the next 40 years, with industrialized nations expected to shoulder most of the burden in the near term.",Realistic,该句子在语法和语义上都是正确的。句子结构清晰，使用了恰当的从句和修饰语，表达了联合国气候大会及其特点，并合理预测了工业化国家在未来短期内将承担大部分减排负担的情况，没有违反常识。,48,0
"Those actions are really against the sporting spirit , which is part of the strategic decisions that favor taking advantages allowed by the rules .","Those actions were really against the sporting spirit, which was part of the strategic decisions that favored taking advantages allowed by the rules.",Grammatical error,句子中存在一些语法上的问题。首先，'sporting spirit' 通常用单数形式，所以应该是 'the sporting spirit'。其次，'taking advantages' 也不正确，因为 'take advantage of' 是固定短语，这里应该使用 'gaining advantages' 或 'taking advantage of the allowed benefits'。最后，'allowed by the rules' 这个短语的位置放置不当，应该直接放在它所修饰的名词 'advantages' 之前。,25,1
"Power is back on , and UCSF -LCB- medical center -RCB- seems to have quieted down for the night -LRB- they were doing triage out in the parking lot from the sound and lights of it -RRB- .","Power is back on, and UCSF-LCB-medical center-RCB-seems to have quieted down for the night (they are doing triage out in the parking lot from the sound and lights of it).",Grammatical error,该句子中存在一些语法问题。首先，'UCSF-LCB-medical center-RCB'这一串词之间没有使用空格，导致读起来不清晰，应该使用空格分隔。其次，'seems to have quieted down for the night'后面紧跟的括号内容应该用逗号与主句分开，以提高可读性。最后，括号内的句子结构也有些混乱，'from the sound and lights of it'这个短语在这里使用不太恰当。,38,1
"It is also the kind of libel politicians find useful , since it helps them strike a friendly posture on behalf of an important constituency .","It was also the kind of libel politicians found useful, as it helped them strike a friendly posture on behalf of an important constituency.",Realistic,这句话在语法和语义上都是正确的。'libel'指的是诽谤性的言论，这里指政客们发现这种诽谤对他们有用，因为它帮助他们在一个重要的选民群体面前保持友好的姿态。这个句子没有语法错误，也没有违反常识。,26,0
The second is the increasing stability of attitudes towards democracy and its core institutions .,The second was the increasing stability of attitudes towards democracy and its core institutions.,Realistic,这句话在语法和语义上都是正确的。主语是'The second'，可能指的是一系列项目或观察中的第二个点。谓语是'was'，与主语一致。'increasing stability of attitudes towards democracy and its core institutions'作为表语，表达了人们对民主及其核心制度的看法越来越稳定，这在语义上是合理的。,15,0
Is there any empirical support for this theory ?,Was there any empirical support for this theory?,Realistic,这句话在语法上是正确的，使用了正确的疑问句结构，并且语义上询问是否有经验性的支持，这是合理的提问。,9,0
What is Cerenia used for ?,What was Cerenia used for?,Realistic,这个句子在语法上是正确的，使用了过去时态的被动语态，询问Cerenia（可能是一个药物名、地名或专有名词）的用途，语义上表达清晰，没有明显的逻辑或常识错误。,6,0
"In combination with supportive measures such as other veterinary treatment or a special diet , Cerenia can also be used in the treatment of vomiting ( either as injection or as injection followed by tablets ) .","In combination with supportive measures such as other veterinary treatment or a special diet, Cerenia was also used in the treatment of vomiting (either as an injection or as an injection followed by tablets).",Realistic,该句子在语法和语义上都是正确的。它提到了药物Cerenia在配合其他支持性治疗措施，如其他兽医治疗或特殊饮食的情况下，用于治疗呕吐。句子结构清晰，使用了恰当的词汇和短语，没有明显的语法错误，也没有违反常识。,37,0
It was the first time anyone had showed that the loss of both copies of the same gene could lead to the eruption of a cancer .,It is the first time anyone is showing that the loss of both copies of the same gene can lead to the eruption of a cancer.,Grammatical error,在这个句子中，应该使用现在完成时态而不是现在时态，因为‘It is the first time’这个短语通常和现在完成时连用，表示‘这是第一次做某事’。正确的表达应该是‘It is the first time anyone has shown’。,27,1
