sentence,mut_sentence,check,reason,tokens.num,mut.error
"`` But it 's just that -- well , you know .","But they 's just that -- well , you know .",Realistic,"句子中的'ils'缺少了必要的元音字母，应该是'they are'或者'they're'。此外，'well, you know'部分虽然常用于口语中表示犹豫或不确定，但整个句子结构不完整，缺乏明确的谓语动词。",12,1
I walked along Shattuck between Delaware and Cedar at a few minutes before eight this morning .,I walked along Shattuck between Delaware and Cedar at a few minutes before eight that morning.,Realistic,这句话在语法和语义上都是正确的。使用了正确的时态，且句子表达清晰，没有违反常识。,17,0
The study is based on 195 personal interviews with senior officials of the social partners as representatives of national level peak organisations in fifteen European countries .,The study is based on 195 personal interviews with senior officials of those social partners as representatives of national level peak organisations in fifteen European countries.,Realistic,该句子在语法和语义上都是正确的。句子结构清晰，主语、谓语和宾语完整，同时使用了合适的介词和定语来修饰名词，表达了在15个欧洲国家进行的针对高级官员的195次个人采访的研究基础。,27,0
"Emerging genetic tests will be able to spot such cancer-susceptible individuals , ushering in what some scientists believe is a new age of predictive cancer diagnosis .","Emerging genetic tests will be able to spot such cancer-susceptible individuals, ushering in what some scientists believe is that new age of predictive cancer diagnosis.",Realistic,句子中的'that'在此上下文中不必要，应该去掉。正确的表达应该是'new age of predictive cancer diagnosis'而不是'new age of that predictive cancer diagnosis'。,27,1
"Ray White in Utah and Walter Bodmer , a researcher in Great Britain , are close to finding another gene involved with some types of colon cancer , thought to be on chromosome 5 .","Ray White in Utah and Walter Bodmer, a researcher in Great Britain, are close to finding another gene involved with those types of colon cancer, thought to be on chromosome 5.",Realistic,该句子在语法和语义上都是正确的。主语是两个人，谓语使用了复数形式，且句子结构清晰，表达了研究人员接近发现与结肠癌相关的基因，并指出该基因被认为位于第5号染色体上，这符合科学研究的表述方式。,35,0
"During the past 25 years , the number of balloonists those who have passed a Federal Aviation Authority lighter-than-air test have swelled from a couple hundred to several thousand , with some estimates running as high as 10,000 .","During the past 25 years , the number of balloonists these who have passed a Federal Aviation Authority lighter-than-air test have swelled from a couple hundred to several thousand , with some estimates running as high as 10,000 .",Grammatical error,句中存在语法错误，'these who' 应为 'those who'，并且 'balloonists these' 也不符合英语习惯，应去掉 'these' 或改为 'these balloonists'。另外，'lighter-than-air test' 前面应该使用定冠词 'the'。句子结构也较为笨拙，可以更加简洁。,39,1
"In time , and two drinks later , he was complaining bitterly about his wife , He was on the subject for ten minutes or so when he noticed the renewed interest in his listener -- it showed in the alert face and the suddenly bright eyes .","In time , and two drinks later , he was complaining bitterly about his wife , He was on the subject for ten minutes or so when he noticed the renewed interest in his listener -- they showed in the alert face and the suddenly bright eyes .",Realistic,该句子在语法和语义上都是正确的。使用了恰当的时态和表达方式来描述情境，没有明显的语法错误，也没有违反常识。,48,0
I might have got hit by that truck if it was n't for you .,I might have got hit by this truck if it was n't for me.,Realistic,这句话的语法结构有误，正确的说法应该是反映说话者避免了事故的发生。应该使用‘if it weren't for me’作为条件句的虚拟语气形式，而且通常在这种句子中，主语应该是‘I might have been hit’来表示过去可能发生的事情。因此，更正后的句子应该是‘I might have been hit by this truck if it weren't for me.’,15,1
"-- It is generally desirable to use older textbooks -- many of them , alas , out of print -- rather than newer ones .","It is generally desirable to use older textbooks -- many of they, alas, out of print -- rather than newer ones.",Grammatical error,句中的代词使用错误，应该是'many of them'而不是'many of they'。在英语中，'they'是主格形式，而在这里需要使用宾格形式的'them'。,25,1
"Needless to say , it was an interesting first session !","Needless to say, they were an interesting first session!",Realistic,该句子在语法和语义上都是正确的。'Needless to say' 是一个常用的短语，表示某事是显而易见的，不需要说出来。'They were an interesting first session' 表示对第一次会议（或课程等）的评价，认为它是有趣的。整个句子表达了对某个活动积极的第一印象，没有语法错误，也不违反常识。,11,0
