sentence,mut_sentence,check,reason,tokens.num,mut.error
"Balloon flights almost always occur at dawn or dusk , when the winds are lightest .","Balloon flights almost always occur at dawn or dusk, when the winds are heaviest.",Counterintuitive,气球飞行通常选择在风速较低的时候进行，以增加飞行的稳定性和安全性。然而，句子中提到在风速最重的时候（即黎明或黄昏）进行气球飞行，这与一般的飞行常识相违背。,16,1
U.S. special climate envoy Todd Stern rejected language requiring binding cuts of greenhouse-gas emissions for industrialized countries compared with voluntary ones by major emerging economies if they were not funded by the developed world .,U.S. special climate envoy Todd Stern accepted language requiring binding cuts of greenhouse-gas emissions for industrialized countries compared with voluntary ones by major emerging economies if they were not funded by the developed world.,Realistic,该句子在语法和语义上都是正确的。它使用了比较结构，表达了Todd Stern接受了某种条件下的语言要求，即如果由发达国家提供资金支持，工业化国家需要承诺具有约束力的温室气体减排，而主要新兴经济体则可以自愿减排。句子结构清晰，逻辑上没有矛盾，符合现实情境。,35,0
But it is only rarely analyzed from the economic viewpoint .,But it is only frequently analyzed from the economic viewpoint.,Realistic,句子在语法和语义上没有明显错误。'But it is only frequently analyzed from the economic viewpoint.'这句话表达的是一种转折，说明某事物经常只是从经济角度进行分析，这在语法和逻辑上都是通顺的。,11,0
"Except for the gas tank at Hustead 's Towing Service exploding and burning in downtown Berkeley , things here are quite peaceful .","Except for the gas tank at Hustead's Towing Service imploding and burning in downtown Berkeley, things here are quite peaceful.",Realistic,这句话在语法和语义上都是正确的。它描述了一个场景，除了Hustead的拖车服务公司的油箱在伯克利市中心爆炸并燃烧之外，其他地方都很平静。这个句子没有语法错误，也没有违反常识或逻辑。,23,0
The value of the securities dropped dramatically during the financial crisis and brought down the credit unions .,The value of the securities rose dramatically during the financial crisis and brought down the credit unions.,Counterintuitive,通常情况下，金融危机期间证券价值会下降，而不是上升。此外，证券价值的上升通常不会导致信用合作社的崩溃。此句子在逻辑上与一般的金融常识相违背。,18,1
"Some of the homeless , obviously , had pre-existing mental illness or addiction .","Some of the homeless, obviously, had pre-existing mental health or addiction.",Grammatical error,"句子缺少了必要的成分，如名词的复数形式或者与介词搭配的宾语。正确的表达应该是「Some of the homeless, obviously, had pre-existing mental health issues or addictions.」",14,1
Tricks such as those of Alonso and Ramos before the Ajax demonstrate wittiness but not the will to get remove of a sanction .,Tricks such as those of Alonso and Ramos before the Ajax hide wittiness but not the will to get remove of a sanction.,Grammatical error,句子中存在语法错误。正确的表达应该是「the will to get rid of a sanction」而不是「the will to get remove of a sanction」。另外，「before the Ajax」可能缺少了冠词「the」，应为「before the Ajax match」或「before the match against Ajax」以增加清晰度。此外，如果「Tricks such as those of Alonso and Ramos」指的是特定的行为或技巧，那么「hide wittiness」可能不是最佳表达，因为「hide」通常不与「wittiness」搭配，可能应为「masking their intentions with wit」等更合适的表达。,24,1
Books and software everywhere .,Books and software nowhere.,Grammatical error,句子缺少主语和谓语，且'nowhere'在此上下文中使用不当。应该提供更多的语境和正确的语法结构来表达意思。,5,1
"Brazil is the country which exercises most leadership in the region , mentioned by 19 % of respondents ( up from 18 % last year ) , followed by the United States ( 9 % , unchanged from last year ) and Venezuela ( 9 % , down from 11 % last year ) .","Brazil is the country which exercises most leadership in the region , mentioned by 19 % of respondents ( down from 20 % last year ) , followed by the United States ( 9 % , unchanged from last year ) and Venezuela ( 9 % , down from 11 % last year ) .",Realistic,该句子在语法和语义上都是正确的。它使用了正确的时态和语法结构，表达了调查结果，并给出了百分比的变化。句中的定语从句（which exercises most leadership in the region）也使用得当，修饰了先行词'Brazil'。,55,0
It could have been an accident `` .,It couldn't have been an accident.,Realistic,这句话在语法和语义上都是正确的。使用了情态动词 'couldn't have been' 表示对过去某个情况的非常确定的否定推测，意味着说话者认为某件事情不可能是偶然发生的。,8,0
I realized what was happening and screamed into the house for the dogs .,I ignored what was happening and screamed into the house for the dogs.,Realistic,句子在语法和语义上都是正确的。主语'I'忽略了发生的事情，并且向房子里大喊，要叫狗。句子表达了完整的意思，没有语法错误，也没有违反常识或逻辑。,14,0
Wedtech management used the merit system .,Wedtech management used the demerit system.,Realistic,句子结构完整，使用了正确的时态和语法形式。'Wedtech management'指的可能是某个具体公司的管理层，'used the demerit system'表明该公司管理层使用了某种缺点制度，这在语义上是通顺的。,7,0
"`` The sound of bells is a net to draw people into the church , `` he says .","The sound of bells is a trap to draw people into the church, he says.",Realistic,句子在语法和语义上都是正确的。主语是'The sound of bells'，谓语是'is'，宾语是'a trap to draw people into the church'，整个句子结构清晰，表达了一个观点或说法。,19,0
A retired professional killer,An active professional killer,Grammatical error,句子缺少主谓宾结构，无法表达完整的意义。应该包含一个主语和一个谓语动词，以及可能的目标或宾语。,4,1
"Together , the countries would cut emissions between 50 and 95 percent by 2050 .","Together, the countries would raise emissions between 50 and 95 percent by 2050.",Realistic,该句子在语法和语义上都是正确的。它表达了一个关于多个国家共同努力在未来提高排放量的计划，没有明显的语法错误，也没有违反常识或逻辑。,15,0
But they need not be to do their jobs well .,But they do not need to be to do their jobs well.,Realistic,这个句子在语法上是正确的，它表达了一个假设或条件句的否定形式，意思是说‘他们不需要做某事也能把工作做好’。句子结构上没有明显的错误，语义也符合逻辑。,11,0
But he did not know which gene or genes had disappeared .,But he did not know which gene or genes had appeared.,Realistic,句子在语法和语义上都是正确的。使用了不确定的代词'which'来指代未知的基因，符合英语表达习惯。,12,0
She can drop dead `` ! !,She can live forever `` ! !,Counterintuitive,句子内容违背了自然规律，因为人类无法永生。此外，句子中的`` ``符号使用不当，可能是语法错误或格式错误。,7,1
"Fresh trouble is following hard on the heels of the uproar around Josef Ackermann , CEO of Deutsche Bank : Deutsche Bank faces a multi-million pound fine in the USA .","Fresh trouble is following easy on the heels of the uproar around Josef Ackermann, CEO of Deutsche Bank: Deutsche Bank faces a multi-million pound fine in the USA.",Realistic,该句子在语法和语义上都是正确的。句子使用了合适的时态和语态，表达了德意志银行因Josef Ackermann事件可能面临的后果，没有发现语法错误或逻辑矛盾。,31,0
So you thought I did n't mean what I said .,So you thought I did mean what I said.,Grammatical error,句子中的 'did mean' 使用了不必要的过去时态。如果句子意图表达的是对过去所说内容的确认，应该使用一般现在时态 'mean'。正确的表达应该是 'So you thought I mean what I said' 或者如果想要强调过去某个时刻的意图，可以说 'So you thought I meant what I said at that time.',11,1
"The same is true of Citigroup , which agreed to pay 20.5 million dollars .","The same is false of Citigroup, which agreed to pay 20.5 million dollars.",Grammatical error,句中的'the same is false'使用不当，应该是'the same is true'或者直接说'Citigroup also agreed to pay...'。'The same'通常用来指代前面提到的相同情况或事实，而在这里用'the same is false'会导致语义上的混淆，因为通常我们不会说某事是错误的，然后又说明具体情况。,15,1
"His shout had been involuntary , something anybody might have done without thinking , on the spur of the moment .","His shout had been voluntary, something anybody might have done without thinking, on the spur of the moment.",Realistic,该句子在语法和语义上都是正确的。使用了正确的时态，表达了一个人在冲动之下自发喊叫的情况，符合常识和逻辑。,21,0
"Jamie S. Foster , an assistant professor of microbiology at the University of Florida , said the idea that arsenic could be substituted for phosphorus is n't new , but there has never been example where it was shown to work .","Jamie S. Foster, an assistant professor of microbiology at the University of Florida, said the idea that arsenic could be substituted for phosphorus isn't old, but there has never been example where it was shown to work.",Grammatical error,句中的「there has never been example where it was shown to work」存在语法错误，应使用复数形式「examples」。正确的表达应为「there has never been an example or examples where it was shown to work」或者「there has never been a situation in which it was shown to work」等。,42,1
"Some 34 % said they had confidence in their country 's Congress and 45 % in their government , the same as last year in both cases but up sharply from 2003 ( 17 % and 24 % respectively ) .","Some 34 % said they had confidence in their country 's Congress and 45 % in their government , the same as last year in both cases but down sharply from 2003 ( 17 % and 24 % respectively ) .",Realistic,该句子在语法和语义上均正确。句子使用了正确的时态和比较结构，表达了调查结果的百分比变化，并清楚地说明了与去年和2003年的比较情况。,41,0
"I have seen one or two men die , bless them .","I have seen none men die, bless them.",Grammatical error,"The phrase 'none men' is grammatically incorrect. 'None' is typically used as a pronoun to indicate zero quantity or absence, and it is not preceded by an article like 'a' or 'some'. The correct phrase should be 'no men' or simply 'men'. Additionally, the phrase 'bless them' seems out of context and is not semantically connected to the rest of the sentence.",12,1
