sentence,mut_sentence,check,reason,tokens.num,mut.error
"U.S. firms were in some cases at a disadvantage because rivals , particularly the Chinese and other government controlled energy firms , have markedly lower labor costs and are more prone to take risks because they do n't respond to shareholders .","U.S. firms were in some cases at the most disadvantage because rivals, particularly the Chinese and other government controlled energy firms, have the lowest labor costs and are most prone to take risks because they don't respond to shareholders.",Grammatical error,句中的短语使用有误，'at the most disadvantage' 应该是 'at the most disadvantaged' 或 'at a significant disadvantage'。另外，'because they don't respond to shareholders' 在语义上可能存在歧义，因为不回应股东并不是导致企业愿意承担风险的直接原因，可能需要更清晰的表述。,42,1
"It often is preceded by the development of polyps in the bowel , which in some cases become increasingly malignant in identifiable stages -- progressing from less severe to deadly -- as though a cascade of genetic damage might be occurring .","It often is preceded by the development of polyps in the bowel, which in some cases become most malignant in identifiable stages -- progressing from least severe to deadliest -- as though a cascade of genetic damage might be occurring.",Realistic,该句子在语法和语义上都是正确的。句子讲述了息肉在肠道中发展，并且有时会以可识别的阶段逐渐变为恶性，从最轻微到最致命，好像是一系列的基因损伤正在发生。这个句子没有语法错误，也没有违反常识或逻辑。,42,0
"Like most of the other 6,000 churches in Britain with sets of bells , St. Michael once had its own `` band `` of ringers , who would herald every Sunday morning and evening service .","Like the most of the other 6,000 churches in Britain with the best sets of bells, St. Michael once had its own `` band `` of ringers, who would herald every Sunday morning and evening service.",Grammatical error,"句中的「the most of the other 6,000 churches」在语法上不正确，应该使用「most of the other 6,000 churches」；另外，「St. Michael once had its own `` band `` of ringers」中，应使用「its own “band” of ringers」或者「St. Michael's own “band” of ringers」，因为教堂的名字不应该直接拥有「its」这样的物主代词。",36,1
Professor Donohue said some appeals judges might be intrigued by the idea that limiting instant communication from courtrooms might make trials fairer .,Professor Donohue said some appeals judges might be most intrigued by the idea that limiting instant communication from courtrooms might make trials fairest .,Realistic,该句子在语法和语义上都是正确的。句子结构清晰，主语是Professor Donohue，谓语是said，宾语从句中包含了可能引起某些上诉法官兴趣的观点，即限制法庭即时通讯可能会使审判更加公平。这个句子没有明显的语法错误，也没有违反常识或逻辑。,23,0
"An additional piece of evidence from the Senate : Holding other factors constant , such as incumbency advantages and regional factors , the difference between popular votes for Republican presidential and senatorial candidates in states conducting a Senate election turns out to be a positive function of how onerous the federal government 's tax burden is per state -LRB- a progressive tax rate hits higher - income states harder -RRB- .","An additional piece of evidence from the Senate : Holding other factors constant , such as incumbency advantages and regional factors , the difference between popular votes for Republican presidential and senatorial candidates in states conducting a Senate election turns out to be the most positive function of how onerous the federal government 's tax burden is per state -LRB- a progressive tax rate hits the highest income states hardest -RRB- .",Realistic,该句子在语法和语义上都是正确的。句子结构清晰，使用了恰当的从句和修饰语，表达了关于参议院选举和税收负担之间的关系。虽然句子较长且结构复杂，但其逻辑清晰，没有明显的语法错误或逻辑矛盾。,71,0
"In a well-known detective-story involving church bells , English novelist Dorothy L. Sayers described ringing as a `` passion that finds its satisfaction in mathematical completeness and mechanical perfection . ``","In a well-known detective-story involving church bells, English novelist Dorothy L. Sayers described ringing as a `` passion that finds its ultimate satisfaction in ultimate mathematical completeness and supreme mechanical perfection.''",Realistic,该句子在语法和语义上均正确。句子结构清晰，使用了正确的时态和语态，并且语义表达明确，没有逻辑矛盾或违反常识。,31,0
The familiarity of the Spanish is higher than that of the Ticos,The familiarity of the Spanish is highest than that of the Ticos,Grammatical error,比较级使用错误，应使用‘higher’而不是‘highest’。正确的表达应该是‘The familiarity of the Spanish is higher than that of the Ticos’，因为‘highest’通常用于三者或以上的比较。,12,1
"Jamie S. Foster , an assistant professor of microbiology at the University of Florida , said the idea that arsenic could be substituted for phosphorus is n't new , but there has never been example where it was shown to work .","Jamie S. Foster, an assistant professor of microbiology at the University of Florida, said the idea that arsenic could be substituted for phosphorus isn't newest, but there has never been best example where it was shown to work.",Grammatical error,句中的「isn't newest」应该改为「is not new」以保持语法正确性；另外，「best example where it was shown to work」应改为「the best example of it working」或「best evidence that it works」等更合适的表达方式。,42,1
"Generates text files so it should be easy to fix using any text editor , like Kate .","Generates text files so it should be easiest to fix using any text editor, like Kate.",Realistic,句子在语法和语义上都是正确的。主语 'Generates text files' 描述了一个动作，谓语 'should be easiest to fix' 正确地表达了使用文本编辑器解决问题的简便性，'like Kate' 是一个举例说明，指代了像 Kate 这样的文本编辑器。整个句子表达清晰，没有语法错误，也没有逻辑上的不合理之处。,18,0
State-owned China National Petroleum Corporation bid on more contracts than any other company and walked away with large stakes in contracts for two major fields .,State-owned China National Petroleum Corporation bid on the most contracts than any other company and walked away with the largest stakes in contracts for two major fields.,Grammatical error,比较级使用错误，应使用'than'来比较两者，而'most'通常用于三者或以上的比较。应改为'more contracts than'。另外，'bid on'通常不用来表示竞标成功，而只是表示参与竞标，如果要表达成功赢得合同，可以使用'won more contracts than'。,26,1
"It was the same bar , and it was two weeks later -- Saturday night , when he had an excuse to drink heavier than usual .","It was the same bar, and it was two weeks later -- Saturday night, when he had an excuse to drink heaviest than usual.",Grammatical error,比较级使用错误，应该使用比较级形式 'heavier' 而不是 'heaviest'。因为句子中出现了 'than usual' 这个比较短语，所以需要用比较级来表示与平时相比喝得更多。,27,1
"A test using new `` genetic probes `` showed that little Will Quinlan had not inherited a damaged retinoblastoma supressor gene and , therefore , faced no more risk than other children of developing the rare cancer .","A test using new `` genetic probes `` showed that little Will Quinlan had not inherited a damaged retinoblastoma supressor gene and , therefore , faced no most risk than other children of developing the rare cancer.",Grammatical error,句中存在语法错误。首先，'no most risk' 是不正确的表达，应该使用 'no more risk' 或 'less risk'。其次，'retinoblastoma supressor gene' 应该是 'retinoblastoma suppressor gene'。最后，在 'genetic probes' 前面使用引号是不必要的，除非这个词组在文中是特定用语。,38,1
The defense lawyers say they will also challenge the constitutionality of the death penalty and argue that the judge wrongly removed a juror who had been critical of prosecutors and that he improperly added pressure for a verdict by his unusual decision to direct the jury to deliberate over a weekend .,The defense lawyers say they will also challenge the constitutionality of the death penalty and argue that the judge wrongly removed the most critical juror who had been critical of prosecutors and that he improperly added the most pressure for a verdict by his most unusual decision to direct the jury to deliberate over a weekend.,Grammatical error,句子中存在一些语法上的问题。首先，'argue that the judge wrongly removed the most critical juror who had been critical of prosecutors' 这部分中，'the most critical juror'可能会让人感到有些冗余，因为'critical'在这里被重复使用，可能会造成理解上的困难。其次，'he improperly added the most pressure for a verdict' 这部分中，'added the most pressure'应该改为'applied the most pressure'或'exerted the most pressure'来使句子更加通顺。最后，'direct the jury to deliberate over a weekend' 这部分，虽然语法上没有错误，但从常识来看，法官通常不会直接指示陪审团在周末进行审议，这可能会造成语义上的误解。,52,1
There were relatively few cases reported of attempts to involve users in service planning but their involvement in service provision was found to be more common .,There were relatively few cases reported of attempts to involve users in service planning but their involvement in service provision was found to be most common.,Realistic,该句子在语法和语义上均正确。句子使用了相对较少的案例来描述在服务规划中涉及用户的尝试，同时指出在服务提供中发现用户参与是最常见的情况，这并不违反常识或逻辑。,27,0
"Of all scenes that evoke rural England , this is one of the loveliest : An ancient stone church stands amid the fields , the sound of bells cascading from its tower , calling the faithful to evensong .","Of all scenes that evoke rural England, this is one of the more lovely: An ancient stone church stands amid the fields, the sound of bells cascading from its tower, calling the faithful to evensong.",Realistic,这句话在语法和语义上都是正确的。它使用了形象生动的语言来描述一个典型的英国乡村景象，语法结构完整，没有明显的逻辑错误或违反常识。,39,0
Potential candidates may be discouraged from running less by the congressional salary than by the prospect of defeat at the hands of a Democratic opponent .,Potential candidates may be discouraged from running least by the congressional salary than by the prospect of worst defeat at the hands of a Democratic opponent.,Grammatical error,"句中使用了错误的比较结构。应该使用「more than」而不是「least by...than by...」。此外，「worst defeat」通常不需要前置定冠词「the」，除非特指某个具体的失败。正确的表达应该是「Potential candidates may be discouraged from running more by the prospect of a worst defeat at the hands of a Democratic opponent than by the congressional salary.""",26,1
"Of the approximately 200 sponsors of the recent march in Washington for the homeless , you chose to cite such groups as the National Association of Home Builders and the International Union of Bricklayers and Allied Craftsmen , insinuating that the march got its major support from self-serving groups that `` know a good thing when they see it , `` and that the crusade was based on greed or the profit motive .","Of the approximately 200 sponsors of the recent march in Washington for the homeless, you chose to cite such groups as the National Association of Home Builders and the International Union of Bricklayers and Allied Craftsmen, insinuating that the march got its greatest support from self-serving groups that `` know the best thing when they see it, '' and that the crusade was based on the most greed or the profit motive.",Grammatical error,"句子中存在一些语法错误。首先，'the most greed' 应该是 'the most greedy' 来修饰前面的名词 'crusade'。其次，'insinuating that the march got its greatest support from self-serving groups that 'know the best thing when they see it,'' 这部分句子的结构有些混乱，应该使用更加清晰的从句结构。另外，'and that the crusade was based on the most greedy or the profit motive' 中的 'or' 通常在这种情况下应该使用 'and' 来表明两个并列的概念。",74,1
"Still , I figured the event 's envy-quotient back in the U.S.A. was near peerless .","Still, I figured the event's envy-quotient back in the U.S.A. was near peerlier.",Grammatical error,单词 'peerlier' 不存在，正确的单词应该是 'peerless' 或其他表示比较级的词汇。此外，'envy-quotient' 这个词组并不常见，但从语义上看，应该是想表达某事物让人羡慕的程度。,16,1
Maybe it would be better to humor the guy and then make an exit .,Maybe it would be best to humor the guy and then make an exit.,Realistic,句子在语法和语义上都是正确的。'Maybe it would be best to humor the guy and then make an exit.'这句话表达了在某种情境下，最好是先迁就某人，然后再离开。这里没有语法错误，也没有违反常识或逻辑。,15,0
"But it is about a long term advantage , with a certain degree of indetermination , because the team can be eliminated first of change , and in addition with this action the players fulfil a sanction game and go to the second cycle of cards , in which the suspension by card accumulation takes place with one less than in the first cycle .","But it is about a longest term advantage, with a certain highest degree of indetermination, because the team can be eliminated first of biggest change, and in addition with this action the players fulfil a sanction game and go to the second cycle of cards, in which the suspension by card accumulation takes place with one least than in the first cycle.",Grammatical error,句子结构复杂且混乱，存在多处语法错误。例如，'a longest term advantage' 应为 'a long-term advantage'；'with a certain highest degree of indetermination' 语义不明确，可能应为 'with a certain degree of uncertainty'；'first of biggest change' 不符合语法，可能应为 'the biggest changes first'；'fulfil a sanction game' 应为 'fulfill a disciplinary game' 或 'fulfill a sanction'；'go to the second cycle of cards' 语义不清，可能应为 'move to the second stage of card sanctions'；最后，'with one least than in the first cycle' 应为 'with one less game than in the first cycle'。整体上，句子需要重新组织结构，明确语义。,65,1
