sentence,mut_sentence,check,reason,tokens.num,mut.error
"Proper English bells are started off in `` rounds , `` from the highest-pitched bell to the lowest -- a simple descending scale using , in larger churches , as many as 12 bells .","Proper English bells are started off in sequences, from the highest-pitched bell to the lowest -- a simple descending scale using, in larger churches, as many as 12 bells.",Realistic,这句话在语法和语义上都是正确的。它描述了正确的英语教堂钟声的启动顺序，从最高音的钟开始，逐级降低音调，形成降序音阶。这符合现实中较大的教堂可能使用的钟声编排方式。,35,0
"The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .","The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus on Friday with the release of a specific document outlining ambitious greenhouse-gas reductions over the next 40 years, with industrialized nations shouldering most of the burden in the short term.",Realistic,"该句子在语法和语义上均正确。句子结构清晰，使用了恰当的词汇和短语，如'unruly posturing', 'mutual recriminations', 'specific document', 'ambitious greenhouse-gas reductions'等，表达了联合国气候大会的最新进展和具体内容。句子中的从句和信息补充也符合英语习惯，没有逻辑上的矛盾或违背常识的地方。",48,0
They are based on dubious psychological and sociological theories rather than on educational experience .,These are based on dubious psychological and sociological theories rather than on educational experience.,Realistic,这句话在语法和语义上都是正确的。它表达了一个观点，即某些理论基于可疑的心理和社会学理论，而非教育经验。句子结构清晰，没有语法错误，且语义表达明确，不违反常识或逻辑。,15,0
"The guy is off his rocker , Haney thought to himself , and looked away from those eyes .","The guy is off his rocker, Haney thought to himself, and looked away from the guy's eyes.",Realistic,这句话在语法和语义上都是正确的。'off his rocker' 是一个非正式的短语，意思是某人疯了或有点精神错乱。'Haney thought to himself' 表示汉尼在心里这么想，而'looked away from the guy's eyes' 描述了他避免与那个人眼神交流的动作。整个句子表达清晰，没有语法错误，也不违反常识。,19,0
The p53 gene has just been implicated in lung cancer .,The p53 gene has just been implicated in this type of lung cancer.,Realistic,句子语法正确，'implicated in'表示'涉及到'，符合语义。,11,0
"Artur Runge-Metzger , who heads international climate negotiations on behalf of the European Commission , said the push by small island nations has `` put political pressure on the entire political process , '' in part because they are now unified and demanding action from emerging economies such as China and India .","Artur Runge-Metzger, who heads international climate negotiations on behalf of the European Commission, said the push by small island nations has `` put political pressure on the entire political process, '' in part because the small island nations are now unified and demanding action from emerging economies such as China and India.",Realistic,该句子在语法和语义上都是正确的。句子结构清晰，主语和谓语搭配得当，使用了合适的从句和引语，并且句子内容符合现实情况和逻辑关系。小岛屿国家统一立场，向新兴经济体如中国和印度施压，推动气候谈判进程，这符合国际政治的现实情况。,53,0
"While this theory is exceedingly simple , it appears to explain several things .","While this theory is exceedingly simple, the theory appears to explain several things.",Realistic,句子在语法和语义上都是正确的。While引导的让步状语从句表明理论极其简单，主句说明这个理论似乎能解释几件事情，句子结构清晰，表达合理。,14,0
"Now he recalled it very clearly , and wondered what the truck driver had seen in those eyes to make him back off .","Now he recalled the event very clearly, and wondered what the truck driver had seen in those eyes to make him back off.",Realistic,句子在语法和语义上都是正确的。主语(now he)回忆起事件并且清晰地思考卡车司机为什么会因为看到某些东西而退却，句子表达了完整的意思，没有语法错误，也没有违反常识或逻辑。,24,0
It could have been an accident `` .,This could have been the accident.,Realistic,这句话在语法上是正确的，使用了情态动词 'could have been' 表示对过去可能发生的事情的推测，符合英语语法规则。,8,0
"As the economists Ian Goldin and Geoffrey Cameron , remind us in a recent book summarising the most recent knowledge of immigration ( Exceptional People : How Migration Shaped Our World and Will Define Our Future , mai 2011 , Princeton University Press , 352 pp . ) , there is wide consensus among specialists on the positive impact of migration flows on economic growth , wages and employment in countries , which admit immigrants .","As the economists Ian Goldin and Geoffrey Cameron, remind the readers in a recent book summarizing the most recent knowledge of immigration (Exceptional People: How Migration Shaped Our World and Will Define Our Future, mai 2011, Princeton University Press, 352 pp.), there is wide consensus among specialists on the positive impact of migration flows on economic growth, wages, and employment in the countries that admit immigrants.",Grammatical error,句子中的定语从句使用了错误的介词。在引用书名时，应该使用'in'而不是'of'来引导定语从句，因为这里指的是书中的内容，而不是移民知识的所属。另外，'mai 2011'应该是'May 2011'，以正确的英文月份格式表示。,76,1
"Because the poll has been taken regularly since 1995 , it tracks changes in attitude across the region .","Because the poll has been taken regularly since 1995, the poll tracks changes in attitude across the region.",Realistic,句子在语法和语义上都是正确的。因为使用了现在完成时态，表明从1995年至今，调查一直在定期进行，所以能够追踪该地区态度的变化。,19,0
