sentence,mut_sentence,check,reason,tokens.num,mut.error
Cerenia contains the active substance maropitant and is available as tablet or as solution for injection .,The active substance maropitant is contained by Cerenia and available it is as a tablet or as a solution for injection.,Grammatical error,句子的结构不正确，'available it is'不符合英语的语法结构。应该使用'it is available'。,17,1
"They know that whenever government is redistributing wealth , regulating commerce or maintaining a large defense establishment , there is big money to be made in influencing , brokering or selling the processes and decisions of government .","Whenever government is redistributing wealth, regulating commerce, or maintaining a large defense establishment, they know there is big money to be made in influencing, brokering, or selling the processes and decisions of government.",Realistic,该句子在语法和语义上都是正确的。句子使用了复合句结构，主从句之间逻辑关系清晰，没有明显的语法错误，且表达的意思符合现实世界中政府行为与商业利益之间的关系。,38,0
But there was no way to prove Dr. Knudson 's `` two-hit `` theory .,But no way was there to prove Dr. Knudson's `` two-hit '' theory.,Grammatical error,句子的结构不够清晰，应该使用更常见的句式来表达。通常情况下，我们会说 'There was no way to prove...' 而不是 'But no way was there to prove...'。这里的倒装结构在这个上下文中显得不必要且不自然。,15,1
But there still are not enough ringers to ring more than six of the eight bells .,But still are there not enough ringers to ring more than six of the eight bells.,Grammatical error,"句子的结构不正确，应使用完全倒装结构，并且'reingers to ring'应该改为'ringers who can ring'来使语义更加清晰。正确的表达应该是 'But still, are there not enough ringers who can ring more than six of the eight bells?'",17,1
"Then , at a signal , the ringers begin varying the order in which the bells sound without altering the steady rhythm of the striking .","Then , at a signal , the ringers begin varying the order in which the bells sound , without the steady rhythm of the striking being altered.",Realistic,该句子在语法和语义上都是正确的。句子描述了一个场景，即在信号之后，铃铛演奏者开始改变铃铛发声的顺序，同时保持了敲击的稳定节奏。句子结构清晰，没有语法错误，且表达的意思符合逻辑。,26,0
"Besides being a `` minority-owned company `` Wedtech was located in the South Bronx , a blighted area , made famous by Jimmy Carter in his 1976 presidential campaign .","Wedtech, besides being a `` minority-owned company, '' was located in the South Bronx, an area blighted, made famous by Jimmy Carter in his 1976 presidential campaign.",Realistic,该句子在语法和语义上都是正确的。句子使用了逗号分隔两个独立的部分，第一部分介绍了Wedtech公司的性质，第二部分描述了公司的地理位置以及该地区因吉米·卡特总统竞选而闻名。句子没有明显的语法错误，也没有违反常识或逻辑。,30,0
"As if the problems at home were not already enough for Deutsche Bank , the industry giant 's past in the USA is now also catching up with it . Frankfurt-based Deutsche Bank will pay 145 million dollars ( 106 million Euros ) to settle disputes arising from the bankruptcy of five major credit unions during the financial crisis .","As if the problems at home were not enough already for Deutsche Bank, the industry giant, now its past in the USA is also catching up with it. To settle disputes arising from the bankruptcy of five major credit unions during the financial crisis, Deutsche Bank, based in Frankfurt, will pay 145 million dollars (106 million Euros).",Realistic,该句子在语法和语义上都是正确的。句子使用了虚拟语气（As if）来表示一种假设或讽刺的情况，并且提供了关于德意志银行在解决金融危机期间五个主要信用合作社破产引起的争议的具体信息。句子结构清晰，没有语法错误，且内容符合现实情况和逻辑。,60,0
"A cross-state econometric investigation , furthermore , reveals that , holding other factors constant , the difference between a state 's major - party vote going to the Republican gubernatorial candidate and the Republican share of the lower state house is a positive function of the state tax rate .","Furthermore, a cross-state econometric investigation reveals that, holding other factors constant, the difference between a state's major-party vote going to the Republican gubernatorial candidate and the Republican share of the lower state house is a positive function of the state tax rate, reveals.",Grammatical error,句子中存在重复的动词'reveals'，造成了语法上的冗余。另外，'a positive function of'后面应该接名词或名词短语，但在这里后面直接跟了'veals'，破坏了句子的结构。,50,1
In between came lots of coffee drinking while watching the balloons inflate and lots of standing around deciding who would fly in what balloon and in what order the baskets hold no more than four passengers .,"In between came lots of coffee drinking while watching the balloons inflate, and lots of standing around while deciding who would fly in which balloon and in what order no more than four passengers would the baskets hold.",Grammatical error,句子的结构较为复杂，且存在一些语法上的问题。首先，'In between came lots of coffee drinking' 这部分没有明确的主语，导致句子意思不完整。其次，'no more than four passengers would the baskets hold' 这部分使用了倒装句，但在这种语境下并不恰当，应该使用正常语序。此外，整个句子缺乏清晰的连接词，使得句子各个部分之间的关系不够明确。,37,1
Why are programs like this not eliminated ?,Why are not programs like this eliminated?,Grammatical error,在英语中，当使用助动词are时，疑问句中的否定形式通常是将not放在助动词之后，即 'Why are not' 应该是 'Why are not' 或 'Why aren't'。因此，句子应改为 'Why are programs like this not eliminated?' 或 'Why aren't programs like this eliminated?',8,1
