sentence,mut_sentence,check,reason,tokens.num,mut.error
"Part of the debate arisen in the related case is caused by the fact that has been carried out by team of the Real Madrid organization ( that in its hymn presumes of nobility and honor , and that has fined its players for analogous acts ) and by the dramatization orchestrated , apparently , by Mourinho , who adds one more to his expanded history of histrionic and provoking technician .","Part of the intense debate arising in the pertinent case is caused by the fact that has been carried out by the renowned team of the Real Madrid organization ( that, in its famous hymn, boasts of nobility and honor, and that has penalized its players for similar acts ) and by the dramatic orchestrations, seemingly, by Mourinho, who adds yet another chapter to his extensive history of the theatrical and provocative technician.",Grammatical error,"句子中存在多个语法问题。首先，'that has been carried out' 这个短语的主语缺失，应该明确指出是什么被实施了。其次，'that, in its famous hymn' 中的逗号使用不当，应该使用破折号或者将这部分与前面的句子更紧密地结合起来。此外，'who adds yet another chapter to his extensive history of the theatrical and provocative technician' 这个部分中，'technician' 应该是复数形式，因为这里指的是多次行为，而且这个表达方式有些拗口，可以更简洁地表达。",72,1
"In fact , he had only mentioned him on the spur of the moment .","In fact, he had merely mentioned him on a sudden spur of the moment.",Grammatical error,句中的'on a sudden spur of the moment'是冗余的，因为'spur of the moment'本身就意味着突然的冲动，无需再加'sudden'。正确的表达应为'he had merely mentioned him on the spur of the moment.',15,1
"In a report out last week , John Minna and colleagues at the National Cancer Institute say that about half the cells taken from lung cancer tissue they tested are missing this gene .","In a report released last week, John Minna and colleagues at the National Cancer Institute reportedly say that approximately half of the cells sampled from lung cancer tissue they examined are found to be missing this gene.",Realistic,该句子在语法和语义上均正确。主语John Minna和同事们，谓语say，宾语为that引导的宾语从句，从句中描述了研究内容和发现，使用了恰当的时态和被动语态，没有逻辑上的矛盾或违反常识。,34,0
The National Credit Union Administration ( NCUA ) is responsible for the US credit unions and intervenes in bankruptcies to protect customer deposits .,The National Credit Union Administration ( NCUA ) is primarily responsible for overseeing the US credit unions and frequently intervenes in bankruptcies to safeguard customer deposits .,Realistic,该句子在语法和语义上都是正确的。句子提到了国家信用合作社管理局（NCUA）主要负责监管美国的信用合作社，并且经常在破产事件中干预以保护客户存款，这符合该机构的职责和作用。,24,0
American companies walked away with stakes in just two of the 10 auctioned fields .,American companies managed to walk away with stakes in only two of the 10 auctioned fields.,Realistic,该句子在语法和语义上都是正确的。'managed to walk away with stakes in'表示美国公司设法获得了部分股份，这与句子中的'only two of the 10 auctioned fields'（仅有10个拍卖区域中的两个）在逻辑上是一致的，没有语法错误，也不违反常识。,15,0
The education establishment will fight against common sense every inch of the way .,The education establishment will relentlessly fight against common sense every inch of the way.,Realistic,这句话在语法上是正确的，使用了比喻的表达方式，意指教育体制在每一步都会不屈不挠地与常识进行斗争。从语义上看，这句话表达了某种观点或批评，没有明显的逻辑错误或违背生活常识。,14,0
"Very suddenly , the driver stopped swearing at them , turned on his heel and went back to his truck .","Very abruptly, the driver abruptly stopped swearing at them, swiftly turned on his heel, and calmly went back to his truck.",Realistic,"这个句子在语法和语义上都是正确的。使用了副词如'very abruptly', 'abruptly', 'swiftly', 和 'calmly'来描述司机行为的突然性和敏捷性，句子结构也符合英文的语法规则。",21,0
12:15 a.m .,Exactly at 12:15 a.m.,Realistic,这是一个时间表达方式，语法上没有错误，语义上表示凌晨12:15分，是准确的时间表达。,3,0
He was beginning to feel woolly .,He was gradually beginning to feel somewhat woolly.,Realistic,句子在语法和语义上都是正确的。'gradually beginning to feel somewhat woolly'是描述某人逐渐感到困惑或思维不清晰的合理表达。,7,0
Community property deal -- you know .,Community property deal -- as you surely know.,Realistic,句子使用了破折号来插入一个非正式的旁白或解释，这在英语中是常见的修辞手法。'Community property deal' 是句子的主题，而 'as you surely know' 是对读者的一个假定认知的说明，这在语义和语法上都是正确的。,7,0
