sentence,mut_sentence,check,reason,tokens.num,mut.error
"The microbe does grow better on phosphorus , but showing that it can live with arsenic instead raises the possibility that a life form using arsenic could occur naturally , either elsewhere on Earth or on another planet or moon where arsenic is more common .","The microbe does grow better on phosphorus, but demonstrating that it can live with arsenic instead raises the possibility that a life form using arsenic could potentially occur naturally, either in other locations on Earth or on a different planet or several moons where arsenic is more prevalent.",Realistic,该句子在语法和语义上都是正确的。它表达了一个关于微生物在砷环境下可能生存的假设，并且没有违反常识或逻辑。句子结构清晰，语法正确，符合科学探索的语境。,46,0
A comprehensive development policy for governors over 30 would seem to be a more pressing need .,"A comprehensive development policy for governors over a certain age, such as 30, would seem to be a more urgent need.",Realistic,这句话在语法和语义上都是正确的。它提出了一个观点，即对于一定年龄（例如30岁）的州长来说，一个全面的发展政策似乎是一个更紧迫的需求。这个句子没有明显的语法错误，也没有违反常识或逻辑。,17,0
It 's hard to accept that it 's over and only took 15 seconds .,It's hard to accept that it's over and only took a few seconds.,Grammatical error,句子中的时态和动词形式不一致。'took' 应该改为 'has taken' 或 'only took' 应改为 'only lasted' 以保持时态的一致性。,15,1
"Key speakers at the social exclusion conference were ( left to right ) Cristina Louro , Employment , Industrial Relations and Social Affairs Directorate , European Commission Fernando Gomes , a high degree of Committee of the Regions Barbara Weiler , Member of the European Parliament José Maria Gil-Robles , Vice-President , European Parliament and John Carroll , Economic and Social Committee .","Key speakers at the social exclusion conference were ( from left to right ) Cristina Louro, Employment, Industrial Relations and Social Affairs Directorate, European Commission Fernando Gomes, a high-level Committee of the Regions Barbara Weiler, several Members of the European Parliament José Maria Gil-Robles, Vice-President, European Parliament and John Carroll, Economic and Social Committee.",Realistic,该句子在语法和语义上都是正确的。它列出了参加社会排斥会议的关键发言者，并按照从左到右的顺序列出。句子结构清晰，没有明显的语法错误，也没有违反常识或逻辑。,63,0
"While the Europe and world champions , number one one in the monthly top of FIFA , have a long record of Class A inter selection , the Tricolor has only the defender Michael Umana as the only one who has 50 international games .","While the Europe and world champions, the top-ranked in the monthly FIFA standings, have a lengthy record of Class A international selection, the Tricolor has only the defender Michael Umana as the sole player with over a dozen international games.",Grammatical error,句子中存在一些语法上的不准确之处。首先，'Europe and world champions' 应该有定冠词 'the' 来指明特定的一组冠军。其次，'the top-ranked in the monthly FIFA standings' 中的 'the' 和 'top-ranked' 之间不需要定冠词，因为 'top-ranked' 已经表示最高排名的单一实体。此外，'Class A international selection' 这个短语在足球术语中不常见，可能是想表达 'Class A international matches' 或 'senior international matches'。最后，'the Tricolor' 指代不明确，可能需要解释是哪支球队的昵称，并且 'as the sole player with over a dozen international games' 这个短语结构略显笨拙，可以简化。,45,1
A whole morning of ballooning and I had been off the ground barely 30 minutes .,A whole morning of ballooning and I had been off the ground barely a half-hour.,Realistic,句子在语法和语义上都是正确的。主语'I'和谓语'had been off'构成了正确的时态搭配，表示过去完成时态，符合描述过去某个时间点之前发生的动作。句子表达了尽管花了一个早上进行热气球飞行，但实际上离开地面只有半小时的意思，这在逻辑上是合理的。,16,0
Russian companies Lukoil and Gazprom were the top stakeholders in two of the contracts awarded this weekend .,Russian companies Lukoil and Gazprom were the top stakeholders in a couple of the contracts awarded this weekend.,Realistic,该句子在语法和语义上都是正确的。句子主语是Russian companies Lukoil and Gazprom，谓语动词是were，并且使用了被动语态，表达了这两家公司是某些合同的顶级利益相关者。句子中的时间状语this weekend也恰当地指明了合同授予的时间。整个句子表达清晰，没有语法错误，也没有逻辑上的矛盾。,18,0
"The scientists say that since breast cancer often strikes multiple members of certain families , the gene , when inherited in a damaged form , may predispose women to the cancer .","The scientists say that since breast cancer often strikes several members of certain families, the gene, when inherited in a damaged form, may predispose women to the cancer.",Realistic,该句子在语法和语义上都是正确的。句子使用了正确的时态和语态，表达了科学家的发现，即乳腺癌基因在受损形式遗传时可能会使女性易患癌症，这符合遗传学和医学的常识。,32,0
It will take a little time .,It will take some time.,Realistic,句子'It will take some time.'在语法上是正确的，表示某事将需要一些时间，语义上也没有问题，符合常理。,7,0
"Prior to 1932 , the pattern was nearly the opposite .","Prior to the early 1930s, the pattern was nearly the opposite.",Realistic,句子在语法和语义上都是正确的。使用了正确的时态，句子结构清晰，表达了一个时间上的对比关系。,11,0
"kalgebra main window consists in a Console tab , a 2D Graph tab , a 3D Graph tab and a Dictionary tab .","kalgebra main window consists in a Console tab, a couple of 2D Graph tabs, a few 3D Graph tabs and a Dictionary tab.",Grammatical error,句中的动词短语使用不当，应使用「consist of」而不是「consist in」。另外，「a couple of 2D Graph tabs」和「a few 3D Graph tabs」中的数量词用法不够明确，如果是想表达数量应该使用「two 2D Graph tabs」或「several 3D Graph tabs」等更具体的表达。,23,1
The education establishment will fight against common sense every inch of the way .,The education establishment will fight against common sense every step of the way.,Realistic,这句话在语法上是正确的，使用了将来时态，表达了教育体制在每一步都将与常识进行斗争的观点。从语义上看，这是一个主观的陈述，表达了作者对教育体制的看法，没有违反常识或逻辑上的矛盾。,14,0
"Emerging genetic tests will be able to spot such cancer-susceptible individuals , ushering in what some scientists believe is a new age of predictive cancer diagnosis .","Emerging genetic tests will be able to spot several cancer-susceptible individuals, ushering in what a group of scientists believe is a new era of predictive cancer diagnosis.",Realistic,该句子在语法和语义上均正确。句子使用了将来时态，表达了未来遗传测试能够识别易患癌症的个体的可能性，同时提到了科学家们认为这将开启预测性癌症诊断的新纪元，这符合当前科学研究的预期和逻辑。,27,0
