sentence,mut_sentence,check,reason,tokens.num,mut.error
"It is the kind of libel the teachers ' unions do not mind spreading , for their own narrow purposes .","The teachers' unions do not mind spreading the kind of libel, for their own narrow purposes.",Realistic,这句话在语法和语义上都是正确的。句子使用了名词所有格 'teachers' unions' 来指代教师的工会，并且使用了现在时态 'do not mind' 来表达工会对某种行为的容忍态度。此外，'spreading the kind of libel' 指的是传播某种诽谤，而 'for their own narrow purposes' 描述了他们这么做的目的。整个句子表达了工会为了自己的狭隘目的而不介意传播诽谤的意思，这在语义上是通顺的。,21,0
"The World Labor Organisation estimates that for example in Germany , an immigrant arriving at the age of 30 , will make a net contribution ( receipts less expenditure ) of an average of 150,000 Euros to public budgets during his lifetime .","The World Labor Organisation estimates that for example in Germany, an immigrant who arrives at the age of 30 will, on average, contribute a net amount of 150,000 Euros to public budgets (receipts minus expenditure) over his lifetime.",Realistic,该句子在语法和语义上都是正确的。它使用了正确的时态和结构，提供了具体的数据和例子，没有明显的逻辑或常识错误。,43,0
"One of the reasons American students do so poorly in math tests , as compared with British , French , German or Japanese students , is the influence of the `` New Math `` on American textbooks and teaching methods .","The influence of the `` New Math '' on American textbooks and teaching methods is one of the reasons why American students do so poorly in math tests, as compared with British, French, German or Japanese students.",Realistic,这句话在语法和语义上都是正确的。它提出了一个观点，即‘新数学’对美国教材和教学方法的影响是美国学生在数学测试中表现不如英国、法国、德国或日本学生的原因之一。这个句子没有明显的语法错误，也没有违反常识或逻辑。,41,0
"When he paused to moisten his throat , the stranger broke in .","When he paused to moisten his throat, the stranger interrupted.",Realistic,句子在语法和语义上都是正确的。'paused to moisten his throat'表示某人停下来润喉，而'the stranger interrupted'表明一个陌生人打断了这一动作，整个句子描述了一个连贯的场景。,13,0
"Very suddenly , the driver stopped swearing at them , turned on his heel and went back to his truck .","Very suddenly, they made the driver stop swearing at them, and he turned on his heel and went back to his truck.",Realistic,这个句子在语法和语义上都是正确的。它描述了一个场景，其中他们突然使得司机停止了对他们的咒骂，并且司机立刻转身回到了他的卡车里。句子使用了合适的时态和词汇，没有明显的语法错误，也没有违反常识或逻辑。,21,0
Downtown Bolinas seems to be the part of town that 's worst off .,It seems that Downtown Bolinas is the worst off part of town.,Realistic,该句子在语法和语义上都是正确的。'It seems that' 是一个常用的表达方式，用于引出观点或推测。'Downtown Bolinas is the worst off part of town' 描述了一个地区相对较差的经济或社会状况，这在语义上是通顺的，没有语法错误。,14,0
"Did n't feel a thing , but noticed some strange bird behavior .","A thing was not felt, but some strange bird behavior was noticed.",Realistic,句子在语法和语义上都是通顺的。使用了过去时态，表达了某物没有被感觉到，但是一些奇怪的行为被注意到了。这个句子没有明显的语法错误，也没有违反常识或逻辑。,13,0
Never in my life have I been so frightened .,Never in my life have I frightened so much.,Grammatical error,句中的动词短语应该使用过去分词形式，因为句子的结构是现在完成时，所以应该使用「frightened」的正确形式「been frightened」。正确的句子应该是「Never in my life have I been so frightened.」,10,1
"The latter are modish , trendy , often downright silly , and at best insubstantial .","Modish, trendy things are often downright silly, and at best insubstantial in the latter.",Grammatical error,"句中的'in the latter'使用不当，'latter'通常指代前面提到的两个事物中的第二个，但这里没有明确的两个事物对比，因此语义上不清晰。另外，'insubstantial'通常用来形容事物没有实质内容或者价值，但在这里与'modish, trendy things'的搭配上，如果作者意图表达的是这些事物缺乏深度或实质，应该使用更合适的表达方式。",16,1
"Seeking alternatives to early retirement and redundancy , the project is primarily concerned with the retention , reintegration and retraining of older workers .","The project is primarily concerned with seeking alternatives to early retirement and redundancy, as well as the retention, reintegration, and retraining of older workers.",Realistic,该句子在语法和语义上都是正确的。句子结构清晰，主语是‘The project’，谓语是‘is primarily concerned with’，后面跟着一系列由逗号分隔的宾语成分，表达了项目的关注点，包括寻找替代早退休和裁员的方案，以及关于年长工人的保留、重新整合和再培训。这些内容在语义上没有矛盾，符合现实情况。,24,0
"Felisa Wolfe-Simon of NASA 's Astrobiology Institute , who led the study , targeted Mono Lake because it has high arsenic levels .","Felisa Wolfe-Simon of NASA's Astrobiology Institute, who led the study, targeted Mono Lake because it possesses high arsenic levels.",Realistic,该句子在语法和语义上均正确。主语是Felisa Wolfe-Simon，她是NASA Astrobiology Institute的研究领导者，句子描述了她选择研究Mono Lake的原因，因为该湖含有高水平的砷。句子结构清晰，表达合理。,23,0
Our teachers are not an important factor in our educational crisis .,Our educational crisis does not involve our teachers as an important factor.,Grammatical error,"句子的结构不够清晰，应当明确指出教师是危机的一个重要因素。可以改为“Our educational crisis does involve our teachers as an important factor.”或者“Our educational crisis does not involve our teachers, who are an important factor.”当前句子使用了否定词“not”，但结构上暗示教师不是重要因素，这可能不是作者的意图。",12,1
"Cupboard doors were flying , the trash can in the kitchen walked a few feet , the dogs came running , and I scooted them into the dog run and stood in the doorway myself , watching the outside trash cans dance across the concrete .","Cupboard doors were flying, the trash can in the kitchen walked a few feet, the dogs were running, and I scooted them into the dog run and stood in the doorway myself, watching the outside trash cans dance across the concrete.",Realistic,这句话在语法和语义上都是正确的。描述了一个场景，其中橱柜门在飞，厨房的垃圾桶移动了几英尺，狗在跑，而说话者将狗赶到狗舍，并站在门口观察外面的垃圾桶在混凝土上跳舞。虽然这个场景可能有些不寻常，但它并没有违反语法规则，也没有逻辑上的矛盾，可以是一个生动的描绘或者比喻表达。,46,0
That it has held up during the world financial crisis is probably because many Latin American countries suffered only a brief recession and have enjoyed a strong recovery .,The fact that it has held up during the world financial crisis is probably because many Latin American countries only suffered a brief recession and have enjoyed a strong recovery.,Realistic,该句子在语法和语义上都是正确的。主语是'The fact'，谓语是'is probably because'，结构清晰，表达的意思是拉美国家在金融危机中仅经历了短暂的衰退，之后经济恢复强劲，这是事实能够持续的原因，符合常识和逻辑。,29,0
What benefit has Alimta shown during the studies ?,The studies have shown what benefit Alimta has.,Realistic,句子在语法和语义上都是正确的。使用了现在完成时态，表达了过去的研究对现在产生的影响，且语义上表达了Alimta的益处已经被研究证实。,9,0
"I felt the temblor begin and glanced at the table next to mine , smiled that guilty smile and we both mouthed the words , `` Earth-quake ! `` together .","The temblor began and I felt it, glancing at the table next to mine. I smiled that guilty smile and we both mouthed the words, 'Earth-quake!' together.",Realistic,句子在语法和语义上都是正确的。主语感受到了地震('I felt it')，并且在描述一个场景，其中他和另一个人在地震发生时异口同声地说出'Earthquake!'。句子没有明显的语法错误，也没有违反常识或逻辑。,31,0
"If I were to ask a sample of American parents , `` Do you wish the elementary schools to encourage creativity in your children ? `` the near-unanimous answer would be , `` Yes , of course . ``","If a sample of American parents were asked, ""Do you wish the elementary schools to encourage creativity in your children?"" the near-unanimous answer would be, ""Yes, of course.""",Realistic,该句子在语法和语义上都是正确的。使用了条件句型，表达了美国父母对于学校鼓励孩子创造力的普遍期望，符合常理和逻辑。,39,0
