sentence,mut_sentence,check,reason,tokens.num,mut.error
"I have based the syntax basically on common sense , it should not be hard for anyone .","I base the syntax basically on common sense, it should not be hard for anyone.",Grammatical error,句中的「base the syntax basically on」使用了不必要的重复词（basically 和 base 有相同的意思基础），应该去掉「basically」；另外，「it should not be hard for anyone」在语法上没有问题，但在上下文中，如果前面提到的是关于语法规则，那么这个表述可能会让人感觉有些主观，建议可以更具体地说明是哪些方面的语法。,18,1
"One of the reasons American students do so poorly in math tests , as compared with British , French , German or Japanese students , is the influence of the `` New Math `` on American textbooks and teaching methods .","One of the reasons American students did so poorly in math tests, as compared with British, French, German or Japanese students, was the influence of the 'New Math' on American textbooks and teaching methods.",Realistic,该句子在语法和语义上都是正确的。它提出了一个关于美国学生在数学测试中表现不佳的可能原因，并与英国、法国、德国或日本学生进行了比较。句子结构清晰，没有语法错误，且内容符合现实情况，没有逻辑矛盾。,41,0
"The parishioners of St. Michael and All Angels stop to chat at the church door , as members here always have .","The parishioners of St. Michael and All Angels stop to chat at the church door, as members here always do.",Realistic,该句子在语法和语义上都是正确的。使用了正确的时态，句子结构清晰，意思表达明确，没有逻辑上的矛盾或违反常识。,22,0
"Frankly , the market is very calm , observes Mace Blicksilver of Marblehead Asset Management .","Frankly, the market was very calm, observed Mace Blicksilver of Marblehead Asset Management.",Realistic,这句话在语法和语义上都是正确的。'Frankly'是一个副词，用于引入坦率的陈述；'the market was very calm'是一个简单过去时的句子，描述市场的状态；'observed Mace Blicksilver of Marblehead Asset Management'是一个分词独立结构，用于说明观察者的身份和背景。整个句子表达清晰，符合英语表达习惯。,16,0
"Eyes that were clear , but also bright with a strange intensity , a sort of cold fire burning behind them .","Eyes that are clear, but also bright with a strange intensity, a sort of cold fire burning behind them.",Realistic,该句子在语法和语义上都是正确的。它使用了形象的语言来描述眼睛的特征，表达了清晰而强烈的视觉效果，没有违反常识或逻辑，因此是符合实际的描述。,22,0
"But there is also a discordant , modern note in Aslacton , though it can not be heard by the church-goers enjoying the peal of bells this cool autumn evening .","But there was also a discordant, modern note in Aslacton, though it could not be heard by the church-goers enjoying the peal of bells that cool autumn evening.",Realistic,这句话在语法和语义上都是正确的。它使用了discordant和modern这样的形容词来描述Aslacton的某个特点，同时通过使用though引导的让步状语从句，表达了尽管有现代的不和谐音符存在，但它并没有被那个秋天的傍晚去教堂的人听到。整个句子结构清晰，表达合理，没有语法错误，也不违背常识。,31,0
"Why ca not we teach our children to read , write and reckon ?","Why can not we be teaching our children to read, write and reckon?",Grammatical error,句子中的 'can not' 应该使用 'cannot'，这是 'can' 的否定形式，需要连写。,14,1
"Brazil 's strong economic performance and the popularity of its outgoing president , Luiz Inácio Lula da Silva , is reflected in a widely shared sense of progress .","Brazil's strong economic performance and the popularity of its outgoing president, Luiz Inácio Lula da Silva, was reflected in a widely shared sense of progress.",Realistic,"该句子在语法和语义上均正确。主语'Brazil's strong economic performance and the popularity of its outgoing president, Luiz Inácio Lula da Silva'使用了并列结构，正确地反映了巴西经济表现强劲和前总统卢拉·达·席尔瓦受欢迎的情况。谓语动词'was reflected'在语法上是正确的，与主语的单数形式保持一致，并且句子表达的意思符合常识和逻辑。",29,0
"They will also tell you that even if you hate heights , you can still balloon .","They also tell you that even if you hate heights, you can still balloon.",Realistic,这句话在语法和语义上都是正确的。它表达了一个即使你害怕高度，仍然可以尝试热气球飞行的意思，没有语法错误，也没有违反常识。,17,0
"However , in both studies , patients whose cancer was not affecting squamous cells had longer survival times if they received Alimta than if they received the comparator .","However, in both studies, patients whose cancer is not affecting squamous cells have longer survival times if they receive Alimta than if they receive the comparator.",Realistic,该句子在语法和语义上都是正确的。句子使用了条件句的对比结构，表达了两组研究对象在接受不同治疗方法时的生存时间差异。句子中的词汇使用得当，语法结构清晰，没有逻辑上的矛盾或违反常识的地方。,29,0
