sentence,mut_sentence,check,reason,tokens.num,mut.error
"That s easy . With this , we can operate with functions like cos() , sin() , any other trigonometric functions , sum () or product () .","That's easy. With that, we can operate with functions like cos(), sin(), any other trigonometric functions, sum() or product().",Realistic,该句子在语法和语义上都是正确的。句子使用了逗号分隔的列表来列举不同的函数，这是英文中常见的表达方式。句子表达的意思清晰，没有语法错误，也没有违反常识或逻辑。,34,0
The damage brought about to the principles of the sport by these actions is not as much ethical as aesthetic .,The damage brought about to the principles of the sport by those actions is not as much ethical as aesthetic.,Grammatical error,句中的比较结构使用不当。在英语中，当比较的两件事物不是同一类别时，使用“not as much A as B”结构是不合适的。在这个句子中，“ethical”和“aesthetic”是两个不同类别的概念，因此不应该直接进行比较。正确的表达应该是指出两者之间的区别，而不是程度上的比较。,21,1
The defense lawyers say they will also challenge the constitutionality of the death penalty and argue that the judge wrongly removed a juror who had been critical of prosecutors and that he improperly added pressure for a verdict by his unusual decision to direct the jury to deliberate over a weekend .,The defense lawyers say it will also challenge the constitutionality of the death penalty and argue that the judge wrongly removed a juror who had been critical of prosecutors and that he improperly added pressure for a verdict by his unusual decision to direct the jury to deliberate over a weekend.,Realistic,该句子在语法和语义上都是正确的。它使用了正确的时态和语态，句子结构清晰，表达了一个合理的法律论点，没有违反常识或逻辑。,52,0
Suppose -- just suppose this guy was really what he said he was T ! !,Suppose -- just suppose that guy was really what he said he was T ! !,Realistic,这句话使用了假设语气（Suppose -- just suppose），这在英语中是表达假设或想象情境的常见方式。句中的感叹号表达了说话者对所提假设的强调或怀疑。虽然句尾有两个连续的感叹号，这在非正式交流中可以用来表达强烈的情感或强调，但这并不构成语法错误。句子的语义表达了怀疑某人是否真的是他所说的那样，这在逻辑上是通顺的。,16,0
How many government programs and policies exist because they line the pockets of political insiders ?,How many government programs and policies exist because this line the pockets of political insiders?,Grammatical error,句子中的'because'通常引导原因状语从句，但在这里它似乎被错误地用来表示目的。正确的表达应该是'to line the pockets of political insiders'，而不是'because this line the pockets of political insiders'。另外，'this'应该替换为'they'来指代前文提到的government programs and policies。,16,1
"Oncogenes must be present for a cell to become malignant , but researchers have found them in normal as well as in cancerous cells , suggesting that oncogenes do n't cause cancer by themselves .","Oncogenes must be present for a cell to become malignant, but researchers have found us in normal as well as in cancerous cells, suggesting that oncogenes don't cause cancer by themselves.",Realistic,这句话在语法和语义上都是正确的。它表达了关于癌基因（oncogenes）的一个科学发现，即癌基因不仅存在于癌细胞中，也存在于正常细胞中，暗示癌基因本身并不足以导致癌症，这与当前的科学理解相符。,35,0
It is given once every three weeks as an intravenous infusion lasting 10 minutes .,They are given once every three weeks as an intravenous infusion lasting 10 minutes.,Realistic,这句话在语法和语义上都是正确的。它说明了某物（可能是药物、治疗等）每三周通过静脉输注的方式给予一次，输注时间为10分钟，这符合现实生活中的医疗程序。,15,0
"Our pilot simply laughed , fired up the burner and with another blast of flame lifted us , oh , a good 12-inches above the water level .","Our pilot simply laughed, fired up the burner and with another blast of flame lifted them, oh, a good 12-inches above the water level.",Realistic,该句子在语法和语义上都是正确的。主语和谓语搭配合理，句子描述了一个具体的场景，没有语法错误，也没有逻辑上的矛盾。,28,0
"But there is also a discordant , modern note in Aslacton , though it can not be heard by the church-goers enjoying the peal of bells this cool autumn evening .","But there is also a discordant, modern note in Aslacton, though they can not be heard by the church-goers enjoying the peal of bells this cool autumn evening.",Realistic,这句话在语法和语义上都是正确的。使用了虚拟语气（can not be heard）来表示与现在事实相反的情况，即现代的音符并没能被正在享受教堂钟声的礼拜者们听到。这并不违反常识，而是描述了一个对比场景。,31,0
"In a landmark 1966 ruling , the United States Supreme Court overturned the conviction of a Cleveland osteopath , Dr. Sam Sheppard , for the murder of his wife , saying in its decision , Sheppard v. Maxwell , that there was a `` carnival atmosphere at trial '' because of the news media .","In a landmark 1966 ruling, the United States Supreme Court overturned that conviction of a Cleveland osteopath, Dr. Sam Sheppard, for the murder of his wife, saying in that decision, Sheppard v. Maxwell, that there was a ""carnival atmosphere at trial"" because of the news media.",Realistic,这句话在语法和语义上都是正确的。它提到了一个具体的历史事件，即1966年美国最高法院推翻了对一名克利夫兰整骨医生萨姆·谢泼德的谋杀定罪，理由是在审判过程中新闻媒体制造了‘狂欢节般的气氛’，这影响了审判的公正性。这个句子使用了正确的时态和语法结构，并且没有逻辑上的矛盾。,55,0
"Because the poll has been taken regularly since 1995 , it tracks changes in attitude across the region .","Because the poll has been taken regularly since 1995, they tracks changes in attitude across the region.",Grammatical error,主语和谓语在数上不一致。'they' 应该指代 'the poll'，但谓语 'tracks' 应该与单数主语 'it' 匹配，因为 'the poll' 是单数。,19,1
"As we know , voters tend to favor Republicans more in races for president than in those for Congress .","As we know, voters tend to favor Republicans more in races for president than in these for Congress.",Grammatical error,句中的比较结构不平行，'races for president' 应与 'races for Congress' 保持结构一致，以维持语法上的平行结构。正确的表达应为 'races for the presidency' 或 'in presidential races' 对应 'in congressional races'。,20,1
"It 's hard not to feel that God 's in his heaven with this kind of bird's-eye view of the world , even if your pilote in silly plaid beret kept pointing out how `` belle `` it all was .","It's hard not to feel that God's in his heaven with that kind of bird's-eye view of the world, even if your pilote in silly plaid beret kept pointing out how 'belle' they all were.",Grammatical error,句中的'pilote'应该是'pilot'，且在描述飞行员时使用'silly plaid beret'这样的形容词短语应该与飞行员保持一致，应为'your pilot in a silly plaid beret'。另外，'belle'应该使用复数形式，因为它们指的是多个事物，应为'belles'。,41,1
"Once there , what ways of escape are open to them other than drink , drugs or insanity ?","Once there, what ways of escape are open to us other than drink, drugs or insanity?",Realistic,这句话在语法和语义上都是正确的。它提出了一个问题，询问除了喝酒、吸毒或发疯之外，还有哪些逃避现实的方式。句子结构完整，没有语法错误，且语义清晰，不违背常识或逻辑。,19,0
"In a recent report , the Institute of Medicine pointed out that certain health problems may predispose a person to homelessness , others may be a consequence of it , and a third category is composed of disorders whose treatment is difficult or impossible if a person lacks adequate shelter .","In a recent report, the Institute of Medicine pointed out that certain health problems may predispose a person to homelessness, others may be a consequence of them, and a third category is composed of disorders whose treatment is difficult or impossible if a person lacks adequate shelter.",Realistic,该句子在语法和语义上都是正确的。句子使用了正确的时态和语态，清晰地表达了医学研究所的报告内容，说明了健康问题与无家可归之间的几种可能关系，没有出现逻辑矛盾或违反常识的情况。,51,0
