sentence.id,sentence,instance
senseval2.d000.s000,"The art of change-ringing is peculiar to the English , and , like most English peculiarities , unintelligible to the rest of the world .","['art', 'change-ringing', 'peculiar', 'English', 'most', 'peculiarities', 'unintelligible', 'rest', 'world']"
senseval2.d000.s001,"Dorothy L. Sayers , `` The Nine Tailors ``",['Tailors']
senseval2.d000.s002,"ASLACTON , England --",['England']
senseval2.d000.s003,"Of all scenes that evoke rural England , this is one of the loveliest : An ancient stone church stands amid the fields , the sound of bells cascading from its tower , calling the faithful to evensong .","['scenes', 'evoke', 'rural', 'England', 'loveliest', 'stone', 'church', 'stands', 'fields', 'sound', 'bells', 'cascading', 'tower', 'calling', 'faithful']"
senseval2.d000.s004,"The parishioners of St. Michael and All Angels stop to chat at the church door , as members here always have .","['parishioners', 'stop', 'chat', 'church', 'door', 'members', 'here', 'always']"
senseval2.d000.s005,"In the tower , five men and women pull rhythmically on ropes attached to the same five bells that first sounded here in 1614 .","['tower', 'men', 'women', 'pull', 'rhythmically', 'ropes', 'attached', 'same', 'bells', 'first', 'sounded', 'here']"
senseval2.d000.s006,"But there is also a discordant , modern note in Aslacton , though it can not be heard by the church-goers enjoying the peal of bells this cool autumn evening .","['also', 'modern', 'note', 'church-goers', 'enjoying', 'peal', 'bells', 'cool', 'autumn', 'evening']"
senseval2.d000.s007,"Like most of the other 6,000 churches in Britain with sets of bells , St. Michael once had its own `` band `` of ringers , who would herald every Sunday morning and evening service .","['most', 'other', 'churches', 'Britain', 'sets', 'bells', 'once', 'own', 'ringers', 'herald', 'Sunday', 'morning', 'evening', 'service']"
senseval2.d000.s008,"Now , only one local ringer remains : 64-year-old Derek Hammond .","['Now', 'only', 'local', 'ringer', 'remains']"
senseval2.d000.s009,The others here today live elsewhere .,"['here', 'today', 'live', 'elsewhere']"
senseval2.d000.s010,They belong to a group of 15 ringers -- including two octogenarians and four youngsters in training -- who drive every Sunday from church to church in a sometimes-exhausting effort to keep the bells sounding in the many belfries of East Anglia .,"['group', 'ringers', 'including', 'octogenarians', 'youngsters', 'training', 'drive', 'Sunday', 'church', 'effort', 'keep', 'bells', 'sounding', 'many', 'belfries']"
senseval2.d000.s011,"`` To ring for even one service at this tower , we have to scrape , `` says Mr. Hammond , a retired water-authority worker . ``","['even', 'service', 'tower', 'scrape', 'says', 'retired', 'worker']"
senseval2.d000.s012,"We 've tried to train the youngsters , but they have their discos and their dances , and they just drift away . ``","['tried', 'train', 'youngsters', 'discos', 'dances', 'just', 'drift', 'away']"
senseval2.d000.s013,Mr. Hammond worries that old age and the flightiness of youth will diminish the ranks of the East Anglian group that keeps the Aslacton bells pealing .,"['worries', 'flightiness', 'youth', 'diminish', 'ranks', 'group', 'keeps']"
senseval2.d000.s014,"History , after all , is not on his side .","['History', 'side']"
senseval2.d000.s015,"According to a nationwide survey taken a year ago , nearly a third of England 's church bells are no longer rung on Sundays because there is no one to ring them .","['nationwide', 'survey', 'taken', 'year', 'ago', 'nearly', 'England', 'church', 'bells', 'no', 'longer', 'rung', 'Sundays']"
senseval2.d000.s016,It is easy to see why the ancient art is on the ropes .,"['easy', 'see', 'ancient', 'art']"
senseval2.d000.s017,"The less complicated version of playing tunes on bells , as do the carillons of continental Europe , is considered by the English to be childish , fit only for foreigners .","['less', 'complicated', 'version', 'playing', 'tunes', 'bells', 'carillons', 'continental', 'Europe', 'considered', 'English', 'childish', 'fit', 'only', 'foreigners']"
