instance.word,sentence,mut.sentence,check,check_llm,reason
stairs,"But C.J.B. Marshall , vicar of a nearby church , feels the fault is in the stairs from the bell tower that are located next to the altar .","But C.J.B. Marshall, vicar of a nearby church, feels the merit is in the stairs from the bell tower that are located next to the altar.",False,False,在这两个句子中，目标词'stairs'的含义没有改变。原句中使用的'fault'和变异句中使用的'merit'是两个不同的形容词，分别表示楼梯的缺陷和优点，但这并不影响'stairs'这个词本身的含义，它在这两个句子中仍然指的是从钟楼通向圣坛的楼梯。
building,This building shook like hell and it kept getting stronger .,This building shook like hell and it kept getting weaker.,False,True,原句中的目标词 'building' 所描述的状态是不断加强的震动，而变异句中的目标词 'building' 描述的状态是震动在减弱。因此，两个句子中目标词的具体含义存在明显差异。
notion,The notion that tracking is somehow `` undemocratic `` is absurd .,The notion that tracking is somehow `` democratic `` is absurd .,False,True,原句中的目标词'notion'指的是'追踪是某种程度上的“非民主”'的观念，而变异句中的目标词'notion'指的是'追踪是某种程度上的“民主”'的观念。两个句子中目标词'notion'的具体含义相反，因此结果为True。
reporting,"One of the most provocative is that the intense reporting on the trial - including mainstream reporters ' extensive use of Twitter - created a `` circus atmosphere '' and such widespread , instant saturation with inflammatory details that the jury was improperly swayed by public passions .","One of the most provocative is that the mild reporting on the trial - including mainstream reporters' extensive use of Twitter - created a `` circus atmosphere '' and such widespread, instant saturation with calming details that the jury was improperly swayed by public passions.",False,True,原句中的'reporting'使用了'intense'这个词来修饰，表示报道程度激烈、深入，而变异句中使用了'mild'来修饰'reporting'，表示报道程度温和、轻微。因此，两个句子中的目标词'reporting'含义有所不同。
kitty,"The rest of the amount was taken from its own kitty , which was well filled through the sale of business units .","The rest of the amount was left in its own kitty, which was well filled through the sale of business units.",False,True,原句中的目标词 'kitty' 指的是资金储备或资金来源，表示从这笔钱中取出了剩余的金额。而变异句中的 'kitty' 指的是这笔钱本身，表示剩余的金额仍然留存在资金储备中，没有动用。因此，两个句子中目标词的具体含义有所不同。
dramatic,"It flopped all around , real dramatic !","It flopped all around, fake dramatic!",False,True,在原句中，'dramatic'用来形容'It flopped all around'的方式，意味着动作发生得非常戏剧化、引人注目。而在变异句中，'fake dramatic'表明这种戏剧化的表现是不真实的，是假装的。因此，两个句子中的目标词虽然都是'dramatic'，但前者的含义强调的是戏剧化的程度，后者则强调戏剧化的真实性。
level,No student should be permitted to be graduated from elementary school without having mastered the 3 R 's at the level that prevailed 20 years ago .,No student should be permitted to be graduated from secondary school without having mastered the 3 R 's at the level that prevailed 20 years ago.,False,True,原句中的'level'指的是小学毕业生掌握3R（读、写、算）的水平，而变异句中的'level'指的是中学毕业生应达到的3R水平。由于小学和中学的教育阶段不同，因此这两个'level'所代表的学术水平要求是不同的。
finding,"Ray White in Utah and Walter Bodmer , a researcher in Great Britain , are close to finding another gene involved with some types of colon cancer , thought to be on chromosome 5 .","Ray White in Utah and Walter Bodmer, a researcher in Great Britain, are close to finding another gene unrelated to some types of colon cancer, thought to be on chromosome 5.",False,True,原句中的'finding'指的是研究者们接近于找到与某些类型的结肠癌相关的基因，而变异句中的'finding'指的是研究者们接近于找到与某些类型的结肠癌无关的基因。两个句子中目标词'finding'的含义相反，因此结果为True。
support,US banks repay state support,US banks owe state support,False,True,原句中的'support'指的是已经提供的帮助或资金支持，并且银行正在偿还这一支持。而变异句中的'support'意味着银行仍然欠着国家的支持，即还未偿还或未完成对国家的义务。因此，两个句子中'support'的含义和语境有所不同。
ground,Technology securities have thereby lost some ground .,Technology securities have thereby gained some ground.,False,True,在原句中，'lost some ground' 意味着技术证券失去了一部分优势或市场份额；而在变异句中，'gained some ground' 意味着技术证券获得了一些优势或市场份额。因此，两个句子中的目标词 'ground' 在含义上相反，表示动作的不同方向，一个是失去，另一个是获得。
