instance.word,sentence,mut.sentence,check,check_llm,reason
pilot,"`` Attention , `` yelled our pilot as our basket plunged into the canal .","Attention, yelled our pilot as our basket plunged into the river.",False,False,在这两个句子中，目标词‘pilot’的含义没有改变，都是指驾驶热气球或船只的人。原句中的‘canal’和变异句中的‘river’虽然指的是不同的水域，但这并不影响‘pilot’这个词的含义。
add,Anyone who wants to appreciate just how bizarre this situation is -- with students who ca not add or subtract `` learning `` the conceptual basis of mathematical theory -- should read the article by Caleb Nelson ( himself a recent math major at Harvard ) in the November American Spectator .,Anyone who wants to appreciate just how bizarre this situation is -- with students who can not subtract or add `` learning `` the conceptual basis of mathematical theory -- should read the article by Caleb Nelson ( himself a recent math major at Harvard ) in the November American Spectator .,False,False,原句和变异句中的目标词'add'在句子中的含义没有改变，都是指基本的加法运算。两句话中只是把'add'和'subtract'的顺序调换了一下，但并不影响'add'这个词本身的含义。
variables,There you have a list of the declared variables .,There you have a list of the undeclared variables.,False,True,原句中的'variables'指的是已经声明（declared）的变量，而变异句中的'variables'指的是未声明（undeclared）的变量。这两个词汇在程序设计语境中含义相反，前者表示变量已经被定义，而后者表示变量尚未被定义。
bacteria,"The researchers collected the bacteria known as GFAJ-1 and exposed it to increasing concentrations of arsenic , which it was able to adapt to and grow .","The researchers collected the bacteria known as GFAJ-1 and exposed it to decreasing concentrations of arsenic, which it was able to adapt to and grow.",False,False,两个句子中的目标词'bacteria'含义相同，都是指研究人员收集的特定细菌种类GFAJ-1，并且两个句子描述的是这种细菌能够适应并生长在砷的不同浓度下，原句中使用的是'increasing concentrations'（逐渐增加的浓度），而变异句中使用的是'decreasing concentrations'（逐渐减少的浓度），这两个词汇变异描述的是砷的浓度变化，而不是'bacteria'这个词的含义变化。因此，目标词'bacteria'在这两个句子中的含义没有不同。
says,"A study by Tulane Prof. James Wright says homelessness is due to a complex array of problems , with the common thread of poverty .","A study by Tulane Prof. James Wright says homelessness is due to a simple array of problems, with the common thread of poverty.",False,True,原句中的'says'后面跟随的是'complex array of problems'，意味着研究指出无家可归是由一系列复杂的问题造成的；而变异句中的'says'后面跟随的是'simple array of problems'，意味着研究指出无家可归是由一系列简单的问题造成的。这里的'complex'和'simple'含义相反，因此尽管'says'在两个句子中的用法相同，但其指代的内容含义有明显的不同。
opposite,"Prior to 1932 , the pattern was nearly the opposite .","Prior to 1932, the pattern was exactly the opposite.",False,False,在这两个句子中，目标词'opposite'的含义是相同的。'nearly the opposite'和'exactly the opposite'都表示与之前的情况完全相反，差异仅仅在于程度副词'nearly'和'exactly'的使用，但这并不改变'opposite'本身的意思，它仍然指的是完全对立的状态。
market,"The trend was supported by the publication of better than expected economic indicators , which `` have contributed to improving market opinion in relation to the robustness of the economic recovery '' , summarised Charles Schwab 's analysts .","The trend was supported by the publication of worse than expected economic indicators, which ""have contributed to worsening market opinion in relation to the robustness of the economic recovery"", summarised Charles Schwab's analysts.",False,False,在这两个句子中，目标词'market'的含义没有改变。它指的是金融市场或投资者群体的看法或情绪。无论是在原句还是变异句中，'market opinion'都是指市场对经济复苏强劲程度的看法，只是预期的经济指标好坏不同，导致市场看法的改善或恶化，但'market'本身的含义没有区别。
see,"Of the approximately 200 sponsors of the recent march in Washington for the homeless , you chose to cite such groups as the National Association of Home Builders and the International Union of Bricklayers and Allied Craftsmen , insinuating that the march got its major support from self-serving groups that `` know a good thing when they see it , `` and that the crusade was based on greed or the profit motive .","Of the approximately 200 sponsors of the recent march in Washington for the housed, you chose to cite such groups as the National Association of Home Builders and the International Union of Bricklayers and Allied Craftsmen, insinuating that the march got its major support from self-serving groups that `` know a bad thing when they see it, '' and that the crusade was based on altruism or the non-profit motive.",False,True,原句中的'see it'指的是看到有利可图的事情，暗示这些团体支持游行的动机是基于贪婪或利润驱动；而变异句中的'see it'指的是看到不良的事情，暗示这些团体反对游行的动机是基于无私或非盈利的动机。因此，两个句子中'see'的具体含义相反。
seriously,"I know many schoolteachers and , on the whole , they are seriously committed to conscientious teaching .","I know many schoolteachers and, on the whole, they are seriously uncommitted to conscientious teaching.",False,True,原句中的'seriously'用来加强肯定语气，表示老师们非常致力于认真教学；而变异句中的'seriously'用来加强否定语气，表示老师们在认真教学方面非常不投入。因此，两个句子中的'seriously'在含义上存在明显差异。
reason,"The reason is simple : Education takes place in the classroom , where the influence of money is minimal .","The reason is complex: Education takes place in the classroom, where the influence of money is minimal.",False,False,在这两个句子中，目标词'reason'的含义并没有改变。'reason'在原句和变异句中均指的是导致某个结论或情况的解释或动机，原句中的'reason is simple'和变异句中的'reason is complex'只是描述了这个原因的属性，而不是改变了'reason'这个词本身的含义。
