instance.word,sentence,mut.sentence,check,check_llm,reason
way,"Iraq finally opened its doors after six years of war , and instead of U.S. companies , you have Asians and Europeans leading the way , said Ruba Husari , the editor of Iraq Oil Forum , an online news outlet .","Iraq finally closed its doors after six years of peace, and instead of U.S. companies, you had Asians and Europeans following the way, said Ruba Husari, the editor of Iraq Oil Forum, an online news outlet.",False,True,原句中的目标词 'leading the way' 意味着在伊拉克战争六年后开放时，亚洲人和欧洲人走在前面，起着引领作用；而变异句中的 'following the way' 则意味着在和平六年后的关闭过程中，亚洲人和欧洲人是在跟随或模仿别人的做法。因此，这两个短语中 'way' 的含义有所不同，一个是引领，一个是跟随。
rushing,"At the same time , the Johns Hopkins team and others are rushing to pinpoint other tumor-suppressor genes .","At different times, the Johns Hopkins team and others are rushing to pinpoint other tumor-suppressor genes.",False,False,两个句子中的目标词'rushing'含义相同，都表示在紧迫或急忙地进行某事。原句中的“At the same time”和变异句中的“At different times”并不影响'rushing'这个词的含义，这两个短语只是描述了不同的时间背景，而'rushing'本身的紧迫、急忙的含义在两个句子中保持一致。
Left,There is a lot of consensus between the Left and the Right on this subject .,There is a lot of disagreement between the Left and the Right on this subject.,False,False,在这两个句子中，'Left'一词的含义没有改变。'Left'在这里指的是政治左派，在原句和变异句中都是指代政治光谱中的一方，与'Right'（右派）相对立。无论是共识还是分歧，'Left'代表的群体是相同的，只是描述了他们与右派在不同问题上的关系状态，因此结果为False。
retirement,"Seeking alternatives to early retirement and redundancy , the project is primarily concerned with the retention , reintegration and retraining of older workers .","Seeking alternatives to late retirement and redundancy, the project is primarily concerned with the retention, reintegration and retraining of older workers.",False,True,原句中的'retirement'指的是'提前退休'，而变异句中的'retirement'指的是'晚退休'。'early retirement'和'late retirement'在时间上表示退休的不同阶段，因此两个句子中的目标词含义有所不同。
piece,He assumed the missing piece contained a gene or genes whose loss had a critical role in setting off the cancer .,He assumed the found piece contained a gene or genes whose loss had a critical role in setting off the cancer.,False,True,原句中的目标词'missing piece'指的是一个丢失的片段，而变异句中的目标词'found piece'指的是一个被找到的片段。这两个含义相反，表明片段的状态不同，一个是失踪的，另一个是被发现的。
gathering,"The sheer sprawl of the gathering -- where 13,000 people move in and out of the convention center each day , guitar-playing activists put on nightly shows mocking the countries they think are selling out , and draft proposals are passed hand-to-hand on paper rather than via e-mail -- poses a challenge .","The sheer sprawl of the gathering -- where 13,000 people move out and in of the convention center each day , guitar-playing activists put on nightly shows mocking the countries they think are selling out , and draft proposals are passed hand-to-hand on paper rather than via e-mail -- poses a challenge .",False,False,原句和变异句中的目标词 'gathering' 在两个句子中的含义没有改变，都指的是一个大规模的集会或聚会，人们的进出、活动表演以及草案的传递方式都是描述这个集会的情况，而 'move in and out' 和 'move out and in' 在这里实际上是同义的，表示人们每天在会议中心的进出。
found,The deletion Dr. Vogelstein found was in exactly the same spot as p53 .,The addition Dr. Vogelstein found was in exactly the same spot as p53.,False,True,原句中的'found'指的是发现了一个删除（deletion），而变异句中的'found'指的是发现了一个添加（addition）。这两个动作在意义上是相反的，因此目标词'found'在这两个句子中的含义是不同的。
piece,Such a piece of DNA would probably constitute a gene .,Such a piece of DNA would definitely constitute a gene.,False,False,原句和变异句中的目标词'piece'含义相同，都是指代一段DNA。两个句子中的差异在于副词'probably'和'definitely'的差别，这反映了说话者对DNA构成基因的确信程度不同，但不影响目标词'piece'的含义。
ruling,"In a landmark 1966 ruling , the United States Supreme Court overturned the conviction of a Cleveland osteopath , Dr. Sam Sheppard , for the murder of his wife , saying in its decision , Sheppard v. Maxwell , that there was a `` carnival atmosphere at trial '' because of the news media .","In a landmark 1966 ruling, the United States Supreme Court upheld the conviction of a Cleveland osteopath, Dr. Sam Sheppard, for the murder of his wife, saying in its decision, Sheppard v. Maxwell, that there was a ""carnival atmosphere at trial"" because of the news media.",False,True,原句中的'ruling'指的是美国最高法院推翻了对Dr. Sam Sheppard的定罪，而变异句中的'ruling'指的是美国最高法院维持了对Dr. Sam Sheppard的定罪。这两个含义正好相反，因此结果为True。
declined,There is neither mystery nor paradox in the fact that as educational expenditures ( in real terms ) have increased sharply in the past quarter-of-a-century -- we now spend more per pupil than any other country in the world -- educational performance has declined .,There is neither mystery nor paradox in the fact that as educational expenditures ( in real terms ) have decreased sharply in the past quarter-of-a-century -- we now spend more per pupil than any other country in the world -- educational performance has declined .,False,False,在这两个句子中，目标词'declined'的含义没有改变。'Declined'在原句和变异句中都是指教育表现下滑、下降的意思，与教育支出的增加或减少无关。原句和变异句的区别在于教育支出的增减情况，而'declined'所指的教育表现下降这一点是相同的。
