instance.word,sentence,mut.sentence,check,check_llm,reason
pay,I 'd have to sell out my business to pay her off with her share .,I 'd have to buy out my business to pay her off with her share.,False,True,原句中的'pay'含义为支付或偿还，指的是通过出售业务来筹集资金以支付给她的份额。而变异句中的'pay'含义则变为通过购买业务来支付，即使用购买业务所得的资金来偿还她的份额。因此，两个句子中'pay'的具体含义和上下文用法有所不同。
record,Casillas will play today against the Tricolor and will impose a new record of 127 international matches for Spain .,Casillas will play today with the Tricolor and will impose a new record of 127 international matches for Spain.,False,False,在这两个句子中，目标词'record'的含义没有发生变化。'Record'在两个句子中都指的是球员Casillas将为西班牙国家队创下的新的国际比赛出场次数记录，即127场。两个句子中'record'的使用情境和上下文保持一致，没有区别。
note,"But there is also a discordant , modern note in Aslacton , though it can not be heard by the church-goers enjoying the peal of bells this cool autumn evening .","But there is also a harmonious, modern note in Aslacton, though it can not be heard by the church-goers enjoying the peal of bells this cool autumn evening.",False,True,原句中的'note'含义与变异句中的'note'含义不同。在原句中，'discordant'（不和谐的）修饰词表明这个现代的'note'与周围环境或氛围不协调，有一种不和谐的意味。而在变异句中，'harmonious'（和谐的）修饰词则表明这个现代的'note'与周围环境或氛围相协调，有一种和谐的感觉。因此，尽管两个句子中的'note'都指代某种现代元素，但具体的情感色彩和含义是相反的。
fight,The education establishment will fight against common sense every inch of the way .,The education establishment will fight with common sense every inch of the way.,False,True,原句中的目标词'fight against'意味着对抗或反对，而变异句中的'fight with'意味着与...一起战斗或合作。因此，这两个短语中'fight'的含义有所不同。
formation,"The discovery `` suddenly puts an obscure gene right in the cockpit of cancer formation , `` says Robert Weinberg , a leader in cancer-gene research at Whitehead Institute in Cambridge , Mass .","The discovery suddenly puts a prominent gene right in the cockpit of cancer formation, says Robert Weinberg, a leader in cancer-gene research at Whitehead Institute in Cambridge, Mass.",False,False,在这两个句子中，目标词'formation'的含义没有改变。'Cancer formation'在原句和变异句中都指的是癌症的形成过程，而不是指基因的形成或变化。原句和变异句的区别在于描述基因的形容词（'obscure'和'prominent'），这并不影响'formation'这个词的含义。
made,"It made ample use of the modern techniques of influence peddling , retaining politically connected `` respectable `` law firms , investment bankers and political consultants , including Reagan confidant Lyn Nofzinger .","It made meager use of the modern techniques of influence peddling, retaining politically connected `` respectable `` law firms, investment bankers and political consultants, including Reagan confidant Lyn Nofzinger.",False,True,原句中的'made ample use of'意为'充分利用了'，而变异句中的'made meager use of'意为'很少利用了'，两个短语中'made'的含义在程度上有明显的不同，因此可以判断这两个句子中目标词的具体含义不同。
see,"Haney watched the small but wiry man slip out the door quickly and silently , and felt relieved to see that nobody else seemed to notice his departure .","Haney watched the small but wiry man slip out the door quickly and silently, and felt concerned to see that nobody else seemed to notice his departure.",False,True,原句中的'see'表达的是观察到某件事情并感到安心，即Haney看到没有人注意到那个人的离开而感到放心。而变异句中的'see'表达的是观察到某件事情并感到担忧，即Haney看到没有人注意到那个人的离开而感到担忧。因此，两个句子中的'see'所蕴含的情感和意义是相反的。
understanding,"This will require us to develop a much more sophisticated understanding of the dynamics of homelessness than we currently possess , an understanding that can be developed only through careful study and research .","This will require us to develop a much more primitive understanding of the dynamics of homelessness than we currently possess, an understanding that can be developed only through careful study and research.",False,True,原句中使用的是'sophisticated understanding'，意味着需要发展一个更为复杂和成熟的了解；而变异句中使用的是'primitive understanding'，意味着需要发展一个更为基础和原始的了解。这两个短语中'understanding'的含义和要求的层次完全相反，因此含义不同。
teaching,"I know many schoolteachers and , on the whole , they are seriously committed to conscientious teaching .","I know many schoolteachers and, on the whole, they are seriously uncommitted to conscientious teaching.",False,False,在这两个句子中，目标词'teaching'的含义并没有改变。原句中的'teaching'指的是老师们认真负责的教学行为，而变异句中的'teaching'依然是描述老师们的教学行为，只是加上了'uncommitted'这个形容词表明老师们没有投入到这种认真负责的教学中。因此，尽管态度不同，但'teaching'本身的含义没有区别。
clothes,"The scammers themselves were garden-variety low lifes , conspicuous consumers who wanted big houses , Mercedes cars , beautiful women , expensive clothes .","The scammers themselves were garden-variety low lifes , conspicuous consumers who wanted small houses , Mercedes cars , beautiful women , expensive clothes .",False,False,在这两个句子中，目标词‘clothes’的含义没有改变。原句和变异句中的‘expensive clothes’都指的是昂贵的衣服，没有因为句子中其他部分的改变（如房子的大小）而改变‘clothes’这个词的含义。
No.,Dr. Knudson found that some children with the eye cancer had inherited a damaged copy of chromosome No. 13 from a parent who had had the disease .,Dr. Knudson found that some children with the eye cancer had inherited a healthy copy of chromosome No. 13 from a parent who had had the disease.,False,True,原句中的目标词'No.'在此上下文中指的是特定的染色体编号，即第13号染色体，且该染色体是受损的。而变异句中的目标词'No.'虽然指的也是第13号染色体，但此处描述的是该染色体是健康的。因此，尽管目标词'No.'的指代对象相同，但其描述的状态不同，一个是受损的，另一个是健康的，所以两个句子中目标词的含义有所不同。
find,"I would predict that within a short time most of them would find Thunderbird a satisfactory substitute for Chivas Regal and that their `` normal `` phobias , anxieties , depressions and substance abuse would increase dramatically .","I would predict that within a long time most of them would find Thunderbird a satisfactory substitute for Chivas Regal and that their `` normal `` phobias, anxieties, depressions and substance abuse would increase dramatically.",False,False,原句和变异句中的目标词'find'含义相同，都是指发现或认为某事物是满足需要的替代品。两个句子中'find'的上下文语境并未改变其基本含义，只是时间状语从'within a short time'变为'within a long time'，并不影响'find'这个词本身的含义。
tests,It is nice for teachers to think they are engaged in `` personality development `` and even nicer to minimize those irksome tests with often disappointing results .,It is awful for teachers to think they are engaged in `` personality development `` and even worse to minimize those irksome tests with often disappointing results.,False,False,在这两个句子中，目标词'tests'的含义没有改变。两个句子都在描述老师认为他们在进行'人格发展'的同时，想要减少那些令人烦恼且常常结果令人失望的测试。'tests'在这里指的是教育评估或考试，这个词在原句和变异句中的用法和含义是一致的。变异句只是改变了描述老师感受的形容词（从'nice'变为'awful'），但这并不影响'tests'这个词本身的含义。
bacteria,The discovery of a strange bacteria that can use arsenic as one of its nutrients widens the scope for finding new forms of life on Earth and possibly beyond .,The discovery of a familiar bacteria that can use arsenic as one of its nutrients widens the scope for finding new forms of life on Earth and possibly beyond.,False,True,原句中的'bacteria'指的是一种不寻常、陌生的细菌，而变异句中的'bacteria'则指的是一种熟悉的细菌。这两个描述在意义上存在明显差异，因此目标词的具体含义有所不同。
