instance.word,sentence,mut.sentence,check,check_llm,reason
day,"The sheer sprawl of the gathering -- where 13,000 people move in and out of the convention center each day , guitar-playing activists put on nightly shows mocking the countries they think are selling out , and draft proposals are passed hand-to-hand on paper rather than via e-mail -- poses a challenge .","The sheer sprawl of the gathering -- where 13,000 people move in and out of the convention center each day , guitar-playing activists put on nightly shows mocking the countries they think are selling out the most , and draft proposals are passed hand-to-hand on paper rather than via e-mail -- poses the biggest challenge .",False,False,原句中的'day'指的是每一天，强调的是时间的连续性；而变异句中的'day'没有发生变化，但其所在句子的语境发生了变化，'the biggest challenge'使得整个描述的焦点转移到了挑战的规模上，而非时间的连续性。尽管目标词'day'的含义没有改变，但句子含义的重点发生了变化，导致目标词在句子中的含义侧重点有所不同。
training,"Case Studies Each national report contains a portfolio of between 25 and 30 initiatives which best present policies and practices to improve the recruitment , training and development of ageing workers in both the work place and the community .","Case Studies Each national report contains a portfolio of between 25 and 30 initiatives which present the best policies and practices to improve the recruitment, training and development of ageing workers in both the work place and the community.",False,False,原句中的'training'作为实施提高老年工人招聘、培训和发展的政策的一部分，强调的是培训的过程和活动。而变异句中，由于'best'的位置改变，使得'training'更多地被强调为已经实施的最佳政策的一部分，侧重于培训的质量和效果。
building,"This time , it just got stronger and then the building started shaking violently up and down as though it were a child 's toy block that was being tossed .","This time, it just got strongest and then the building started shaking most violently up and down as though it were a child's toy block that was being tossed.",False,False,"在这两个句子中，目标词 'building' 的含义没有改变，都是指一个具体的建筑物。原句和变异句中的差异仅仅在于形容词的比较级和最高级的用法变化（stronger vs strongest, violently vs most violently），这并不影响 'building' 的含义。因此，两个句子中的目标词含义相同。"
best,Study after study -- the most recent from the Brookings Institution -- tells us that the best schools are those that are free of outside interference and are governed by a powerful head .,Study after study -- the most recent from the Brookings Institution -- tells us that the best schools are those that are freest of outside interference and are governed by the most powerful head.,False,False,原句中的'best'表示的是程度上的最高，即最好的学校；而变异句中的'freest'和'most powerful'暗示了比较级，'best'在这里的含义偏向于拥有最多某种特质或特征，即不受外界干涉最多和领导力最强的学校。
advanced,"For the treatment of non-small cell lung cancer , the effects of Alimta were compared with those of docetaxel ( another anticancer medicine ) in one study involving 571 patients with locally advanced or metastatic disease who had received chemotherapy in the past .","For the treatment of non-small cell lung cancer, the effects of Alimta were compared with those of docetaxel (the other best anticancer medicine) in one study involving 571 patients with locally most advanced or metastatic disease who had received chemotherapy in the past.",False,False,原句中的'advanced'用作形容词，描述疾病的阶段，意为'晚期的'；而变异句中的'most advanced'虽然也是用来描述疾病的阶段，但是通过添加'most'作为限定词，改变了'advanced'的程度，使其含义变为'最为晚期的'，这改变了原句中目标词的具体含义，因此两个句子中的目标词含义不同。
band,"Two years ago , the Rev. Jeremy Hummerstone , vicar of Great Torrington , Devon , got so fed up with ringers who did n't attend service he sacked the entire band ; the ringers promptly set up a picket line in protest .","Two years ago, the Rev. Jeremy Hummerstone, vicar of Great Torrington, Devon, got so fed up with ringers who didn't attend service he sacked the entire band; the ringers promptly set up a bigger picket line in protest.",False,False,在这两个句子中，目标词 'band' 的含义是相同的。'Band' 在这里指的是一组人，特别是那些参与教堂钟声演奏的人。原句和变异句中的 'band' 都是指被解雇的钟声演奏者们，没有体现出含义上的差异。变异句中的 'bigger picket line' 只是指抗议的规模变大了，并不影响 'band' 的含义。
band,"Ringing does become a bit of an obsession , `` admits Stephanie Pattenden , master of the band at St. Mary Abbot and one of England 's best female ringers .","Ringing does become a bit of an obsession, `` admits Stephanie Pattenden, master of the band at St. Mary Abbot and one of England's best female ringers.",False,False,原句和变异句中的目标词 'band' 在这里都是指同一个含义，即指代一组从事教堂钟声演奏的人。两个句子中的目标词前后的语境完全相同，没有体现出含义上的差异。
gathering,"The sheer sprawl of the gathering -- where 13,000 people move in and out of the convention center each day , guitar-playing activists put on nightly shows mocking the countries they think are selling out , and draft proposals are passed hand-to-hand on paper rather than via e-mail -- poses a challenge .","The sheer sprawl of the gathering -- where 13,000 people move in and out of the convention center each day , guitar-playing activists put on nightly shows mocking the countries they think are selling out the most , and draft proposals are passed hand-to-hand on paper rather than via e-mail -- poses the biggest challenge .",False,False,原句中的目标词 'gathering' 指的是一个大型的集会或聚会，其含义侧重于描述这个集会的庞大规模和活动特点。而变异句中，尽管 'gathering' 本身没有变化，但是整个句子的语境因为加入了 'the biggest challenge' 这个表述，使得 'gathering' 这个词在语境中的重要性被加强，似乎暗示这个聚会是诸多挑战中最大的一个。然而，这并不改变 'gathering' 本身的含义，只是影响了句子的整体语气和强调点。因此，从目标词的具体含义来看，两个句子中的 'gathering' 是相同的，但语境中的强调和隐含意义有所不同。
planning,There were relatively few cases reported of attempts to involve users in service planning but their involvement in service provision was found to be more common .,There were relatively few cases reported of attempts to involve users in service planning but their involvement in service provision was found to be most common.,False,False,两个句子中的目标词'planning'含义相同，都指的是服务规划。原句中使用的是'more common'，变异句中使用的是'most common'，这两个短语的区别在于程度的强弱，而不是改变目标词'planning'的含义。因此，尽管表达的程度有所不同，但目标词的含义并未改变。
complementarities,"In the same way as a surgeon would find it difficult to work in a country with a shortage of anaesthetists , the complementarities existing between locals and immigrants bring it about that the arrival of immigrants has a positive effect on the pay of locals .","In the same way as a surgeon would find it most difficult to work in a country with the worst shortage of anaesthetists, the complementarities existing between locals and immigrants bring it about that the arrival of immigrants has the most positive effect on the pay of locals.",False,False,原句中的'complementarities'表达的是当地居民和移民之间的互补性，这种互补性使得移民的到来对当地居民的薪酬有积极影响。而在变异句中，通过使用'worst shortage'和'the most positive effect'这样的强调词汇，使得'complementarities'的含义被强化，暗示了当地居民和移民之间的互补性不仅存在，而且是极端的、非常显著的。因此，尽管两个句子中的目标词都是'complementarities'，但变异句中的语境使得其含义的强度和范围有所不同。
