instance.word,sentence,mut.sentence,check,check_llm,reason
comes,"Each legislator , after all , is only one out of 535 when it comes to national policy making .","Each legislator, after all, is only one out of 535 when he or she comes to national policy making.",True,True,原句中的 'comes' 是一个固定短语 'when it comes to' 的组成部分，意思是 '当提到，当涉及到'，而变异句中的 'comes' 是动词的一般现在时形式，表示具体的动作 '来到，到达'，两者的含义和用法不同。
state,The crisis-hit US major banks are breaking free from their state shackles .,The crisis-hit major banks in the US are breaking free from the shackles imposed by their state.,False,False,在这两个句子中，目标词'state'的含义相同。在原句和变异句中，'state'都指的是与银行相关的政府或国家的权力机构，表示这些银行正在摆脱政府的限制或束缚。两个句子中的'state'没有体现出不同的含义。
authoritarian,"The whole notion of `` creativity `` in education was ( and is ) part and parcel of a romantic rebellion against disciplined instruction , which was ( and is ) regarded as `` authoritarian , `` a repression and frustration of the latent talents and the wonderful , if as yet undefined , potentialities inherent in the souls of all our children .","The entire concept of creativity in education was (and is) part and parcel of a romantic rebellion against disciplined instruction, which was (and is) seen as authoritarian, a repression and frustration of the latent talents and the wonderful, if as yet undefined, potentialities inherent in the souls of every single child.",False,False,原句和变异句中的目标词 'authoritarian' 在两个句子中的含义相同，都指代一种压制性的、强调纪律的教育方式，这种教育方式被认为是对孩子们潜在才能和潜力的抑制和挫败。两个句子中使用 'authoritarian' 的上下文没有变化，因此目标词的具体含义没有区别。
bacteria,"But the researchers found that the bacteria , discovered in Mono Lake , Calif. , is able to continue to grow after substituting arsenic for phosphorus .","But the researchers found that the bacteria, discovered in Mono Lake, Calif., is able to continue to grow after substituting that element for phosphorus.",False,True,原句中明确指出细菌用砷（arsenic）取代了磷（phosphorus），而变异句中使用'that element'这一模糊指代，没有具体指明是砷，这改变了信息的具体性和明确性，因此两个句子中'bacteria'的含义有所不同。
turned,"Dr. Vogelstein next turned his attention colon cancer , the second biggest cancer killer in the U.S. after lung cancer .","Dr. Vogelstein next turned his attention to colon cancer, which is the second biggest cancer killer in the U.S. after lung cancer.",False,False,原句和变异句中的'turned'都表示'转向，将注意力集中在'的意思，两个句子的目标词含义相同，没有发生变化。
leaving,"When their changes are completed , and after they have worked up a sweat , ringers often skip off to the local pub , leaving worship for others below .","When the changes are completed, and after the ringers have worked up sweat, the ringers often skip off to the local pub, leaving the worship for others below.",False,False,在这两个句子中，目标词 'leaving' 的含义是相同的。'Leaving' 在这里都表示一种动作，即指铃手们在完成工作后离开，把崇拜仪式留给其他人。原句中的 'leaving' 是现在分词形式，作为状语描述ringers的行为，而变异句中 'leaving' 也是同样的用法，没有改变其基本含义。因此，两个句子的目标词含义没有不同。
making,"Each legislator , after all , is only one out of 535 when it comes to national policy making .","Each legislator, after all, is only one out of 535 when he or she comes to national policy making.",False,False,在这两个句子中，目标词'making'的含义并没有改变。'making'在两个句子中都是名词，作为'national policy'的定语，表示'制定'或'制作'的过程。原句和变异句中的差异在于从句引导词和主语的变化（'when it comes to' 与 'when he or she comes to'），但这并不影响'making'本身的含义。
reform,"Conversely , there are the majority of unsuccessful schools , and we know which efforts at educational reform are doomed beforehand .","Conversely, there are the majority of unsuccessful schools, and we know which efforts at educational reform are destined to fail before they are initiated.",False,False,原句和变异句中的目标词'reform'的含义相同，都是指在教育领域中所做的改进和变革的努力。'doomed'和'destined to fail'在这里表达的是相同的概念，即这些改革尝试在开始之前就已经预见到可能会失败。
vicars,"With membership of the Church of England steadily dwindling , strong-willed vicars are pressing equally strong-willed and often non-religious ringers to attend services .","With the membership of the Church of England steadily dwindling, strong-willed vicars are pressing equally strong-willed and often non-religious individuals to attend services.",False,False,在这两个句子中，目标词 'vicars' 的含义没有改变，都是指英国圣公会中的牧师或教区神父。两个句子中 vicars 所指的角色和职责没有区别，变异句只是将 'ringers' 替换为 'individuals'，但这并不影响 'vicars' 的含义。
attacking,Mr. Baldwin is also attacking the greater problem : lack of ringers .,Mr. Baldwin is also attacking this greater problem: lack of ringers.,False,False,原句和变异句中的目标词 'attacking' 在两个句子中的含义相同，都是指Mr. Baldwin正在积极对付或着手解决更大的问题，即缺乏铃声。两个句子中唯一的变化是变异句中加入了'this'这个词，但'this'在这里只是指代前文提到的同一个问题，并不改变'attacking'的含义。
