instance.word,sentence,mut.sentence,check,check_llm,reason
building,"I was just sitting down to meet with some new therapy clients , a couple , and the building started shaking like crazy .","I was just sitting down to meet with some new therapy clients , a couple of them , and the building they were in started shaking like crazy .",False,True,在原句中，'building'指的是发生摇晃的建筑物，即作者所在的建筑。而在变异句中，'building they were in'指的是作者提到的某些新疗法客户所在的建筑物，可能是指客户所在的另一个地方，不一定和作者在同一个建筑内。因此，两个句子中的目标词'building'含义有所不同。
drive,They belong to a group of 15 ringers -- including two octogenarians and four youngsters in training -- who drive every Sunday from church to church in a sometimes-exhausting effort to keep the bells sounding in the many belfries of East Anglia .,"The group of 15 ringers, including the two octogenarians and the four youngsters in training, drive every Sunday from one church to another in a sometimes-exhausting effort to keep the bells sounding in the numerous belfries of East Anglia.",False,False,在这两个句子中，目标词'drive'的含义相同，都是指开车或驾驶的意思。两个句子都描述了一组钟声敲击者每周日从一个教堂开车到另一个教堂，以保持East Anglia地区多个钟楼钟声的响起。两个句子中的'drive'都表达了同样的动作和目的，没有体现出含义上的差异。
hours,The dinner was held at a Washington hotel hours after the court 's conference over the case .,The dinner was held at the hotel in Washington hours after the court's conference over the case.,False,False,两个句子中的目标词‘hours’含义相同，都指的是在法庭会议结束后的几小时。‘hours’在这两个句子中都是表示时间的单位，没有因为句子结构的变化而产生不同的意义。
thought,Then a wild thought ran circles through his clouded brain .,Then a wild thought ran circles through the brain clouded by confusion.,False,False,在这两个句子中，目标词'thought'的含义没有发生变化。'thought'在这两个句子中都是指思维、想法的意思。原句中的'clouded brain'和变异句中的'the brain clouded by confusion'都描述了大脑的状态，即大脑被困惑或混乱所笼罩，但并没有改变'thought'这个词本身的含义。
public,"The Foundation organised , together with the European Commission , the Spanish Ministry of Social Affairs and the Galician regional government , a European conference on social exclusion : a major challenge for public welfare services .","The Foundation organised, together with the European Commission, the Spanish Ministry of Social Affairs, and the Galician regional government, a European conference on social exclusion: a major challenge for Galician public welfare services.",False,True,原句中的目标词'public'指的是一般性的、全欧洲范围的福利服务，而变异句中的目标词'Galician public welfare services'特指加里西亚地区的公共福利服务，含义更为具体和地域化。因此，两个句子中目标词的含义有所不同。
knots,My back is still in knots and my hands are still shaking .,My back is still in these knots and my hands are still doing this shaking.,False,False,在这两个句子中，目标词 'knots' 的含义没有改变。'Knots' 在原句和变异句中都指的是背部紧张或疼痛的感觉，通常是由于压力或紧张引起的。变异句中的 'these knots' 并没有改变 'knots' 的含义，它仍然指代同样的身体状态。同样，变异句中的 'this shaking' 也没有改变 'shaking' 的含义，它仍然描述手的颤抖。因此，两个句子中的目标词含义相同。
inherited,"A test using new `` genetic probes `` showed that little Will Quinlan had not inherited a damaged retinoblastoma supressor gene and , therefore , faced no more risk than other children of developing the rare cancer .","A test using new genetic probes showed that little Will Quinlan had not inherited a damaged retinoblastoma supressor gene and, therefore, faced no more risk than those other children of developing the rare cancer.",False,False,原句和变异句中的目标词'inherited'含义相同，都表示小Will Quinlan没有从父母那里遗传到受损的视网膜母细胞瘤抑制基因。两个句子中'inherited'的使用情境和上下文没有改变，因此目标词的具体含义没有差异。
little,"A test using new `` genetic probes `` showed that little Will Quinlan had not inherited a damaged retinoblastoma supressor gene and , therefore , faced no more risk than other children of developing the rare cancer .","A test using new genetic probes showed that little Will Quinlan had not inherited a damaged retinoblastoma supressor gene and, therefore, faced no more risk than those other children of developing the rare cancer.",False,False,在这两个句子中，目标词'little'的含义没有改变。'little'在这里作为名词使用，是对Will Quinlan的昵称或爱称，表示亲昵或年幼的意思，并不是表示数量的少或者程度的小。两个句子中'little'都用于同样的上下文和位置，因此含义相同。
hitch,"Back in the chase car , we drove around some more , got stuck in a ditch , enlisted the aid of a local farmer to get out the trailer hitch and pull us out of the ditch .","Back in the chase car, we drove around some more, got stuck in a ditch, enlisted the aid of a local farmer to get out the trailer hitch and pull the chase car out of the ditch.",False,False,在这两个句子中，目标词'hitch'的含义没有改变。'hitch'在这里指的是拖车或挂车的挂钩部分，用于连接拖车和牵引车辆。在原句和变异句中，'hitch'都是指需要被取出以便将车辆从沟渠中拉出来的拖车挂钩。
balloon,"They will also tell you that even if you hate heights , you can still balloon .","They will also tell you that even if you hate heights, you can still ride in a balloon.",True,True,原句中的'balloon'作为动词使用，意味着进行热气球飞行；而变异句中的'ride in a balloon'中的'balloon'作为名词使用，指的是乘坐热气球这一活动或热气球本身。因此，这两个句子中的'balloon'词性不同，含义也有所区别。
vicar,"Vicar Marshall admits to mixed feelings about this issue , since he is both a vicar and an active bell-ringer himself .","Vicar Marshall admits to mixed feelings about the issue, since he is both a vicar and an active bell-ringer himself.",False,False,原句和变异句中的目标词'vicar'含义相同，都指的是担任牧师职位的人，两句话的上下文语境也一致，没有出现含义上的差异。
found,Some found it on the screen of a personal computer .,Some found the item on the screen of a personal computer.,False,False,在这两个句子中，目标词'found'的含义没有改变，都是过去式动词，表示发现或找到某物。原句中'it'作为代词，指代某个未明确指出的对象；变异句中'the item'明确了被找到的对象，但这对'found'的含义没有影响，'found'仍然表示找到的动作。
medicine,The finding riveted medicine .,The discovery riveted the field of medicine.,False,False,在这两个句子中，目标词'medicine'的含义是相同的。在原句中，'medicine'指的是医学领域或整个医药行业，而在变异句中，'the field of medicine'同样指的是医学领域。因此，两个句子中的'medicine'都代表医学这一整体概念，没有具体的含义差异。
accepted,"They are not accepted everywhere , however .","People are not accepted everywhere, however.",False,False,在这两个句子中，目标词 'accepted' 的含义是相同的。无论是指 'They'（指代特定的人或事物）还是 'People'（指代人），'accepted' 都表示被接受或认可的意思。因此，两个句子中的 'accepted' 有着相同的含义，即并非在所有地方都被接受。
support,"Goldman Sachs , JP Morgan Chase and Morgan Stanley had already repaid their support in June .","Goldman Sachs, JP Morgan Chase and Morgan Stanley had already repaid the support from them in June.",False,False,在这两个句子中，目标词'support'的含义没有发生变化。原句和变异句中的'support'都指的是金融机构所获得的经济援助或资金支持，并且两个句子都表明这些支持已经被偿还。变异句中增加的'from them'并不改变'support'这个词本身的含义，只是更明确地指出了支持来自于这三家金融机构。
fine,"Not one thing in the house is where it is supposed to be , but the structure is fine .","Not one thing in the house is where the thing is supposed to be, but the structure is fine.",False,False,原句和变异句中的目标词'fine'在这里的含义没有区别，都是指'结构'是好的，没有问题。两个句子的结构几乎相同，只是变异句中多了一个'the thing'，但这并不影响'fine'这个词的含义。
do,That 's why I -- why I do a free job now and then .,That's why I -- why I do a free job like this now and then.,False,False,在这两个句子中，目标词 'do' 的含义相同，都是指执行或进行某项工作，没有明显的含义差异。原句中的 'a free job now and then' 和变异句中的 'a free job like this now and then' 都表示偶尔做一些免费的工作，'do' 在这里作为动词，表示做或执行的动作，并没有因为句子的微小变化而改变其基本含义。
count,"But his new-found buddy had matched him drink for drink until he lost count , and the man 's eyes were still clear .","But his new-found friend had matched him beverage for beverage until he lost count, and the man's eyes were still clear.",False,False,原句和变异句中的目标词'count'在这里的含义相同，都指的是'计数'或'数数'。在两个句子中，'lost count'都表示因为喝了太多的饮料，以至于无法继续追踪或计算自己喝了多少。'drink'和'beverage'在这里是同义词，不影响目标词'count'的含义。
line,How many government programs and policies exist because they line the pockets of political insiders ?,How many government programs and policies exist because they line the pockets of these political insiders ?,False,False,原句和变异句中的目标词'line'含义相同，都是指'填充，使充实'的意思，在两个句子中都是用来描述政府项目和政策的目的是为了给政治内部人士带来利益。两个句子中的'line'都用了同样的比喻意义，没有区别。
system,"What Gov. Clinton is advocating , in effect , is extending the educational system down to the pre-kindergarten years .","What Gov. Clinton is advocating, in effect, is the extension of the educational system down to the pre-kindergarten years.",False,False,在这两个句子中，目标词'system'的含义没有改变。在原句中，'system'指的是教育体系；在变异句中，虽然使用了名词所有格'the educational system'的形式，但依然指的是同样的教育体系。两个句子中的'system'都是指一个由教育机构和程序组成的整体，没有区别。
