instance.word,sentence,mut.sentence,check,check_llm,reason
brokering,"They know that whenever government is redistributing wealth , regulating commerce or maintaining a large defense establishment , there is big money to be made in influencing , brokering or selling the processes and decisions of government .","They know that whenever the government is redistributing wealth, regulating commerce, or maintaining a large defense establishment, there is big money to be made in influencing, brokering, or selling the processes and decisions of the government.",False,False,原句和变异句中的目标词 'brokering' 在句子中的含义没有发生变化，都指的是在政府重新分配财富、监管商业或维持大型国防机构的过程中，通过影响、中介或出售政府的过程和决策来赚取大量金钱的行为。两个句子中的 'brokering' 均表示中介或经纪的意思，没有区别。
building,"I was just sitting down to meet with some new therapy clients , a couple , and the building started shaking like crazy .","I was just sitting down to meet with some new therapy clients , a couple of them , and the building they were in started shaking like crazy .",False,True,原句中的目标词 'building' 指的是说话者所在的建筑，而变异句中的 'building they were in' 指的是新疗法客户所在的建筑。这两个含义有所不同，原句指的是说话者感受到的震动，变异句则强调客户所在的建筑发生了震动。
making,"Second , if the key assumption is valid , Democrats should have lower attendance rates on roll-call votes than Republicans do to the extent that such votes reflect national policy making and that participating in such votes takes away from the time a legislator could otherwise devote to local benefit-seeking .","Second, if the key assumption is valid, Democrats should have lower attendance rates on roll-call votes than the rates of Republicans to the extent that such votes reflect national policy making and that participating in such votes takes away from the time a legislator could otherwise devote to local benefit-seeking activities.",False,False,原句和变异句中的'making'都指的是'制定'或'形成'，即national policy making都是指国家政策的制定。在这两个句子中，'making'的含义没有发生变化，因此两个目标词的含义相同。
manage,I think I can manage one more favor for you `` .,I think I can manage one more task for you.,False,False,在这两个句子中，目标词'manage'的含义是相同的。'Manage'在这里指的是有能力处理或完成某件事情。在原句中，'favor'指的是帮某人一个忙，而在变异句中，'task'指的是一个任务，但'manage'这个词本身的含义并没有改变，依然是指能够处理或完成。因此，两个句子中目标词的含义没有不同。
building,This building shook like hell and it kept getting stronger .,This building shook like hell and the shaking kept getting stronger.,False,True,原句中的'this building'作为主语，表明是建筑物本身在震动并且震动在加强；而变异句中'the shaking'作为主语，表明是震动本身在加强，而不是建筑物本身发生了变化。因此，两句中'building'一词的用法和含义有所不同。
striking,"Then , at a signal , the ringers begin varying the order in which the bells sound without altering the steady rhythm of the striking .","Then, at a specific signal, the bell ringers start to change the sequence in which the bells chime without changing the consistent rhythm of the bell striking.",False,False,在这两个句子中，目标词'striking'的含义是相同的。'striking'在这里指的是钟声的敲击，即钟的敲响动作或者声音。原句和变异句都表达了同样的概念，即改变钟声的顺序但不改变其稳定的节奏。
longer,"Says Mr. Baldwin , `` We recognize that we may no longer have as high a priority in church life and experience . ``","Says Mr. Baldwin, `` We recognize that we may no longer have the same level of priority in church life and experience. ''",False,False,在这两个句子中，目标词 'longer' 的含义是相同的。'No longer' 在两个句子中都表示 '不再' 的意思，指的是之前有而现在没有了某种状态或情况。原句和变异句中的 'longer' 都用来强调优先级（priority）的改变，没有体现出含义上的差异。
turned,"Dr. Vogelstein next turned his attention colon cancer , the second biggest cancer killer in the U.S. after lung cancer .","Dr. Vogelstein next turned his attention to colon cancer, which is the second biggest cancer killer in the U.S. after lung cancer.",False,False,原句和变异句中的'turned'都表示'转向，将注意力集中在'的意思，两个句子的目标词含义相同，没有发生变化。
ringers,Mr. Baldwin is also attacking the greater problem : lack of ringers .,Mr. Baldwin is also attacking this greater problem: lack of ringers.,False,False,原句和变异句中的目标词 'ringers' 在句子中的含义没有发生变化，两个句子中的 'ringers' 都指的是某种缺乏的资源或支持。原句和变异句的唯一区别是冒号前的引导词不同，但这并不影响目标词的含义。
only,"One survey says that of the 100,000 trained bellringers in England today , only 40,000 of them still ring .","One survey says that of the 100,000 trained bellringers in England today, only 40,000 of the bellringers still ring.",False,False,原句和变异句中的目标词'only'都用来表示数量上的限制，强调仍然在敲钟的 bellringers 数量相对较少。在这个语境中，'only'在两个句子中的含义是相同的，都是用来限定数量，没有区别。
