instance.word,sentence,mut.sentence,check,check_llm,reason
pieces,Three pieces of evidence corroborate the key assumption that Democratic legislators are more willing to engage in local benefit-seeking than their Republican colleagues .,Three pieces of evidence that Democratic legislators are more willing to engage in local benefit-seeking than their Republican colleagues corroborate the key assumption.,False,False,在这两个句子中，目标词 'pieces' 的含义是一致的。'pieces' 在这里指的是支持论点的具体证据的数量，无论是原句还是变异句，'Three pieces of evidence' 都是修饰 'corroborate the key assumption' 的，表明有三条证据支持这一关键假设。两个句子的结构变化并没有改变 'pieces' 的含义。
treatment,"The treatment of a vomiting dog should be started with the injection , since vomiting animals might not be able to keep a tablet down ( as they might throw the intact tablet up again ) .","Since vomiting animals might not be able to keep a tablet down, the treatment of a vomiting dog should be started with an injection, as they might throw the intact tablet up again.",False,False,原句和变异句中的目标词'treatment'在两个句子中的含义是一致的，都指的是对呕吐的狗进行治疗的行动或过程。两个句子只是通过改变句子的结构（将'since'从句的位置移动），并不影响'treatment'这个词的含义。
retard,"Skilled ringers use their wrists to advance or retard the next swing , so that one bell can swap places with another in the following change .","To advance or retard the next swing, skilled ringers use their wrists, so that one bell can swap places with another in the following change.",False,False,在这两个句子中，目标词'retard'的含义没有变化，都是指'延迟'或'减缓'的意思。两个句子结构上的差异（原句中'use their wrists to advance or retard'，变异句中'To advance or retard the next swing'）并不影响'retard'这个词本身的含义。因此，两个句子中的目标词含义相同。
changes,"Ringers memorize patterns of changes , known as `` methods , `` which have odd-sounding names like Kent Treble Bob Major or Grandsire Caters .","Patterns of changes, known as ``methods,'' are memorized by Ringers, which have odd-sounding names like Kent Treble Bob Major or Grandsire Caters.",False,False,在这两个句子中，目标词 'changes' 的含义并没有发生变化。'changes' 在这里指的是铃声变换的模式，即所谓的“methods”，这些模式被 bell ringers（钟铃演奏者）记忆。原句和变异句只是句子的结构有所不同，但目标词 'changes' 的上下文含义保持一致。
government,"1 -RRB- Voters can `` buy `` one of two brands when they select their political agents -- a Republican brand that believes in the minimalist state and in the virtues of private markets over the vices of public action , and a Democratic brand that believes in big government and in public intervention to remedy the excesses attendant to the pursuit of private interest .","When selecting their political agents, Voters can `` buy `` one of two brands -- a Republican brand believing in the minimalist state and the virtues of private markets over the vices of public action, and a Democratic brand believing in big government and public intervention to remedy the excesses attendant to the pursuit of private interest.",False,False,原句和变异句中的目标词 'government' 在上下文中都指的是政府的大小和角色，即共和党人相信最小化政府状态，而民主党人相信大政府的理念。两个句子中的 'government' 含义没有区别，都是指政治实体及其干预市场的程度。
notion,The notion that tracking is somehow `` undemocratic `` is absurd .,Absurd is the notion that tracking is somehow `` undemocratic ''. ,False,False,在这两个句子中，目标词 'notion' 的含义是一致的。'Notion' 在这里指的是一种观念、想法或看法，具体来说，是对跟踪（tracking）某种方式是否是'非民主'的这样一种观点。原句和变异句只是句子结构上的不同，通过形容词 'absurd' 来修饰 'notion'，表明说话者认为这种观念是荒谬的。无论是原句还是变异句，'notion' 的含义和上下文中的功能并没有改变。
claims,The Federal Housing Finance Agency ( FHFA ) has been behind the largest wave of claims .,Behind the largest wave of claims has been the Federal Housing Finance Agency (FHFA).,False,False,在这两个句子中，目标词 'claims' 的含义是一致的。'Claims' 在这里指的是对财务或法律上的要求或主张，指的是FHFA所涉及的诉讼或索赔案件。原句和变异句只是句子结构上的不同，即主语和谓语的顺序变化，但这并不影响目标词 'claims' 的含义。因此，两个句子中的 'claims' 含义相同。
popular,"An additional piece of evidence from the Senate : Holding other factors constant , such as incumbency advantages and regional factors , the difference between popular votes for Republican presidential and senatorial candidates in states conducting a Senate election turns out to be a positive function of how onerous the federal government 's tax burden is per state -LRB- a progressive tax rate hits higher - income states harder -RRB- .","From the Senate comes an additional piece of evidence: Holding other factors constant, such as incumbency advantages and regional differences, the difference in popular votes for Republican presidential and senatorial candidates in states conducting a Senate election turns out to be a positive function of how onerous the federal government's tax burden is per state - a progressive tax rate hitting higher-income states harder.",False,False,在这两个句子中，目标词 'popular' 的含义是一致的。'popular votes' 指的是普遍的、大众的选票，即普通民众的投票。两个句子都描述了在保持其他因素不变的情况下，共和党总统候选人和参议员候选人在进行参议院选举的州所获得的民众选票的差异。这种差异被认为是与每个州的联邦政府税收负担的繁重程度成正比。因此，'popular' 在这两个上下文中的含义并没有改变，都是指代普通民众的投票。
come,"We finally rendezvoused with our balloon , which had come to rest on a dirt road amid a clutch of Epinalers who watched us disassemble our craft -- another half-an-hour of non-flight activity -- that included the precision routine of yanking the balloon to the ground , punching all the air out of it , rolling it up and cramming it and the basket into the trailer .","Finally, we rendezvoused with our balloon, which had come to rest on a dirt road, amidst a group of Epinalers who watched us disassemble our craft -- another half-an-hour of non-flight activity that included the routine of precision yanking the balloon to the ground, punching all the air out of it, rolling it up, and cramming it, along with the basket, into the trailer.",False,False,原句和变异句中的目标词'come'都表示到达并停止在某处，含义没有变化。在这两个句子中，'come to rest'是一个固定短语，表示物体最终停下来，其含义在两个句子中保持一致，没有体现出不同的上下文或用法。
began,"Starting with Congressman Mario Biaggi now serving a jail sentence , the company began a career of bribing federal , state and local public officials and those close to public officials , right up to and including E. Robert Wallach , close friend and adviser to former Attorney General Ed Meese .","Beginning with Congressman Mario Biaggi, now serving a jail sentence, a career of bribing federal, state and local public officials and those close to them was embarked upon by the company, right up to and including E. Robert Wallach, close friend and adviser to the former Attorney General Ed Meese.",False,False,在这两个句子中，目标词'began'和'embarked upon'虽然有不同的表达方式，但它们在句子中的含义是一致的。'Began'表示开始一个过程或活动，而变异句中的'embarked upon'也是一个表示开始或着手进行某事的短语。两个词都指的是公司开始了行贿的行为。因此，尽管用词不同，但目标词的具体含义并没有改变。
