instance.word,sentence,mut.sentence,check,check_llm,reason
average,"The World Labor Organisation estimates that for example in Germany , an immigrant arriving at the age of 30 , will make a net contribution ( receipts less expenditure ) of an average of 150,000 Euros to public budgets during his lifetime .","The World Labor Organisation estimates that , for example , in Germany an immigrant arriving at the age of 30 will make a net contribution ( receipts less expenditure ) of an average 150,000 Euros to public budgets during his lifetime.",False,False,"在原句中，'average'用作形容词，表示“平均的”，并且后面跟有“of”短语“of an average of 150,000 Euros”，强调了这个平均值的概念。而在变异句中，'average'被用作名词，直接跟数字“150,000 Euros”，意味着这个数字本身就是平均值。虽然语境上两个句子的目标词'average'都指的是平均值，但原句和变异句在语法使用上存在差异，一个是形容词一个是名词，因此它们的含义用法在技术上是不同的。"
countries,"But only around half of respondents in Mexico and Brazil , the region 's two most populous countries , are convinced democrats , which drags down the regional average ( see chart 2 ) .","But convinced democrats are only around half of respondents in Mexico and Brazil, the two most populous countries of the region, which drags down the regional average (see chart 2).",False,False,在这两个句子中，目标词'countries'的含义没有变化。'countries'在原句和变异句中都指的是'墨西哥和巴西'，这两个国家被称为该地区人口最多的国家。两个句子的结构变化并没有改变'countries'这个词的具体指代和含义。
needed,"`` It was the confirming evidence we all needed that gene losses were critical to the development of a common tumor , `` says Ray White at Howard Hughes Medical Institute in Salt Lake City .","The confirming evidence we all needed was that gene losses were critical to the development of a common tumor, says Ray White at Howard Hughes Medical Institute in Salt Lake City.",False,False,在这两个句子中，'needed'都是过去分词，作为定语修饰'evidence'。在原句和变异句中，'needed'的含义没有改变，都表示'必要的'、'迫切需要的'，指的是对基因损失与常见肿瘤发展之间关系的确认证据是大家所需要的重要信息。因此，两个目标词的含义相同，不应该有所不同。
state,"1 -RRB- Voters can `` buy `` one of two brands when they select their political agents -- a Republican brand that believes in the minimalist state and in the virtues of private markets over the vices of public action , and a Democratic brand that believes in big government and in public intervention to remedy the excesses attendant to the pursuit of private interest .","When selecting their political agents, Voters can `` buy `` one of two brands -- a Republican brand believing in the minimalist state and the virtues of private markets over the vices of public action, and a Democratic brand believing in big government and public intervention to remedy the excesses attendant to the pursuit of private interest.",False,False,在这两个句子中，目标词‘state’的含义并没有发生变化。在原句和变异句中，‘state’都是指国家或政府的状态或角色，特别是指政府的大小和干预程度。两个句子都描述了共和党人相信最小化国家干预，而民主党人则倾向于大政府和公共干预。因此，目标词的含义在两个句子中是一致的，没有体现出不同。
nice,It is nice for teachers to think they are engaged in `` personality development `` and even nicer to minimize those irksome tests with often disappointing results .,"Nice it is for teachers to think they are engaged in `` personality development '' and even nicer to minimize those irksome tests, which often yield disappointing results.",False,False,在这两个句子中，目标词 'nice' 的含义没有变化。'nice' 在这里都是形容词，用来形容 'It is nice' 或者 'Nice it is' 的情景，表示愉快、好的或者令人满意的。无论是原句还是变异句，'nice' 都用来表达教师认为他们在从事性格发展工作以及减少那些令人烦恼且常常结果令人失望的测试是件好事。句子的结构变化（从 'It is nice' 到 'Nice it is'）并不影响 'nice' 的含义。
Left,"In 2005 , the fear of invasion of the national territory by hordes of Polish plumbers was felt both on the Left and on the Right .","In 2005, the fear was felt both on the Left and on the Right of an invasion of the national territory by hordes of Polish plumbers.",False,False,在这两个句子中，'Left'一词的含义是相同的。'Left'在这里指的是政治上的左翼，即政治光谱中倾向于进步、自由或社会主义的派别。在原句和变异句中，'Left'都用来指代那些担心国家领土受到波兰水管工大规模入侵的群体，而这个担忧是跨越政治光谱的，包括左翼和右翼。因此，两个句子中的目标词'Left'含义没有变化。
involves,"To the extent that the primary duty of personal staff involves local benefit-seeking , this indicates that political philosophy leads congressional Republicans to pay less attention to narrow constituent concerns .","To the extent that local benefit-seeking involves the primary duty of personal staff, this indicates that congressional Republicans, led by their political philosophy, pay less attention to narrow constituent concerns.",False,True,在这两个句子中，目标词 'involves' 的含义可以有所不同。在原句中，'involves' 指的是个人工作人员的主要职责包含了寻求地方利益；而在变异句中，'involves' 则表达了寻求地方利益包含了个人工作人员的主要职责。因此，两个句子的侧重点和逻辑关系有所不同，原句强调的是职责的范围，而变异句强调的是地方利益的范畴。这种差异导致了目标词 'involves' 在两个句子中的含义有所区别。
making,"Second , if the key assumption is valid , Democrats should have lower attendance rates on roll-call votes than Republicans do to the extent that such votes reflect national policy making and that participating in such votes takes away from the time a legislator could otherwise devote to local benefit-seeking .","If valid is the key assumption, Democrats should have, second, lower attendance rates on roll-call votes than do Republicans to the extent that such votes reflect national policy making and take away time from that which a legislator could otherwise devote to local benefit-seeking.",False,False,在这两个句子中，目标词 'making' 的含义是一致的。'making' 在这里都是作为名词使用，指的是 '制定' 或 '形成' 的过程，具体是指 'national policy making'（国家政策的制定）。原句和变异句中的 'making' 都是指代同样的概念，即政策制定的活动或过程，并没有因为句子结构的变化而产生不同的含义。
arguments,But some lawyers said appeals courts were often attracted to arguments that social and technological changes required adaptation by the courts .,But some lawyers said that often appeals courts were attracted to arguments requiring adaptation by the courts due to social and technological changes.,False,False,在这两个句子中，目标词 'arguments' 的含义是一致的。'arguments' 在这里指的是律师们提出的论点或理由，这些论点主张法院应该根据社会和技术的变化进行适应。原句和变异句中的结构变化仅仅是语法上的调整，并没有改变 'arguments' 的核心含义。
watch,"Totally absorbed , the ringers stare straight ahead , using peripheral vision ( they call it `` rope-sight `` ) to watch the other ropes and thus time their pulls .","Totally absorbed, the ringers straight ahead stare, using peripheral vision - which they call ``rope-sight'' - to watch the other ropes and thus time their pulls.",False,False,在这两个句子中，目标词 'watch' 的含义是一致的。'Watch' 在这里指的是通过使用周边视觉（即他们所说的‘rope-sight’）来观察其他的绳子，以此来协调他们的拉绳时机。原句和变异句只是对句子结构进行了轻微调整，将非限制性定语从句 'they call it `` rope-sight ``' 放在了不同的位置，但这并不改变 'watch' 的具体含义。因此，两个句子中的 'watch' 含义相同，结果为False。
sound,"Then , at a signal , the ringers begin varying the order in which the bells sound without altering the steady rhythm of the striking .","Then , at a signal , the ringers begin varying the order in which the bells sound , without the steady rhythm of the striking being altered.",False,False,在这两个句子中，目标词'sound'的含义没有发生变化。'sound'在这两个句子中都是指钟声响起的行为或声音本身，而不是指声音的顺序或节奏。原句和变异句都强调了钟声的顺序在变化，但敲击的稳定节奏并未改变。变异句只是改变了句子结构，将'without altering the steady rhythm of the striking'放在了句尾，但并未改变'sound'这个词的含义。
genetic,"Emerging genetic tests will be able to spot such cancer-susceptible individuals , ushering in what some scientists believe is a new age of predictive cancer diagnosis .","Able to spot such cancer-susceptible individuals will be emerging genetic tests, ushering in what some scientists believe is a new age of predictive cancer diagnosis.",False,False,在这两个句子中，目标词 'genetic' 的含义并没有改变。'genetic' 修饰的是 'tests'，指的是与遗传相关的检测。无论是在原句还是变异句中，'genetic' 都是指这些检测是基于遗传学原理，用于识别易患癌症的个体。两个句子的结构变化并没有影响到 'genetic' 这个词的具体含义。
No.,Dr. Knudson found that some children with the eye cancer had inherited a damaged copy of chromosome No. 13 from a parent who had had the disease .,Dr. Knudson found that a damaged copy of chromosome No. 13 had been inherited by some children with the eye cancer from a parent who had had the disease.,False,False,在这两个句子中，目标词 'No.' 都是指代数字编号 '13' 的前缀，表示染色体的编号。无论是原句还是变异句，'No.' 的含义和用法都是相同的，没有发生变化，都是用来明确指出具体是第13号染色体。因此，两个句子中的目标词含义没有不同。
primary,"To the extent that the primary duty of personal staff involves local benefit-seeking , this indicates that political philosophy leads congressional Republicans to pay less attention to narrow constituent concerns .","To the extent that local benefit-seeking involves the primary duty of personal staff, this indicates that congressional Republicans, led by their political philosophy, pay less attention to narrow constituent concerns.",False,False,在这两个句子中，目标词 'primary' 的含义没有变化。'Primary' 在这里都是形容词，用来描述职责或任务的首要性或主要性。无论是原句还是变异句，'primary duty' 都指的是个人工作人员的主要职责或首要任务，这个含义在两个句子中是一致的。
structure,"The new money flows into the already top-heavy administrative structure , which busies itself piling more and more paper work on the teachers .","Into the already top-heavy administrative structure flow the new money, which busies itself piling more and more paper work on the teachers.",False,False,在这两个句子中，目标词 'structure' 的含义没有变化。'structure' 在这里指的是一个组织或管理体系，特别是指行政结构。原句和变异句只是句子结构上的不同（一个是主动语态，一个是被动语态），但目标词 'structure' 的上下文含义保持一致，都是指一个过重的行政体系。
previous,Nice if you want to define some libraries or resume some previous work .,"If you want, it would be nice to define some libraries or resume some previous work.",False,False,在这两个句子中，目标词 'previous' 的含义没有变化，都是指之前的、先前的。原句和变异句中的 'previous work' 都指的是之前已经开始但可能中断或未完成的工作。两个句子的结构虽然略有不同，但目标词的具体含义和上下文中的用法是一致的。
Russia,"The 10 deals the Iraqi Oil Ministry reached with foreign oil companies suggest that China , Russia and European oil firms are poised to play a major role in refurbishing Iraq 's oil industry , crippled by decades of war and sanctions .","The 10 deals reached by the Iraqi Oil Ministry with foreign oil companies suggest that a major role in refurbishing Iraq's oil industry, crippled by decades of war and sanctions, is poised to be played by China, Russia, and European oil firms.",False,False,在原句和变异句中，目标词‘Russia’的含义并没有改变。两个句子中‘Russia’都是指一个国家，且在句子中作为参与伊拉克石油工业重建的外国石油公司之一的来源国。两个句子只是句式结构上的变化，并没有影响到目标词的含义。
look,"You see , I always make it look like an accident .","I always make it look, you see, like an accident.",False,False,在这两个句子中，目标词 'look' 的含义是一致的。'look' 在这里都是指使某事物呈现出某种外观或样子，即让某事物看起来像是偶然发生的。原句和变异句只是通过调整逗号位置轻微改变了句子节奏和强调，但并没有改变 'look' 的具体含义。
begins,"`` Feeding Frenzy `` ( Henry Holt , 326 pages , $ 19.95 ) , a highly detailed account of the Wedtech scandal , begins on a reassuring note .","Begins on a reassuring note, `` Feeding Frenzy '' (Henry Holt, 326 pages, $19.95), a highly detailed account of the Wedtech scandal.",False,False,在这两个句子中，目标词 'begins' 的含义并没有改变。无论在原句还是变异句中，'begins' 都是指书 'Feeding Frenzy' 以一种令人安心的方式开始叙述或展开。两个句子的结构变化（将描述从句首移至句中）并不影响 'begins' 的具体含义，它仍然表示的是书的起始部分或叙述的开端。
made,Your research stopped when a convenient assertion could be made .,"When a convenient assertion could be made, your research stopped.",False,False,在这两个句子中，目标词'made'的含义是相同的。'Made'在这里都是过去分词，作为被动语态的一部分，表示'被提出'或'被作出'的意思。原句和变异句只是句子的结构不同，但目标词'made'的含义并没有改变。
