instance.word,sentence,mut.sentence,check,check_llm,reason
studied,"For the treatment of malignant pleural mesothelioma , Alimta has been studied in one main study in 456 patients who had not received chemotherapy for their disease before .","In one main study, Alimta has been studied for the treatment of malignant pleural mesothelioma in 456 patients who had not received chemotherapy for their disease before.",False,False,在这两个句子中，'studied'的含义没有变化，都是指对Alimta进行研究和评估其作为治疗恶性胸膜间皮瘤的效果。两个句子的结构基本相同，只是变异句将研究的目的状语提前，但并不影响目标词的含义。
bounded,-gt : It s the way to specify the bounded variable in a function .,The way to specify the bounded variable in a function is this.,False,False,在这两个句子中，'bounded'一词的含义是一致的。'Bounded'在数学和编程语境中通常指的是一个变量或函数的界限或限制，原句和变异句中的目标词都是指在函数中指定有界限的变量，因此其含义没有发生变化。
dominate,"These beliefs so dominate our educational establishment , our media , our politicians , and even our parents that it seems almost blasphemous to challenge them .","So dominated are our educational establishment, our media, our politicians, and even our parents by these beliefs that it seems almost blasphemous to challenge them.",False,False,在这两个句子中，目标词 'dominate' 的含义是一致的。'dominate' 在这里指的是对这些领域（教育体制、媒体、政治人物甚至父母）的强烈控制和影响力。原句和变异句只是句子结构上的不同，原句使用了 'so dominate'，而变异句使用了 'So dominated are' 来强调同样的概念，即这些信念对这些领域的影响是压倒性的，挑战它们似乎是一种亵渎。因此，目标词的含义并没有因为句子结构的变化而改变。
time,Haney had n't given it much thought at the time .,"At the time, Haney hadn't given it much thought.",False,False,在这两个句子中，目标词'time'的含义是一致的。它指的是Haney没有认真思考的那个特定时刻或时期。无论是原句还是变异句，'time'都用来指代过去某个具体的思考或行动发生的时刻，因此其含义没有变化。
waited,He waited eagerly .,Eagerly did he wait.,False,False,在这两个句子中，'waited'的含义并没有改变，它都表示过去时态的等待。原句和变异句只是通过不同的语序来强调'eagerly'的程度，原句是正常的陈述语序，而变异句通过倒装语序来强调他等待的急切程度。目标词'waited'在两个句子中的含义是一致的，都是指某人在期待某事发生时的行为。
establishment,The education establishment will fight against common sense every inch of the way .,Every inch of the way will the education establishment fight against common sense.,False,False,在这两个句子中，目标词 'establishment' 的含义没有变化。'Establishment' 在这里指的是教育机构或教育体系，它表达了在教育领域内具有权威和影响力的组织或体制。原句和变异句只是句子结构上的倒装，而目标词的上下文含义和指代对象保持一致。
implied,Your comments implied we had discovered that the `` principal cause `` of homelessness is to be found in the large numbers of mentally ill and substance-abusing people in the homeless population .,Implied in your comments were the discovery we had made that the `` principal cause `` of homelessness is to be found in the large numbers of mentally ill and substance-abusing people among the homeless population.,False,False,在这两个句子中，目标词 'implied' 的含义是一致的。'Implied' 在这里都表示暗示或者含蓄表达的意思。原句中 'Your comments implied' 表示评论中隐含了某种意思；变异句中 'Implied in your comments were' 是使用了倒装句式，但其含义仍然是指评论中暗示了某种发现。两个句子中的 'implied' 都是指暗示了关于无家可归主要原因的发现，所以含义没有不同。
look,"You see , I always make it look like an accident .","I always make it look, you see, like an accident.",False,False,在这两个句子中，目标词 'look' 的含义是一致的。'look' 在这里都是指使某事物呈现出某种外观或样子，即让某事物看起来像是偶然发生的。原句和变异句只是通过调整逗号位置轻微改变了句子节奏和强调，但并没有改变 'look' 的具体含义。
path,"The text , which could provide the basis for a final political deal to regulate greenhouse gases , highlighted the remaining obstacles as much as it illuminated a path forward .","Highlighted were the remaining obstacles as much as a path forward was illuminated by the text, which could provide the basis for a final political deal to regulate greenhouse gases.",False,False,在这两个句子中，目标词 'path' 的含义是一致的。'path' 在这里指的是一个前进的方向或路线，比喻为达成最终政治协议的道路。原句和变异句都表达了同样的意思，即文本既突出了剩余的障碍，也照亮了前进的道路。因此，两个句子中的 'path' 含义没有不同。
face,"If these assumptions hold , voters in races for Congress face what in economic theory is called a prisoner 's dilemma and have an incentive , at the margin , to lean Democratic .","If these assumptions hold, what voters in races for Congress face is what in economic theory is called a prisoner's dilemma, and at the margin, they have an incentive to lean Democratic.",False,False,在这两个句子中，目标词'face'的含义是一致的。'Face'在这里指的是面对或遭遇的意思，指的是选民在国会竞选中面临所谓的'囚徒困境'。两个句子中'face'的用法和上下文含义没有发生变化，都是在描述选民所面临的情况。
