instance.word,sentence,mut.sentence,check,check_llm,reason
rolling,"We finally rendezvoused with our balloon , which had come to rest on a dirt road amid a clutch of Epinalers who watched us disassemble our craft -- another half-an-hour of non-flight activity -- that included the precision routine of yanking the balloon to the ground , punching all the air out of it , rolling it up and cramming it and the basket into the trailer .","Finally, we rendezvoused with our balloon, which had come to rest on a dirt road, amidst a group of Epinalers who watched us disassemble our craft -- another half-an-hour of non-flight activity that included the routine of precision yanking the balloon to the ground, punching all the air out of it, rolling it up, and cramming it, along with the basket, into the trailer.",False,False,在这两个句子中，'rolling'都是指将气球卷起来的动作，没有体现出不同的含义。原句和变异句中的'rolling'都是作为动词短语的一部分，描述了将气球从地面拉起、放气并卷起来以便于运输的过程。两个句子在描述这一动作时用词和结构虽有差异，但目标词'rolling'的含义没有变化。
fight,The education establishment will fight against common sense every inch of the way .,Every inch of the way will the education establishment fight against common sense.,False,False,在这两个句子中，目标词 'fight' 的含义并没有改变。无论是在原句还是变异句中，'fight' 都表示教育体制在与常识进行抗争或对立，表达的是一种持续不断的斗争或反对的态势。句子的结构变化（倒装）并不影响目标词 'fight' 的具体含义。
ruling,"In a landmark 1966 ruling , the United States Supreme Court overturned the conviction of a Cleveland osteopath , Dr. Sam Sheppard , for the murder of his wife , saying in its decision , Sheppard v. Maxwell , that there was a `` carnival atmosphere at trial '' because of the news media .","In a landmark 1966 ruling, the United States Supreme Court overturned the conviction of a Cleveland osteopath, Dr. Sam Sheppard, for the murder of his wife, saying in its decision, Sheppard v. Maxwell, that a 'carnival atmosphere' at trial there was because of the news media.",False,False,原句和变异句中的目标词 'ruling' 在两个句子中的含义没有区别，都指的是具有里程碑意义的1966年美国最高法院的裁决。两个句子结构基本相同，只是变异句中在'a 'carnival atmosphere' at trial there was'的部分有轻微的语法错误（多余的'there was'），但这并不影响'ruling'这个词的含义。
frames,"Got back to Bolinas , and everything had fallen : broken poster frames with glass on the floor , file cabinets open or dumped onto the floor .","Got back to Bolinas, and everything had fallen: broken poster frames with glass on the floor, open file cabinets or dumped onto the floor.",False,True,在原句中，'frames'指的是海报的框架，由于后面提到了'with glass on the floor'，这里的'frames'特指那些装有玻璃的框架。而在变异句中，由于没有明确指出'frames'与'glass'的关联，'frames'可能仍然指海报框架，但也可能被理解为更广泛的框架或结构，比如可能包括其他类型的框架。因此，两个句子中的'frames'含义可以有所不同。
regulating,"They know that whenever government is redistributing wealth , regulating commerce or maintaining a large defense establishment , there is big money to be made in influencing , brokering or selling the processes and decisions of government .","Whenever government is redistributing wealth, regulating commerce, or maintaining a large defense establishment, they know there is big money to be made in influencing, brokering, or selling the processes and decisions of government.",False,False,在这两个句子中，目标词'regulating'的含义没有变化。'Regulating'在原句和变异句中都是指政府对商业活动进行规范和管理的行为。两个句子的结构变动仅仅是将'they know'放在了句首，并不影响'regulating'这个词的含义。因此，目标词的含义没有因为句子结构的变化而有所不同。
heading,"The New York Stock Exchange closed with no particular heading on Friday , in a market torn between better than expected indicators in the United States and a strengthening dollar : the Dow Jones gained 0.63 % but the NASDAQ dropped 0.03 % .","With no particular heading, the New York Stock Exchange closed on Friday, in a market torn between better than expected indicators in the United States and a strengthening dollar: the Dow Jones gained 0.63% while the NASDAQ dropped 0.03%.",False,False,在这两个句子中，'heading'的含义是一致的。'Heading'在这里指的是市场走势或者趋势，表明市场没有明确的上升或下降趋势。原句和变异句只是句子结构上有所不同（原句中'with no particular heading'置于句首，变异句中置于句中），但目标词'heading'的上下文含义并没有改变。
absurd,The notion that tracking is somehow `` undemocratic `` is absurd .,Absurd is the notion that tracking is somehow `` undemocratic ''. ,False,False,在这两个句子中，目标词 'absurd' 的含义是相同的。'absurd' 用于形容一个观点或想法是荒谬的、不合理的。无论是原句还是变异句，'absurd' 都用来强调 'tracking is somehow undemocratic' 这一观念的荒谬性，因此两个句子中目标词的含义没有差异。
rung,"Also , ringers do not always live where the bells need to be rung -- like in small , rural parishes and inner-city churches .","Also, where the bells need to be rung, do not ringers always live -- as in small, rural parishes and inner-city churches.",False,False,在这两个句子中，目标词 'rung' 的含义是一致的。'Rung' 是动词 'ring' 的过去分词形式，在两个句子中都表示铃需要被敲响的动作。原句和变异句只是句子的结构不同，但目标词的含义并没有改变，都是指敲钟的行为。
advanced,"For the treatment of non-small cell lung cancer , the effects of Alimta were compared with those of docetaxel ( another anticancer medicine ) in one study involving 571 patients with locally advanced or metastatic disease who had received chemotherapy in the past .","In one study involving 571 patients with locally advanced or metastatic non-small cell lung cancer who had received chemotherapy in the past, the effects of Alimta were compared with those of docetaxel, another anticancer medicine, for the treatment.",False,False,在这两个句子中，目标词'advanced'的含义没有变化。'Locally advanced'在两个句子中都是指癌症已经发展到局部晚期阶段，意味着肿瘤已经扩散到附近的组织或淋巴结，但还没有远处转移。因此，尽管句子的结构有所变化，但目标词的含义保持一致。
assumption,"Second , if the key assumption is valid , Democrats should have lower attendance rates on roll-call votes than Republicans do to the extent that such votes reflect national policy making and that participating in such votes takes away from the time a legislator could otherwise devote to local benefit-seeking .","If valid is the key assumption, Democrats should have, second, lower attendance rates on roll-call votes than do Republicans to the extent that such votes reflect national policy making and take away time from that which a legislator could otherwise devote to local benefit-seeking.",False,False,"在这两个句子中，目标词 'assumption' 的含义没有变化。它在这两个句子中都是指一个前提或假定，即关键假设的有效性。原句和变异句的结构变化（如从 'Second, if the key assumption is valid' 到 'If valid is the key assumption'）并不影响 'assumption' 的意义，只是句子构造上的调整。因此，目标词的含义在两个句子中是相同的。"
