instance.word,sentence,mut.sentence,check,check_llm,reason
market,"The trend was supported by the publication of better than expected economic indicators , which `` have contributed to improving market opinion in relation to the robustness of the economic recovery '' , summarised Charles Schwab 's analysts .","The upward trend was firmly supported by the recent publication of better than expected economic indicators, which have significantly contributed to enhancing market opinion regarding the robustness of the ongoing economic recovery,'' summarised Charles Schwab's seasoned analysts.",False,False,在这两个句子中，目标词'market'的含义没有发生变化。在原句和变异句中，'market opinion'均指的是市场对于经济复苏强劲性的看法或评估，没有体现出不同的上下文意义。
notion,The notion that tracking is somehow `` undemocratic `` is absurd .,The absurd notion that tracking is somehow inherently `` undemocratic '' is truly laughable.,False,False,在这两个句子中，目标词 'notion' 的含义没有发生变化。'Notion' 在两个句子中都是指一种观念、想法或看法，并且都和对于跟踪（tracking）是否具有'反民主'性质的判断有关。原句中，'notion' 被描述为 'absurd'（荒谬的），变异句中，'notion' 被进一步强调为 'absurd notion'（荒谬的观念）并且整个观念被认为是'truly laughable'（确实可笑）。尽管形容词和副词的使用增强了变异句中的语气，但 'notion' 本身的含义没有改变。
drinking,"It was blurred , after two hours of steady drinking , but the occasion of it came back to him .","It was blurredly remembered, after two hours of steady drinking, but the occasion of it eventually came back to him.",False,False,在这两个句子中，目标词'drinking'的含义没有改变。在原句和变异句中，'drinking'都是指持续饮酒的行为，与之后的动作或状态（记忆模糊或记忆逐渐恢复）相关，但'drinking'本身的含义没有区别。
matched,The result is a generation of young people whose ignorance and intellectual incompetence is matched only by their good opinion of themselves .,The regrettable result is a generation of young people whose profound ignorance and striking intellectual incompetence is matched only by their overly good opinion of themselves.,False,False,在这两个句子中，目标词'matched'的含义是相同的。'Matched'在这里都表示一种比较或对应的关系，指的是年轻人的无知和智力不足与他们对自己的高度评价是相匹配的，即他们的自我评价与他们实际的能力水平不成比例。原句和变异句中的修饰词（如'ignorance'和'intellectual incompetence'与'profound ignorance'和'striking intellectual incompetence'，以及'good opinion'和'overly good opinion'）虽然增加了描述的强度，但并不改变'matched'这个词的含义。
pull,"Back in the chase car , we drove around some more , got stuck in a ditch , enlisted the aid of a local farmer to get out the trailer hitch and pull us out of the ditch .","Back in the chase car, we drove around aimlessly some more, got stubbornly stuck in a ditch, enlisted the timely aid of a nearby local farmer to carefully get out the trailer hitch and finally pull us out of the ditch.",False,False,原句和变异句中的目标词'pull'含义相同，都指的是用力将车辆从沟渠中拉出。两个句子中的'pull'都是指具体的物理动作，没有在语境上产生不同的意义。尽管变异句中加入了'finally'和'carefully'等副词增加了情境描述，但这并不改变'pull'本身的基本含义。
reverse,Some researchers say new cancer drugs to slow or reverse tumor growth may be based on the suppressor proteins normally produced by the genes .,"Some researchers claim that new cancer drugs, which are designed to slow or reverse tumor growth, may be based on the suppressor proteins that are typically produced by the genes.",False,False,原句和变异句中的目标词'reverse'在句子中的含义相同，都是指逆转肿瘤生长的过程。两个句子中使用'reverse'一词的上下文并没有改变其基本含义。
intellectual,The result is a generation of young people whose ignorance and intellectual incompetence is matched only by their good opinion of themselves .,The regrettable result is a generation of young people whose profound ignorance and striking intellectual incompetence is matched only by their overly good opinion of themselves.,False,False,原句和变异句中的目标词 'intellectual' 在两个句子中的含义是相同的，都指的是与知识、智力相关的能力或水平。原句中的 'intellectual incompetence' 指的是智力上的不足，而变异句中的 'striking intellectual incompetence' 也是强调智力上的明显不足，两个短语都用来描述年轻一代在智力方面的缺陷。因此，尽管变异句加入了 'profound' 和 'striking' 这样的形容词来加强语气，但并没有改变 'intellectual' 这个词本身的含义。
dinner,The featured guests at the dinner ? Scalia and Thomas .,The distinguished featured guests at the elegant dinner were Scalia and Thomas.,False,True,原句中的'dinner'仅仅表示一顿饭，而变异句中的'elegant dinner'则强调了晚餐的优雅和精致，暗示了这不仅仅是一顿普通的饭，而可能是一次正式且高档的宴会。因此，尽管两个句子中的目标词都是'dinner'，但变异句通过添加定语'elegant'赋予了它额外的含义和语境。
day,"He went for more aspirin later in the day , and passed the surly landlord on the way -- he was still alive and scowling as usual , as if tenants were a burden in his life .","He went for more aspirin later that day, and accidentally passed the surly landlord on the way -- he was still very much alive and scowling as always, as if tenants were a constant burden in his life.",False,False,原句和变异句中的目标词'day'含义相同，都指的是同一天中的某个时间段，没有体现出意义上的差异。
environments,"The discovery `` does show that in other planetary environments organisms might be able to use other elements to drive biochemistry and that the ` standard ' set of elements we think are absolutely necessary for life might not be so fixed , '' commented Charles Cockell , professor at Planetary and Space Sciences Research Institute , Open University , in Milton Keynes , United Kingdom .","The intriguing discovery does indeed show that in certain other planetary environments, organisms might potentially be able to utilize different elements to drive their biochemistry, and that the so-called 'standard' set of elements we generally believe are indispensable for life might not be as rigidly fixed, '' commented Charles Cockell, an esteemed professor at the Planetary and Space Sciences Research Institute of Open University, located in Milton Keynes, United Kingdom.",False,False,两个句子中的目标词'environments'在上下文中都指的是其他行星的环境，没有体现出含义上的差异。原句和变异句都在讨论同样的概念，即在其他行星的环境中，生物可能使用不同的元素来驱动生物化学，并且我们通常认为生命所必需的元素集合可能不是那么固定。
