instance.word,sentence,mut.sentence,check,check_llm,reason
searching,"Dr. Vogelstein and a doctoral student , Eric Fearon , began months of tedious and often frustrating probing of the chromosomes searching for signs of genetic damage .","Dr. Vogelstein and a doctoral student, Eric Fearon, embarked on months of monotonous and frequently frustrating probing of the chromosomes, meticulously searching for any signs of genetic damage.",False,False,在这两个句子中，目标词'searching'的含义是相同的。'Searching'在这两个句子中都是指仔细寻找、搜寻的意思，没有因为句子结构或上下文的变化而产生不同的意义。原句和变异句都描述了Dr. Vogelstein和Eric Fearon在进行染色体探查时，寻找基因损害的迹象，两个句子中的修饰语仅仅是对搜索过程的情绪和细节描述有所不同，但并不影响'searching'这个词本身的含义。
homeless,"As for the findings on the 203 Baltimore homeless who underwent psychiatric examinations , I suggest you conduct your own survey .","As for the preliminary findings on the 203 Baltimore homeless individuals who underwent thorough psychiatric examinations, I strongly suggest that you independently conduct a comprehensive survey.",False,False,原句和变异句中的目标词 'homeless' 在两个句子中的含义相同，都是指无家可归的人。两个句子中 'homeless' 的上下文并没有改变这个词的基本意思。
now,"`` Right now , we 're lucky if after five years we keep one new ringer out of 10 , `` he adds .","Right now, we're merely lucky if, after a full five years, we manage to keep just one new ringer out of 10, he adds.",False,False,原句和变异句中的目标词'now'含义相同，都表示说话时的即时时间，表明目前的情况或状态。两个句子中的'now'都用来强调所述情况是在当前时刻的实际情况，没有体现出语境上的差异。
planning,There were relatively few cases reported of attempts to involve users in service planning but their involvement in service provision was found to be more common .,"There were relatively few cases reported in which attempts to involve users in service planning occurred, yet their involvement in service provision was found to be more commonly prevalent.",False,False,在这两个句子中，目标词'planning'的含义没有发生变化。'planning'在原句和变异句中都指的是服务规划的过程，即用户参与服务设计的阶段。两个句子都在比较用户在服务规划中的参与度与在服务提供中的参与度，没有对'planning'这个词的具体含义进行改变或调整。
rode,I rode it out on the second floor of Leo 's at 55th and Telegraph in Oakland .,I calmly rode it out on the second floor of Leo's at 55th and Telegraph in Oakland.,False,False,原句和变异句中的目标词 'rode' 在这里都用作动词，其基本含义没有改变，都是指乘骑或忍受某种情况。变异句中添加的副词 'calmly' 只是对 'rode' 这个动作方式的描述，不影响 'rode' 本身的意义。因此，两个句子中的 'rode' 含义相同。
hours,The dinner was held at a Washington hotel hours after the court 's conference over the case .,The dinner was held at a nearby Washington hotel just hours after the court's initial conference over the case.,False,False,两个句子中的目标词'hours'含义相同，都指的是一段时间，在原句和变异句中都是表示在法院会议结束后的几小时之内。变异句中的'just'并没有改变'hours'的时间概念，只是强调了时间的短暂。
pattern,"First , why ticket splitting has increased and taken the peculiar pattern that it has over the past half century : Prior to the election of Franklin Roosevelt as president and the advent of the New Deal , government occupied a much smaller role in society and the prisoner 's dilemma problem confronting voters in races for Congress was considerably less severe .","First, consider why ticket splitting has increasingly exhibited and adopted the peculiar pattern that it has displayed over the past half century: Prior to the historic election of Franklin Roosevelt to the presidency and the groundbreaking advent of the New Deal, the government played a significantly smaller role in society, and the prisoner's dilemma problem facing voters in congressional races was comparatively less severe.",False,False,在这两个句子中，目标词'pattern'的含义没有发生变化。'pattern'在这两个句子中都是指票分裂（ticket splitting）在过去半个世纪里所呈现出的独特形式或模式。原句和变异句都在描述这种模式是如何随着时间和政治环境的变化而发展的，但'pattern'这个词本身的含义没有区别。
childhood,His was one of two research teams in 1984 to report dual chromosome losses for a rare childhood cancer of the kidney called Wilm 's tumor .,"His was one of two pioneering research teams in 1984 that reported dual chromosome losses in a rare form of childhood cancer affecting the kidney, which is known as Wilm's tumor.",False,False,在这两个句子中，目标词'childhood'的含义没有改变。'childhood'在原句和变异句中都指的是发生在儿童时期的，与年龄相关的时期。两个句子都在描述一种罕见的儿童肾癌（Wilm's tumor），并没有因为句子结构或添加的形容词（如变异句中的'pioneering'）而改变'childhood'这个词的含义。
stopped,"The three of us stopped breathing for a moment , and then when it kept on coming we lunged for the doorway .","The three of us momentarily stopped breathing, and then, when it persistently kept on coming, we frantically lunged for the doorway.",False,False,在这两个句子中，'stopped'的含义相同，都是指暂时停止呼吸的动作。原句中的'stopped breathing for a moment'和变异句中的'momentarily stopped breathing'都表达了同样的暂时的停顿概念，没有体现出含义上的差异。
things,"Two related things stand out in the results of this year 's poll , taken in September and early October .","Two notably related things stand out in the results of this year's poll, conducted in September and early October.",False,False,在这两个句子中，目标词'things'的含义没有发生变化。'things'在原句和变异句中都指的是调查结果中突出的两个相关事物或因素。变异句中添加了'notably'作为修饰语，但这并不改变'things'本身的含义，只是强调了这两个事物相关性的显著程度。
strike,"It is also the kind of libel politicians find useful , since it helps them strike a friendly posture on behalf of an important constituency .","It is also the particularly kind of libel that politicians frequently find useful, since it consistently helps them strike a seemingly friendly posture on behalf of a crucially important constituency.",False,False,在这两个句子中，目标词'strike'的含义相同，都指的是采取某种姿态或立场。原句和变异句中的'strike a friendly posture'意思都是政治家们表现出一种友好的姿态。尽管变异句中加入了'consistently'和'seemingly'这样的修饰词，以及'particularly'和'crucially'来加强语气，但这并不改变'strike'这个词的基本含义。
worries,Mr. Hammond worries that old age and the flightiness of youth will diminish the ranks of the East Anglian group that keeps the Aslacton bells pealing .,"Mr. Hammond constantly worries that the onset of old age and the inherent flightiness of youth will gradually diminish the membership ranks of the dedicated East Anglian group, which diligently keeps the Aslacton bells pealing.",False,False,两个句子中的目标词 'worries' 在含义上没有区别。原句和变异句中的 'worries' 都表达了 Mr. Hammond 对未来某种情况的担忧和焦虑，即他担心老年和青年的轻浮会导致东安格利亚小组的成员减少，这个小组负责让 Aslacton 的钟声响起。变异句中添加了 'constantly' 和一些额外的描述性词汇，但这并不改变 'worries' 本身的含义，只是强调了担心的频繁性和情况的严重性。
operator,"We can use plus() , times() and everything which has its operator .","We can easily use plus(), times(), and everything which conveniently has its own operator.",False,False,在这两个句子中，目标词'operator'的含义没有发生变化。'operator'在原句和变异句中都指的是执行特定操作的符号或函数。变异句中增加的副词'conveniently'和形容词'own'并不影响'operator'这个词本身的含义。
nut,"If he was just a nut , no harm was done .","If he was merely a nut, no significant harm was done.",False,False,原句和变异句中的目标词'nut'在这里的含义是一致的。'nut'在这两个句子中都是指一个人的行为有点古怪或者疯狂，但并没有造成实际的伤害。两个句子都在强调即使他是个怪人，也没有造成什么伤害。
variation,"Each variation , or change , can occur only once , the rules state .","Each significant variation, or substantial change, can occur only once, as the specific rules state clearly.",False,True,原句中的'variation'含义较为一般，指的是任何变化。而变异句中加入了'significant'和'substantial'这两个形容词，使得'variation'的含义更具体，指的是重要的或实质性的变化。因此，两个句子中的目标词含义有所不同。
places,He 'd have to start going to some of the other places again .,He would need to start frequently going to some of the other places again.,False,False,在这两个句子中，目标词 'places' 的含义没有改变。原句和变异句中的 'places' 都指的是某些地方或场所，没有因为副词 'frequently' 的加入而改变其本身的含义。副词 'frequently' 只是用来说明去这些地方的频率，并不影响 'places' 的指代内容。
longer,"But if the genes are damaged -- perhaps by radiation , a chemical or through a chance accident in cell division -- their growth-suppressing proteins no longer work , and cells normally under control turn malignant .","But if the genes are damaged -- perhaps by exposure to radiation, ingestion of a chemical, or due to a random accident during cell division -- their growth-suppressing proteins no longer function properly, and cells that would normally remain under control can turn malignant.",False,False,原句和变异句中的目标词 'longer' 在句子中的含义没有区别，都表示 '不再' 的意思。两个句子中的 'no longer' 都用来表明基因受损后，生长抑制蛋白失去了原有的功能。
children,It is silly libel on our teachers to think they would educate our children better if only they got a few thousand dollars a year more .,It is a truly silly libel on our teachers to think that they could educate our children more effectively if only they got a few thousand dollars a year extra.,False,False,在这两个句子中，目标词 'children' 的含义没有改变，都是指代接受教育的学生群体，没有因为句子中的其他词汇变化而改变其指代的对象或具体含义。
oriented,Although it was initially MathML oriented it can now be used by everyone with little mathematical knowledge .,"Although it was initially more MathML oriented, it can now still be used by virtually everyone with limited mathematical knowledge.",False,False,原句和变异句中的目标词 'oriented' 在两个句子中的含义相同，都表示 '以...为导向的' 或 '面向...的'。两个句子都在描述一个起初是以MathML为中心或导向的事物，但现在可以被数学知识有限的人使用。变异句中的 'more' 并没有改变 'oriented' 的基本含义，只是增加了程度的比较，说明起初的导向性可能更加强烈。
