instance.word,sentence,mut.sentence,check,check_llm,reason
deals,Iraqi Oil Ministry reaches deals with 10 foreign oil companies,The Iraqi Oil Ministry successfully reaches deals with 10 foreign oil companies,False,False,原句和变异句中的目标词 'deals' 在这里都指的是 '协议' 或 '交易'，两个句子中 'deals' 的含义没有改变。变异句中加入的 'successfully' 是用来修饰动词 'reaches' 的，表明协议达成的状态，而不是改变 'deals' 的含义。
cracks,Many hairline cracks in the concrete slabs afterwards .,Many tiny hairline cracks appeared in the concrete slabs afterwards.,False,False,在这两个句子中，目标词'cracks'的含义没有明显不同。'hairline cracks'本身就指的是非常细小的裂缝，而变异句中使用的'tiny'一词是对'hairline'的进一步强调，但并没有改变'cracks'的基本含义，即混凝土板上的裂缝。因此，两个句子中的'cracks'含义相同。
experience,"But experience shows that in reality immigrants are much more complementary to , rather than replacements of , local labor , exercising trades in which there is a shortage of local labor .","But experience clearly shows that, in actual reality, immigrants are much more complementary to, rather than direct replacements of, the local labor force, particularly in trades that face a severe shortage of local labor.",False,False,原句和变异句中的目标词 'experience' 在句子中的含义没有不同，都指的是通过长时间的实践或经历所获得的知识或认识。两个句子中 'experience' 用作名词，表达的意思是经验表明或清楚地表明，说明移民是对本地劳动力的补充而不是替代，无论是在原句还是变异句中，这个含义保持一致。
scenes,"Of all scenes that evoke rural England , this is one of the loveliest : An ancient stone church stands amid the fields , the sound of bells cascading from its tower , calling the faithful to evensong .","Of all the scenes that evoke a serene rural England, this is undoubtedly one of the loveliest: An ancient, weathered stone church proudly stands amidst the lush fields, the melodious sound of bells cascading down from its towering spire, beckoning the faithful to the soothing evensong.",False,False,在这两个句子中，目标词'scenes'的含义没有发生变化。'Scenes'在两个句子中都是指代那些能够唤起对英格兰乡村景象的事物或景象，无论是原句还是变异句，都强调了这些景象的美丽和古老石教堂的存在感，以及钟声召唤信徒参加晚祷的情景。变异句虽然增加了一些形容词来增强描述，但这并不改变'scenes'本身的含义。
found,"His doubts stemmed from the fact that several years earlier a Princeton University researcher , Arnold Levine , had found in experiments with mice that a gene called p53 could transform normal cells into cancerous ones .","His lingering doubts stemmed from the fact that several years earlier, a renowned Princeton University researcher, Arnold Levine, had intriguingly found in meticulous experiments with mice that a gene, called p53, had the potential to transform normal cells into cancerous ones.",False,False,在这两个句子中，目标词 'found' 的含义是相同的。'Found' 在这里都指的是研究者通过实验发现或找到了某种信息或结果，即p53基因能将正常细胞转化为癌细胞。原句和变异句中对 'found' 的使用没有体现出含义上的差异。
index,"Moreover , the confidence of American consumers has clearly bounced back in December , to 73.4 against 67.4 the previous month , according to preliminary estimates from Michigan University 's index .","Moreover, the confidence of American consumers has quite clearly bounced back in December, reaching 73.4, up from 67.4 in the previous month, as indicated by preliminary estimates from Michigan University's well-regarded index.",False,False,在这两个句子中，目标词'index'的含义没有发生变化。'Index'在原句和变异句中都指的是密歇根大学消费者信心指数，用来衡量美国消费者的信心水平。两个句子都提到了这个指数作为初步估计的数据来源，变异句中虽然加上了'well-regarded'（受到好评的）来修饰这个指数，但这并不改变'index'本身的意思。
suggested,"The tumor , he suggested , developed when the second , normal copy also was damaged .","The tumor, he cautiously suggested, developed when the second, otherwise normal copy was also unfortunately damaged.",False,True,原句中的'suggested'意味着他提出了一个看法或推测，语气较为直接和肯定。而变异句中的'cautiously suggested'则表明他在提出看法时更为谨慎和犹豫，语气较弱。此外，变异句中还加入了'otherwise normal'和'unfortunately damaged'这样的修饰语，进一步强调了变异句中'suggested'所带有的谨慎和不幸的意味，与原句的含义有所不同。
frightened,Never in my life have I been so frightened .,Never in my entire life have I been so utterly frightened.,False,False,两个句子中的目标词 'frightened' 在这里都表示感到害怕或惊吓的意思，没有含义上的区别。'Never in my life' 和 'Never in my entire life' 都用于强调，而 'so' 和 'so utterly' 都用于增强 'frightened' 的程度，但并没有改变 'frightened' 本身的含义。
pull,"Back in the chase car , we drove around some more , got stuck in a ditch , enlisted the aid of a local farmer to get out the trailer hitch and pull us out of the ditch .","Back in the chase car, we drove around aimlessly some more, got stubbornly stuck in a ditch, enlisted the timely aid of a nearby local farmer to carefully get out the trailer hitch and finally pull us out of the ditch.",False,False,原句和变异句中的目标词'pull'含义相同，都指的是用力将车辆从沟渠中拉出。两个句子中的'pull'都是指具体的物理动作，没有在语境上产生不同的意义。尽管变异句中加入了'finally'和'carefully'等副词，以及增加了形容词和副词来描述情境，但这并不改变'pull'这个动作本身的含义。
longer,"But if the genes are damaged -- perhaps by radiation , a chemical or through a chance accident in cell division -- their growth-suppressing proteins no longer work , and cells normally under control turn malignant .","But if the genes are damaged -- perhaps by exposure to radiation, ingestion of a chemical, or due to a random accident during cell division -- their growth-suppressing proteins no longer function properly, and cells that would normally remain under control can turn malignant.",False,False,原句和变异句中的目标词 'longer' 在句子中的含义没有区别，都表示 '不再' 的意思。两个句子中的 'no longer' 都用来表明基因受损后，生长抑制蛋白失去了原有的功能。
filing,"In their filing , they referred to the Supreme Court 's 1966 decision overturning Dr. Sheppard 's conviction because of the trial coverage and made it clear they would claim that the new media required new rules .","In their comprehensive filing, they specifically referred to the landmark Supreme Court's 1966 decision that overturned Dr. Sheppard's controversial conviction, citing the extensive trial coverage, and firmly stated that the emerging new media necessitated the adoption of new rules.",False,False,在这两个句子中，目标词 'filing' 的含义是相同的。'filing' 在这里指的是提交给法庭的文件或诉状，无论是原句还是变异句，都强调了通过引用1966年的最高法院判例来支持他们的观点，即新媒体需要新规则。变异句中添加的形容词 'comprehensive' 和副词 'specifically' 以及 'firmly' 并没有改变 'filing' 的基本含义，只是增强了原句的表述和语气。
more,"A test using new `` genetic probes `` showed that little Will Quinlan had not inherited a damaged retinoblastoma supressor gene and , therefore , faced no more risk than other children of developing the rare cancer .","A recent test using innovative new genetic probes showed that little Will Quinlan had not inherited any damaged retinoblastoma supressor gene, and, therefore, faced no more significant risk than other children of developing this rare cancer.",True,True,原句中的'more'用作副词，表示程度，意为'更大'，而变异句中的'more significant'作为一个整体短语，表示'更重要，更显著'，意味着风险不仅在程度上不比其他孩子大，而且在重要性或显著性上也不比其他孩子高。因此，两个句子中的'more'所表达的含义有所不同。
complicated,"The less complicated version of playing tunes on bells , as do the carillons of continental Europe , is considered by the English to be childish , fit only for foreigners .","The somewhat less complicated version of playing tunes on bells, as typically done by the carillons of continental Europe, is often considered by the English to be rather childish, seemingly fit only for foreigners.",False,False,原句和变异句中的目标词'complicated'在两个句子中的含义没有改变，都指的是演奏铃铛曲调的复杂程度。'less complicated'在两个句子中都是用来描述相对于某种标准或常规做法来说较为简单或不太复杂的方式。两个句子中的修饰词（原句中的'the'和变异句中的'somewhat'）并没有改变'complicated'这个词的基本含义。
No.,Dr. Knudson found that some children with the eye cancer had inherited a damaged copy of chromosome No. 13 from a parent who had had the disease .,Dr. Knudson discovered that certain children suffering from the eye cancer had inherited a damaged copy of chromosome No. 13 from a parent who had previously been affected by the disease.,False,False,原句和变异句中的目标词'No.'都用来指代数字编号，具体指的是染色体的编号，即13号染色体。在这两个句子中，'No.'的含义没有发生变化，都是表示序号的意思。
understanding,An emerging understanding of the genes is expected to produce an array of new strategies for future cancer treatment and prevention .,An increasingly emerging understanding of the genes is expected to eventually produce a wide array of new strategies for future cancer treatment and prevention.,False,False,原句和变异句中的目标词 'understanding' 在句子中的含义没有明显不同。两个句子都表达了随着对基因认识的不断加深，有望产生更多新的癌症治疗和预防策略的意思。'emerging' 和 'increasingly emerging' 都强调了认识的逐渐发展，而 'array of' 和 'wide array of' 都用来形容多样化的策略。因此，尽管变异句增加了一些副词和形容词来加强语气，但目标词的基本含义没有改变。
building,"This time , it just got stronger and then the building started shaking violently up and down as though it were a child 's toy block that was being tossed .","This time, it suddenly got stronger and then the building began shaking violently up and down, as if it were a child's small toy block that was being roughly tossed.",False,False,两个句子中的目标词 'building' 在句子中的含义没有发生变化，都指的是一个在震动中的建筑物。原句和变异句中的差异仅仅在于使用了不同的副词（'just' 对比 'suddenly'）和副词短语（'as though' 对比 'as if'），这些差异并不影响目标词 'building' 的含义。
question,"Any question as to why an author would believe this plaintive , high-minded note of assurance is necessary is answered by reading this book about sticky fingers and sweaty scammers .","Any question as to why an author would genuinely believe this plaintive, high-minded note of assurance is necessary is fully answered by carefully reading this book about sticky fingers and sweaty scammers.",False,False,在这两个句子中，目标词 'question' 的含义没有发生变化。'Question' 在原句和变异句中都指的是对作者为什么相信这种悲怆、高尚的保证是必要的这一点的疑问。变异句中虽然加入了'genuinely'和'carefully'这样的副词来增强语气，但这并不改变目标词 'question' 的基本意思。
clothes,"The scammers themselves were garden-variety low lifes , conspicuous consumers who wanted big houses , Mercedes cars , beautiful women , expensive clothes .","The scammers themselves were garden-variety low lifes, conspicuously indulging in the desire for big houses, luxurious Mercedes cars, beautiful women, and pricey clothes.",False,False,在这两个句子中，目标词'clothes'的含义没有发生变化。原句中的'expensive clothes'和变异句中的'pricey clothes'都指的是价格昂贵的衣服，所以目标词的含义保持一致。
dose,The recommended dose of Alimta is 500 mg per square metre of body surface area ( calculated using the patient s height and weight ) .,"The typically recommended dose of Alimta is 500 mg per square metre of body surface area, which is calculated using the patient's height and weight.",False,False,原句和变异句中的目标词'dose'含义相同，都指的是药物的使用剂量。两个句子中'dose'的定义没有改变，都是基于患者的身高和体重计算出的每平方米体表面积的药物推荐剂量。
understand,"You must understand , I have n't been in this state too long .","You must fully understand, I haven't been in this state too long.",False,False,在这两个句子中，目标词 'understand' 的含义并没有改变。原句和变异句中的 'understand' 都表示要求对方明白或认识到说话者的某种情况或感受。添加副词 'fully' 并没有改变 'understand' 的基本意思，只是强调了理解的彻底性，但并不影响 'understand' 本身的含义。
