instance.word,sentence,mut.sentence,check,check_llm,reason
mean,So you thought I did n't mean what I said .,So you actually thought I did n't really mean what I said.,False,False,在这两个句子中，目标词'mean'的含义是相同的。'mean'在这里指的是说话者表达的真实意图或信念。原句和变异句都使用了否定形式'didn't mean'，并且变异句中添加了'really'来加强语气，但这并不改变'mean'这个词的基本含义。因此，两个句子中的'mean'含义没有不同。
closing,"According to final closing figures , the Dow Jones Industrial Average has risen by 65.67 points to 10 471.50 points , whereas the NASDAQ , with a technology predominance , fell by 0.55 point to 2 190.31 points .","According to the latest closing figures, the Dow Jones Industrial Average has edged up by 65.67 points to 10,471.50 points, whereas the NASDAQ, characterized by a technology predominance, slipped by 0.55 point to 2,190.31 points.",False,False,在这两个句子中，目标词 'closing' 的含义是一致的。'closing' 在这里指的是股票市场收盘时的数据或数字。原句中的 'final closing figures' 和变异句中的 'latest closing figures' 都表示的是最新的收盘数据，没有体现出含义上的差异。
band,"Ringing does become a bit of an obsession , `` admits Stephanie Pattenden , master of the band at St. Mary Abbot and one of England 's best female ringers .","Ringing does indeed become a bit of an obsession, '' openly admits Stephanie Pattenden, the accomplished master of the band at St. Mary Abbot and one of England's most skilled female ringers.",False,False,在这两个句子中，目标词'band'的含义没有改变。在这两个上下文中，'band'指的是一个由St. Mary Abbot教堂的Stephanie Pattenden领导的乐队或铃声团队，她在英格兰是最优秀的女性铃声制造者之一。两个句子中的'band'都指代同一个组织或团体，没有体现出含义上的差异。
pay,I 'd have to sell out my business to pay her off with her share .,I would reluctantly have to sell out my business to fully pay her off with her share.,False,False,在这两个句子中，目标词 'pay' 的含义是相同的。'pay off' 通常是偿还债务或满足某项财务义务的意思。原句和变异句中的 'pay her off with her share' 都表达了用她应得的那份钱来偿付某事。变异句中添加的 'fully' 并没有改变 'pay' 的基本含义，只是强调了偿付的彻底性，而原句则没有这个强调。但是，这并不影响 'pay' 这个词本身的含义。
matches,"On Costa Rican side , and close to Michael Umana , are the left-lateral Junior Diaz , with 48 matches and the striker Bryan Ruiz , with 45 .","On the Costa Rican side, closely matching Michael Umana in games played, are the left-lateral Junior Diaz, who has featured in 48 matches, and the striker Bryan Ruiz, with a total of 45.",False,True,原句中的'matches'指的是球员参加的比赛场次，而变异句中的'matching'是动词形式，表示与Michael Umana的比赛场次相匹配或接近，含义上存在动词与名词的差异，因此两个句子的目标词含义不同。
drinking,"It was blurred , after two hours of steady drinking , but the occasion of it came back to him .","It was blurredly remembered, after two hours of steady drinking, but the occasion of it eventually came back to him.",False,False,在这两个句子中，目标词'drinking'的含义没有改变。在原句和变异句中，'drinking'都是指持续饮酒的行为，与之后的动作或状态（记忆模糊或记忆逐渐恢复）相关，但'drinking'本身的含义没有区别。
thinking,"His shout had been involuntary , something anybody might have done without thinking , on the spur of the moment .","His loud shout had been quite involuntary, something anybody might have impulsively done without much thinking, on the spur of the moment.",False,False,在这两个句子中，目标词'thinking'的含义是相同的。它指的是在行动之前进行的有意识的思考或考虑。原句和变异句都表达了同样的概念，即他的叫喊是在没有经过深思熟虑的情况下，一时冲动所为。变异句中的'much thinking'只是对原句中的'thinking'进行了轻微的强调，但本质上两个词的含义没有改变。
question,"The day the Supreme Court gathered behind closed doors to consider the politically divisive question of whether it would hear a challenge to President Obama 's healthcare law , two of its justices , Antonin Scalia and Clarence Thomas , were feted at a dinner sponsored by the law firm that will argue the case before the high court .","The fateful day the Supreme Court assembled in private to ponder the politically charged question of whether to hear a challenge to President Obama's landmark healthcare law, two of its esteemed justices, Antonin Scalia and Clarence Thomas, were honored at a lavish dinner hosted by the law firm that is set to argue the pivotal case before the esteemed high court.",False,False,原句和变异句中的目标词'question'都指的是关于是否听取对奥巴马总统医疗保健法的挑战的问题，两个句子中的'question'在语境中的含义没有区别。
longer,"According to a nationwide survey taken a year ago , nearly a third of England 's church bells are no longer rung on Sundays because there is no one to ring them .","According to a comprehensive nationwide survey conducted a year ago, nearly a third of the church bells across England are no longer rung on Sundays due to the lack of bell ringers.",False,False,在这两个句子中，目标词 'longer' 的含义是相同的。'No longer' 在两个句子中都表示 '不再' 的意思，指的是过去有而现在没有了的情况，即教堂的钟声在周日不再被敲响。
flexibility,"It gives a lot of flexibility to the process , said John Coequyt , senior Washington representative for the Sierra Club .","It provides a significant amount of flexibility to the process, according to John Coequyt, a seasoned Washington representative for the Sierra Club.",False,False,原句和变异句中的目标词 'flexibility' 在两个句子中的含义没有改变，都指的是过程中具有的灵活性。两个句子只是使用了不同的形容词（a lot of 和 significant amount of），但这两个形容词在这里都可以表示程度上的大量，因此并没有改变目标词的含义。
