instance.word,sentence,mut.sentence,check,check_llm,reason
things,"Two related things stand out in the results of this year 's poll , taken in September and early October .","A couple of related things stand out in the results of this year's poll, taken in September and early October.",False,False,在这两个句子中，目标词'things'的含义没有明显差异。'Two related things'和'A couple of related things'都指的是数量非常有限的、彼此相关的几个事物或点。在英语中，'two'和'a couple of'都用来表达少量的概念，尽管'a couple of'可能稍微口语化一些，但在这里它们表达的数量概念是相近的，且'things'所指的具体内容没有因为数量词的改变而改变。
development,"A more robust economic performance is reflected in rising support for private enterprise and the market economy : some 71 % of respondents across the region say that private enterprise is indispensable for development , up from 56 % in 2007 ( see chart 6 ) .","A more robust economic performance is reflected in rising support for private enterprise and the market economy: approximately three-quarters of respondents across the region say that private enterprise is indispensable for development, up from over half in 2007 (see chart 6).",False,False,在这两个句子中，目标词'development'的含义是一致的。两个句子都在讨论私营企业对于经济发展的必要性，且都是在比较不同时间点的调查数据。原句和变异句中的'development'都指的是经济或企业发展，没有体现出含义上的差异。变异句只是改变了调查数据的表述方式（如71%改为approximately three-quarters，56%改为over half），但这并不影响'development'这个词的含义。
reasons,"One of the reasons American students do so poorly in math tests , as compared with British , French , German or Japanese students , is the influence of the `` New Math `` on American textbooks and teaching methods .","One of the reasons a number of American students perform so poorly in math tests, as compared with British, French, German, or Japanese counterparts, is the influence of the `` New Math '' on American textbooks and teaching methods.",False,False,在这两个句子中，目标词'reasons'的含义没有本质的区别。两个句子都在讨论美国学生在数学测试中表现不佳的其中一个原因，即新数学对美国教科书和教学方法的影响。原句和变异句中的'reasons'都指代导致某种结果的原因或解释，没有体现出含义上的差异。
pull,"Back in the chase car , we drove around some more , got stuck in a ditch , enlisted the aid of a local farmer to get out the trailer hitch and pull us out of the ditch .","Back in the chase car, we drove around a bit more, got stuck in a ditch, enlisted the aid of a local farmer to get out the trailer hitch and pull us out of the ditch.",False,False,原句和变异句中的目标词'pull'在句子中的含义没有区别，都是指用力将车辆从沟渠中拉出。两个句子中'pull'的上下文环境完全相同，没有体现出任何意义上的差异。
children,"The whole notion of `` creativity `` in education was ( and is ) part and parcel of a romantic rebellion against disciplined instruction , which was ( and is ) regarded as `` authoritarian , `` a repression and frustration of the latent talents and the wonderful , if as yet undefined , potentialities inherent in the souls of all our children .","The whole notion of `` creativity `` in education was ( and is ) part and parcel of a romantic rebellion against disciplined instruction , which was ( and is ) regarded as `` authoritarian , `` a repression and frustration of the latent talents and the wonderful , if as yet undefined , potentialities inherent in the souls of every single one of our children .",False,False,在这两个句子中，目标词 'children' 的含义没有明显差异。原句中使用 'all our children'，而变异句中使用 'every single one of our children'，这两个短语都强调了对所有孩子的包容性，没有改变 'children' 的基本含义，即指代受教育的人群或学生。因此，两个句子中的 'children' 含义相同，没有体现出不同。
rates,"Second , if the key assumption is valid , Democrats should have lower attendance rates on roll-call votes than Republicans do to the extent that such votes reflect national policy making and that participating in such votes takes away from the time a legislator could otherwise devote to local benefit-seeking .","Second, if the key assumption is valid, Democrats should have somewhat lower attendance rates on roll-call votes than Republicans do to the extent that such votes reflect national policy making and that participating in such votes takes away from the time a legislator could otherwise devote to local benefit-seeking.",False,False,在这两个句子中，目标词 'rates' 的含义没有变化，都是指代国会议员在点名投票（roll-call votes）中的出席率。原句中使用 'lower attendance rates'，变异句中使用 'somewhat lower attendance rates'，这两个表达都是在描述民主党（Democrats）相对于共和党（Republicans）的出席率较低，而 'somewhat' 只是一个副词，用来轻微缓和语气，并不改变 'rates' 的基本含义。因此，目标词的含义在两个句子中是相同的。
Right,"In 2005 , the fear of invasion of the national territory by hordes of Polish plumbers was felt both on the Left and on the Right .","In 2005, the fear of invasion of the national territory by numerous Polish plumbers was felt both on the Left and on the Right.",False,False,在这两个句子中，目标词 'Right' 都指的是政治上的右派，即政治光谱中的一个特定群体。原句和变异句的语境没有改变这个词汇的含义，都是在谈论政治立场。因此，无论是原句还是变异句中，'Right' 的含义是相同的，不表现出不同含义。
bacteria,"While researchers discovered the unusual bacteria here in Earth , they say it shows that life has possibilities beyond the major elements that have been considered essential .","While researchers discovered the unusual bacteria here on Earth, they say it demonstrates that life has numerous possibilities beyond the primary elements that have been considered essential.",False,False,在这两个句子中，目标词'bacteria'的含义没有发生变化。'bacteria'指的是一种微生物，在原句和变异句中都是指研究人员在地球上发现的异常细菌，用来支持关于生命可能性的论点。两个句子中的不同点在于描述生命可能性的形容词，原句使用了'unusual'，变异句使用了'numerous'来描述可能性，但这并不影响'bacteria'这个词本身的含义。
building,This building shook like hell and it kept getting stronger .,This building shook like hell and it kept getting much stronger.,False,False,在这两个句子中，目标词 'building' 的含义并没有发生变化。'shook like hell' 和 'kept getting stronger' 或 'kept getting much stronger' 都在描述这栋建筑物震动的情况，而 'stronger' 和 'much stronger' 都表示程度的增加，但并不改变 'building' 作为名词所指的实体，即建筑物的本身含义。因此，两个句子中的 'building' 有着相同的含义。
came,"The quake knocked The Well out for six hours , but when it came back up , it teemed with emotional first-hand reports .","The quake knocked The Well out for several hours, but when it came back up, it teemed with emotional first-hand reports.",False,False,原句和变异句中的目标词 'came' 在这里的含义是一致的，都表示 'The Well'（井，此处可能指某种服务或系统）在经历中断后重新恢复或上线。两个句子中的 'came back up' 含义相同，没有体现出含义上的差异。
looking,"For months the Johns Hopkins researchers , using gene probes , experimentally crawled down the length of chromosome 17 , looking for the smallest common bit of genetic material lost in all tumor cells .","For several months the Johns Hopkins researchers, using gene probes, experimentally crawled down the length of chromosome 17, looking for the smallest common bit of genetic material lost in every tumor cell.",False,False,在这两个句子中，目标词 'looking' 的含义是一致的。'Looking for' 在这里指的是研究人员在寻找某种特定的遗传物质。原句中使用 'all tumor cells' 而变异句中使用 'every tumor cell'，虽然表达方式略有不同，但都指的是在所有肿瘤细胞中寻找共同的遗传物质。因此，'looking' 的含义并没有因为句子中用词的微小差异而改变。
heading,"The New York Stock Exchange closed with no particular heading on Friday , in a market torn between better than expected indicators in the United States and a strengthening dollar : the Dow Jones gained 0.63 % but the NASDAQ dropped 0.03 % .","The New York Stock Exchange closed with no particular heading on Friday, in a market torn between better than anticipated indicators in the United States and a firming dollar: the Dow Jones gained a little over half a percent but the NASDAQ slipped a few basis points.",False,False,在这两个句子中，目标词'heading'的含义是一致的。'Heading'在这里指的是股市收盘时的整体趋势或方向，原句和变异句都表达了同样的概念，即纽约证券交易所周五收盘时没有明确的整体趋势，因为市场在好的经济指标和美元走强之间摇摆不定。两个句子中的'heading'都用来描述市场的总体运动趋势，没有显示出含义上的差异。
felt,I have felt many aftershocks .,I have felt several aftershocks.,False,False,在这个情境下，'felt' 在原句和变异句中的含义是一致的。'Felt' 在这里指的是感觉或体验到，无论是 'many' 还是 'several' 都是在描述感觉到的地震余震的数量，而不影响 'felt' 的基本含义。
Relations,"Key speakers at the social exclusion conference were ( left to right ) Cristina Louro , Employment , Industrial Relations and Social Affairs Directorate , European Commission Fernando Gomes , a high degree of Committee of the Regions Barbara Weiler , Member of the European Parliament José Maria Gil-Robles , Vice-President , European Parliament and John Carroll , Economic and Social Committee .","Key speakers at the social exclusion conference were ( from left to right ) Cristina Louro, Employment, Industrial Relations and Social Affairs Directorate, European Commission Fernando Gomes, a high-level Committee of the Regions Barbara Weiler, several Members of the European Parliament José Maria Gil-Robles, Vice-President, European Parliament and John Carroll, Economic and Social Committee.",False,False,在这两个句子中，目标词'Relations'的含义是相同的。'Industrial Relations'通常指的是工业或职场中的劳资关系，这个含义在原句和变异句中保持不变。两个句子描述的都是与就业和社会事务相关的部门或委员会，且'Relations'一词前后语境没有变化，因此可以判断其含义是一致的。
posturing,"The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .","The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the following four decades, with industrialized nations shouldering a majority of the burden in the near term.",False,False,原句和变异句中的目标词'posturing'在各自的上下文中含义相同，都指的是与会者在气候会议上的不合规矩的做作姿态或者虚张声势的行为。两个句子中的'posturing'都用来描述会议初期无序的状态，没有体现出含义上的差异。
found,None of the scams show much ingenuity : Auditors found crookery the first day on the job .,None of the scams show a great deal of ingenuity: Auditors found crookery on the very first day on the job.,False,False,在这两个句子中，目标词 'found' 的含义没有变化，都是指审计员在工作的第一天就'发现'了欺骗行为。原句和变异句中的时间状语（the first day和on the very first day）都表达了同样的时间概念，即第一天工作。因此，'found' 在这两个句子中的含义是一致的。
believes,"1 -RRB- Voters can `` buy `` one of two brands when they select their political agents -- a Republican brand that believes in the minimalist state and in the virtues of private markets over the vices of public action , and a Democratic brand that believes in big government and in public intervention to remedy the excesses attendant to the pursuit of private interest .","Voters can `` buy `` one of a couple of brands when they select their political agents -- a Republican brand that believes in the minimalist state and in the virtues of private markets over the vices of public action , and a Democratic brand that believes in big government and in public intervention to remedy the excesses attendant to the pursuit of private interest .",False,False,原句和变异句中的目标词 'believes' 在句子中的含义和上下文中的作用是相同的。在这两个句子中，'believes' 都表示某个政治品牌所持有的信仰或信念，指的是该品牌对于政府规模和干预市场的态度。两个句子中的 'believes' 都是指政治理念的表述，没有体现出含义上的差异。
