instance.word,sentence,mut.sentence,check,check_llm,reason
tenants,"He went for more aspirin later in the day , and passed the surly landlord on the way -- he was still alive and scowling as usual , as if tenants were a burden in his life .","He went for some more aspirin later in the day, and passed the surly landlord on the way -- he was still alive and scowling as usual, as if tenants were a significant burden in his life.",False,False,在这两个句子中，目标词'tenants'的含义没有发生变化。在原句和变异句中，'tenants'都指的是房东的房客，且都被描述为房东生活中的负担。变异句中加入了'significant'这个词，但并没有改变'tenants'作为房客的含义，只是强调了他们是一个重要的负担，而不是改变了负担的性质。因此，目标词的含义没有差异。
reach,I had to reach back to French 101 when the monsieur avec clipboard leaned over my shoulder during the coffee phase of dinner and asked whether I wanted to ride in a montgolfiere .,I had to reach back to French one-oh-one when the monsieur avec clipboard leaned over my shoulder during the coffee phase of dinner and asked whether I wanted to ride in a montgolfiere.,False,False,原句和变异句中的目标词'reach'在这里的含义是一致的。'Reach back'在这里指的是回忆起或重新接触到过去学过的知识，即作者需要回想他在法语101课程中学到的内容来理解或回应'monsieur avec clipboard'的问题。在两个句子中，'reach'的使用情境和上下文含义没有变化，因此含义相同。
membership,"With membership of the Church of England steadily dwindling , strong-willed vicars are pressing equally strong-willed and often non-religious ringers to attend services .","With the membership of the Church of England gradually declining, strong-willed vicars are urging a number of equally strong-willed and frequently non-religious ringers to attend services.",False,False,在这两个句子中，目标词'membership'的含义是一致的。'membership'指的是教会成员的身份或者资格，在这里指的是英格兰教会的成员数量。原句和变异句都描述了英格兰教会成员数量逐渐减少的情况，没有表现出目标词在不同句子中有不同的含义。
corner,"Phil usually went alone and kept to himself , sitting in a corner and passing the time by nursing his favorite grudges .","Phil usually went by himself and kept to a single corner, sitting there and passing the time by nursing his few favorite grudges.",False,True,在原句中，'corner'指的是一个抽象的空间概念，即Phil选择坐在一个相对隔离的位置，独自一人。而在变异句中，'corner'可能不仅仅指空间上的角落，还可能暗示Phil的行为模式也像被限制在一个角落里，单一不变。此外，变异句中的'a single corner'比原句的'in a corner'多了一层强调，似乎更加强调了Phil的孤立和不变的行为。因此，尽管两个句子中的'corner'都与空间位置有关，但变异句中的含义更为丰富，存在不同的侧重点。
rules,The claim could force appeals judges to grapple with the question of whether new technology requires new courtroom rules .,The claim could force several judges to grapple with the question of whether new technology requires new courtroom rules.,False,False,两个句子中的目标词 'rules' 在上下文中含义相同，都指的是法庭上需要遵守的规章制度。原句中的 'appeals judges' 和变异句中的 'several judges' 都面临同样的问题，即新技术是否需要新的法庭规则。因此，目标词 'rules' 的含义没有变化。
knew,`` Only a decade ago cancer was a black box about which we knew nothing at the molecular level .,Only a few years ago cancer was a black box about which we knew very little at the molecular level.,False,True,在这两个句子中，目标词 'knew' 的含义可以有所不同。在原句中，'knew nothing' 表示对癌症分子层面的知识完全无知，而在变异句中，'knew very little' 则表示对这一领域的了解有限但并非一无所知。因此，两个句子中的 'knew' 反映了不同程度的知识掌握，含义上有所区别。
ones,"Forged by a U.N. ad-hoc working group , the text is silent on how much money rich countries would give poor ones to cope with global warming over the short and long term .","Forged by a U.N. ad-hoc working group, the text is silent on how much money wealthy countries would give to a number of poor ones to cope with global warming over the short and long term.",False,False,在这两个句子中，目标词 'ones' 都指代前文提到的 'countries'，并且含义相同。在原句中，'poor ones' 指的是贫穷的国家；在变异句中，'a number of poor ones' 也同样指代一系列贫穷的国家。尽管变异句中多了 'a number of' 这个短语，但 'ones' 的含义并没有改变，仍然是复数形式的可数名词，指代多个国家。因此，两个句子中 'ones' 的含义是一致的。
policy,"In interviews , some journalists said the claim that instant news was more incendiary than reports delivered more slowly was a Luddite view that would make poor court policy governing coverage of future trials .","In interviews, several journalists claimed that the notion that instant news was more incendiary than reports delivered at a slower pace was a Luddite view that would make for poor court policy governing coverage of upcoming trials.",False,False,在这两个句子中，目标词'policy'的含义是一致的。'policy'在这里指的是法院关于未来审判报道的指导方针或规则。原句中使用的是'make poor court policy'，而变异句中使用的是'make for poor court policy'，这两个短语在含义上是相似的，都表达了这种观点（即即时新闻比慢速报道更具煽动性）会导致制定出不好的法院政策。因此，目标词'policy'的含义没有发生变化。
bells,"The less complicated version of playing tunes on bells , as do the carillons of continental Europe , is considered by the English to be childish , fit only for foreigners .","The simpler version of playing tunes on bells, as do many carillons in continental Europe, is considered by the English to be childish, fit only for foreigners.",False,False,在这两个句子中，目标词'bells'的含义没有发生变化。'Bells'在原句和变异句中都指的是可以演奏旋律的钟，特别是指那些大陆欧洲的编钟（carillons）。无论是原句中的'less complicated version of playing tunes on bells'还是变异句中的'simpler version of playing tunes on bells'，都只是描述了演奏方式的复杂程度，而不是改变了'bells'本身的含义。因此，两个句子中的目标词含义相同。
policy,"Each legislator , after all , is only one out of 535 when it comes to national policy making .","Each legislator, after all, is just one among hundreds when it comes to national policy making.",False,False,在这两个句子中，目标词'policy'的含义没有发生变化。'policy'在两个句子中都指的是国家层面的政策制定过程或政策本身，而不是指不同的概念或范围。原句中的'535'和变异句中的'hundreds'都用来表达立法者在整个决策过程中的相对数量，但这并不影响'policy'这个词的含义。
