instance.word,sentence,mut.sentence,check,check_llm,reason
followed,"When it was n't my turn in the balloon I followed its progress from the `` chase car , `` listening to the driver holler into a walkie-talkie .","When it wasn't my turn in the balloon I followed its progress from the `` chase car, '' listening to the driver holler into a couple of walkie-talkies.",False,True,在原句中，`followed`的含义是‘跟踪’或‘关注’，指的是主语从“追逐车”上关注热气球进度的行为。而在变异句中，由于提到了“一对步话机”，`followed`的含义可能不仅限于‘跟踪’，还可能包含了‘监听’或‘通过步话机保持联系’的意味。因此，尽管两个句子中的`followed`都与关注热气球的进度有关，但变异句中的`followed`含义更为广泛，可能包含了多种行为。
political,"1 -RRB- Voters can `` buy `` one of two brands when they select their political agents -- a Republican brand that believes in the minimalist state and in the virtues of private markets over the vices of public action , and a Democratic brand that believes in big government and in public intervention to remedy the excesses attendant to the pursuit of private interest .","Voters can `` buy `` one of a couple of brands when they select their political agents -- a Republican brand that believes in the minimalist state and in the virtues of private markets over the vices of public action , and a Democratic brand that believes in big government and in public intervention to remedy the excesses attendant to the pursuit of private interest .",False,False,原句和变异句中的目标词 'political' 在两个句子中的含义没有发生变化。'Political' 在这里都是形容词，用来描述 'agents'，指的是与政治相关的代理人或代表。两个句子讨论的是选民在选择政治代表时的两种不同政治品牌，无论是原句中的 'political agents' 还是变异句中的 'political agents'，'political' 都是指这些代理人与政治有关联，其含义没有区别。
education,"Fortunately , these same parents do want their children to get a decent education as traditionally understood , and they have enough common sense to know what that demands .","Fortunately, these same parents do want their children to get a proper education as traditionally understood, and they have sufficient common sense to know what that demands.",False,False,在这两个句子中，目标词 'education' 的含义是一致的。原句中使用 'decent education'，变异句中使用 'proper education'，尽管这两个形容词有所不同，但在这里它们都指的是符合传统理解的良好教育。因此，两个句子中的 'education' 都指的是质量上乘、符合一定标准的教育，没有体现出意义上的差异。
altered,"Today , we know that the accumulation of several of these altered genes can initiate a cancer and , then , propel it into a deadly state . ``","Today, we know that the accumulation of many of these altered genes can initiate a cancer and, then, propel it into a deadly state.",False,False,在这两个句子中，目标词 'altered' 的含义没有变化。'Altered' 在两个句子中都是形容词，指的是基因发生了变化或变异。原句和变异句中的语境相同，都是描述这些变化的基因积累可能导致癌症的发生和发展。因此，目标词的含义没有扩展或改变，两个句子中的 'altered' 拥有相同的含义。
came,"The quake knocked The Well out for six hours , but when it came back up , it teemed with emotional first-hand reports .","The quake knocked The Well out for several hours, but when it came back up, it teemed with emotional first-hand reports.",False,False,原句和变异句中的目标词 'came' 在这里的含义是一致的，都表示 'The Well'（井，此处可能指某种服务或系统）在经历中断后重新恢复或上线。两个句子中的 'came back up' 含义相同，没有体现出含义上的差异。
number,"During the past 25 years , the number of balloonists those who have passed a Federal Aviation Authority lighter-than-air test have swelled from a couple hundred to several thousand , with some estimates running as high as 10,000 .","During the past two decades, the number of balloonists who have passed a Federal Aviation Authority lighter-than-air test have swelled from a few hundred to several thousand, with some estimates running as high as 10,000.",False,False,"在这两个句子中，目标词 'number' 的含义是一致的。'Number' 在这里指的是通过联邦航空局轻于空气测试的热气球飞行员的数量。原句和变异句都在描述这个数量从几百人增加到几千人，甚至有估计高达10,000人。尽管时间表述上有所不同（原句为25年，变异句为20年），但这并不影响目标词 'number' 的含义。因此，两个句子中的 'number' 含义相同。"
haunt,"There is evidence that if people inherit defective versions of these genes , they are especially prone to cancer , perhaps explaining , finally , why some cancers seem to haunt certain families .","There is evidence that if people inherit a defective version of these genes, they are especially prone to cancer, perhaps explaining, finally, why a number of cancers seem to haunt certain families.",False,False,在这两个句子中，目标词 'haunt' 的含义是相同的。'Haunt' 在这里指的是某些癌症似乎特别频繁地出现在某些家族中，给人一种挥之不去的感觉。原句和变异句中的 'haunt' 都是在描述这种现象，没有体现出含义上的差异。原句使用 'some cancers' 而变异句使用 'a number of cancers' 来指代多种癌症，但这并不改变 'haunt' 的含义。
court,But lawyers for Mr. Hayes have already made court filings that sketch out appeals arguments that are likely to occupy the courts for years .,But lawyers for Mr. Hayes have already made numerous court filings that sketch out appeals arguments that are likely to occupy the courts for a number of years.,False,False,在这两个句子中，目标词 'court' 的含义是相同的。'court' 在这里指的是司法系统或法庭，作为 'court filings'（法庭文件）和 'occupy the courts'（占据法庭）的一部分。原句和变异句中的 'court' 都是指与法律程序相关的法庭活动，没有体现出含义上的差异。变异句中增加的 'numerous'（许多的）并不影响 'court' 的含义，只是强调了文件的数量。
State,"The trial judge , Jon C. Blue of State Superior Court , tersely rejected the claims in a ruling last week , saying that the news media were `` carefully controlled '' and that there was no evidence the jury was driven by passion .","The trial judge, Jon C. Blue of State Superior Court, tersely rejected the claims in a ruling the previous week, saying that the news media were `` carefully controlled '' and that there was no evidence the jury was driven by passion.",False,False,在这两个句子中，目标词‘State’的含义是一致的。‘State’在这里都是指一个州的行政区划，用来表明Jon C. Blue法官所在的法院属于某个州的上级法院系统。两个句子中的语境和用法没有改变，因此目标词的含义没有差异。
ending,"Far above in the belfry , the huge bronze bells , mounted on wheels , swing madly through a full 360 degrees , starting and ending , surprisingly , in the inverted , or mouth-up position .","Far above in the belfry, the huge bronze bells, mounted on wheels, swing madly through a complete circle, starting and ending, surprisingly, in the inverted, or mouth-up position.",False,False,在这两个句子中，目标词'ending'的含义是一致的。'Ending'在原句和变异句中均指的是动作的结束状态，即钟摆摆动的最终位置。原句中使用'ending'描述钟摆运动结束的状态，变异句中也是如此，尽管变异句将“a full 360 degrees”替换成了“a complete circle”，但这并不改变'ending'这个词的含义。因此，两个句子中的目标词含义相同，结果为False。
