instance.word,sentence,mut.sentence,check,check_llm,reason
injections,"To reduce side effects , patients should take a corticosteroid and folic acid ( a type of vitamin ) , and receive injections of vitamin B12 during treatment with Alimta .","To reduce side effects, a corticosteroid and folic acid (a type of vitamin) should be taken by patients, and vitamin B12 injections should be received during treatment with Alimta.",False,False,两个句子中的目标词'injections'含义相同，都是指在Alimta治疗期间患者需要接受的维生素B12注射。
game,"The expulsion presumably forged by two players of Real Madrid ( Xabi Alonso and Sergio Ramos ) in the game played on the 23rd of November against Ajax in European Champions League has caused rivers of ink to be written about if such behavior is or is not unsportsmanlike and if , both players should be sanctioned by UEFA .","Two players of Real Madrid (Xabi Alonso and Sergio Ramos) presumably forged the expulsion in the game played on the 23rd of November against Ajax in the European Champions League, which caused rivers of ink to be written about whether such behavior is unsportsmanlike and if both players should be sanctioned by UEFA.",False,False,在这两个句子中，目标词'game'的含义没有发生变化，都是指代在11月23日欧洲冠军联赛中对阵阿贾克斯的比赛。原句和变异句中的'game'都是用来指代具体的体育比赛事件，没有体现出意义上的差异。
involuntary,"His shout had been involuntary , something anybody might have done without thinking , on the spur of the moment .","His involuntary shout was something anybody might have done without thinking, on the spur of the moment.",False,False,在这两个句子中，目标词'involuntary'的含义没有改变，都表示'无意识的'或'不由自主的'。在原句中，'involuntary'作为形容词修饰'shout'，表明喊叫是不由自主发生的；在变异句中，'involuntary'仍然是形容词，放在名词'shout'之前，仍然表达同样的意思，即他的喊叫是无意识的。因此，两个句子中目标词的含义相同。
making,"Finally , as shown in the table , Democrats allocate a higher proportion of their personal staffs to district offices -- where local benefit-seeking duties matter more and national policy making activities matter less relative to Washington offices .","Finally, the table shows that Democrats allocate a higher proportion of their personal staffs to district offices -- where local benefit-seeking duties matter more and national policy making activities matter less relative to Washington offices.",False,False,在这两个句子中，目标词'making'的含义没有改变。在原句和变异句中，'making'都是作为动名词，与'national policy'一起构成名词短语，表示'制定国家政策'的活动。两个句子中的'making'都指的是同一件事情，即相对于华盛顿办公室而言，地方办公室更少涉及的活动。
preceded,"It often is preceded by the development of polyps in the bowel , which in some cases become increasingly malignant in identifiable stages -- progressing from less severe to deadly -- as though a cascade of genetic damage might be occurring .","The development of polyps in the bowel often precedes it, which in some cases become increasingly malignant in identifiable stages -- progressing from less severe to deadly -- as though a cascade of genetic damage might be occurring.",False,False,在这两个句子中，目标词 'preceded' 的含义是相同的。'Preceded' 在这里表示某事物在时间或顺序上先于另一事物。原句中 'It often is preceded by' 与变异句中 'precedes it' 都表达了相同的概念，即肠道息肉的发展先于另一个过程，这个过程的性质从较轻的病情逐渐发展成致命的情况。因此，两个句子中的目标词含义没有不同。
rolling,"We finally rendezvoused with our balloon , which had come to rest on a dirt road amid a clutch of Epinalers who watched us disassemble our craft -- another half-an-hour of non-flight activity -- that included the precision routine of yanking the balloon to the ground , punching all the air out of it , rolling it up and cramming it and the basket into the trailer .","Our balloon, which had come to rest on a dirt road, was finally rendezvoused with by us amid a clutch of Epinalers who watched us disassemble our craft -- another half-an-hour of non-flight activity -- that included the precision routine of yanking the balloon to the ground, punching all the air out of it, rolling it up, and cramming it and the basket into the trailer.",False,False,原句和变异句中的目标词 'rolling' 在句子中的含义相同，都指的是将气球卷起来的动作，没有区别。
matched,"But his new-found buddy had matched him drink for drink until he lost count , and the man 's eyes were still clear .","But his new-found buddy matched drinks with him until he lost count, and the man's eyes were still clear.",False,False,在这两个句子中，目标词'matched'的含义是相同的。'Matched him drink for drink'和'matched drinks with him'都表示他的新朋友和他喝得一样多，即一杯接一杯地喝。因此，尽管表达方式略有不同，但目标词的含义没有改变。
mandates,"This is a Johnson-era , Great Society creation that mandates certain government contracts be awarded noncompetitively to minority businesses .","This is a Johnson-era, Great Society creation that mandates the government to award certain contracts noncompetitively to minority businesses.",False,False,在这两个句子中，目标词'mandates'的含义是相同的。'Mandates'在两个句子中都是指要求或命令，表明有一种必须执行的义务。原句中使用'mandates certain government contracts be awarded'，而变异句中使用'mandates the government to award certain contracts'，两者都表达了相同的强制性的意思，只是语法结构略有不同，但目标词的含义没有改变。
fraud,"Anyway , the debate deals with if that type of behavior not prohibited specifically by the regulation contradicts the principles of the sport , that is to say , if with these actions fraud is committed ; then , indeed , they are respectful actions with the sport regulation , but they seem to elude its sense .","Anyway, the regulation does not specifically prohibit that type of behavior, and the debate is about whether it contradicts the principles of the sport, that is to say, if these actions commit fraud; then, indeed, they are respectful towards the sport's regulation, but they seem to evade its spirit.",False,False,在这两个句子中，目标词'fraud'的含义没有发生变化。'fraud'在这两个句子中都是指通过某些行为违反了诚信原则或者规则的精神，即进行欺骗或欺诈行为。原句和变异句都在讨论这些行为是否违反了体育的原则，尽管这些行为并没有被规则明确禁止。因此，两个句子中的'fraud'指的是同样的概念，没有意义上的差异。
advance,"Skilled ringers use their wrists to advance or retard the next swing , so that one bell can swap places with another in the following change .","The next swing is advanced or retarded by skilled ringers using their wrists, so that one bell can be swapped with another in the following change.",False,False,原句和变异句中的目标词'advance'含义相同，都指的是在钟声中通过技巧使下一个摆动提前或延迟，以便一个铃可以与另一个在接下来的变化中交换位置。两个句子只是句子结构有所变化，但目标词的具体含义没有改变。
