instance.word,sentence,mut.sentence,check,check_llm,reason
Then,"Then , a scientific team led by molecular geneticist Webster Cavenee , then at the University of Utah , found the answer .","Then, the answer was found by a scientific team led by the molecular geneticist Webster Cavenee, who was then at the University of Utah.",False,True,在原句中，'then'用作副词，表示时间顺序，意为'接着'或'然后'；而在变异句中，'then'用作形容词，修饰'at the University of Utah'，表示Webster Cavenee在那个时候的位置或状态，意为'当时在'。因此，两个句子中的'then'含义不同。
gross,"Occasionally , gross chromosome damage was visible .","Occasionally, visible gross chromosome damage occurred.",False,False,在这两个句子中，目标词'gross'的含义没有改变。'Gross'在这里作为形容词，表示'总的'、'严重的'或'明显的'，用来形容'chromosome damage'（染色体损伤）。在原句中，'gross chromosome damage'是'visible'（可见的）主语，变异句中只是把'visible'移到了'gross'和'chromosome damage'之间，但目标词'gross'的上下文含义并未改变。
have,They are our version of the East bloc 's Nomenklatura and they have absolutely no wish to see anything change .,"The East bloc's Nomenklatura is our version of them, and they have absolutely no wish to see anything changed.",False,False,在这两个句子中，目标词 'have' 的含义是相同的。'Have' 在这里都表示拥有或具有某种愿望或意图，原句中的 'have absolutely no wish' 和变异句中的 'have absolutely no wish' 都表达了他们完全没有希望看到任何变化的意愿。因此，两个目标词的具体含义没有不同。
described,"In a well-known detective-story involving church bells , English novelist Dorothy L. Sayers described ringing as a `` passion that finds its satisfaction in mathematical completeness and mechanical perfection . ``","Dorothy L. Sayers, a well-known English novelist, described in a detective-story involving church bells, ringing as a `` passion that satisfies itself with mathematical completeness and mechanical perfection.''",False,False,在这两个句子中，目标词 'described' 的含义并没有改变。'Described' 在原句和变异句中都是过去时态的动词，表示Dorothy L. Sayers对ringing（钟声）的描绘或叙述。两个句子中的结构变化并不影响'described'这个词本身的含义。
claims,High-level officials such as Indian environment minister Jairam Ramesh and the Chinese vice minister stepped off planes and raced through the Bella Center 's halls to closed-door meetings and news conferences so they could stake out claims that will be arbitrated over the next week .,"High-level officials such as Indian environment minister Jairam Ramesh and the Chinese vice minister stepped off planes and raced through the Bella Center's halls to closed-door meetings and news conferences, staking out claims that will be arbitrated over the next week.",False,False,在这两个句子中，目标词 'claims' 的含义是相同的。在原句中，'stake out claims' 意味着提出要求或主张，这将在接下来的一周内被仲裁。在变异句中，虽然句子结构略有不同（将 'staking out claims' 用作了现在分词形式），但其含义并未改变，依然是指官员们为了提出自己的要求或主张而参加会议和新闻发布会。因此，两个句子中的 'claims' 有着相同的含义和用法。
impaired,"Then last spring , researchers reported finding a gene called p53 which , if impaired , turns healthy colon cells cancerous .","Then last spring, a gene called p53, if impaired, was found by researchers to turn healthy colon cells cancerous.",False,False,原句和变异句中的目标词'impaired'含义相同，都表示'损害的'或'功能受损的'。两个句子中的'impaired'都是用来描述基因p53的状态，表达的是如果这个基因受损，会导致健康结肠细胞变成癌细胞。两个句子的结构虽然略有不同，但目标词'impaired'的含义和用法没有改变。
margin,"If these assumptions hold , voters in races for Congress face what in economic theory is called a prisoner 's dilemma and have an incentive , at the margin , to lean Democratic .","If these assumptions hold, voters in races for Congress confront what is called a prisoner's dilemma in economic theory and have an incentive, at the margin, to lean towards the Democratic party.",False,False,原句和变异句中的目标词'margin'在这里的含义是相同的，都指的是在决策的边缘或者临界点时的情况，即在这种情况下，选民会有倾向于支持民主党的激励。两个句子中使用'margin'的上下文并没有改变这个词的含义。
time,Haney had n't given it much thought at the time .,It hadn't been given much thought by Haney at the time.,False,False,在这两个句子中，目标词'time'的含义没有改变，都指的是当某件事情发生时的那个特定时刻或时期。原句中的'time'指的是Haney没有认真思考的那个时刻，而变异句中则是强调这件事情在那个时刻没有得到Haney的认真思考，但'time'本身所指的时间概念没有区别。
world,"With the future economic trajectory of the world 's major powers at stake , fault lines have erupted both within the developing world and between the industrial world and emerging economies .","Fault lines have erupted both within the developing world and between the industrial world and emerging economies, with the future economic trajectory of the world's major powers at stake.",False,False,原句和变异句中的目标词'world'含义相同，都指的是全球的、国际的语境，没有发生改变。在两个句子中，'world'都是作为定语修饰'major powers'，表明是在讨论世界大国的情况，而不是单独指某个地区或国家。因此，两个句子中的目标词含义一致。
support,"Goldman Sachs , JP Morgan Chase and Morgan Stanley had already repaid their support in June .","Goldman Sachs, JP Morgan Chase, and Morgan Stanley already repaid the support they received in June.",False,False,在这两个句子中，目标词'support'的含义没有发生变化。两个句子都表达了同样的意思，即高盛、摩根大通和摩根士丹利在六月份已经偿还了他们所获得的某种形式的援助或支持。原句中使用了代词'their'来指代三家公司之前所获得的'support'，而变异句中直接使用了定语从句'they received'来修饰'support'，但这两个表达并没有改变'support'本身的含义。
