instance.word,sentence,mut.sentence,check,check_llm,reason
exit,"`` So crunch , crunch , crunch , bang , bang , bang -- here come the ringers from above , making a very obvious exit while the congregation is at prayer , `` he says .","So crunch, crunch, crunch, bang, bang, bang -- the ringers from above come here, making a very obvious exit while the congregation is at prayer, he says.",False,False,在这两个句子中，目标词'exit'的含义没有改变。'exit'在这里指的是ringers（钟声）的一种离开或结束的方式，它强调了ringers在教堂祈祷时响起的明显退场。原句和变异句中的'exit'都指的是同样的动作或状态，没有区别。
referred,"To wit , my maiden voyage and novitiates are referred to as virgins began at dawn on a dew-sodden fairway and ended at noon in a soggy field .","To wit, I refer to my maiden voyage and novitiates as virgins, which began at dawn on a dew-sodden fairway and ended at noon in a soggy field.",False,True,原句中的'referred to as'是被动语态，表示'被称为'，强调的是被别人这样称呼；而变异句中的'refer to'是主动语态，表示'把…称为'，强调的是说话者自己这样称呼。因此，两个句子中的目标词'referred'在语态和意义上有所不同。
knots,My back is still in knots and my hands are still shaking .,Knots are still in my back and my hands are still shaking.,False,False,两个句子中的目标词 'knots' 在上下文中都指代同样的含义，即背部紧张或疼痛的感觉。原句和变异句只是句子的结构不同，但目标词的含义没有改变。
retirement,"Seeking alternatives to early retirement and redundancy , the project is primarily concerned with the retention , reintegration and retraining of older workers .","The project is primarily concerned with seeking alternatives to early retirement and redundancy, as well as the retention, reintegration, and retraining of older workers.",False,False,在这两个句子中，目标词'retirement'的含义没有发生变化。两个句子都讨论了寻找早期退休和裁员的替代方案，以及关于保留、重新整合和培训年长工人的问题。'retirement'在两个句子中都是指工人的退休状态，没有体现出不同的上下文含义。
develop,"He believed colon cancer might also arise from multiple `` hits `` on cancer suppressor genes , because it often seems to develop in stages .","He believed that multiple ""hits"" on cancer suppressor genes might also cause colon cancer, because it often appears to develop in stages.",False,False,在这两个句子中，目标词'develop'的含义是相同的。'Develop'在这里指的是癌症的发展过程，无论是在原句还是变异句中，都表达了癌症是分阶段发展的意思。两个句子中使用'develop'的上下文并没有改变其基本含义。
Executes,Executes the instructions in a file sequentially .,The instructions in a file are executed sequentially.,False,False,在这两个句子中，目标词 'executes' 和 'executed' 都表示按照顺序执行文件中的指令。原句使用现在时态的动词 'executes' 表示动作正在进行或通常发生，而变异句使用被动语态 'are executed' 并使用过去分词 'executed' 来表达同样的意思，但侧重于指令是被执行的状态。尽管语态和时态不同，但两个句子中目标词的核心含义没有改变，都是指执行指令这一动作。
same,"There are many successful schools scattered throughout this nation , some of them in the poorest of ghettos , and they are all sending us the same message .","Many successful schools are scattered throughout this nation, some of them in the poorest of ghettos, and the same message is being sent to us by them all.",False,False,两个句子中的目标词'same'含义相同，都指的是'一致的、相同的'信息。在原句中，'the same message'指的是所有这些学校传达给我们的信息是相同的；在变异句中，'the same message'也是指由所有这些学校传达给我们的信息没有变化。两个句子中'same'的具体含义没有改变。
planning,There were relatively few cases reported of attempts to involve users in service planning but their involvement in service provision was found to be more common .,"Relatively few attempts to involve users in service planning were reported, but it was found that their involvement in service provision was more common.",False,False,两个句子中的目标词 'planning' 在上下文中的含义没有改变，都指的是服务规划的过程。原句和变异句只是句子结构上有所不同，但目标词的具体含义保持一致。
Calif.,"But the researchers found that the bacteria , discovered in Mono Lake , Calif. , is able to continue to grow after substituting arsenic for phosphorus .","The bacteria, discovered in Mono Lake, Calif., are able to continue growing after substituting arsenic for phosphorus, the researchers found.",False,False,两个句子中的目标词'Calif.'含义相同，都指代加利福尼亚州，且在句子中的作用和上下文含义没有变化。
market,"Frankly , the market is very calm , observes Mace Blicksilver of Marblehead Asset Management .","Frankly, Mace Blicksilver of Marblehead Asset Management observes that the market is very calm.",False,False,两个句子中的目标词'market'含义相同，都指的是金融市场或股市。在两个句子中，'market'前面的定语和后面的表语都保持一致，没有改变其指代的对象或语境中的含义。因此，可以判断两个句子中'market'的具体含义没有不同。
