instance.word,sentence,mut.sentence,check,check_llm,reason
close,"Ray White in Utah and Walter Bodmer , a researcher in Great Britain , are close to finding another gene involved with some types of colon cancer , thought to be on chromosome 5 .","Another gene involved with some types of colon cancer, thought to be on chromosome 5, is close to being found by Ray White in Utah and Walter Bodmer, a researcher in Great Britain.",False,False,在这两个句子中，目标词 'close' 的含义是相同的。'Close to finding' 和 'close to being found' 都表示研究者们快要找到与某些类型的结肠癌相关的基因了，只是句子结构略有不同，但目标词的具体含义并没有改变。
serves,"If he is competent and conscientious , he serves us well .","If he is competent and conscientious, he is served well by us.",False,True,原句中的'serves'是动词，表示主动服务，意味着他为我们提供了好的服务；而变异句中的'served'是被动语态，表示被服务，意味着他得到了我们的良好服务。因此，两个句子中'serves'和'served'的含义和用法不同。
generosity,"The only difference resides in the degree of generosity , which one deigns to grant to immigrants .","The degree of generosity, which one deigns to grant to immigrants, is the only difference.",False,False,原句和变异句中的目标词'generosity'在句子中的含义没有改变，都是指对移民所表现出的慷慨程度。两个句子的结构虽然略有不同，但目标词的含义和上下文中的用法保持一致。
new,"Already two major pharmaceutical companies , the Squibb unit of Bristol-Myers Squibb Co. and Hoffmann-La Roche Inc. , are collaborating with gene hunters to turn the anticipated cascade of discoveries into predictive tests and , maybe , new therapies .","Gene hunters are collaborating with two major pharmaceutical companies, the Squibb unit of Bristol-Myers Squibb Co. and Hoffmann-La Roche Inc., to turn the anticipated cascade of discoveries into predictive tests and, maybe, new therapies already.",False,False,原句和变异句中的目标词 'new' 在句子中的含义没有改变，都是用来描述 'therapies'（疗法）的，表示尚未存在或最近开发的、不同于以往的疗法。两个句子只是句子结构有所调整，但并未影响目标词的含义。
saddled,Was he going to be saddled from now on with a creep for a bar-buddy ?,Was he going to saddle himself from now on with a creep for a bar-buddy?,False,True,原句中的'saddled'是被动语态，表示'被负担'或'被赋予'的意思，意味着某人要被迫承担与一个令人讨厌的人作为酒吧伙伴的责任。而变异句中的'saddle himself'是主动语态，意味着某人自己选择承担这个责任，即'他自己主动负担起与一个令人讨厌的人作为酒吧伙伴的责任'。因此，两个句子中的目标词在语态和意义上有所不同。
dose,The recommended dose of Alimta is 500 mg per square metre of body surface area ( calculated using the patient s height and weight ) .,"The medical team recommends a dose of Alimta that is 500 mg per square metre of body surface area, which is calculated using the patient's height and weight.",False,False,原句和变异句中的目标词'dose'含义相同，都指的是药物的使用剂量，即按照每平方米体表面积500毫克来计算。两个句子中的差异仅仅是句子结构的变化，而目标词的具体含义并没有改变。
whistles,"The second quarter was more of the same , but the Alavan team opted for the inside game of Barac and the work of Eliyahu , who was greeted with whistles and applause at his return home , to continue increasing their lead by half-time ( 34-43 ) .","The Alavan team chose to focus on the inside game of Barac and the work of Eliyahu in the second quarter, which was more of the same. Eliyahu, who was greeted with whistles and applause upon his return home, continued to extend their lead by half-time (34-43).",False,False,在这两个句子中，目标词'whistles'的含义没有改变。'Whistles'在这两个句子中都指的是观众发出的口哨声，用来欢迎或赞赏Eliyahu的回归。两个句子都表达了同样的情境，即Eliyahu在回到主场时受到了口哨声和掌声的欢迎。
practice,"Some 44 % of respondents across the region pronounced themselves satisfied with how their country 's democracy works in practice , the same figure as last year but a big increase on the 25 % in 2001 ( chart 3 ) .","Some 44% of respondents across the region pronounced that they are satisfied with how their country practices democracy, the same figure as the previous year but a significant increase from the 25% in 2001 (chart 3).",True,True,在原句中，'practice'作为名词，指的是事物实际运作的方式或实际情况，即'democracy works in practice'意为“民主在实际中的运作”。而在变异句中，'practice'作为动词使用，意为“实践”或“执行”，即'they are satisfied with how their country practices democracy'意为“他们对国家如何执行民主感到满意”。因此，两个句子中的'practice'一词的用法和含义不同。
thing,"Did n't feel a thing , but noticed some strange bird behavior .","A thing was not felt, but some strange bird behavior was noticed.",False,False,在这两个句子中，目标词'thing'的含义没有改变。在原句和变异句中，'thing'都指的是感觉或体验的具体事物，表达的是没有感觉到任何东西，而不是指某个具体的物体或事件。因此，两个句子中的'thing'含义相同。
sport,"Anyway , the debate deals with if that type of behavior not prohibited specifically by the regulation contradicts the principles of the sport , that is to say , if with these actions fraud is committed ; then , indeed , they are respectful actions with the sport regulation , but they seem to elude its sense .","Anyway, the regulation does not specifically prohibit that type of behavior, and the debate is about whether it contradicts the principles of the sport, that is to say, if these actions commit fraud; then, indeed, they are respectful towards the sport's regulation, but they seem to evade its spirit.",False,False,在这两个句子中，目标词'sport'的含义没有发生变化。在原句和变异句中，'sport'都是指代一项运动的整体概念，包括其规则和原则。两个句子讨论的都是某种行为是否符合该运动的原则和精神，而不是讨论'sport'这个词本身的含义有所不同。因此，可以判断结果为False。
