instance.word,sentence,mut.sentence,check,check_llm,reason
critical,The Foundation has recently been involved in organising a conference which dealt with this critical challenge .,The Foundation recently involved itself in organising a conference which dealt with this critical challenge.,False,False,两个句子中的目标词'critical'在句子中的含义没有改变，都表示'重要的'、'关键的'。原句和变异句只是句子结构上有所差异，但'critical'这个词在两个句子中的用法和意义是相同的。
denied,The condom balloon was denied official entry status this year .,Officials denied the condom balloon official entry status this year.,False,True,原句中的'denied'是被动语态，表示'被拒绝'的意思，主语是'the condom balloon'，意味着这个避孕套气球被官方拒绝了。而变异句中的'denied'是主动语态，表示'拒绝'的意思，主语是'officials'，意味着是官员们做出了拒绝这个避孕套气球的决定。因此，两个句子中目标词的含义和用法有所不同。
reports,"There also are reports from several labs , as yet unpublished , of missing p53 genes in tissue taken from kidney , brain and skin cancers .","Several labs have also reported, as yet unpublished, missing p53 genes in tissue taken from kidney, brain, and skin cancers.",False,False,在这两个句子中，目标词'reports'的含义是相同的。无论是原句中的'reports from several labs'还是变异句中的'several labs have also reported'，都指的是几个实验室所做的报告或研究，且都强调了这些报告尚未发表。因此，两个句子中的'reports'指的是同一类事物，没有意义上的差异。
claim,"In interviews , some journalists said the claim that instant news was more incendiary than reports delivered more slowly was a Luddite view that would make poor court policy governing coverage of future trials .","In interviews, some journalists claimed that a Luddite view stating instant news was more incendiary than reports delivered more slowly would make poor court policy governing coverage of future trials.",True,True,在原句中，'claim' 是一个名词，指的是一个具体的观点或主张。而在变异句中，'claimed' 是动词形式，表示记者们宣称或断言某个观点。因此，这两个句子中的目标词在词性和意义上有所不同。
option,"If parents are dissatisfied with a school , they should have the option of switching to another .","If a school is dissatisfied with parents, another school should be given the option of being chosen by them.",False,True,原句中的目标词 'option' 指的是家长可以选择更换学校的权利，强调的是家长的选择权。而变异句中的目标词 'option' 指的是另一所学校被家长选择的可能性，强调的是学校被选中的机会。因此，两个句子中目标词的含义有所不同。
passions,"One of the most provocative is that the intense reporting on the trial - including mainstream reporters ' extensive use of Twitter - created a `` circus atmosphere '' and such widespread , instant saturation with inflammatory details that the jury was improperly swayed by public passions .","The intense reporting on the trial - including the extensive use of Twitter by mainstream reporters - created a 'circus atmosphere' and such widespread, instant saturation with inflammatory details that the public passions improperly swayed the jury.",False,False,两个句子中的目标词 'passions' 在上下文中都指的是公众的情感或情绪，没有明显的含义差异。在原句中，'public passions' 指的是公众的情绪影响了陪审团；在变异句中，也是说公众的情绪('public passions')不当地影响了陪审团。因此，两个句子中的目标词含义相同。
goes,"With that authority , of course , goes an unambiguous accountability .","An unambiguous accountability is something that goes with that authority, of course.",False,False,在这两个句子中，'goes'的含义是相同的。'Goes'在这里都表示伴随或随之而来的意思，指的是责任（accountability）与权力（authority）是相伴随的。原句中使用了带有介词的短语'goes with'，变异句则将其分开表达，但并未改变'goes'本身的含义。
Affairs,"The Foundation organised , together with the European Commission , the Spanish Ministry of Social Affairs and the Galician regional government , a European conference on social exclusion : a major challenge for public welfare services .","The European Commission, the Spanish Ministry of Social Affairs, the Galician regional government, and the Foundation jointly organised a European conference on social exclusion: a major challenge for public welfare services.",False,False,在这两个句子中，目标词 'Affairs' 的含义是相同的。'Affairs' 在这里指的是与社会福利、社会事务相关的政府部门或领域，例如 'Spanish Ministry of Social Affairs' 指的是西班牙的社会事务部。两个句子中 'Affairs' 的使用并没有改变其指代的含义或范围，仅仅是句子结构上的变化，将组织者名单的顺序调整了，并不影响目标词的含义。
responses,Back in the U.S.A. this kind of chi-chi airborne activity wins heartwarmingly covetous responses .,"Back in the U.S.A., heartwarmingly covetous responses are won by this kind of chi-chi airborne activity.",False,False,在这两个句子中，目标词'responses'的含义没有变化。两个句子都在描述同样的情况，即这种chi-chi（指奢华或矫情的）空中的活动在美国赢得了人们热烈而羡慕的反应。无论是原句中'responses'作为名词接受动词'wins'的宾语，还是在变异句中作为主语，其指代的含义并未发生改变。
fishing,Ruined the damn fishing !,The damn fishing was ruined!,False,False,在这两个句子中，目标词 'fishing' 的含义并没有改变。在原句 'Ruined the damn fishing!' 中，'fishing' 通常指的是钓鱼的活动或者钓鱼的成果；在变异句 'The damn fishing was ruined!' 中，虽然句子结构有所不同，但 'fishing' 仍然指的是同样的活动或成果。因此，两个句子中的目标词含义相同。
opposite,"Prior to 1932 , the pattern was nearly the opposite .","Prior to 1932, the opposite was nearly the case with the pattern.",False,True,在原句中，'opposite'作为形容词，用来描述'pattern'的特征，意味着与之前描述的情况完全相反。而在变异句中，'opposite'作为名词，与'the case'搭配，表示一种相反的情况或事实，这里并不直接修饰'pattern'，而是指整个情况或状况的相反。因此，两个句子中的'opposite'在语法功能和含义上有所不同。
avenues,"I was in the avenues , on the third floor of an old building , and except for my heart -LRB- Beat , BEAT ! -RRB- I 'm OK .","I was in the avenues, on the third floor of an old building, and except for the Beat of my heart -LRB- Beat, BEAT! -RRB- I'm OK.",False,False,在这两个句子中，目标词 'avenues' 的含义没有改变，都是指街道、大道的意思。原句中 'avenues' 直接作为地点状语，而变异句中 'avenues' 前面多了一个定冠词 'the'，但这个变化并不影响 'avenues' 的含义。两个句子中的目标词含义相同。
