instance.word,sentence,mut.sentence,check,check_llm,reason
proceeded,"But our education proceeded at the hands of those others , who were merely competent and conscientious .","But our education is proceeding at the hands of those others, who are merely competent and conscientious.",False,True,原句中使用的是过去式'proceeded'，表示教育是在过去某个时间点由其他人进行的，已经完成；而变异句中使用的是现在进行时'is proceeding'，表示教育目前仍在由其他人进行中，尚未完成。两个句子的目标词在时态上存在差异，因此具体含义有所不同。
says,"One survey says that of the 100,000 trained bellringers in England today , only 40,000 of them still ring .","One survey said that of the 100,000 trained bellringers in England at that time, only 40,000 of them still rang.",False,True,原句中使用的一般现在时'says'表明调查结果在当前仍然有效或相关，而变异句中使用的一般过去时'said'则表明调查结果是过去某个时间点的发现，不一定反映当前情况。
deals,"The 10 deals the Iraqi Oil Ministry reached with foreign oil companies suggest that China , Russia and European oil firms are poised to play a major role in refurbishing Iraq 's oil industry , crippled by decades of war and sanctions .","The 10 deals the Iraqi Oil Ministry is reaching with foreign oil companies suggest that China, Russia, and European oil firms are expected to play a major role in refurbishing Iraq's oil industry, which has been crippled by decades of war and sanctions.",False,False,两个句子中的目标词'deals'在句子中的含义没有明显不同。在原句和变异句中，'deals'都指的是伊拉克石油部与外国石油公司之间已经达成的10项协议。两个句子的主要区别在于时态（原句使用过去时，变异句使用现在进行时），但这并不改变'deals'本身的含义。
felt,I just felt another aftershock a few seconds ago .,I am feeling another aftershock right now.,False,True,原句中的'felt'是过去式，表示感觉到震动的动作已经发生并且结束；而变异句中的'feeling'是现在进行时，表示感觉到震动的动作正在发生。因此，两个句子中的目标词'felt'和'feeling'在时态上表示的动作发生的时间点不同。
get,"Biggest trouble was scared family who could n't get a phone line through , and spent a really horrible hour not knowing .","The biggest trouble is the scared family who can't get a phone line through, and is spending a really horrible hour not knowing.",False,True,原句中的get是过去式，表示过去某个时间点发生的动作，而变异句中的get是现在进行时，表示正在进行的动作或状态。因此，两个句子的get在时态上表示的动作或状态存在差异。
immune,"For example , first-term members of the House , once the most vulnerable of incumbents , have become virtually immune to defeat .","For example, first-term members of the House, being the most vulnerable of incumbents, become virtually immune to defeat.",False,False,在这两个句子中，目标词'immune'的含义没有改变。'Immune to defeat'在原句和变异句中的意思都是指议员几乎不可能被击败，即他们对失败有了免疫力。两个句子中使用的是相同的短语和结构来表达这个意思，因此含义相同。
Washington,"It gives a lot of flexibility to the process , said John Coequyt , senior Washington representative for the Sierra Club .","It gives a lot of flexibility to the process, says John Coequyt, senior Washington representative for the Sierra Club.",False,False,原句和变异句中的目标词 'Washington' 在句子中的含义没有改变，都指的是John Coequyt作为Sierra Club的高级代表所在的地区或城市，即华盛顿。两个句子中目标词前后的语境完全相同，因此含义一致。
jumped,"Actually , he regretted having opened his mouth when the truck came to a stop and the angry driver jumped down from the cab and walked back toward them .","Actually, he regrets opening his mouth as the truck comes to a stop and the angry driver jumps down from the cab and walks back toward them.",False,False,两个句子中的目标词'jumped'和'jumps'在句子中的含义没有本质区别，都描述了司机从驾驶室跳下来的动作。原句使用的是过去式，变异句使用的是现在时，这只是时态的不同，并不影响目标词的含义。
balloon,"They will also tell you that even if you hate heights , you can still balloon .","They also tell you that even if you hate heights, you can still balloon.",False,False,两个句子中的目标词'balloon'在句子中的含义没有区别，都是指乘坐热气球的意思。原句中的'that'和变异句中的'they'在语法上虽然有所差异，但这并不影响目标词的含义。
smashed,Nobody witnessed the fall -- just the sickening impact when his body smashed on the pavement just outside the basement delivery entrance .,Nobody is witnessing the fall -- just the sickening impact as his body smashes on the pavement just outside the basement delivery entrance.,False,False,在这两个句子中，目标词'smashed'和'smashes'在含义上并没有明显的不同。'smashed'是过去式，表明动作已经发生；而'smashes'是现在进行时，表示动作正在发生或者正在被目击。但是，这两个动词都描述了身体撞击地面的动作，其基本含义没有改变，都是指撞击造成的破坏或损伤。因此，从目标词的含义角度来看，它们是相同的。
wish,"If we wish to be serious about American education , we know exactly what to do -- and , just as important , what not to do .","If we wished to be serious about American education, we knew exactly what to do -- and, just as important, what not to do.",False,True,原句中的wish使用的是现在时态，表示一种一般性的愿望或想法，而变异句中的wished使用的是过去时态，表示在过去某个时间点的愿望或想法。因此，两个句子的目标词wish在时态上有所不同，反映了不同的时间背景和语境含义。
case,"`` This case , '' they wrote , `` represents the Sheppard v. Maxwell of the 21st century . ''","This case, they write, represents the Sheppard v. Maxwell of the 21st century.",False,False,原句和变异句中的目标词 'case' 在这里都指的是一个具体的案例，即指代'Sheppard v. Maxwell'这个司法案件。两个句子中目标词的含义没有改变，仅仅是动词的时态从过去式'wrote'变为了现在式'write'，但这并不影响目标词'case'的含义。
contains,It contains the active substance pemetrexed .,It contained the active substance pemetrexed.,False,True,原句中使用的是现在时态的'contains'，表示目前仍然包含pemetrexed这种活性物质；而变异句中使用的是过去时态的'contained'，表示过去某个时间包含这种活性物质，可能现在不再包含。因此，两个句子中的目标词在时态和意义上有所不同。
fishing,Ruined the damn fishing !,Ruining the damn fishing!,False,False,原句和变异句中的目标词 'fishing' 在这里都是作为名词使用，表示的是一种活动（钓鱼）。原句使用的是过去式 'ruined' 而变异句使用的是现在进行时 'ruining'，这两个动词形式的不同并不影响目标词 'fishing' 的含义，它们都指代同样的活动。因此，尽管动词形式不同，但目标词 'fishing' 的含义并没有改变。
only,"Also , the treatment of vomiting should only be together with other supportive measure or other veterinary therapy while addressing the underlying causes of the vomiting .","Also, the treatment of vomiting was only to be combined with other supportive measures or other veterinary therapies while addressing the underlying causes of vomiting.",False,False,原句和变异句中的目标词'only'在这里都用作副词，表示限制或强调唯一性，其含义并没有改变。两个句子中的'only'都表达了治疗呕吐时需要与其他支持性措施或兽医治疗方法结合使用，同时也要解决呕吐的根本原因。因此，两个句子中的目标词含义相同。
survey,"One survey says that of the 100,000 trained bellringers in England today , only 40,000 of them still ring .","One survey said that of the 100,000 trained bellringers in England at that time, only 40,000 of them still rang.",False,False,两个句子中的目标词'survey'含义相同，都指的是对某一群体的调查或研究。原句使用现在时态，变异句使用过去时态，但这并不影响'survey'这个词本身的含义，只是指动作发生的时期不同。因此，两个句子中的目标词含义没有不同。
posturing,"The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .","The U.N.-sponsored climate conference -- characterized by unruly posturing and mutual recriminations -- is gaining renewed focus on Friday with the release of a document outlining ambitious greenhouse-gas reductions for the next 40 years, with industrialized nations expected to shoulder most of the burden in the near term.",False,False,原句和变异句中的目标词'posturing'在两个句子中的含义没有区别。在这两个句子中，'posturing'都指的是与会者在气候会议上的姿态和表现，特别是指他们的无序和相互指责的行为，而不是指某种具体的变化或发展。两个句子只是在时态和语态上有所不同，但这并不影响'posturing'这个词的含义。
comes,"Each legislator , after all , is only one out of 535 when it comes to national policy making .","Each legislator, after all, was only one out of 535 when it came to national policy making.",False,True,原句中的'comes'使用现在时态，表示在讨论国家政策制定时，每位立法者都是535分之一的情况是持续存在的；而变异句中的'came'使用过去时态，表示这种情况发生在过去某个特定时间点。因此，两个句子的目标词在时态和意义上有所不同。
thinking,"His shout had been involuntary , something anybody might have done without thinking , on the spur of the moment .","His shout is involuntary, something anybody might do without thinking, on the spur of the moment.",False,False,原句和变异句中的'thinking'都表示在冲动之下没有经过深思熟虑就做出某种行为，含义相同。两个句子中的'thinking'都是指没有进行思考的行为，在上下文中并无差异。
preceded,"It often is preceded by the development of polyps in the bowel , which in some cases become increasingly malignant in identifiable stages -- progressing from less severe to deadly -- as though a cascade of genetic damage might be occurring .","It often was preceded by the development of polyps in the bowel, which in some cases became increasingly malignant in identifiable stages -- progressing from less severe to deadly -- as though a cascade of genetic damage might have been occurring.",False,False,原句和变异句中的目标词 'preceded' 在句子中的含义没有区别。两个句子中 'preceded' 均表示某事物在时间或逻辑上前置于另一事物，即肠息肉的发展先于其他情况的发生。两个句子中动词的时态变化（is preceded 和 was preceded）并不影响 'preceded' 这个词本身的含义，而是反映了整个句子时态的变化。
