instance.word,sentence,mut.sentence,check,check_llm,reason
shrugged,Phil shrugged and ignored him .,Phil shrugs and ignores him.,False,False,原句和变异句中的目标词'shrugged'和'shrugs'在含义上并无本质区别，都表示动作的进行。在这里，'shrugged'使用的是过去式，表明Phil已经耸了耸肩，而'shrugs'使用的是现在时，但仍然表示同样的动作——耸肩。两个动词形式的不同并不影响它们在句子中的基本含义。
conceded,"`` All right `` , he conceded finally , `` if you must know , I do n't get along with the landlord .","All right, he concedes finally, 'if you must know, I don't get along with the landlord.'",False,False,原句和变异句中的目标词 'conceded' 和 'concedes' 在这里都用作动词，表示承认或让步的意思。在这个语境中，两个词的含义是相同的，只是时态不同，原句使用了过去式，变异句使用了现在时。但这并不改变目标词的基本含义。
bounced,"We ran into the house to get Mame , but the next tremor threw me in the air and bounced me as I tried to get to my feet .","We run into the house to get Mame, but the next tremor throws me in the air and bounces me as I try to get to my feet.",False,False,原句和变异句中的'bounced'含义相同，都是指在地震震动中，说话者被抛向空中后又弹跳起来的动作。这里的动词'bounced'在两句中都表示物理上的弹跳动作，没有体现出时态或意义上的差异。
received,"Alimta is used in combination with cisplatin in patients who have not been treated before , and on its own in patients who have received another type of chemotherapy in the past .","Alimta is used in combination with cisplatin in patients who are not being treated currently, and on its own in patients who have received another type of chemotherapy previously.",False,False,原句和变异句中的目标词'received'含义相同，都表示过去完成时态，指的是患者在过去接受过另一种类型的化疗。
advanced,"For the treatment of non-small cell lung cancer , the effects of Alimta were compared with those of docetaxel ( another anticancer medicine ) in one study involving 571 patients with locally advanced or metastatic disease who had received chemotherapy in the past .","For the treatment of non-small cell lung cancer, the effects of Alimta are compared with those of docetaxel (another anticancer medicine) in a study involving 571 patients with locally advanced or metastatic disease who have received chemotherapy in the past.",False,False,原句和变异句中的目标词'advanced'在两个句子中的含义没有改变，都是用来描述疾病（locally advanced or metastatic disease）的进展程度，意味着癌症已经发展到了局部晚期或远处转移的阶段。两个句子中使用'advanced'的方式和上下文保持一致，没有体现出意义上的差异。
jumped,"Actually , he regretted having opened his mouth when the truck came to a stop and the angry driver jumped down from the cab and walked back toward them .","Actually, he regrets opening his mouth as the truck comes to a stop and the angry driver jumps down from the cab and walks back toward them.",False,False,两个句子中的目标词'jumped'和'jumps'在句子中的含义没有本质区别。'jumped'是过去式，表明司机跳下车的动作已经发生；而'jumps'是现在时态，表示动作与主句的后悔情绪同时发生。但这两个动词都描述了司机从驾驶室跳到地面的动作，所以它们的含义是相同的。
reach,"It explains how the Committee for Medicinal Products for Veterinary Use ( CVMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .","It explains how the Committee for Medicinal Products for Veterinary Use (CVMP) assesses the studies performed, to reach their recommendations on how to use the medicine.",False,False,原句和变异句中的目标词'reach'在句子中的含义相同，都指的是通过评估研究来得出（达到）关于如何使用药物的建议。两个句子中'reach'的含义没有发生变化，都是作为动词，表示达到某个结论或推荐的过程。
close,"Ray White in Utah and Walter Bodmer , a researcher in Great Britain , are close to finding another gene involved with some types of colon cancer , thought to be on chromosome 5 .","Ray White in Utah and Walter Bodmer, a researcher in Great Britain, have been close to finding another gene involved with some types of colon cancer, thought to be on chromosome 5.",False,False,原句和变异句中的目标词'close'在这里都表示'接近'的意思，用来描述研究者们距离找到与某些类型的大肠癌相关的基因已经很近了。两个句子中'close'的含义没有发生变化，因此输出为False。
comes,"Ringers , she added , are `` filled with the solemn intoxication that comes of intricate ritual faultlessly performed . `` ``","Ringers, she adds, are 'filled with the solemn intoxication that comes from intricate ritual faultlessly performed.'",False,False,原句和变异句中的目标词 'comes' 在这里都表示 '来自于' 或 '由...产生' 的意思，两个句子中的 'comes' 的含义没有区别。在这两个句子中，'comes of' 和 'comes from' 都可以互换使用，表示同样的概念。
court,But lawyers for Mr. Hayes have already made court filings that sketch out appeals arguments that are likely to occupy the courts for years .,Lawyers for Mr. Hayes make court filings that outline appeals arguments which may occupy the courts for years.,False,False,原句和变异句中的目标词 'court' 在两个句子中的含义相同，都指的是进行法律程序的法庭或法院。两个句子中的 'court' 都是指案件可能会在上诉过程中耗费多年时间的法律机构。
games,"After this , only five exceeded the 30 games : Keilor Navas with 31 , Randall Azofeifa with 32 , Michael Barrantes with 31 , Carlos Hernandez with 36 and Jose Luis Lopez with 35 .","Currently, only five have exceeded the 30 games: Keilor Navas with 31, Randall Azofeifa with 32, Michael Barrantes with 31, Carlos Hernandez with 36 and Jose Luis Lopez with 35.",False,False,在这两个句子中，目标词 'games' 的含义没有改变，都是指比赛或游戏的次数。原句和变异句中的 'games' 都是指球员们参加的比赛场次超过了30场。两个句子中的语境和 'games' 的用法保持一致，没有体现出意义上的差异。
so,"A series of 5,000 or so changes is a `` peal `` and takes about three hours .","A series of 5,000 or so changes was a `` peal '' and took about three hours.",False,False,"原句和变异句中的目标词 'so' 在这里都用作副词，表示大致的数量或者程度，其含义并没有因为句子的时态变化而改变。在这两个句子中，'5,000 or so' 指的是大概5000左右的数量，'so' 表示的是近似值，并不影响句子的基本意义。因此，两个句子中的 'so' 含义相同。"
enhanced,The individual voter 's standing consequently will be enhanced through lower taxes .,The individual voter's standing is enhanced by lower taxes.,False,False,两个句子中的目标词 'enhanced' 在含义上没有区别。在原句中，'enhanced' 是表示将要发生的动作，因为使用了 'will be enhanced' 这个将来时态的结构。而在变异句中，'enhanced' 是表示已经发生的动作，使用了 'is enhanced' 这个现在时态的结构。尽管时态不同，但 'enhanced' 本身的意思——提高、增强，在两个句子中保持一致。
hold,In between came lots of coffee drinking while watching the balloons inflate and lots of standing around deciding who would fly in what balloon and in what order the baskets hold no more than four passengers .,"In between, there is lots of coffee drinking while watching the balloons inflate, and there is lots of standing around deciding who will fly in what balloon and in what order the baskets hold no more than four passengers.",False,False,原句和变异句中的目标词 'hold' 在句子中的含义没有改变，都是指篮子能够容纳或者承载不超过四名乘客。两个句子中 'hold' 的语境和用法是相同的，没有体现出意义上的差异。
protection,On Wednesday Bank of America repaid the support from the bank protection fund TARP in the amount USD 45 billion ( nearly EUR 30 billion ) in one go .,On Wednesday Bank of America is repaying the support from the bank protection fund TARP in the amount of USD 45 billion (nearly EUR 30 billion) in one go.,False,False,原句和变异句中的目标词 'protection' 在两个句子中的含义没有改变，都指的是银行保护基金（TARP）提供的保护或支持。两个句子仅仅是时态不同（原句使用过去时，变异句使用现在进行时），但这并不影响目标词的含义。
political,"1 -RRB- Voters can `` buy `` one of two brands when they select their political agents -- a Republican brand that believes in the minimalist state and in the virtues of private markets over the vices of public action , and a Democratic brand that believes in big government and in public intervention to remedy the excesses attendant to the pursuit of private interest .","Voters could `` buy `` one of two brands when they selected their political agents -- a Republican brand that believed in the minimalist state and in the virtues of private markets over the vices of public action, and a Democratic brand that believed in big government and in public intervention to remedy the excesses attendant to the pursuit of private interest.",False,False,原句和变异句中的目标词 'political' 在两个句子中的含义没有改变，都是用来描述选举中的代理人，指的是与政治相关的、与政府或政党组织有关的。两个句子在时态上有所不同（can 与 could），但这并不影响目标词的含义。
first,"In the tower , five men and women pull rhythmically on ropes attached to the same five bells that first sounded here in 1614 .","In the tower, five men and women pull rhythmically on ropes attached to the same five bells that first sound here in 1614.",False,True,原句中的'that first sounded here'使用了过去式'sounded'，表明钟声首次响起是一个过去发生的动作，指的是在1614年首次响起。而变异句中的'that first sound here'使用了现在式'sound'，这可能会被理解为一种一般性描述，没有明确指出首次响起是在过去，而是像是在描述一个与现在有关的习惯性动作或状态。因此，两个句子中的目标词'first'所表达的含义有所不同。
given,"For these purposes , Cerenia can be given for up to five days","For these purposes, Cerenia was given for up to five days",False,False,在这两个句子中，目标词'given'的含义相同，都表示给予或者被给予的意思。原句中使用现在时态的被动语态'can be given'，而变异句中使用过去时的被动语态'was given'，时态的不同并不改变'given'这个词本身的含义，只是指动作发生的时间不同。因此，两个句子中的目标词含义没有不同。
wrestling,"Among the lot of them , not one is wrestling with good and evil , or especially intelligent or even temporarily insane .","Among the lot of them, not one wrestles with good and evil, or is especially intelligent or even temporarily insane.",False,False,在这两个句子中，目标词 'wrestling' 的含义没有改变。在原句中，它作为现在分词形式 'wrestling' 出现，表示正在进行的动作；在变异句中，它作为动词的一般现在时形式 'wrestles' 出现，表示一般性的动作或状态。然而，这两个形式在意义上是等价的，都指的是与善与恶进行内心的斗争。因此，目标词的具体含义在这两个句子中是相同的。
best,"Ringing does become a bit of an obsession , `` admits Stephanie Pattenden , master of the band at St. Mary Abbot and one of England 's best female ringers .","Ringing did become a bit of an obsession, admitted Stephanie Pattenden, master of the band at St. Mary Abbot and one of England's best female ringers.",False,False,原句和变异句中的目标词 'best' 在句子中的含义没有改变，都是用来修饰 'female ringers'，表示 '最优秀的，技艺最高超的'。两个句子中 'best' 的用法和上下文含义是相同的，只是原句使用了现在时态的 'admits' 和一般现在时的 'does become'，而变异句使用了过去时态的 'admitted' 和过去时的 'did become'，但这并不影响 'best' 的具体含义。
