instance.word,sentence,mut.sentence,check,check_llm,reason
sectors,"As important industrial sectors , the metal industry and the banking sector were also included .","As important industrial sectors, the metal industry and the banking sector are also included.",False,False,原句和变异句中的目标词'sectors'在句子中的含义没有发生变化，都是指代重要的工业部门或领域。两个句子仅仅是动词时态的不同（原句使用了过去时，变异句使用了现在时），但这并不影响'sectors'这个词的含义。
develop,"If both copies of a certain gene were knocked out , benign polyps would develop .","If both copies of a certain gene are knocked out, benign polyps develop.",False,False,原句和变异句中的目标词'develop'在句子中的含义没有不同。两个句子都表达了同样的意思，即如果某个特定基因的两个副本被敲除，良性息肉将会生长或发展。在这里，'develop'指的是息肉的形成或出现，这个含义在两个句子中保持一致。
comes,"Each legislator , after all , is only one out of 535 when it comes to national policy making .","Each legislator, after all, was only one out of 535 when it came to national policy making.",False,True,原句中的'comes'使用现在时态，表示在讨论国家政策制定时，每位立法者都是535分之一的情况是持续存在的；而变异句中的'came'使用过去时态，表示这种情况发生在过去某个特定时间点。因此，两个句子的目标词在时态和意义上有所不同。
building,This building shook like hell and it kept getting stronger .,This building is shaking like hell and it keeps getting stronger.,False,False,在这两个句子中，目标词 'building' 的含义并没有改变。两个句子都在描述这栋楼在摇晃，并且摇晃的强度在增加。原句使用过去时态，变异句使用现在进行时态，但这并不影响目标词 'building' 的含义。
understanding,"This will require us to develop a much more sophisticated understanding of the dynamics of homelessness than we currently possess , an understanding that can be developed only through careful study and research .","This requires us to develop a much more sophisticated understanding of the dynamics of homelessness than we currently possess, an understanding that can be developed only through careful study and research.",False,False,原句和变异句中的目标词 'understanding' 在句子中的含义和用法没有改变，都指的是对无家可归者动态的深入理解，这种理解只能通过仔细的研究和调查来发展。两句话的区别仅在于动词 'require' 的时态不同（原句使用了 'will require'，变异句使用了 'requires'），但这并不影响目标词 'understanding' 的含义。
devastating,"In the long , frightening night after Tuesday 's devastating earthquake , Bay Area residents searched for comfort and solace wherever they could .","In the long, frightening night following Tuesday's devastating earthquake, Bay Area residents are searching for comfort and solace wherever they can.",False,False,原句和变异句中的目标词'devastating'在两个句子中的含义相同，都用来形容地震带来的破坏性极大，给人们带来了长夜的恐惧和不安。两个句子中'devastating'一词的用法和上下文含义没有区别。
best,"Ringing does become a bit of an obsession , `` admits Stephanie Pattenden , master of the band at St. Mary Abbot and one of England 's best female ringers .","Ringing did become a bit of an obsession, admitted Stephanie Pattenden, master of the band at St. Mary Abbot and one of England's best female ringers.",False,False,原句和变异句中的目标词 'best' 在句子中的含义没有改变，都是用来修饰 'female ringers'，表示 '最优秀的，技艺最高超的'。两个句子中 'best' 的用法和上下文含义是相同的，只是原句使用了现在时态，而变异句使用了过去时态，但这并不影响 'best' 的具体含义。
turned,"Dr. Vogelstein next turned his attention colon cancer , the second biggest cancer killer in the U.S. after lung cancer .","Dr. Vogelstein now turns his attention to colon cancer, which is the second biggest cancer killer in the U.S. after lung cancer.",False,False,原句和变异句中的'turned'都表示过去发生的动作，意为'转向，将注意力集中在……上'，在两个句子中的用法和含义没有区别。
only,Alimta should only be given under the supervision of a doctor who is qualified in the use of anticancer chemotherapy .,Alimta was only given under the supervision of a doctor who was qualified in the use of anticancer chemotherapy.,False,False,原句和变异句中的目标词'only'在这两个句子中含义相同，都表示限制或强调唯一性，指出'Alimta'只能在有资质的医生监督下使用。原句使用的是一般现在时，变异句使用的是一般过去时，但这并不改变'only'本身的含义。
ride,I had to reach back to French 101 when the monsieur avec clipboard leaned over my shoulder during the coffee phase of dinner and asked whether I wanted to ride in a montgolfiere .,I have to reach back to French 101 when the monsieur avec clipboard leans over my shoulder during the coffee phase of dinner and asks whether I want to ride in a montgolfiere.,False,False,原句和变异句中的目标词 'ride' 在句子中的含义没有改变，都是指乘坐（montgolfiere，即热气球）。两个句子的区别在于时态（原句使用过去时，变异句使用现在时），但这并不影响目标词的含义。
confusing,"They began uncovering a confusing variety of genetic deletions , some existing only in benign polyps , others in malignant cells and many in both polyps and malignant cells .","They are uncovering a confusing variety of genetic deletions, some existing only in benign polyps, others in malignant cells, and many in both polyps and malignant cells.",False,False,原句和变异句中的目标词 'confusing' 在两个句子中的含义没有改变，都用来形容遗传缺失的多样性是复杂且令人困惑的。两个句子的结构几乎相同，只是动词时态从过去式 'began uncovering' 变成了现在进行式 'are uncovering'，但这并不影响目标词的含义。
