instance.word,sentence,mut.sentence,check,check_llm,reason
ruling,"In a landmark 1966 ruling , the United States Supreme Court overturned the conviction of a Cleveland osteopath , Dr. Sam Sheppard , for the murder of his wife , saying in its decision , Sheppard v. Maxwell , that there was a `` carnival atmosphere at trial '' because of the news media .","In a landmark ruling, the United States Supreme Court is overturning the conviction of a Cleveland osteopath, Dr. Sam Sheppard, for the murder of his wife, stating in its decision, Sheppard v. Maxwell, that there is a 'carnival atmosphere at trial' because of the news media.",False,False,原句和变异句中的目标词 'ruling' 在两个句子中的含义相同，都指的是法庭的裁决或判决。两个句子中 'ruling' 的时态不同（原句使用过去时，变异句使用现在进行时），但这并不改变目标词的含义，只是表明动作发生的时态不同。因此，两个句子中的目标词含义没有不同。
rode,I rode it out on the second floor of Leo 's at 55th and Telegraph in Oakland .,I am riding it out on the second floor of Leo's at 55th and Telegraph in Oakland.,False,True,原句中使用的是过去式'rode'，表示动作已经完成；而变异句中使用的是现在进行时'riding'，表示动作正在进行中。因此，两个句子中的目标词虽然都是'rode'，但因其时态不同，所表达的含义也有所区别。
squinted,Eventually little French farmers and their little French farmwives came out of their stone houses and put their hands above their tiny eyes and squinted at us .,Eventually little French farmers and their little French farmwives come out of their stone houses and put their hands above their tiny eyes and squint at us.,False,False,原句和变异句中的目标词'squinted'和'squint'在句子中的含义没有区别，都表示眯着眼睛看。动词的时态不同，原句使用了过去式'squinted'，而变异句使用了现在式'squint'，但这并不影响目标词的含义。
decent,"Fortunately , these same parents do want their children to get a decent education as traditionally understood , and they have enough common sense to know what that demands .","Fortunately, these same parents wanted their children to get a decent education as traditionally understood, and they had enough common sense to know what that demanded.",False,False,"原句和变异句中的目标词'decent'在句子中的含义没有改变，都是指'像样的，足够的'教育。两个句子中只是动词时态从一般现在时（do want, have enough）变为了过去时（wanted, had enough），这并不影响目标词的含义。"
felt,"Haney watched the small but wiry man slip out the door quickly and silently , and felt relieved to see that nobody else seemed to notice his departure .","Haney watches the small but wiry man slip out the door quickly and silently, and feels relieved to see that nobody else seems to notice his departure.",False,False,原句和变异句中的目标词 'felt' 和 'feels' 在这里都表示感觉或情感的过去时态和现在时态，其基本含义没有改变。'Felt' 是过去时，表示汉尼在看到没有人注意到那个人的离开时，曾经感到放心。而 'feels' 是现在时，表示汉尼在观察这一行为时持续感到放心。但是，在这个上下文中，两个动词表达的情感状态是一致的，即都是表达安心或放松的情绪。因此，尽管时态不同，但目标词的具体含义并没有改变。
find,Below these tabs you will find an input field to type your functions or do your calculations .,Below these tabs you can find an input field to type your functions or do your calculations.,False,False,原句和变异句中的目标词'find'含义相同，都表示在指定位置（标签下方）寻找或注意到输入字段。'will find'和'can find'在这里并没有改变'find'的基本意思，只是语气上略有不同，前者可能暗示必然性，后者则表示可能性，但并不影响'find'的含义。
fishing,Ruined the damn fishing !,Ruining the damn fishing!,False,False,原句和变异句中的目标词 'fishing' 在这里都是作为名词使用，表示的是一种活动（钓鱼）。原句使用的是过去式 'ruined' 而变异句使用的是现在进行时 'ruining'，这两个动词形式的不同并不影响目标词 'fishing' 的含义，它们都指代同样的活动。因此，尽管动词形式不同，但目标词 'fishing' 的含义并没有改变。
shrugged,Phil shrugged and ignored him .,Phil shrugs and ignores him.,False,False,原句和变异句中的目标词'shrugged'和'shrugs'在忽略他的动作上没有体现出含义上的差异。两句话中的'shrugged'和'shrugs'都表示耸肩的动作，而这个动作在两个句子中都是用来表达一种不在意或忽视的态度，时态的不同（原句过去式，变异句现在式）并不改变耸肩这个动作本身的含义。
making,"Each legislator , after all , is only one out of 535 when it comes to national policy making .","Each legislator, after all, was only one out of 535 when it came to national policy making.",False,False,原句和变异句中的'making'都指的是名词形式，表示'制定'或'形成'的过程，两句话的时态不同（原句使用现在时，变异句使用过去时），但这并不影响'making'这个词本身的含义。因此，两个句子中的目标词'making'的含义是相同的。
gathering,"The sheer sprawl of the gathering -- where 13,000 people move in and out of the convention center each day , guitar-playing activists put on nightly shows mocking the countries they think are selling out , and draft proposals are passed hand-to-hand on paper rather than via e-mail -- poses a challenge .","The sheer sprawl of the gathering -- where 13,000 people moved in and out of the convention center each day, guitar-playing activists put on nightly shows mocking the countries they thought were selling out, and draft proposals were passed hand-to-hand on paper rather than via e-mail -- posed a challenge.",False,True,原句中的gathering使用的是现在时态，指的是正在进行的集会或聚会；而变异句中gathering使用的是过去时态，指的是已经发生的集会或聚会。时态的不同反映了动作发生的时间差异，因此两个句子中的目标词含义有所不同。
Right,"On the Right , the tone was set by Jacques Chirac , who declared in 1976 that `` 900,000 unemployed would not become a problem in a country with 2 million of foreign workers , '' and on the Left by Michel Rocard explaining in 1990 that France `` can not accommodate all the world 's misery . ''","On the Right, the tone is set by Jacques Chirac, who declares that '900,000 unemployed will not become a problem in a country with 2 million foreign workers,' and on the Left by Michel Rocard explaining that France 'cannot accommodate all the world's misery.'",False,False,原句和变异句中的目标词 'Right' 在句子中的含义没有不同，都指的是政治上的右派，即政治立场或意识形态的一种表达。两个句子中 'Right' 的使用情境和上下文保持一致，没有体现出意义上的差异。
have,`` Then she 'd get half of everything I have .,Now she gets half of everything I have.,False,False,原句和变异句中的目标词 'have' 在这里都用作助动词，表示拥有或持有的状态。两个句子中的 'have' 的含义没有改变，都是指说话者目前所拥有的东西。原句中的 'I have' 指的是在过去的某个时间点或假设情况下说话者所拥有的东西；变异句中的 'I have' 指的是现在说话者所拥有的东西。但是，'have' 的基本含义在这两个句子中保持一致。
line,How many government programs and policies exist because they line the pockets of political insiders ?,How many government programs and policies existed because they lined the pockets of political insiders?,False,False,原句和变异句中的目标词 'line' 在这里都使用了同样的含义，即 '填满某人的口袋'，是一个比喻，表示政治内部人士通过政府项目和政策获得利益。原句使用现在时态，变异句使用过去时态，但这并不改变目标词 'line' 的含义。因此，两个句子中目标词的含义相同。
goes,"With that authority , of course , goes an unambiguous accountability .","With that authority, of course, went an unambiguous accountability.",False,True,原句中的'goes'使用的是现在时态，表示与现在相关的责任或义务；而变异句中的'went'使用的是过去时态，表示过去某个时间点的责任或义务。因此，两个句子中的目标词'goes'和'went'在时态上存在差异，含义不同。
premises,"`` They were a self-perpetuating club that treated the tower as sort of a separate premises , `` the Vicar Hummerstone says .","They are a self-perpetuating club that treats the tower as sort of a separate premises, the Vicar Hummerstone says.",False,False,原句和变异句中的目标词 'premises' 在两个句子中的含义相同，都指的是 '场所' 或 '建筑物'。两个句子中 'premises' 的使用情境没有改变，都是用来描述俱乐部将塔视为一个独立的空间或场所。因此，尽管原句使用了过去时，变异句使用了现在时，但这并不影响目标词 'premises' 的含义。
higher,Schools that are structured in this way produce students with higher morale and superior academic performance .,Schools that were structured in this way produced students with higher morale and superior academic performance.,False,False,原句和变异句中的目标词 'higher' 在句子中的含义没有改变，都用来形容学生的士气（morale）更高，以及学业表现（academic performance）更优秀。两个句子中 'higher' 的含义是相同的，只是原句使用现在时态，变异句使用过去时态，但这并不影响目标词的含义。
lead,Americans it seems have followed Malcolm Forbes 's hot-air lead and taken to ballooning in a heady way .,Americans seem to follow Malcolm Forbes' hot-air lead and are taking to ballooning in a heady way.,False,False,原句和变异句中的目标词 'lead' 在这里都指的是 '领导或者榜样作用'，原句中使用现在完成时态 'have followed' 而变异句使用现在进行时态 'are taking to' 来描述美国人追随Malcolm Forbes的行为，但这并不改变 'lead' 的含义。两个句子中的 'lead' 都是指Malcolm Forbes在热气球方面的示范作用，因此含义相同。
medicine,"It explains how the Committee for Medicinal Products for Veterinary Use ( CVMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .","It explains how the Committee for Medicinal Products for Veterinary Use (CVMP) assesses the studies performed, to reach their recommendations on how to use the medicine.",False,False,原句和变异句中的目标词'medicine'在句子中的含义没有发生变化，都是指代用于兽医用途的药物产品。两个句子中'medicine'的含义相同，区别仅在于动词的时态（原句使用了过去式'assessed'，变异句使用了现在式'assesses'），这并不影响目标词的含义。
faint,A faint crease appeared between the man 's eyebrows .,A faint crease appears between the man's eyebrows.,False,False,原句和变异句中的目标词 'faint' 在两个句子中的含义相同，都表示'模糊的，不明显的'。两个句子的区别仅在于动词的时态不同（原句使用过去式，变异句使用一般现在时），但这并不影响目标词的含义。
state,"And , according to reports from US broadcaster CNBC , Citigroup is also planning to repay the state support .","And, according to reports from the US broadcaster CNBC, Citigroup is planning to repay the state support.",False,False,原句和变异句中的目标词'state'在这里的含义相同，都是指代政府对企业的支持或资助。两句话中'state support'的意思并未因为原句中多出的冠词'the'而改变，都指的是Citigroup计划偿还的政府援助。
