instance.word,sentence,mut.sentence,check,check_llm,reason
best,Study after study -- the most recent from the Brookings Institution -- tells us that the best schools are those that are free of outside interference and are governed by a powerful head .,Study after study -- the most recent from the Brookings Institution -- tells them that the best schools are those that are free of outside interference and are governed by a powerful head.,False,False,原句和变异句中的目标词 'best' 在句子中的含义没有改变，都是用来形容 'schools'，表示最优秀的、质量最高的学校。两个句子中 'best' 的上下文完全相同，没有体现出含义上的差异。
larger,"Locally elected school boards , especially in our larger cities , become the prey of ambitious , generally corrupt , and invariably demagogic local politicians or would-be politicians .","Locally elected school boards, especially in those larger cities, become the prey of ambitious, generally corrupt, and invariably demagogic local politicians or would-be politicians.",False,False,原句和变异句中的目标词‘larger’含义相同，都用来修饰‘cities’，表示‘更大的’城市。两个句子中‘larger’的用法和上下文没有改变，因此含义一致。
building,"This time , it just got stronger and then the building started shaking violently up and down as though it were a child 's toy block that was being tossed .","That time, it just got stronger and then the building started shaking violently up and down as though it were a child's toy block that was being tossed.",False,False,原句和变异句中的目标词 'building' 在句子中的含义没有改变，都指的是一个在地震或其他力量作用下开始剧烈摇晃的建筑物。两个句子中 'building' 的上下文环境和使用情境完全相同，没有体现出意义上的差异。
making,"Each legislator , after all , is only one out of 535 when it comes to national policy making .","Each legislator, after all, is only one out of 535 when they come to national policy making.",False,False,在这两个句子中，目标词'making'的含义并没有改变。'making'在这两个句子中都作为名词使用，指的是'制定'或'创造'的过程，与句子中的主语'legislator'和动词'come'的变异无关。变异句中只是将原句中的'it comes'改为'they come'，这并不影响'making'本身的含义。
notion,The notion that tracking is somehow `` undemocratic `` is absurd .,The notion this tracking is somehow `` undemocratic `` is absurd .,False,False,原句和变异句中的目标词 'notion' 在句子中的含义没有区别，都指的是一个观念或想法。在这里，'notion' 指的是关于跟踪（tracking）是不民主的这一观念，两句话的语境和用法是相同的。
put,"Choose 203 business executives , including , perhaps , someone from your own staff , and put them out on the streets , to be deprived for one month of their homes , families and income .","Choose 203 business executives, including, perhaps, someone from your own staff, and put us out on the streets, to be deprived for one month of their homes, families and income.",False,True,原句中的'put them out on the streets'指的是将那些商业高管（他们是被动的对象）赶出去，而变异句中的'put us out on the streets'则意味着包括说话者在内的一群人（主动语态，指说话者和其他人）将被置于街头。这里的'us'通常指代说话者和听话者，或者说话者所在的群体，与原句的'them'指代不同，因此含义不同。
So,"`` So crunch , crunch , crunch , bang , bang , bang -- here come the ringers from above , making a very obvious exit while the congregation is at prayer , `` he says .","So crunch, crunch, crunch, bang, bang, bang -- here come those from above, making a very obvious exit while the congregation is at prayer, he says.",False,True,"在原句中，'So'用作副词，表示程度或方式，强调接下来的动作（'crunch, crunch, crunch, bang, bang, bang'）的连续性和节奏感。而在变异句中，'So'被省略，导致句子缺少了这种强调的语气和节奏感，因此两个句子中目标词的含义有所不同。"
comes,"Each legislator , after all , is only one out of 535 when it comes to national policy making .","Each legislator, after all, is only one out of 535 when they come to national policy making.",True,True,原句中的 'comes' 是第三人称单数现在时态，指代的是单数的 'it'，通常用于表达 '当提到，当说到，当涉及到' 的意思，而变异句中的 'they come' 是第三人称复数现在时态，改变了原句中 'comes' 的单数和抽象的用法，使其听起来像是指代实际的 'legislators'，即 '当立法者们来参与'，改变了原句的抽象概念，引入了具体的参与者。因此，两个句子的目标词含义不同。
given,Haney had n't given it much thought at the time .,Haney hadn't given them much thought at the time.,False,False,在这两个句子中，目标词'given'的含义相同，都是表示过去某个时间点Haney没有对某事物（原句中是'it'，变异句中是'them'）给予太多的考虑或思考。'Given'在这里作为动词，表示'考虑到'或'考虑到重要性'，两个句子中的用法没有区别。
says,"One survey says that of the 100,000 trained bellringers in England today , only 40,000 of them still ring .","One survey says that of the 100,000 trained bellringers in England today, only 40,000 of us still ring.",False,True,原句中的'says'指的是调查报告陈述了一个事实，而变异句中的'says'则暗示了调查报告代表了包含说话者在内的一群人的观点或行为，因为变异句中使用了'us'，这改变了目标词'says'的语境含义。
Left,There is a lot of consensus between the Left and the Right on this subject .,There is a lot of consensus between the Left and the Right on that subject.,False,False,在这两个句子中，目标词‘Left’的含义没有改变。‘Left’在这里指的是政治左派，在原句和变异句中都是指代相同政治立场的人群，与‘Right’相对，两句话讨论的是这两个政治派别在某个议题上达成的共识。原句和变异句只是用了不同的指示代词（this和that），但这并不影响‘Left’这个词的含义。
specify,( ) : It is used to specify a higher priority .,They are used to specify a higher priority.,False,False,原句和变异句中的'specify'含义相同，都是指明确指出或详细说明的意思。两个句子中的主语不同，但并不影响'specify'这个词的含义。
higher,Schools that are structured in this way produce students with higher morale and superior academic performance .,Schools that are structured in that way produce students with higher morale and superior academic performance.,False,False,两个句子中的目标词 'higher' 在句子中的含义没有不同，都用来修饰 'morale'（士气），表示更高的士气。两个句子中的 'higher' 都表达了同样的概念，没有区别。
feelings,"Vicar Marshall admits to mixed feelings about this issue , since he is both a vicar and an active bell-ringer himself .","Vicar Marshall admits to mixed feelings about that issue, since he is both a vicar and an active bell-ringer himself.",False,False,原句和变异句中的目标词 'feelings' 在两个句子中的含义没有变化，都指的是Vicar Marshall对于某个问题的复杂情感或感受。
plunged,We scuttled along for a few feet before he plunged us into the drink again .,We scuttled along for a few feet before he plunged them into the drink again.,False,False,原句和变异句中的目标词'plunged'含义相同，都是指将某人或某物迅速地浸入水中。'us'和'them'在此句中都是指代上文提到的某些人或物体，因此尽管代词不同，但并不影响'plunged'这个词的含义。
