instance.word,sentence,mut.sentence,check,check_llm,reason
goes,"With that authority , of course , goes an unambiguous accountability .","With this authority, of course, goes an unambiguous accountability.",False,False,原句和变异句中的目标词 'goes' 在这里都用作动词，表示 '伴随' 或 '随之而来' 的意思。两个句子中的 'goes' 在语境和含义上没有区别，都是表达 '有了那样的权威，当然也就有了明确的责任'。
accident,It could have been an accident `` .,That could have been an accident.,False,False,两个句子中的目标词 'accident' 在句子中的含义没有改变，都指的是可能发生的不幸事件或意外。原句中的 'It' 和变异句中的 'That' 都是指代某个不确定的事物或情况，并不影响 'accident' 的含义。
larger,"Locally elected school boards , especially in our larger cities , become the prey of ambitious , generally corrupt , and invariably demagogic local politicians or would-be politicians .","Locally elected school boards, especially in those larger cities, become the prey of ambitious, generally corrupt, and invariably demagogic local politicians or would-be politicians.",False,False,原句和变异句中的目标词‘larger’含义相同，都用来修饰‘cities’，表示‘更大的’城市。两个句子中‘larger’的用法和上下文没有改变，因此含义一致。
children,"If I were to ask a sample of American parents , `` Do you wish the elementary schools to encourage creativity in your children ? `` the near-unanimous answer would be , `` Yes , of course . ``","If I were to ask a sample of American parents , ""Do you wish the elementary schools to encourage creativity in those children ?"" the near-unanimous answer would be , ""Yes , of course .""",False,True,在原句中，'children' 这个词的使用具有亲密和特定的指代意义，指的是提问者所询问的那些父母的孩子。而在变异句中，'those children' 这种表达方式增加了距离感，使得指代变得不那么直接和个人化，它可能指的是一个更广泛的群体，而不仅仅是父母自己的孩子们。因此，尽管指代的是同一类群体，但语境上的细微差别使得两个句子的目标词含义有所不同。
tossed,"This time , it just got stronger and then the building started shaking violently up and down as though it were a child 's toy block that was being tossed .","That time, it just got stronger and then the building started shaking violently up and down as though it were a child's toy block that was being tossed.",False,False,原句和变异句中的目标词'tossed'含义相同，都表示被抛掷或摇晃的状态。两个句子中的'tossed'都是用来形容玩具积木被抛起的样子，没有区别。
subscribe,"But is n't the desire for profit the driving force behind those who subscribe to , and advertise in , your paper ?","But isn't the desire for profit the driving force behind these who subscribe to, and advertise in, your paper?",False,False,原句和变异句中的目标词'subscribe'含义相同，都指的是订阅报纸的行为。两个句子中目标词的使用情境和上下文没有改变，因此'subscribe'的含义没有区别。
comes,"Each legislator , after all , is only one out of 535 when it comes to national policy making .","Each legislator, after all, is only one out of 535 when they come to national policy making.",True,True,原句中的 'comes' 是第三人称单数现在时态，指代的是单数的 'it'，通常用于表达 '当提到，当说到，当涉及到' 的意思，而变异句中的 'they come' 是第三人称复数现在时态，改变了原句中 'comes' 的单数和抽象的用法，使其听起来像是指代实际的 'legislators'，即 '当立法者们来参与'，改变了原句的抽象概念，引入了具体的参与者。因此，两个句子的目标词含义不同。
relate,The gender and ethnic backgrounds of workers and how these relate to age discrimination are examined .,The gender and ethnic backgrounds of workers and how those relate to age discrimination are examined.,False,False,在这两个句子中，目标词'relate'的含义是相同的。'relate to'是一个固定搭配，意思是'与...有关联'或'与...相联系'。原句和变异句都使用了这个搭配来描述工人的性别和种族背景与年龄歧视之间的关系，因此目标词的含义没有改变。
wondering,Endless seconds wondering if those huge windows would buckle and shower us with glass .,Endless seconds wondering if these huge windows would buckle and shower us with glass.,False,False,原句和变异句中的目标词‘wondering’在句子中的含义没有改变，都表示‘想知道，怀疑’的意思，两句话的差别仅在于指示代词‘those’和‘these’的使用，但这并不影响‘wondering’的含义。
found,"When they found it last winter , Dr. Vogelstein was dubious that the search was over .","When they found them last winter, Dr. Vogelstein was dubious that the search was over.",False,False,在这两个句子中，目标词‘found’的含义没有改变。‘Found’在原句和变异句中都表示发现或找到某物（原句中是单数‘it’，变异句中是复数‘them’），并且在这两个句子中，Dr. Vogelstein对于搜索是否结束持怀疑态度。因此，尽管代词从‘it’变为‘them’，但‘found’作为动词的含义并未改变。
thing,"Not one thing in the house is where it is supposed to be , but the structure is fine .","Not one thing in the house is where they are supposed to be, but the structure is fine.",False,False,原句和变异句中的'thing'都用作单数形式，指代的是同一类事物，即家里的物品。在这种情况下，无论使用单数'thing'还是复数'they are supposed to be'，其指代的具体含义并没有改变，都是指物品不在其应有的位置。因此，两个句子中的目标词含义相同。
feelings,"Vicar Marshall admits to mixed feelings about this issue , since he is both a vicar and an active bell-ringer himself .","Vicar Marshall admits to mixed feelings about that issue, since he is both a vicar and an active bell-ringer himself.",False,False,原句和变异句中的目标词 'feelings' 在两个句子中的含义没有变化，都指的是Vicar Marshall对于某个问题的复杂情感或感受。
does,Amazing what it does to one 's heart rate and one 's short-term memory .,Amazing what they do to one's heart rate and one's short-term memory.,False,True,原句中的'does'是单数第三人称现在时动词形式，指代的是单数名词（在这里是隐含的主语，可能是某种活动或药物等），而变异句中的'do'是复数第三人称现在时动词形式，指代的是复数名词。这表明两个句子的主语数量不同，因此目标词的含义有所改变。
