instance.word,sentence,mut.sentence,check,check_llm,reason
obsession,"Ringing does become a bit of an obsession , `` admits Stephanie Pattenden , master of the band at St. Mary Abbot and one of England 's best female ringers .","Ringing does become a bit of that obsession, ""admits Stephanie Pattenden, master of that band at St. Mary Abbot and one of England's best female ringers.",False,False,原句和变异句中的目标词 'obsession' 在句子中的含义没有改变，都指的是对某种事物的强烈迷恋或痴迷。在这个上下文中，无论是否使用指示代词 'that' ('a bit of that obsession')，'obsession' 的含义保持一致，没有区别。
pay,I 'd have to sell out my business to pay her off with her share .,I'd have to sell out that business to pay her off with her share.,False,False,两个句子中的目标词'pay'含义相同，都是指支付或偿还债务的意思。原句和变异句只是通过添加'that'来指代前文提到的商业，但这并不改变'pay'这个词的含义。
believe,"He says the neighbors complain , but I do n't believe it .","He says the neighbors complain, but I don't believe them.",False,True,原句中的'believe it'指的是不相信这件事情（邻居抱怨）发生过，而变异句中的'believe them'指的是不相信邻居本人，即不相信邻居会抱怨。两句话中'believe'的指代对象不同，因此含义有所差异。
found,"`` It 's a super-exciting set of discoveries , `` says Bert Vogelstein , a Johns Hopkins University researcher who has just found a gene pivotal to the triggering of colon cancer .","They're a super-exciting set of discoveries, says Bert Vogelstein, a Johns Hopkins University researcher who has just found a gene pivotal to the triggering of colon cancer.",False,False,原句和变异句中的目标词'found'在句子中的含义和用法没有改变，都表示研究者发现了某个基因。在这个上下文中，'found'表示动作的完成，表明发现已经发生。
life,"A person who is born with one defective copy of a suppressor gene , or in whom one copy is damaged early in life , is especially prone to cancer because he need only lose the other copy for a cancer to develop .","A person who is born with one defective copy of a suppressor gene, or in whom one copy is damaged early in life, is especially prone to cancer because they need only lose the other copy for a cancer to develop.",False,False,原句和变异句中的目标词 'life' 在句子中的含义没有改变，都指的是人的生命或生活期间。在这个上下文中，'life' 指的是基因损伤发生的时间点，即早期生活阶段，这个含义在两个句子中保持一致。
says,"He says the neighbors complain , but I do n't believe it .","He says the neighbors complain, but I don't believe them.",False,True,在原句中，'says'后面直接跟的是宾语从句'the neighbors complain'，这里的'says'表示的是说话的行为，即某人说道或宣称。而在变异句中，'says'后面跟的是代词'them'，指代前文提到的邻居们，这里的'says'的含义变为表示他支持或同意邻居们的抱怨，不仅仅是转述。因此，两个句子的'says'在上下文中的含义有所不同。
things,"Except for the gas tank at Hustead 's Towing Service exploding and burning in downtown Berkeley , things here are quite peaceful .","Except for the gas tank at Hustead's Towing Service exploding and burning in downtown Berkeley, things there are quite peaceful.",False,True,在原句中，'things here' 指的是与 Hustead's Towing Service 相同的地点或周围地区，而在变异句中，'things there' 指的是与说话者当前位置不同的另一个地点，即 'downtown Berkeley'。因此，尽管两个句子中的 'things' 都在谈论当前的状况，但它们所指的地点不同，含义有所改变。
stays,"It is a passion that usually stays in the tower , however .","They are passions that usually stay in the tower, however.",False,False,在这两个句子中，目标词'stays'的含义相同，都是指'保持'或'停留在'的意思。在原句和变异句中，'stays'都用来描述激情通常不会离开塔（比喻意义上的限制或孤立状态）。虽然主语从'It'（指代某个特定的激情）变成了'They'（指代多个激情），但'stays'这个词本身的含义并没有改变。
work,"`` This work is novel because it shows the substitution of one element for another in fundamental biochemistry and biochemical structure , '' added Cockell .","That work is novel because it shows the substitution of one element for another in fundamental biochemistry and biochemical structure, '' added Cockell.",False,False,原句和变异句中的目标词 'work' 在句子中的含义没有改变，都指的是研究工作或成果。在这个上下文中，'This work' 和 'That work' 都是指代前文提到的研究或科学成果，没有体现出意义上的差异。
raised,This is the real issue raised by the Wedtech scandal .,That is the real issue raised by the Wedtech scandal.,False,False,原句和变异句中的目标词 'raised' 在这里都是过去分词，用作形容词来描述 'issue'。在这两个句子中，'raised' 的含义是相同的，都表示 '提出' 或 '引发' 的意思，没有区别。两个句子的结构几乎一样，只是代词 'This' 和 'That' 的使用不同，但这并不影响 'raised' 的含义。
put,"Choose 203 business executives , including , perhaps , someone from your own staff , and put them out on the streets , to be deprived for one month of their homes , families and income .","Choose 203 business executives, including, perhaps, someone from your own staff, and put us out on the streets, to be deprived for one month of their homes, families and income.",False,True,原句中的'put them out on the streets'指的是将那些商业高管（他们是被动的对象）赶出去，而变异句中的'put us out on the streets'则意味着包括说话者在内的一群人（主动语态，指说话者和其他人）将被置于街头。这里的'us'通常指代说话者和听话者，或者说话者所在的群体，与原句的'them'指代不同，因此含义不同。
larger,"Locally elected school boards , especially in our larger cities , become the prey of ambitious , generally corrupt , and invariably demagogic local politicians or would-be politicians .","Locally elected school boards, especially in those larger cities, become the prey of ambitious, generally corrupt, and invariably demagogic local politicians or would-be politicians.",False,False,原句和变异句中的目标词‘larger’含义相同，都用来修饰‘cities’，表示‘更大的’城市。两个句子中‘larger’的用法和上下文没有改变，因此含义一致。
ruling,"In a landmark 1966 ruling , the United States Supreme Court overturned the conviction of a Cleveland osteopath , Dr. Sam Sheppard , for the murder of his wife , saying in its decision , Sheppard v. Maxwell , that there was a `` carnival atmosphere at trial '' because of the news media .","In a landmark 1966 ruling, the United States Supreme Court overturned that conviction of a Cleveland osteopath, Dr. Sam Sheppard, for the murder of his wife, saying in that decision, Sheppard v. Maxwell, that there was a ""carnival atmosphere at trial"" because of the news media.",False,False,原句和变异句中的目标词'ruling'含义相同，都指的是具有里程碑意义的1966年美国最高法院的裁决。两个句子中的'ruling'都指的是法院作出的决定或判决，没有发现含义上的差异。
work,I always work it that way -- and always at a time when the customer has an alibi .,I always work them that way -- and always at a time when the customer has an alibi.,False,True,原句中的目标词 'it' 通常指代一个特定的方法、计划或事物，而变异句中的目标词 'them' 通常指代多个对象或人。因此，这两个句子中的 'work' 所指的具体含义不同，原句指的可能是单数形式的处理方式，而变异句可能指代的是对多个对象的操作。
comes,"Each legislator , after all , is only one out of 535 when it comes to national policy making .","Each legislator, after all, is only one out of 535 when they come to national policy making.",True,True,原句中的 'comes' 是第三人称单数现在时态，指代的是单数的 'it'，通常用于表达 '当提到，当说到，当涉及到' 的意思，而变异句中的 'they come' 是第三人称复数现在时态，改变了原句中 'comes' 的含义，使其听起来像是 '当立法者们来到国家政策制定时'，这种用法在语境上不合适，改变了原句中 'comes' 的抽象意义。
