,instance.id,instance.word,sentence.id
16,senseval2.d000.s003.t008,stands,senseval2.d000.s003
19,senseval2.d000.s003.t011,bells,senseval2.d000.s003
41,senseval2.d000.s005.t009,first,senseval2.d000.s005
58,senseval2.d000.s007.t004,sets,senseval2.d000.s007
78,senseval2.d000.s010.t002,ringers,senseval2.d000.s010
119,senseval2.d000.s015.t010,longer,senseval2.d000.s015
177,senseval2.d000.s020.t007,sound,senseval2.d000.s020
181,senseval2.d000.s020.t011,striking,senseval2.d000.s020
261,senseval2.d000.s029.t001,ringers,senseval2.d000.s029
266,senseval2.d000.s029.t006,swing,senseval2.d000.s029
276,senseval2.d000.s030.t005,English,senseval2.d000.s030
310,senseval2.d000.s034.t002,ringers,senseval2.d000.s034
314,senseval2.d000.s035.t000,changes,senseval2.d000.s035
316,senseval2.d000.s035.t003,sweat,senseval2.d000.s035
322,senseval2.d000.s035.t009,leaving,senseval2.d000.s035
330,senseval2.d000.s037.t005,vicars,senseval2.d000.s037
334,senseval2.d000.s037.t010,ringers,senseval2.d000.s037
342,senseval2.d000.s038.t005,ringers,senseval2.d000.s038
355,senseval2.d000.s039.t005,premises,senseval2.d000.s039
369,senseval2.d000.s042.t006,attendance,senseval2.d000.s042
374,senseval2.d000.s044.t001,nearby,senseval2.d000.s044
378,senseval2.d000.s044.t005,stairs,senseval2.d000.s044
383,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
385,senseval2.d000.s046.t004,vicar,senseval2.d000.s046
397,senseval2.d000.s048.t003,drawn,senseval2.d000.s048
404,senseval2.d000.s049.t005,relations,senseval2.d000.s049
407,senseval2.d000.s049.t008,president,senseval2.d000.s049
507,senseval2.d000.s061.t014,role,senseval2.d000.s061
542,senseval2.d001.s001.t006,painting,senseval2.d001.s001
562,senseval2.d001.s004.t002,developing,senseval2.d001.s004
629,senseval2.d001.s010.t010,longer,senseval2.d001.s010
652,senseval2.d001.s012.t012,cause,senseval2.d001.s012
668,senseval2.d001.s013.t015,only,senseval2.d001.s013
693,senseval2.d001.s016.t012,only,senseval2.d001.s016
697,senseval2.d001.s017.t001,genetic,senseval2.d001.s017
743,senseval2.d001.s021.t000,isolation,senseval2.d001.s021
764,senseval2.d001.s022.t013,risk,senseval2.d001.s022
884,senseval2.d001.s036.t002,inherit,senseval2.d001.s036
901,senseval2.d001.s038.t004,inherited,senseval2.d001.s038
941,senseval2.d001.s043.t008,No.,senseval2.d001.s043
977,senseval2.d001.s048.t008,material,senseval2.d001.s048
1021,senseval2.d001.s056.t006,rare,senseval2.d001.s056
1071,senseval2.d001.s060.t009,searching,senseval2.d001.s060
1123,senseval2.d001.s067.t007,common,senseval2.d001.s067
1126,senseval2.d001.s068.t000,yet,senseval2.d001.s068
1130,senseval2.d001.s068.t004,damaged,senseval2.d001.s068
1192,senseval2.d001.s076.t012,studies,senseval2.d001.s076
1255,senseval2.d001.s083.t000,reports,senseval2.d001.s083
1259,senseval2.d001.s083.t005,missing,senseval2.d001.s083
1385,senseval2.d002.s003.t018,interests,senseval2.d002.s003
1404,senseval2.d002.s006.t004,wish,senseval2.d002.s006
1440,senseval2.d002.s011.t018,potentialities,senseval2.d002.s011
1458,senseval2.d002.s013.t014,demands,senseval2.d002.s013
1461,senseval2.d002.s014.t003,adolescent,senseval2.d002.s014
1473,senseval2.d002.s016.t002,fight,senseval2.d002.s016
1495,senseval2.d002.s019.t009,tests,senseval2.d002.s019
1498,senseval2.d002.s019.t012,results,senseval2.d002.s019
1529,senseval2.d002.s024.t007,teaching,senseval2.d002.s024
1591,senseval2.d002.s036.t008,friendly,senseval2.d002.s036
1668,senseval2.d002.s050.t004,reforms,senseval2.d002.s050
1681,senseval2.d002.s051.t007,children,senseval2.d002.s051
1703,senseval2.d002.s056.t001,experience,senseval2.d002.s056
1749,senseval2.d002.s062.t008,more,senseval2.d002.s062
1766,senseval2.d002.s063.t017,declined,senseval2.d002.s063
1777,senseval2.d002.s066.t006,prevailed,senseval2.d002.s066
1832,senseval2.d002.s073.t006,experience,senseval2.d002.s073
1871,senseval2.d002.s077.t000,Study,senseval2.d002.s077
1912,senseval3.d000.s002.t006,coughing,senseval3.d000.s002
1930,senseval3.d000.s006.t005,cold,senseval3.d000.s006
1942,senseval3.d000.s012.t003,thought,senseval3.d000.s012
1958,senseval3.d000.s014.t003,thinking,senseval3.d000.s014
1981,senseval3.d000.s018.t002,curse,senseval3.d000.s018
1997,senseval3.d000.s021.t000,given,senseval3.d000.s021
2007,senseval3.d000.s023.t002,call,senseval3.d000.s023
2038,senseval3.d000.s029.t001,having,senseval3.d000.s029
2040,senseval3.d000.s029.t003,company,senseval3.d000.s029
2058,senseval3.d000.s033.t000,think,senseval3.d000.s033
2060,senseval3.d000.s035.t000,faint,senseval3.d000.s035
2077,senseval3.d000.s043.t001,try,senseval3.d000.s043
2116,senseval3.d000.s063.t000,smiled,senseval3.d000.s063
2139,senseval3.d000.s067.t009,glass,senseval3.d000.s067
2226,senseval3.d000.s088.t001,accident,senseval3.d000.s088
2234,senseval3.d000.s091.t002,family,senseval3.d000.s091
2306,senseval3.d000.s109.t004,corner,senseval3.d000.s109
2315,senseval3.d000.s110.t007,crossing,senseval3.d000.s110
2343,senseval3.d000.s116.t001,encourage,senseval3.d000.s116
2362,senseval3.d000.s119.t004,talk,senseval3.d000.s119
2386,senseval3.d000.s123.t005,divorce,senseval3.d000.s123
2398,senseval3.d000.s128.t002,pay,senseval3.d000.s128
2404,senseval3.d000.s134.t000,came,senseval3.d000.s134
2405,senseval3.d000.s134.t001,retire,senseval3.d000.s134
2417,senseval3.d000.s138.t001,thought,senseval3.d000.s138
2423,senseval3.d000.s140.t001,professional,senseval3.d000.s140
2441,senseval3.d000.s149.t000,shrugged,senseval3.d000.s149
2443,senseval3.d000.s152.t001,burned,senseval3.d000.s152
2449,senseval3.d000.s155.t002,time,senseval3.d000.s155
