,instance.id,instance.word,sentence.id
8,senseval2.d000.s000.t009,world,senseval2.d000.s000
16,senseval2.d000.s003.t008,stands,senseval2.d000.s003
38,senseval2.d000.s005.t006,attached,senseval2.d000.s005
85,senseval2.d000.s010.t009,church,senseval2.d000.s010
96,senseval2.d000.s012.t004,dances,senseval2.d000.s012
162,senseval2.d000.s019.t006,lowest,senseval2.d000.s019
187,senseval2.d000.s021.t005,rules,senseval2.d000.s021
190,senseval2.d000.s022.t002,patterns,senseval2.d000.s022
191,senseval2.d000.s022.t003,changes,senseval2.d000.s022
234,senseval2.d000.s027.t001,absorbed,senseval2.d000.s027
301,senseval2.d000.s032.t008,female,senseval2.d000.s032
314,senseval2.d000.s035.t000,changes,senseval2.d000.s035
316,senseval2.d000.s035.t003,sweat,senseval2.d000.s035
326,senseval2.d000.s037.t000,membership,senseval2.d000.s037
368,senseval2.d000.s042.t005,church,senseval2.d000.s042
369,senseval2.d000.s042.t006,attendance,senseval2.d000.s042
405,senseval2.d000.s049.t006,vicars,senseval2.d000.s049
436,senseval2.d000.s055.t003,train,senseval2.d000.s055
476,senseval2.d000.s059.t013,most,senseval2.d000.s059
512,senseval2.d000.s063.t001,wrote,senseval2.d000.s063
562,senseval2.d001.s004.t002,developing,senseval2.d001.s004
592,senseval2.d001.s006.t004,knew,senseval2.d001.s006
658,senseval2.d001.s013.t004,believe,senseval2.d001.s013
696,senseval2.d001.s016.t017,develop,senseval2.d001.s016
721,senseval2.d001.s019.t007,chance,senseval2.d001.s019
741,senseval2.d001.s020.t012,fate,senseval2.d001.s020
785,senseval2.d001.s025.t005,controls,senseval2.d001.s025
896,senseval2.d001.s036.t015,families,senseval2.d001.s036
951,senseval2.d001.s045.t001,missing,senseval2.d001.s045
1003,senseval2.d001.s054.t000,audacious,senseval2.d001.s054
1022,senseval2.d001.s056.t007,childhood,senseval2.d001.s056
1056,senseval2.d001.s059.t010,stages,senseval2.d001.s059
1065,senseval2.d001.s060.t003,months,senseval2.d001.s060
1090,senseval2.d001.s062.t005,emerged,senseval2.d001.s062
1095,senseval2.d001.s063.t005,develop,senseval2.d001.s063
1123,senseval2.d001.s067.t007,common,senseval2.d001.s067
1137,senseval2.d001.s070.t000,months,senseval2.d001.s070
1335,senseval2.d001.s091.t006,reverse,senseval2.d001.s091
1459,senseval2.d002.s014.t000,commitment,senseval2.d002.s014
1471,senseval2.d002.s016.t000,education,senseval2.d002.s016
1507,senseval2.d002.s020.t009,philosophy,senseval2.d002.s020
1542,senseval2.d002.s028.t000,education,senseval2.d002.s028
1562,senseval2.d002.s033.t001,equity,senseval2.d002.s033
1591,senseval2.d002.s036.t008,friendly,senseval2.d002.s036
1631,senseval2.d002.s043.t005,rather,senseval2.d002.s043
1666,senseval2.d002.s050.t001,know,senseval2.d002.s050
1681,senseval2.d002.s051.t007,children,senseval2.d002.s051
1703,senseval2.d002.s056.t001,experience,senseval2.d002.s056
1810,senseval2.d002.s070.t001,believes,senseval2.d002.s070
1891,senseval2.d002.s079.t006,morale,senseval2.d002.s079
1912,senseval3.d000.s002.t006,coughing,senseval3.d000.s002
1916,senseval3.d000.s004.t002,matched,senseval3.d000.s004
2010,senseval3.d000.s023.t005,word,senseval3.d000.s023
2035,senseval3.d000.s027.t008,money,senseval3.d000.s027
2039,senseval3.d000.s029.t002,screwball,senseval3.d000.s029
2040,senseval3.d000.s029.t003,company,senseval3.d000.s029
2104,senseval3.d000.s057.t003,habits,senseval3.d000.s057
2109,senseval3.d000.s058.t003,accident,senseval3.d000.s058
2112,senseval3.d000.s060.t000,trouble,senseval3.d000.s060
2122,senseval3.d000.s066.t004,slip,senseval3.d000.s066
2151,senseval3.d000.s071.t000,went,senseval3.d000.s071
2157,senseval3.d000.s071.t009,tenants,senseval3.d000.s071
2175,senseval3.d000.s078.t001,crawled,senseval3.d000.s078
2195,senseval3.d000.s082.t007,pavement,senseval3.d000.s082
2226,senseval3.d000.s088.t001,accident,senseval3.d000.s088
2228,senseval3.d000.s089.t000,stranger,senseval3.d000.s089
2229,senseval3.d000.s089.t001,had,senseval3.d000.s089
2234,senseval3.d000.s091.t002,family,senseval3.d000.s091
2240,senseval3.d000.s094.t000,stranger,senseval3.d000.s094
2250,senseval3.d000.s097.t000,tight,senseval3.d000.s097
2289,senseval3.d000.s106.t004,stranger,senseval3.d000.s106
2343,senseval3.d000.s116.t001,encourage,senseval3.d000.s116
2345,senseval3.d000.s116.t003,felt,senseval3.d000.s116
2400,senseval3.d000.s130.t000,nodded,senseval3.d000.s130
2415,senseval3.d000.s137.t005,line,senseval3.d000.s137
2418,senseval3.d000.s138.t002,ran,senseval3.d000.s138
2443,senseval3.d000.s152.t001,burned,senseval3.d000.s152
2444,senseval3.d000.s153.t000,muttered,senseval3.d000.s153
2447,senseval3.d000.s155.t000,work,senseval3.d000.s155
2449,senseval3.d000.s155.t002,time,senseval3.d000.s155
2523,senseval3.d001.s009.t010,state,senseval3.d001.s009
2567,senseval3.d001.s012.t000,assumptions,senseval3.d001.s012
2593,senseval3.d001.s014.t003,policy,senseval3.d001.s014
2616,senseval3.d001.s018.t000,theory,senseval3.d001.s018
2621,senseval3.d001.s018.t005,things,senseval3.d001.s018
2661,senseval3.d001.s021.t001,suggests,senseval3.d001.s021
2670,senseval3.d001.s021.t011,office,senseval3.d001.s021
2678,senseval3.d001.s023.t000,exception,senseval3.d001.s023
2691,senseval3.d001.s024.t002,emphasis,senseval3.d001.s024
2700,senseval3.d001.s025.t002,indicates,senseval3.d001.s025
2776,senseval3.d001.s033.t000,pieces,senseval3.d001.s033
2835,senseval3.d001.s037.t002,case,senseval3.d001.s037
2883,senseval3.d001.s041.t011,difference,senseval3.d001.s041
2893,senseval3.d001.s041.t023,function,senseval3.d001.s041
2908,senseval3.d001.s042.t009,severe,senseval3.d001.s042
2939,senseval3.d001.s045.t021,function,senseval3.d001.s045
3024,senseval3.d002.s018.t004,shaking,senseval3.d002.s018
3064,senseval3.d002.s041.t000,part,senseval3.d002.s041
3073,senseval3.d002.s046.t001,hairline,senseval3.d002.s046
3090,senseval3.d002.s053.t002,home,senseval3.d002.s053
3108,senseval3.d002.s058.t001,knots,senseval3.d002.s058
3172,senseval3.d002.s087.t006,memory,senseval3.d002.s087
3195,senseval3.d002.s093.t002,took,senseval3.d002.s093
3303,senseval3.d002.s120.t007,bounced,senseval3.d002.s120
3317,senseval3.d002.s125.t002,waiting,senseval3.d002.s125
3388,semeval2007.d000.s010.t002,generalizations,semeval2007.d000.s010
3403,semeval2007.d000.s021.t000,fallen,semeval2007.d000.s021
3426,semeval2007.d000.s029.t001,subscribe,semeval2007.d000.s029
3473,semeval2007.d001.s006.t004,program,semeval2007.d001.s006
3496,semeval2007.d001.s013.t004,began,semeval2007.d001.s013
3529,semeval2007.d001.s027.t000,enters,semeval2007.d001.s027
3569,semeval2007.d001.s037.t000,have,semeval2007.d001.s037
3580,semeval2007.d002.s000.t004,ride,semeval2007.d002.s000
3584,semeval2007.d002.s002.t003,introduce,semeval2007.d002.s002
3590,semeval2007.d002.s003.t006,having,semeval2007.d002.s003
3625,semeval2007.d002.s019.t000,ascending,semeval2007.d002.s019
3693,semeval2007.d002.s049.t008,pull,semeval2007.d002.s049
3758,semeval2013.d000.s004.t004,ones,semeval2013.d000.s004
3872,semeval2013.d000.s024.t003,halls,semeval2013.d000.s024
