,instance.id,instance.word,sentence.id
38,senseval2.d000.s007.t006,once,senseval2.d000.s007
46,senseval2.d000.s008.t000,Now,senseval2.d000.s008
57,senseval2.d000.s010.t007,drive,senseval2.d000.s010
77,senseval2.d000.s018.t002,English,senseval2.d000.s018
99,senseval2.d000.s019.t009,scale,senseval2.d000.s019
109,senseval2.d000.s020.t005,order,senseval2.d000.s020
111,senseval2.d000.s020.t007,sound,senseval2.d000.s020
115,senseval2.d000.s020.t011,striking,senseval2.d000.s020
116,senseval2.d000.s021.t000,variation,senseval2.d000.s021
137,senseval2.d000.s024.t003,practice,senseval2.d000.s024
186,senseval2.d000.s029.t004,advance,senseval2.d000.s029
187,senseval2.d000.s029.t005,retard,senseval2.d000.s029
198,senseval2.d000.s030.t005,English,senseval2.d000.s030
201,senseval2.d000.s030.t008,passion,senseval2.d000.s030
206,senseval2.d000.s030.t013,mechanical,senseval2.d000.s030
219,senseval2.d000.s032.t004,master,senseval2.d000.s032
222,senseval2.d000.s032.t007,best,senseval2.d000.s032
235,senseval2.d000.s037.t005,vicars,senseval2.d000.s037
239,senseval2.d000.s037.t010,ringers,senseval2.d000.s037
260,senseval2.d000.s039.t005,premises,senseval2.d000.s039
269,senseval2.d000.s042.t001,fallen,senseval2.d000.s042
291,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
293,senseval2.d000.s046.t004,vicar,senseval2.d000.s046
306,senseval2.d000.s049.t005,relations,senseval2.d000.s049
307,senseval2.d000.s049.t006,vicars,senseval2.d000.s049
310,senseval2.d000.s050.t000,hopes,senseval2.d000.s050
328,senseval2.d000.s051.t004,longer,senseval2.d000.s051
333,senseval2.d000.s051.t009,experience,senseval2.d000.s051
336,senseval2.d000.s052.t002,attacking,senseval2.d000.s052
337,senseval2.d000.s052.t003,greater,senseval2.d000.s052
370,senseval2.d000.s056.t001,now,senseval2.d000.s056
382,senseval2.d000.s057.t005,entered,senseval2.d000.s057
397,senseval2.d000.s059.t007,galling,senseval2.d000.s059
430,senseval2.d000.s061.t011,settle,senseval2.d000.s061
442,senseval2.d000.s062.t005,observed,senseval2.d000.s062
443,senseval2.d000.s062.t006,average,senseval2.d000.s062
445,senseval2.d000.s062.t009,leaves,senseval2.d000.s062
449,senseval2.d000.s062.t013,badly,senseval2.d000.s062
457,senseval2.d000.s063.t001,wrote,senseval2.d000.s063
465,senseval2.d000.s064.t000,seen,senseval2.d000.s064
468,senseval2.d000.s064.t003,bless,senseval2.d000.s064
482,senseval2.d001.s001.t001,say,senseval2.d001.s001
487,senseval2.d001.s001.t006,painting,senseval2.d001.s001
547,senseval2.d001.s007.t007,then,senseval2.d001.s007
573,senseval2.d001.s010.t010,longer,senseval2.d001.s010
575,senseval2.d001.s010.t014,turn,senseval2.d001.s010
599,senseval2.d001.s013.t011,turn,senseval2.d001.s013
632,senseval2.d001.s017.t001,genetic,senseval2.d001.s017
654,senseval2.d001.s020.t006,rare,senseval2.d001.s020
658,senseval2.d001.s020.t010,suffered,senseval2.d001.s020
671,senseval2.d001.s021.t010,faced,senseval2.d001.s021
676,senseval2.d001.s022.t004,showed,senseval2.d001.s022
677,senseval2.d001.s022.t005,little,senseval2.d001.s022
722,senseval2.d001.s026.t007,fundamental,senseval2.d001.s026
732,senseval2.d001.s027.t005,basic,senseval2.d001.s027
747,senseval2.d001.s030.t004,reported,senseval2.d001.s030
